<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CTS_MV,D,20151116,000000,125.478,125.478,125.478,125.478,0,0
CTS_MV,D,20151120,000000,127.617,127.617,127.617,127.617,0,0
CTS_MV,D,20151123,000000,129.927,129.927,129.927,129.927,0,0
CTS_MV,D,20151124,000000,131.709,142.396,129.927,129.927,0,0
CTS_MV,D,20151125,000000,127.268,138.834,127.268,136.157,0,0
CTS_MV,D,20151126,000000,129.041,129.041,129.041,129.041,0,0
CTS_MV,D,20151127,000000,136.157,146.845,136.157,146.845,0,0
CTS_MV,D,20151130,000000,133.668,137.947,128.146,128.146,0,0
CTS_MV,D,20151201,000000,128.146,128.146,128.146,128.146,0,0
CTS_MV,D,20151209,000000,128.146,128.146,128.146,128.146,0,0
CTS_MV,D,20151210,000000,128.146,128.146,128.146,128.146,0,0
CTS_MV,D,20160107,000000,132.594,132.594,132.594,132.594,0,0
CTS_MV,D,20160108,000000,132.783,142.396,132.783,142.396,0,0
CTS_MV,D,20160111,000000,142.396,142.396,142.396,142.396,0,0
CTS_MV,D,20160112,000000,142.396,142.396,142.396,142.396,0,0
CTS_MV,D,20160203,000000,135.263,135.263,135.263,135.263,0,0
CTS_MV,D,20160216,000000,134.555,134.555,128.146,128.146,0,0
CTS_MV,D,20160308,000000,124.592,124.592,124.592,124.592,0,0
CTS_MV,D,20160413,000000,128.871,128.871,128.871,128.871,0,0
CTS_MV,D,20160414,000000,128.871,138.297,128.871,138.297,0,0
CTS_MV,D,20160415,000000,142.396,160.199,142.396,160.199,0,0
CTS_MV,D,20160418,000000,176.205,195.782,176.205,195.782,0,0
CTS_MV,D,20160419,000000,195.782,205.037,177.986,195.782,0,0
CTS_MV,D,20160420,000000,213.585,233.17,177.986,192.228,0,0
CTS_MV,D,20160425,000000,176.035,176.035,176.035,176.035,0,0
CTS_MV,D,20160426,000000,175.319,188.137,175.319,188.137,0,0
CTS_MV,D,20160428,000000,147.902,147.902,147.902,147.902,0,0
CTS_MV,D,20160429,000000,160.199,160.199,147.902,160.199,0,0
CTS_MV,D,20160502,000000,169.097,187.251,169.097,187.251,0,0
CTS_MV,D,20160504,000000,187.251,187.251,187.251,187.251,0,0
CTS_MV,D,20160505,000000,195.782,213.585,195.782,195.782,0,0
CTS_MV,D,20160506,000000,177.986,195.782,177.986,195.782,0,0
CTS_MV,D,20160510,000000,169.267,169.267,169.267,169.267,0,0
CTS_MV,D,20160511,000000,160.012,160.012,160.012,160.012,0,0
CTS_MV,D,20160517,000000,160.012,160.012,160.012,160.012,0,0
CTS_MV,D,20160518,000000,160.012,160.012,144.526,160.012,0,0
CTS_MV,D,20160519,000000,160.012,160.012,144.348,144.348,0,0
CTS_MV,D,20160520,000000,151.293,151.293,151.293,151.293,0,0
CTS_MV,D,20160523,000000,160.012,160.012,160.012,160.012,0,0
CTS_MV,D,20160530,000000,168.065,168.065,168.065,168.065,0,0
CTS_MV,D,20160601,000000,167.683,167.683,167.683,167.683,0,0
CTS_MV,D,20160602,000000,167.878,167.878,167.878,167.878,0,0
CTS_MV,D,20160606,000000,151.226,151.226,151.226,151.226,0,0
CTS_MV,D,20160607,000000,136.242,136.242,116.223,116.402,0,0
CTS_MV,D,20160608,000000,121.456,121.839,116.402,121.839,0,0
CTS_MV,D,20160609,000000,122.206,134.18,122.206,134.18,0,0
CTS_MV,D,20160610,000000,140.554,140.554,135.117,135.68,0,0
CTS_MV,D,20160613,000000,144.109,150.85,134.743,134.743,0,0
CTS_MV,D,20160614,000000,138.117,138.484,138.117,138.484,0,0
CTS_MV,D,20160615,000000,140.921,141.117,136.618,136.618,0,0
CTS_MV,D,20160616,000000,144.671,144.671,134.939,134.939,0,0
CTS_MV,D,20160617,000000,144.109,144.109,138.484,138.484,0,0
CTS_MV,D,20160620,000000,144.109,144.109,138.117,138.117,0,0
CTS_MV,D,20160621,000000,138.484,138.484,135.313,138.484,0,0
CTS_MV,D,20160622,000000,137.001,139.43,137.001,139.43,0,0
CTS_MV,D,20160623,000000,139.43,140.743,138.117,140.743,0,0
CTS_MV,D,20160624,000000,141.671,141.671,135.117,135.117,0,0
CTS_MV,D,20160627,000000,135.117,136.618,135.117,136.242,0,0
CTS_MV,D,20160628,000000,135.68,145.413,131.376,137.555,0,0
CTS_MV,D,20160629,000000,144.109,144.109,142.234,144.109,0,0
CTS_MV,D,20160630,000000,144.109,149.725,143.538,149.725,0,0
CTS_MV,D,20160701,000000,149.725,149.725,134.939,134.939,0,0
CTS_MV,D,20160704,000000,143.913,143.913,143.913,143.913,0,0
CTS_MV,D,20160705,000000,121.643,121.643,121.643,121.643,0,0
CTS_MV,D,20160706,000000,143.171,143.171,143.171,143.171,0,0
CTS_MV,D,20160707,000000,142.234,142.234,141.859,141.859,0,0
CTS_MV,D,20160708,000000,141.671,141.671,139.984,139.984,0,0
CTS_MV,D,20160711,000000,141.859,141.859,141.859,141.859,0,0
CTS_MV,D,20160712,000000,144.288,144.288,144.288,144.288,0,0
CTS_MV,D,20160713,000000,147.101,147.101,147.101,147.101,0,0
CTS_MV,D,20160714,000000,147.85,147.85,147.85,147.85,0,0
CTS_MV,D,20160715,000000,149.725,149.725,149.725,149.725,0,0
CTS_MV,D,20160718,000000,149.725,149.725,149.725,149.725,0,0
CTS_MV,D,20160719,000000,151.967,151.967,151.967,151.967,0,0
CTS_MV,D,20160720,000000,149.725,149.725,149.725,149.725,0,0
CTS_MV,D,20160803,000000,138.117,139.618,138.117,139.618,0,0
CTS_MV,D,20160804,000000,138.868,140.172,138.868,140.172,0,0
CTS_MV,D,20160805,000000,139.242,144.85,139.242,144.85,0,0
CTS_MV,D,20160808,000000,144.109,145.976,144.109,145.976,0,0
CTS_MV,D,20160809,000000,145.976,149.725,145.976,149.538,0,0
CTS_MV,D,20160810,000000,147.85,149.725,147.85,149.725,0,0
CTS_MV,D,20160811,000000,149.725,153.458,149.725,153.083,0,0
CTS_MV,D,20160812,000000,153.083,155.145,151.967,155.145,0,0
CTS_MV,D,20160816,000000,156.27,156.458,155.145,155.145,0,0
CTS_MV,D,20160817,000000,155.708,155.708,149.725,149.725,0,0
CTS_MV,D,20160818,000000,149.725,154.208,149.725,154.208,0,0
CTS_MV,D,20160819,000000,154.02,154.387,153.458,154.387,0,0
CTS_MV,D,20160822,000000,153.833,155.708,153.833,154.387,0,0
CTS_MV,D,20160823,000000,154.208,154.208,148.975,154.208,0,0
CTS_MV,D,20160824,000000,154.387,154.387,152.529,152.529,0,0
CTS_MV,D,20160825,000000,151.226,151.591,151.226,151.591,0,0
CTS_MV,D,20160826,000000,142.6,142.6,139.805,139.805,0,0
CTS_MV,D,20160829,000000,146.725,149.725,146.725,149.725,0,0
CTS_MV,D,20160830,000000,151.591,152.529,149.725,152.529,0,0
CTS_MV,D,20160831,000000,151.591,153.833,151.591,153.833,0,0
CTS_MV,D,20160901,000000,153.458,154.387,151.591,154.387,0,0
CTS_MV,D,20160902,000000,154.387,156.458,153.083,155.708,0,0
CTS_MV,D,20160905,000000,155.333,156.27,149.341,156.27,0,0
CTS_MV,D,20160906,000000,156.27,156.27,154.583,154.958,0,0
CTS_MV,D,20160907,000000,154.958,155.896,153.083,155.896,0,0
CTS_MV,D,20160908,000000,154.958,155.333,153.083,155.333,0,0
CTS_MV,D,20160909,000000,156.27,156.27,154.958,156.27,0,0
CTS_MV,D,20160912,000000,154.958,155.708,153.458,155.708,0,0
CTS_MV,D,20160913,000000,155.333,155.333,153.458,155.333,0,0
CTS_MV,D,20160914,000000,156.27,156.27,154.958,155.333,0,0
CTS_MV,D,20160915,000000,154.583,156.27,153.083,156.27,0,0
CTS_MV,D,20160916,000000,152.716,156.27,149.725,155.333,0,0
CTS_MV,D,20160919,000000,155.333,156.458,153.833,156.458,0,0
CTS_MV,D,20160920,000000,156.27,158.137,154.583,158.137,0,0
CTS_MV,D,20160921,000000,158.137,159.083,155.708,159.083,0,0
CTS_MV,D,20160922,000000,156.458,159.083,154.387,159.083,0,0
CTS_MV,D,20160923,000000,159.083,160.199,155.333,159.083,0,0
CTS_MV,D,20160926,000000,157.583,162.824,155.333,162.824,0,0
CTS_MV,D,20160927,000000,152.529,162.824,152.529,162.824,0,0
CTS_MV,D,20160928,000000,158.325,162.824,155.708,162.824,0,0
CTS_MV,D,20160929,000000,158.708,162.824,156.458,162.824,0,0
CTS_MV,D,20160930,000000,158.896,159.083,155.521,159.083,0,0
CTS_MV,D,20161003,000000,153.27,160.575,150.092,160.575,0,0
CTS_MV,D,20161004,000000,159.083,161.887,156.458,161.887,0,0
CTS_MV,D,20161005,000000,160.949,161.7,153.083,160.395,0,0
CTS_MV,D,20161006,000000,159.083,160.395,153.458,153.833,0,0
CTS_MV,D,20161007,000000,159.45,159.45,155.333,158.325,0,0
CTS_MV,D,20161010,000000,158.137,159.45,153.458,159.45,0,0
CTS_MV,D,20161011,000000,157.958,157.958,153.458,157.2,0,0
CTS_MV,D,20161012,000000,159.824,160.021,155.708,160.021,0,0
CTS_MV,D,20161013,000000,159.824,161.887,156.458,161.887,0,0
CTS_MV,D,20161014,000000,161.325,161.325,155.333,159.824,0,0
CTS_MV,D,20161017,000000,152.529,159.824,152.529,159.824,0,0
CTS_MV,D,20161018,000000,159.083,159.637,155.708,159.637,0,0
CTS_MV,D,20161019,000000,159.824,162.824,157.2,162.824,0,0
CTS_MV,D,20161020,000000,156.458,163.949,156.458,163.949,0,0
CTS_MV,D,20161021,000000,162.637,166.37,159.45,166.37,0,0
CTS_MV,D,20161024,000000,166.37,168.432,163.199,166.566,0,0
CTS_MV,D,20161025,000000,166.566,168.432,160.949,168.432,0,0
