<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CTS_PE,D,20151116,000000,5.1803,5.1803,5.1803,5.1803,0,0
CTS_PE,D,20151120,000000,5.29297,5.29297,5.23664,5.23664,0,0
CTS_PE,D,20151123,000000,5.34922,5.34922,5.34922,5.34922,0,0
CTS_PE,D,20151124,000000,5.40555,5.85597,5.34922,5.34922,0,0
CTS_PE,D,20151125,000000,5.23664,5.74347,5.23664,5.57447,0,0
CTS_PE,D,20151126,000000,5.29297,5.29297,5.29297,5.29297,0,0
CTS_PE,D,20151127,000000,5.57447,6.0248,5.57447,6.0248,0,0
CTS_PE,D,20151130,000000,5.46189,5.68722,5.23664,5.23664,0,0
CTS_PE,D,20151201,000000,5.23664,5.23664,3.6037,3.6037,0,0
CTS_PE,D,20151209,000000,3.54736,3.54736,3.54736,3.54736,0,0
CTS_PE,D,20151210,000000,3.54736,3.54736,3.54736,3.54736,0,0
CTS_PE,D,20160107,000000,3.71628,3.77262,3.71628,3.77262,0,0
CTS_PE,D,20160108,000000,3.77262,4.05412,3.77262,3.94145,0,0
CTS_PE,D,20160111,000000,3.94145,3.94145,3.88521,3.88521,0,0
CTS_PE,D,20160112,000000,3.88521,3.88521,3.88521,3.88521,0,0
CTS_PE,D,20160203,000000,3.71628,3.71628,3.66003,3.66003,0,0
CTS_PE,D,20160216,000000,3.66003,3.66003,3.49112,3.49112,0,0
CTS_PE,D,20160308,000000,3.43469,3.49112,3.43469,3.49112,0,0
CTS_PE,D,20160413,000000,3.6037,3.66003,3.6037,3.66003,0,0
CTS_PE,D,20160414,000000,3.66003,3.94145,3.66003,3.88521,0,0
CTS_PE,D,20160415,000000,3.99779,4.50454,3.99779,4.50454,0,0
CTS_PE,D,20160418,000000,4.95513,5.51822,4.95513,5.51822,0,0
CTS_PE,D,20160419,000000,5.51822,5.79981,5.01138,5.51822,0,0
CTS_PE,D,20160420,000000,6.0248,6.58807,5.01138,5.40555,0,0
CTS_PE,D,20160425,000000,4.95513,4.95513,4.89879,4.89879,0,0
CTS_PE,D,20160426,000000,4.89879,5.23664,4.89879,5.1803,0,0
CTS_PE,D,20160428,000000,4.05412,4.05412,4.05412,4.05412,0,0
CTS_PE,D,20160429,000000,4.39196,4.39196,4.05412,4.39196,0,0
CTS_PE,D,20160502,000000,4.61721,5.12397,4.61721,5.12397,0,0
CTS_PE,D,20160504,000000,5.12397,5.29297,5.12397,5.29297,0,0
CTS_PE,D,20160505,000000,5.51822,6.0248,5.51822,5.51822,0,0
CTS_PE,D,20160506,000000,5.01138,5.51822,5.01138,5.51822,0,0
CTS_PE,D,20160510,000000,4.72988,4.72988,4.72988,4.72988,0,0
CTS_PE,D,20160511,000000,4.44829,4.44829,4.44829,4.44829,0,0
CTS_PE,D,20160517,000000,4.50454,4.50454,4.50454,4.50454,0,0
CTS_PE,D,20160518,000000,4.50454,4.50454,4.05412,4.50454,0,0
CTS_PE,D,20160519,000000,4.50454,4.50454,4.05412,4.05412,0,0
CTS_PE,D,20160520,000000,4.22295,4.22295,4.22295,4.22295,0,0
CTS_PE,D,20160523,000000,4.44829,4.44829,4.44829,4.44829,0,0
CTS_PE,D,20160530,000000,4.67721,4.73635,4.67721,4.73635,0,0
CTS_PE,D,20160601,000000,4.73635,4.73635,4.73635,4.73635,0,0
CTS_PE,D,20160602,000000,4.73635,4.73635,4.73635,4.73635,0,0
CTS_PE,D,20160606,000000,4.26284,5.44688,4.26284,5.44688,0,0
CTS_PE,D,20160607,000000,4.91405,4.91405,4.20361,4.20361,0,0
CTS_PE,D,20160608,000000,4.38113,4.44037,4.20361,4.44037,0,0
CTS_PE,D,20160609,000000,4.44037,4.91405,4.44037,4.8549,0,0
CTS_PE,D,20160610,000000,5.09166,5.09166,4.91405,4.97328,0,0
CTS_PE,D,20160613,000000,5.26928,5.50603,4.91405,4.91405,0,0
CTS_PE,D,20160614,000000,5.03243,5.03243,4.97328,4.97328,0,0
CTS_PE,D,20160615,000000,5.03243,5.09166,4.8549,4.8549,0,0
CTS_PE,D,20160616,000000,5.1509,5.1509,4.79559,4.8549,0,0
CTS_PE,D,20160617,000000,5.21004,5.21004,4.91405,4.91405,0,0
CTS_PE,D,20160620,000000,5.09166,5.09166,4.91405,4.91405,0,0
CTS_PE,D,20160621,000000,4.91405,4.97328,4.79559,4.97328,0,0
CTS_PE,D,20160622,000000,4.91405,5.03243,4.91405,5.03243,0,0
CTS_PE,D,20160623,000000,5.03243,5.09166,4.97328,5.09166,0,0
CTS_PE,D,20160624,000000,5.1509,5.1509,4.91405,4.91405,0,0
CTS_PE,D,20160627,000000,4.91405,4.97328,4.8549,4.8549,0,0
CTS_PE,D,20160628,000000,4.8549,5.21004,4.67721,4.91405,0,0
CTS_PE,D,20160629,000000,5.1509,5.1509,5.09166,5.1509,0,0
CTS_PE,D,20160630,000000,5.1509,5.38774,5.1509,5.38774,0,0
CTS_PE,D,20160701,000000,5.38774,5.38774,4.8549,4.8549,0,0
CTS_PE,D,20160704,000000,5.1509,5.1509,5.1509,5.1509,0,0
CTS_PE,D,20160705,000000,4.38113,4.38113,4.32199,4.32199,0,0
CTS_PE,D,20160706,000000,5.09166,5.09166,5.09166,5.09166,0,0
CTS_PE,D,20160707,000000,5.03243,5.03243,5.03243,5.03243,0,0
CTS_PE,D,20160708,000000,5.03243,5.03243,4.97328,4.97328,0,0
CTS_PE,D,20160711,000000,5.03243,5.09166,5.03243,5.09166,0,0
CTS_PE,D,20160712,000000,5.1509,5.1509,5.1509,5.1509,0,0
CTS_PE,D,20160713,000000,5.26928,5.26928,5.26928,5.26928,0,0
CTS_PE,D,20160714,000000,5.26928,5.3285,5.26928,5.3285,0,0
CTS_PE,D,20160715,000000,5.38774,5.38774,5.38774,5.38774,0,0
CTS_PE,D,20160718,000000,5.38774,5.38774,5.38774,5.38774,0,0
CTS_PE,D,20160719,000000,5.44688,5.44688,5.44688,5.44688,0,0
CTS_PE,D,20160720,000000,5.38774,5.38774,5.38774,5.38774,0,0
CTS_PE,D,20160803,000000,5.03243,5.09166,5.03243,5.09166,0,0
CTS_PE,D,20160804,000000,5.09166,5.1509,5.09166,5.1509,0,0
CTS_PE,D,20160805,000000,5.09166,5.3285,5.09166,5.3285,0,0
CTS_PE,D,20160808,000000,5.3285,5.38774,5.3285,5.38774,0,0
CTS_PE,D,20160809,000000,5.38774,5.50603,5.38774,5.50603,0,0
CTS_PE,D,20160810,000000,5.44688,5.56535,5.44688,5.56535,0,0
CTS_PE,D,20160811,000000,5.56535,5.68373,5.56535,5.68373,0,0
CTS_PE,D,20160812,000000,5.68373,5.74296,5.62441,5.74296,0,0
CTS_PE,D,20160816,000000,5.80211,5.80211,5.74296,5.74296,0,0
CTS_PE,D,20160817,000000,5.74296,5.74296,5.56535,5.56535,0,0
CTS_PE,D,20160818,000000,5.56535,5.74296,5.56535,5.68373,0,0
CTS_PE,D,20160819,000000,5.68373,5.68373,5.68373,5.68373,0,0
CTS_PE,D,20160822,000000,5.68373,5.74296,5.68373,5.68373,0,0
CTS_PE,D,20160823,000000,5.68373,5.68373,5.50603,5.68373,0,0
CTS_PE,D,20160824,000000,5.68373,5.68373,5.62441,5.62441,0,0
CTS_PE,D,20160825,000000,5.56535,5.56535,5.56535,5.56535,0,0
CTS_PE,D,20160826,000000,5.21004,5.21004,5.1509,5.1509,0,0
CTS_PE,D,20160829,000000,5.38774,5.50603,5.38774,5.50603,0,0
CTS_PE,D,20160830,000000,5.56535,5.62441,5.50603,5.56535,0,0
CTS_PE,D,20160831,000000,5.50603,5.62441,5.50603,5.62441,0,0
CTS_PE,D,20160901,000000,5.62441,5.62441,5.56535,5.62441,0,0
CTS_PE,D,20160902,000000,5.62441,5.68373,5.56535,5.68373,0,0
CTS_PE,D,20160905,000000,5.68373,5.97981,5.44688,5.97981,0,0
CTS_PE,D,20160906,000000,5.97981,5.97981,5.92048,5.97981,0,0
CTS_PE,D,20160907,000000,5.97981,6.03895,5.92048,6.03895,0,0
CTS_PE,D,20160908,000000,5.97981,6.03895,5.92048,6.03895,0,0
CTS_PE,D,20160909,000000,6.09819,6.09819,6.03895,6.09819,0,0
CTS_PE,D,20160912,000000,6.03895,6.09819,5.97981,6.03895,0,0
CTS_PE,D,20160913,000000,6.03895,6.03895,5.97981,6.03895,0,0
CTS_PE,D,20160914,000000,6.09819,6.09819,5.97981,5.97981,0,0
CTS_PE,D,20160915,000000,5.97981,6.03895,5.92048,6.03895,0,0
CTS_PE,D,20160916,000000,5.92048,6.03895,5.80211,6.03895,0,0
CTS_PE,D,20160919,000000,6.03895,6.09819,5.97981,6.09819,0,0
CTS_PE,D,20160920,000000,6.09819,6.15741,6.03895,6.15741,0,0
