<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DAD_PB,D,20210312,000000,14.9622,14.9622,14.9622,14.9622,0,0
DAD_PB,D,20210315,000000,14.9622,15.2679,14.8438,15.2679,0,0
DAD_PB,D,20210316,000000,15.2581,15.2581,14.9425,14.9622,0,0
DAD_PB,D,20210317,000000,15.0707,15.189,14.8833,15.189,0,0
DAD_PB,D,20210318,000000,15.0707,15.2679,15.0016,15.0312,0,0
DAD_PB,D,20210319,000000,15.337,15.6427,15.0411,15.6427,0,0
DAD_PB,D,20210322,000000,15.6427,16.6981,15.6427,16.6981,0,0
DAD_PB,D,20210323,000000,16.6981,16.7178,15.84,15.84,0,0
DAD_PB,D,20210324,000000,16.0274,16.1063,15.8696,15.8696,0,0
DAD_PB,D,20210325,000000,16.0274,16.0274,15.6822,15.7611,0,0
DAD_PB,D,20210326,000000,15.7216,15.8005,15.6526,15.6822,0,0
DAD_PB,D,20210329,000000,15.6427,16.0274,15.6427,15.9485,0,0
DAD_PB,D,20210330,000000,15.9584,15.9584,15.6033,15.7216,0,0
DAD_PB,D,20210331,000000,15.8005,16.0274,15.5737,15.6526,0,0
DAD_PB,D,20210401,000000,15.6427,16.0274,15.5737,15.84,0,0
DAD_PB,D,20210406,000000,16.0175,16.0175,15.6427,15.9879,0,0
DAD_PB,D,20210407,000000,16.0175,16.0175,15.7216,15.909,0,0
DAD_PB,D,20210408,000000,16.1063,16.7178,16.0274,16.3332,0,0
DAD_PB,D,20210409,000000,16.491,16.9545,16.2937,16.9545,0,0
DAD_PB,D,20210412,000000,17.0334,18.1677,17.0334,17.931,0,0
DAD_PB,D,20210413,000000,18.1479,18.1479,17.5562,17.783,0,0
DAD_PB,D,20210414,000000,18.1677,18.1677,15.6329,15.6329,0,0
DAD_PB,D,20210415,000000,15.6329,15.8499,15.5836,15.8301,0,0
DAD_PB,D,20210416,000000,15.6822,16.6882,15.6822,16.3134,0,0
DAD_PB,D,20210419,000000,16.3134,16.6389,16.1162,16.3233,0,0
DAD_PB,D,20210420,000000,16.3233,16.4515,16.1162,16.1162,0,0
DAD_PB,D,20210421,000000,16.1162,16.4022,16.1162,16.1556,0,0
DAD_PB,D,20210422,000000,16.2148,16.3923,16.2148,16.2148,0,0
DAD_PB,D,20210423,000000,16.2247,16.4515,16.1162,16.2444,0,0
DAD_PB,D,20210426,000000,16.4515,16.4515,16.2542,16.2542,0,0
DAD_PB,D,20210427,000000,16.4318,16.5797,16.2542,16.5797,0,0
DAD_PB,D,20210428,000000,16.5205,17.1222,16.3923,17.063,0,0
DAD_PB,D,20210429,000000,17.4575,17.7337,17.063,17.7337,0,0
DAD_PB,D,20210430,000000,17.8619,17.931,17.4674,17.931,0,0
DAD_PB,D,20210504,000000,18.1381,18.1677,17.3984,17.4674,0,0
DAD_PB,D,20210505,000000,17.8027,17.8027,16.8953,17.3984,0,0
DAD_PB,D,20210506,000000,17.4674,18.6016,16.9249,17.4674,0,0
DAD_PB,D,20210507,000000,17.4674,17.4674,17.1912,17.4575,0,0
DAD_PB,D,20210510,000000,17.2603,17.4674,17.063,17.1912,0,0
DAD_PB,D,20210511,000000,17.1912,17.1912,16.5896,16.6192,0,0
DAD_PB,D,20210512,000000,16.5896,16.5896,15.5145,16.4121,0,0
DAD_PB,D,20210513,000000,16.4121,16.7868,16.2542,16.2542,0,0
DAD_PB,D,20210514,000000,16.5304,16.7868,16.3923,16.7277,0,0
DAD_PB,D,20210517,000000,16.7868,16.7868,16.5304,16.7277,0,0
DAD_PB,D,20210518,000000,16.5501,16.7277,16.3529,16.3529,0,0
DAD_PB,D,20210519,000000,16.5205,16.7178,16.3529,16.4515,0,0
DAD_PB,D,20210520,000000,16.6389,16.6586,16.4515,16.4614,0,0
DAD_PB,D,20210521,000000,16.5304,17.3195,16.5304,17.2997,0,0
DAD_PB,D,20210524,000000,17.4674,17.4674,2.99836,2.99836,0,0
DAD_PB,D,20210525,000000,3.00822,3.00822,2.9589,2.9589,0,0
DAD_PB,D,20210526,000000,2.9589,2.9589,2.9589,2.9589,0,0
DAD_PB,D,20210527,000000,2.9589,2.9589,2.94904,2.94904,0,0
DAD_PB,D,20210528,000000,2.94904,2.94904,2.83068,2.84055,0,0
DAD_PB,D,20210531,000000,2.83068,2.88,2.79123,2.83068,0,0
DAD_PB,D,20210601,000000,2.82082,2.82082,2.78137,2.79123,0,0
DAD_PB,D,20210602,000000,2.79123,2.79123,2.64329,2.6926,0,0
DAD_PB,D,20210604,000000,2.67288,2.82082,2.67288,2.82082,0,0
DAD_PB,D,20210607,000000,2.78137,2.85041,2.78137,2.85041,0,0
DAD_PB,D,20210608,000000,2.87014,2.88,2.77151,2.88,0,0
DAD_PB,D,20210609,000000,2.88986,2.88986,2.8011,2.86027,0,0
DAD_PB,D,20210610,000000,2.86027,2.86027,2.79123,2.79123,0,0
DAD_PB,D,20210611,000000,2.78137,2.78137,2.74192,2.74192,0,0
DAD_PB,D,20210614,000000,2.73205,2.74192,2.68274,2.73205,0,0
DAD_PB,D,20210615,000000,2.78137,2.78137,2.72219,2.73205,0,0
DAD_PB,D,20210616,000000,2.78137,2.81096,2.72219,2.81096,0,0
DAD_PB,D,20210617,000000,2.83068,2.94904,2.81096,2.94904,0,0
DAD_PB,D,20210618,000000,2.96877,3.00822,2.90959,2.94904,0,0
DAD_PB,D,20210621,000000,2.94904,2.98849,2.82082,2.86027,0,0
DAD_PB,D,20210622,000000,2.88,2.88,2.8011,2.86027,0,0
DAD_PB,D,20210623,000000,2.88,2.88,2.82082,2.82082,0,0
DAD_PB,D,20210624,000000,2.83068,2.85041,2.82082,2.83068,0,0
DAD_PB,D,20210625,000000,2.78137,2.88,2.77151,2.88,0,0
DAD_PB,D,20210628,000000,2.88,2.88,2.76164,2.77151,0,0
DAD_PB,D,20210629,000000,2.77151,2.82082,2.76164,2.82082,0,0
DAD_PB,D,20210630,000000,2.81096,2.83068,2.71233,2.74192,0,0
DAD_PB,D,20210701,000000,2.74192,2.8011,2.72219,2.72219,0,0
DAD_PB,D,20210702,000000,2.74192,2.83068,2.72219,2.74192,0,0
DAD_PB,D,20210705,000000,2.78137,2.78137,2.75178,2.78137,0,0
DAD_PB,D,20210706,000000,2.79123,2.83068,2.58411,2.67288,0,0
DAD_PB,D,20210707,000000,2.63342,2.71233,2.6137,2.63342,0,0
DAD_PB,D,20210708,000000,2.66301,2.66301,2.60384,2.64329,0,0
DAD_PB,D,20210709,000000,2.6137,2.64329,2.58411,2.6137,0,0
DAD_PB,D,20210712,000000,2.64329,2.64329,2.46575,2.54466,0,0
DAD_PB,D,20210713,000000,2.60384,2.64329,2.54466,2.64329,0,0
DAD_PB,D,20210714,000000,2.64329,2.71233,2.64329,2.67288,0,0
DAD_PB,D,20210715,000000,2.67288,2.67288,2.66301,2.66301,0,0
DAD_PB,D,20210716,000000,2.67288,2.67288,2.66301,2.67288,0,0
DAD_PB,D,20210719,000000,2.6926,2.6926,2.56438,2.58411,0,0
DAD_PB,D,20210720,000000,2.56438,2.64329,2.56438,2.64329,0,0
DAD_PB,D,20210721,000000,2.64329,2.66301,2.57425,2.63342,0,0
DAD_PB,D,20210722,000000,2.65315,2.65315,2.60384,2.6137,0,0
DAD_PB,D,20210723,000000,2.6137,2.6137,2.59397,2.59397,0,0
DAD_PB,D,20210726,000000,2.58411,2.60384,2.54466,2.54466,0,0
DAD_PB,D,20210727,000000,2.56438,2.60384,2.54466,2.56438,0,0
DAD_PB,D,20210728,000000,2.57425,2.63342,2.55452,2.55452,0,0
DAD_PB,D,20210729,000000,2.60384,2.64329,2.55452,2.56438,0,0
