<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DBC_MV,D,20070813,000000,639.246,639.246,639.246,639.246,0,0
DBC_MV,D,20070814,000000,639.246,639.246,639.246,639.246,0,0
DBC_MV,D,20070816,000000,633.492,633.492,633.492,633.492,0,0
DBC_MV,D,20070817,000000,621.966,621.966,621.966,621.966,0,0
DBC_MV,D,20070820,000000,633.492,633.492,633.492,633.492,0,0
DBC_MV,D,20070821,000000,610.448,610.448,610.448,610.448,0,0
DBC_MV,D,20070822,000000,610.448,610.448,610.448,610.448,0,0
DBC_MV,D,20070823,000000,610.448,610.448,610.448,610.448,0,0
DBC_MV,D,20070824,000000,598.931,598.931,598.931,598.931,0,0
DBC_MV,D,20070827,000000,610.448,610.448,610.448,610.448,0,0
DBC_MV,D,20070828,000000,610.448,610.448,610.448,610.448,0,0
DBC_MV,D,20070829,000000,604.113,604.113,604.113,604.113,0,0
DBC_MV,D,20070830,000000,610.448,610.448,610.448,610.448,0,0
DBC_MV,D,20070831,000000,604.694,604.694,604.694,604.694,0,0
DBC_MV,D,20070903,000000,610.448,610.448,610.448,610.448,0,0
DBC_MV,D,20070904,000000,609.875,609.875,609.875,609.875,0,0
DBC_MV,D,20070905,000000,609.875,609.875,609.875,609.875,0,0
DBC_MV,D,20070906,000000,604.694,604.694,604.694,604.694,0,0
DBC_MV,D,20070907,000000,587.405,587.405,587.405,587.405,0,0
DBC_MV,D,20070910,000000,581.65,581.65,581.65,581.65,0,0
DBC_MV,D,20070911,000000,581.65,581.65,581.65,581.65,0,0
DBC_MV,D,20070912,000000,587.405,587.405,587.405,587.405,0,0
DBC_MV,D,20070913,000000,581.65,581.65,581.65,581.65,0,0
DBC_MV,D,20070914,000000,575.904,575.904,575.904,575.904,0,0
DBC_MV,D,20070917,000000,575.904,575.904,575.904,575.904,0,0
DBC_MV,D,20070918,000000,575.904,575.904,575.904,575.904,0,0
DBC_MV,D,20070919,000000,575.904,575.904,575.904,575.904,0,0
DBC_MV,D,20070920,000000,575.904,575.904,575.904,575.904,0,0
DBC_MV,D,20070921,000000,574.742,574.742,574.742,574.742,0,0
DBC_MV,D,20070924,000000,581.65,581.65,581.65,581.65,0,0
DBC_MV,D,20070925,000000,575.6,575.6,575.6,575.6,0,0
DBC_MV,D,20070926,000000,575.6,575.6,575.6,575.6,0,0
DBC_MV,D,20070927,000000,575.904,575.904,575.904,575.904,0,0
DBC_MV,D,20070928,000000,573.014,573.014,573.014,573.014,0,0
DBC_MV,D,20071001,000000,575.904,575.904,575.904,575.904,0,0
DBC_MV,D,20071002,000000,575.904,575.904,575.904,575.904,0,0
DBC_MV,D,20071003,000000,575.904,575.904,575.904,575.904,0,0
DBC_MV,D,20071004,000000,575.314,575.314,575.314,575.314,0,0
DBC_MV,D,20071005,000000,575.904,575.904,575.904,575.904,0,0
DBC_MV,D,20071008,000000,575.904,575.904,575.904,575.904,0,0
DBC_MV,D,20071009,000000,575.904,575.904,575.904,575.904,0,0
DBC_MV,D,20071010,000000,575.904,575.904,575.904,575.904,0,0
DBC_MV,D,20071011,000000,575.904,575.904,575.904,575.904,0,0
