<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DBE_PB,D,20190710,000000,8.76,8.76,7.14,7.45,0,0
DBE_PB,D,20190711,000000,8.01,8.01,7.67,7.8,0,0
DBE_PB,D,20190712,000000,7.8,7.8,7.8,7.8,0,0
DBE_PB,D,20190715,000000,7.93,7.93,7.93,7.93,0,0
DBE_PB,D,20190716,000000,7.93,8.32,7.88,8.28,0,0
DBE_PB,D,20190717,000000,8.23,8.47,8.23,8.39,0,0
DBE_PB,D,20190718,000000,8.31,8.31,7.88,8.08,0,0
DBE_PB,D,20190719,000000,7.97,7.97,7.57,7.57,0,0
DBE_PB,D,20190722,000000,7.67,7.71,7.67,7.71,0,0
DBE_PB,D,20190723,000000,7.71,7.71,7.44,7.67,0,0
DBE_PB,D,20190724,000000,7.71,7.71,7.67,7.67,0,0
DBE_PB,D,20190725,000000,7.67,7.67,7.53,7.53,0,0
DBE_PB,D,20190726,000000,7.62,7.62,7.53,7.53,0,0
DBE_PB,D,20190729,000000,7.49,7.49,7.44,7.44,0,0
DBE_PB,D,20190730,000000,7.27,7.27,6.88,6.88,0,0
DBE_PB,D,20190731,000000,6.96,8.15,5.69,7.49,0,0
DBE_PB,D,20190802,000000,7.67,7.67,7.4,7.4,0,0
DBE_PB,D,20190806,000000,7.49,7.67,7.49,7.67,0,0
DBE_PB,D,20190808,000000,7.44,7.44,7.1,7.1,0,0
DBE_PB,D,20190809,000000,7.23,7.31,7.23,7.31,0,0
DBE_PB,D,20190812,000000,7.36,7.36,7.36,7.36,0,0
DBE_PB,D,20190813,000000,7.36,7.36,7.14,7.14,0,0
DBE_PB,D,20190814,000000,7.44,7.44,7.29,7.29,0,0
DBE_PB,D,20190816,000000,7.42,8.44,7.42,8.15,0,0
DBE_PB,D,20190819,000000,8.19,8.45,7.72,7.72,0,0
DBE_PB,D,20190820,000000,7.72,7.72,7.72,7.72,0,0
DBE_PB,D,20190821,000000,7.72,7.8,7.72,7.8,0,0
DBE_PB,D,20190822,000000,7.8,8.32,7.8,8.32,0,0
DBE_PB,D,20190823,000000,8.23,8.23,8.23,8.23,0,0
DBE_PB,D,20190826,000000,8.23,8.45,8.23,8.45,0,0
DBE_PB,D,20190827,000000,8.45,8.45,8.4,8.45,0,0
DBE_PB,D,20190828,000000,8.45,8.45,8.45,8.45,0,0
DBE_PB,D,20190829,000000,8.28,8.28,7.89,7.89,0,0
DBE_PB,D,20190904,000000,8.06,8.06,8.06,8.06,0,0
DBE_PB,D,20190905,000000,8.06,8.06,8.06,8.06,0,0
DBE_PB,D,20190906,000000,8.06,8.15,8.06,8.15,0,0
DBE_PB,D,20190909,000000,8.15,8.15,8.15,8.15,0,0
DBE_PB,D,20190910,000000,8.23,8.53,8.23,8.53,0,0
DBE_PB,D,20190911,000000,8.53,8.92,8.45,8.79,0,0
DBE_PB,D,20190912,000000,9.43,9.43,9.22,9.28,0,0
DBE_PB,D,20190913,000000,9.26,9.26,9.26,9.26,0,0
DBE_PB,D,20190916,000000,9.18,9.18,9,9,0,0
DBE_PB,D,20190917,000000,9,9,9,9,0,0
DBE_PB,D,20190918,000000,9,9,8.83,8.83,0,0
DBE_PB,D,20190919,000000,8.83,8.83,8.83,8.83,0,0
DBE_PB,D,20190920,000000,8.83,8.83,8.83,8.83,0,0
