<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DCR_PE,D,20070813,000000,8.20355,8.20355,8.20355,8.20355,0,0
DCR_PE,D,20070814,000000,7.42324,7.42324,7.42324,7.42324,0,0
DCR_PE,D,20070816,000000,6.68118,6.68118,6.68118,6.68118,0,0
DCR_PE,D,20070817,000000,6.75265,6.75265,6.75265,6.75265,0,0
DCR_PE,D,20070820,000000,7.38612,7.38612,7.38612,7.38612,0,0
DCR_PE,D,20070821,000000,7.64611,7.64611,7.64611,7.64611,0,0
DCR_PE,D,20070822,000000,8.27503,8.27503,8.27503,8.27503,0,0
DCR_PE,D,20070823,000000,8.79485,8.79485,8.79485,8.79485,0,0
DCR_PE,D,20070824,000000,8.31321,8.31321,8.31321,8.31321,0,0
DCR_PE,D,20070827,000000,8.01511,8.01511,8.01511,8.01511,0,0
DCR_PE,D,20070828,000000,7.68396,7.68396,7.68396,7.68396,0,0
DCR_PE,D,20070829,000000,7.57026,7.57026,7.57026,7.57026,0,0
DCR_PE,D,20070830,000000,7.60891,7.60891,7.60891,7.60891,0,0
DCR_PE,D,20070831,000000,7.79337,7.79337,7.79337,7.79337,0,0
DCR_PE,D,20070903,000000,8.05247,8.05247,8.05247,8.05247,0,0
DCR_PE,D,20070904,000000,8.05247,8.05247,8.05247,8.05247,0,0
DCR_PE,D,20070905,000000,8.05247,8.05247,8.05247,8.05247,0,0
DCR_PE,D,20070906,000000,8.12882,8.12882,8.12882,8.12882,0,0
DCR_PE,D,20070907,000000,7.64611,7.64611,7.64611,7.64611,0,0
DCR_PE,D,20070910,000000,7.57026,7.57026,7.57026,7.57026,0,0
DCR_PE,D,20070911,000000,7.60891,7.60891,7.60891,7.60891,0,0
DCR_PE,D,20070912,000000,7.79337,7.79337,7.79337,7.79337,0,0
DCR_PE,D,20070913,000000,7.79337,7.79337,7.79337,7.79337,0,0
DCR_PE,D,20070914,000000,7.86728,7.86728,7.86728,7.86728,0,0
DCR_PE,D,20070917,000000,8.12882,8.12882,8.12882,8.12882,0,0
DCR_PE,D,20070918,000000,8.05247,8.05247,8.05247,8.05247,0,0
DCR_PE,D,20070919,000000,8.05247,8.05247,8.05247,8.05247,0,0
DCR_PE,D,20070920,000000,8.12882,8.12882,8.12882,8.12882,0,0
DCR_PE,D,20070921,000000,8.01511,8.01511,8.01511,8.01511,0,0
DCR_PE,D,20070924,000000,7.97774,7.97774,7.97774,7.97774,0,0
DCR_PE,D,20070925,000000,7.97774,7.97774,7.97774,7.97774,0,0
DCR_PE,D,20070926,000000,7.94282,7.94282,7.94282,7.94282,0,0
DCR_PE,D,20070927,000000,7.94282,7.94282,7.94282,7.94282,0,0
DCR_PE,D,20070928,000000,7.94282,7.94282,7.94282,7.94282,0,0
DCR_PE,D,20071001,000000,7.79337,7.79337,7.79337,7.79337,0,0
DCR_PE,D,20071002,000000,7.71702,7.71702,7.71702,7.71702,0,0
DCR_PE,D,20071003,000000,7.64611,7.64611,7.64611,7.64611,0,0
DCR_PE,D,20071004,000000,7.71702,7.71702,7.71702,7.71702,0,0
DCR_PE,D,20071005,000000,7.94282,7.94282,7.94282,7.94282,0,0
DCR_PE,D,20071008,000000,7.90627,7.90627,7.90627,7.90627,0,0
DCR_PE,D,20071009,000000,7.94282,7.94282,7.94282,7.94282,0,0
DCR_PE,D,20071010,000000,7.79337,7.79337,7.79337,7.79337,0,0
DCR_PE,D,20071011,000000,7.64611,7.64611,7.64611,7.64611,0,0
DCR_PE,D,20071012,000000,7.71702,7.71702,7.71702,7.71702,0,0
DCR_PE,D,20071015,000000,7.71702,7.71702,7.71702,7.71702,0,0
DCR_PE,D,20071016,000000,7.57026,7.57026,7.57026,7.57026,0,0
