<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DEK_MV,D,20150206,000000,109.938,109.938,109.938,109.938,0,0
DEK_MV,D,20150211,000000,99.2912,104.214,99.2912,104.214,0,0
DEK_MV,D,20150212,000000,104.569,104.569,104.214,104.569,0,0
DEK_MV,D,20150213,000000,104.569,104.569,104.569,104.569,0,0
DEK_MV,D,20150217,000000,104.569,104.569,104.569,104.569,0,0
DEK_MV,D,20150218,000000,107.031,107.676,107.031,107.676,0,0
DEK_MV,D,20150219,000000,107.112,107.976,106.749,107.83,0,0
DEK_MV,D,20150220,000000,107.83,107.83,106.377,107.676,0,0
DEK_MV,D,20150223,000000,107.83,108.257,107.83,108.257,0,0
DEK_MV,D,20150224,000000,107.112,108.257,107.112,108.257,0,0
DEK_MV,D,20150226,000000,107.112,108.257,107.112,108.257,0,0
DEK_MV,D,20150227,000000,108.13,109.938,108.13,109.938,0,0
DEK_MV,D,20150302,000000,109.565,109.565,109.565,109.565,0,0
DEK_MV,D,20150303,000000,109.856,111.446,109.565,111.446,0,0
DEK_MV,D,20150304,000000,111.446,116.514,111.446,116.514,0,0
DEK_MV,D,20150305,000000,118.686,126.571,118.686,126.571,0,0
DEK_MV,D,20150306,000000,123.028,133.739,122.674,133.739,0,0
DEK_MV,D,20150309,000000,133.739,143.868,133.157,137.418,0,0
DEK_MV,D,20150310,000000,141.052,141.115,134.964,140.398,0,0
DEK_MV,D,20150311,000000,135.328,141.115,135.328,141.052,0,0
DEK_MV,D,20150312,000000,139.671,139.671,137.499,138.944,0,0
DEK_MV,D,20150313,000000,138.59,144.676,134.247,141.851,0,0
DEK_MV,D,20150316,000000,135.183,140.043,135.183,140.043,0,0
DEK_MV,D,20150317,000000,140.833,140.833,137.936,139.888,0,0
DEK_MV,D,20150318,000000,138.944,140.833,138.008,140.325,0,0
DEK_MV,D,20150319,000000,140.833,144.376,138.944,140.398,0,0
DEK_MV,D,20150320,000000,144.095,144.095,138.226,141.115,0,0
DEK_MV,D,20150323,000000,144.095,144.095,138.308,141.115,0,0
DEK_MV,D,20150324,000000,141.115,141.851,139.017,141.851,0,0
DEK_MV,D,20150325,000000,141.851,141.851,137.717,138.944,0,0
DEK_MV,D,20150327,000000,139.38,141.269,138.944,141.269,0,0
DEK_MV,D,20150330,000000,141.487,141.487,141.487,141.487,0,0
DEK_MV,D,20150331,000000,139.307,141.052,139.307,141.052,0,0
DEK_MV,D,20150401,000000,139.307,139.307,139.307,139.307,0,0
DEK_MV,D,20150402,000000,138.944,140.752,138.944,139.671,0,0
DEK_MV,D,20150407,000000,140.752,140.752,139.171,139.307,0,0
DEK_MV,D,20150408,000000,139.307,140.688,139.307,140.688,0,0
DEK_MV,D,20150409,000000,139.307,139.307,139.307,139.307,0,0
DEK_MV,D,20150410,000000,137.936,139.307,137.936,139.307,0,0
DEK_MV,D,20150413,000000,138.226,138.226,137.863,137.863,0,0
DEK_MV,D,20150414,000000,137.499,137.499,137.499,137.499,0,0
DEK_MV,D,20150415,000000,132.431,137.863,132.431,137.863,0,0
DEK_MV,D,20150416,000000,135.11,135.11,133.302,133.302,0,0
DEK_MV,D,20150417,000000,133.302,133.302,123.173,123.173,0,0
DEK_MV,D,20150420,000000,130.186,131.285,125.199,131.204,0,0
DEK_MV,D,20150422,000000,126.643,131.204,125.272,131.204,0,0
DEK_MV,D,20150427,000000,131.204,131.285,131.204,131.285,0,0
DEK_MV,D,20150428,000000,128.815,131.285,125.926,131.285,0,0
DEK_MV,D,20150429,000000,125.989,125.989,125.989,125.989,0,0
DEK_MV,D,20150430,000000,125.989,125.989,123.028,123.028,0,0
DEK_MV,D,20150504,000000,123.028,123.028,123.028,123.028,0,0
DEK_MV,D,20150505,000000,123.028,123.028,123.028,123.028,0,0
DEK_MV,D,20150506,000000,122.674,123.028,122.674,123.028,0,0
DEK_MV,D,20150507,000000,122.674,123.028,122.674,123.028,0,0
DEK_MV,D,20150508,000000,129.178,129.178,129.178,129.178,0,0
DEK_MV,D,20150511,000000,129.178,129.178,129.178,129.178,0,0
DEK_MV,D,20150512,000000,128.815,128.815,128.815,128.815,0,0
DEK_MV,D,20150513,000000,130.059,130.059,130.059,130.059,0,0
DEK_MV,D,20150519,000000,130.059,130.059,130.059,130.059,0,0
DEK_MV,D,20150521,000000,123.028,129.542,123.028,129.542,0,0
DEK_MV,D,20150525,000000,123.1,123.1,123.1,123.1,0,0
DEK_MV,D,20150602,000000,123.173,123.173,123.173,123.173,0,0
DEK_MV,D,20150603,000000,123.028,123.028,115.062,123.028,0,0
DEK_MV,D,20150608,000000,117.241,123.028,115.933,123.028,0,0
DEK_MV,D,20150615,000000,122.956,123.1,122.956,123.1,0,0
DEK_MV,D,20150622,000000,120.857,126.643,120.857,126.643,0,0
DEK_MV,D,20150624,000000,113.981,125.126,108.62,125.126,0,0
DEK_MV,D,20150703,000000,117.241,125.199,117.241,125.199,0,0
DEK_MV,D,20150708,000000,124.4,125.045,124.4,125.045,0,0
DEK_MV,D,20150728,000000,124.481,124.481,124.481,124.481,0,0
DEK_MV,D,20150730,000000,126.499,126.499,126.499,126.499,0,0
DEK_MV,D,20150803,000000,126.289,126.289,126.289,126.289,0,0
DEK_MV,D,20150804,000000,125.199,125.199,125.199,125.199,0,0
DEK_MV,D,20150806,000000,123.028,125.199,123.028,125.199,0,0
DEK_MV,D,20150821,000000,120.784,123.746,120.784,123.746,0,0
DEK_MV,D,20150824,000000,117.314,120.711,110.001,120.711,0,0
DEK_MV,D,20150828,000000,124.481,124.481,118.54,118.54,0,0
DEK_MV,D,20150831,000000,110.146,117.605,110.146,117.605,0,0
DEK_MV,D,20150901,000000,122.883,122.883,118.322,118.322,0,0
DEK_MV,D,20150907,000000,112.173,117.678,112.173,117.678,0,0
DEK_MV,D,20150908,000000,122.801,122.801,122.801,122.801,0,0
DEK_MV,D,20150909,000000,112.173,117.678,111.092,117.678,0,0
DEK_MV,D,20150911,000000,110.301,117.959,110.301,117.959,0,0
DEK_MV,D,20150915,000000,110.301,113.181,110.301,110.365,0,0
DEK_MV,D,20150917,000000,117.814,117.814,117.814,117.814,0,0
DEK_MV,D,20150921,000000,110.365,116.433,110.365,116.433,0,0
DEK_MV,D,20150922,000000,113.254,115.724,113.254,115.724,0,0
DEK_MV,D,20150930,000000,115.724,115.724,115.724,115.724,0,0
DEK_MV,D,20151002,000000,110.146,114.989,110.146,114.989,0,0
DEK_MV,D,20151008,000000,114.343,115.062,114.343,115.062,0,0
DEK_MV,D,20151009,000000,115.062,116.514,115.062,116.514,0,0
DEK_MV,D,20151012,000000,110.146,116.514,110.146,116.514,0,0
DEK_MV,D,20151027,000000,116.433,117.014,116.433,117.014,0,0
DEK_MV,D,20151102,000000,113.617,119.186,113.617,119.186,0,0
DEK_MV,D,20151103,000000,113.617,119.186,113.617,119.186,0,0
DEK_MV,D,20151109,000000,115.797,115.797,112.173,112.173,0,0
DEK_MV,D,20151113,000000,117.678,117.678,117.678,117.678,0,0
DEK_MV,D,20151117,000000,112.173,117.959,112.173,115.643,0,0
DEK_MV,D,20151207,000000,108.702,115.724,108.702,115.724,0,0
DEK_MV,D,20151210,000000,108.702,115.724,107.83,115.724,0,0
DEK_MV,D,20151214,000000,107.112,112.108,103.125,112.108,0,0
DEK_MV,D,20151215,000000,112.027,112.027,112.027,112.027,0,0
DEK_MV,D,20151216,000000,104.933,108.184,102.761,108.184,0,0
DEK_MV,D,20151217,000000,108.184,108.184,108.184,108.184,0,0
DEK_MV,D,20151218,000000,108.184,108.184,99.9453,107.031,0,0
DEK_MV,D,20151223,000000,103.852,103.852,101.317,101.317,0,0
DEK_MV,D,20151228,000000,104.569,104.933,103.415,104.933,0,0
DEK_MV,D,20151229,000000,106.377,108.557,104.933,108.557,0,0
DEK_MV,D,20151230,000000,108.557,108.557,108.557,108.557,0,0
DEK_MV,D,20160108,000000,104.279,108.557,104.279,108.411,0,0
