<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DEK_PB,D,20150206,000000,1.76543,1.76543,1.76543,1.76543,0,0
DEK_PB,D,20150211,000000,1.59238,1.67023,1.59238,1.67023,0,0
DEK_PB,D,20150212,000000,1.67886,1.67886,1.67023,1.67886,0,0
DEK_PB,D,20150213,000000,1.67886,1.67886,1.67886,1.67886,0,0
DEK_PB,D,20150217,000000,1.67886,1.67886,1.67886,1.67886,0,0
DEK_PB,D,20150218,000000,1.7221,1.73073,1.7221,1.73073,0,0
DEK_PB,D,20150219,000000,1.7221,1.73073,1.71348,1.73073,0,0
DEK_PB,D,20150220,000000,1.73073,1.73073,1.70484,1.73073,0,0
DEK_PB,D,20150223,000000,1.73073,1.73945,1.73073,1.73945,0,0
DEK_PB,D,20150224,000000,1.7221,1.73945,1.7221,1.73945,0,0
DEK_PB,D,20150226,000000,1.7221,1.73945,1.7221,1.73945,0,0
DEK_PB,D,20150227,000000,1.73945,1.76543,1.73945,1.76543,0,0
DEK_PB,D,20150302,000000,1.7568,1.7568,1.7568,1.7568,0,0
DEK_PB,D,20150303,000000,1.76543,1.79132,1.44522,1.44522,0,0
DEK_PB,D,20150304,000000,1.44522,1.5058,1.44522,1.5058,0,0
DEK_PB,D,20150305,000000,1.54042,1.64425,1.54042,1.64425,0,0
DEK_PB,D,20150306,000000,1.59238,1.73073,1.59238,1.73073,0,0
DEK_PB,D,20150309,000000,1.73073,1.86063,1.7221,1.7827,0,0
DEK_PB,D,20150310,000000,1.82603,1.82603,1.74818,1.8174,0,0
DEK_PB,D,20150311,000000,1.7568,1.82603,1.7568,1.82603,0,0
DEK_PB,D,20150312,000000,1.80868,1.80868,1.7827,1.80005,0,0
DEK_PB,D,20150313,000000,1.80005,1.8779,1.73945,1.83465,0,0
DEK_PB,D,20150316,000000,1.74818,1.8174,1.74818,1.8174,0,0
DEK_PB,D,20150317,000000,1.82603,1.82603,1.79132,1.80868,0,0
DEK_PB,D,20150318,000000,1.80005,1.82603,1.79132,1.8174,0,0
DEK_PB,D,20150319,000000,1.82603,1.86927,1.80005,1.8174,0,0
DEK_PB,D,20150320,000000,1.86927,1.86927,1.79132,1.82603,0,0
DEK_PB,D,20150323,000000,1.86927,1.86927,1.79132,1.82603,0,0
DEK_PB,D,20150324,000000,1.82603,1.83465,1.80005,1.83465,0,0
DEK_PB,D,20150325,000000,1.83465,1.83465,1.7827,1.80005,0,0
DEK_PB,D,20150327,000000,1.80868,1.83465,1.80005,1.83465,0,0
DEK_PB,D,20150330,000000,1.83465,1.83465,1.83465,1.83465,0,0
DEK_PB,D,20150331,000000,1.80868,1.82603,1.80868,1.82603,0,0
DEK_PB,D,20150401,000000,1.80868,1.80868,1.80868,1.80868,0,0
DEK_PB,D,20150402,000000,1.80005,1.82603,1.80005,1.80868,0,0
DEK_PB,D,20150407,000000,1.82603,1.82603,1.80005,1.80868,0,0
DEK_PB,D,20150408,000000,1.80868,1.82603,1.80868,1.82603,0,0
DEK_PB,D,20150409,000000,1.80868,1.80868,1.80868,1.80868,0,0
DEK_PB,D,20150410,000000,1.79132,1.80868,1.79132,1.80868,0,0
DEK_PB,D,20150413,000000,1.79132,1.79132,1.7827,1.7827,0,0
DEK_PB,D,20150414,000000,1.7827,1.7827,1.7827,1.7827,0,0
DEK_PB,D,20150415,000000,1.71348,1.7827,1.71348,1.7827,0,0
DEK_PB,D,20150416,000000,1.74818,1.74818,1.73073,1.73073,0,0
DEK_PB,D,20150417,000000,1.73073,1.73073,1.59238,1.59238,0,0
DEK_PB,D,20150420,000000,1.68749,1.70484,1.61827,1.69621,0,0
