<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DEL_PB,D,20091215,000000,1.10227,1.10227,1.10227,1.10227,0,0
DEL_PB,D,20091217,000000,1.07599,1.07599,1.05492,1.07599,0,0
DEL_PB,D,20091218,000000,1.05492,1.07599,1.04449,1.07599,0,0
DEL_PB,D,20091221,000000,1.07599,1.12848,1.07599,1.10227,0,0
DEL_PB,D,20091222,000000,1.07077,1.10227,1.03399,1.08642,0,0
DEL_PB,D,20091223,000000,1.10227,1.10227,1.04449,1.07599,0,0
DEL_PB,D,20091228,000000,1.07077,1.07599,1.06027,1.07077,0,0
DEL_PB,D,20091229,000000,1.08121,1.08121,1.06027,1.07077,0,0
DEL_PB,D,20091230,000000,1.07077,1.07599,1.05492,1.07599,0,0
DEL_PB,D,20091231,000000,1.07599,1.07599,1.07599,1.07599,0,0
DEL_PB,D,20100104,000000,1.05492,1.07599,1.05492,1.07599,0,0
DEL_PB,D,20100105,000000,1.07599,1.07599,1.04977,1.07077,0,0
DEL_PB,D,20100106,000000,1.07599,1.07599,1.04449,1.07077,0,0
DEL_PB,D,20100107,000000,1.07599,1.07599,1.02357,1.02877,0,0
DEL_PB,D,20100108,000000,1.08121,1.08121,1.05492,1.07599,0,0
DEL_PB,D,20100111,000000,1.08121,1.08121,1.07599,1.07599,0,0
DEL_PB,D,20100112,000000,1.03935,1.08121,1.03935,1.07599,0,0
DEL_PB,D,20100113,000000,1.04449,1.07077,1.04449,1.07077,0,0
DEL_PB,D,20100114,000000,1.07077,1.07077,1.04449,1.06548,0,0
DEL_PB,D,20100115,000000,1.07077,1.07077,1.04977,1.06027,0,0
DEL_PB,D,20100118,000000,1.06027,1.06027,1.06027,1.06027,0,0
DEL_PB,D,20100119,000000,1.06027,1.06027,1.06027,1.06027,0,0
DEL_PB,D,20100120,000000,1.06027,1.06027,1.06027,1.06027,0,0
DEL_PB,D,20100121,000000,1.04449,1.06027,1.04449,1.06027,0,0
DEL_PB,D,20100122,000000,1.04977,1.06027,1.03399,1.04449,0,0
DEL_PB,D,20100125,000000,1.02357,1.06027,1.00778,1.03935,0,0
DEL_PB,D,20100126,000000,1.02357,1.05492,1.01299,1.03935,0,0
DEL_PB,D,20100127,000000,1.05492,1.10227,1.03935,1.08121,0,0
DEL_PB,D,20100128,000000,1.09692,1.10227,1.07077,1.08121,0,0
DEL_PB,D,20100129,000000,1.08121,1.11806,1.08121,1.10227,0,0
DEL_PB,D,20100201,000000,1.11806,1.11806,1.08642,1.09692,0,0
DEL_PB,D,20100202,000000,1.08642,1.10227,1.08642,1.10227,0,0
DEL_PB,D,20100203,000000,1.10756,1.14428,1.10756,1.11806,0,0
DEL_PB,D,20100204,000000,1.11806,1.14948,1.11806,1.13905,0,0
DEL_PB,D,20100205,000000,1.12848,1.13905,1.08121,1.13905,0,0
DEL_PB,D,20100208,000000,1.12848,1.17048,1.12848,1.14428,0,0
DEL_PB,D,20100209,000000,1.15463,1.16005,1.11806,1.14948,0,0
DEL_PB,D,20100210,000000,1.15463,1.15463,1.13905,1.13905,0,0
DEL_PB,D,20100211,000000,1.11806,1.20198,1.09171,1.20198,0,0
DEL_PB,D,20100212,000000,1.20198,1.20198,1.14428,1.18626,0,0
DEL_PB,D,20100215,000000,1.18626,1.19677,1.18626,1.19677,0,0
DEL_PB,D,20100216,000000,1.20198,1.20198,1.18626,1.20198,0,0
DEL_PB,D,20100217,000000,1.19155,1.23876,1.19155,1.23876,0,0
DEL_PB,D,20100218,000000,1.23876,1.24391,1.22297,1.23876,0,0
DEL_PB,D,20100219,000000,1.24391,1.24911,1.22297,1.24911,0,0
DEL_PB,D,20100222,000000,1.24911,1.28069,1.24911,1.26491,0,0
DEL_PB,D,20100223,000000,1.27547,1.27547,1.23876,1.23876,0,0
DEL_PB,D,20100224,000000,1.24391,1.28069,1.24391,1.27547,0,0
DEL_PB,D,20100225,000000,1.27547,1.27547,1.24911,1.27019,0,0
DEL_PB,D,20100226,000000,1.27547,1.30697,1.27547,1.30697,0,0
DEL_PB,D,20100301,000000,1.35954,1.40675,0.897504,0.897504,0,0
DEL_PB,D,20100302,000000,0.881791,0.892287,0.871289,0.892287,0,0
DEL_PB,D,20100303,000000,0.897504,0.897504,0.881791,0.881791,0,0
DEL_PB,D,20100304,000000,0.881791,0.92893,0.881791,0.92893,0,0
DEL_PB,D,20100305,000000,0.92893,0.944722,0.92893,0.944722,0,0
DEL_PB,D,20100308,000000,0.955289,1.06027,0.955289,1.04977,0,0
DEL_PB,D,20100309,000000,1.06027,1.06027,1.01299,1.03935,0,0
DEL_PB,D,20100310,000000,1.06027,1.06027,1.03935,1.06027,0,0
DEL_PB,D,20100311,000000,1.05492,1.06027,1.03399,1.05492,0,0
DEL_PB,D,20100312,000000,1.06027,1.08121,1.04977,1.06027,0,0
DEL_PB,D,20100315,000000,1.06548,1.06548,1.00778,1.00778,0,0
DEL_PB,D,20100316,000000,1.04449,1.05492,1.00256,1.03399,0,0
DEL_PB,D,20100317,000000,1.05492,1.06027,1.03935,1.05492,0,0
DEL_PB,D,20100318,000000,1.04977,1.04977,1.01299,1.03399,0,0
DEL_PB,D,20100319,000000,1.04977,1.04977,1.02357,1.03399,0,0
DEL_PB,D,20100322,000000,1.04977,1.04977,1.00256,1.00256,0,0
DEL_PB,D,20100323,000000,1.01299,1.02877,0.992135,0.992135,0,0
DEL_PB,D,20100324,000000,1.00256,1.01299,0.960637,0.965785,0,0
DEL_PB,D,20100325,000000,0.965785,0.981572,0.960637,0.981572,0,0
DEL_PB,D,20100326,000000,0.981572,0.981572,0.965785,0.965785,0,0
DEL_PB,D,20100329,000000,0.960637,0.976348,0.955289,0.976348,0,0
DEL_PB,D,20100330,000000,0.992135,1.03399,0.992135,1.00778,0,0
DEL_PB,D,20100331,000000,1.03399,1.03399,0.997283,1.01828,0,0
DEL_PB,D,20100401,000000,1.01828,1.07077,0.986787,1.07077,0,0
DEL_PB,D,20100406,000000,1.07077,1.07077,1.03935,1.04977,0,0
DEL_PB,D,20100407,000000,1.05492,1.05492,1.02357,1.02357,0,0
DEL_PB,D,20100408,000000,1.02357,1.02357,1.00778,1.01299,0,0
DEL_PB,D,20100409,000000,1.01299,1.03935,1.01299,1.03935,0,0
DEL_PB,D,20100412,000000,0.981572,1.06027,0.981572,1.06027,0,0
DEL_PB,D,20100413,000000,1.06027,1.06027,1.04977,1.05492,0,0
DEL_PB,D,20100414,000000,1.03399,1.03935,1.03399,1.03935,0,0
DEL_PB,D,20100415,000000,1.02357,1.04977,1.02357,1.04977,0,0
DEL_PB,D,20100416,000000,1.03935,1.03935,0.986787,1.03935,0,0
DEL_PB,D,20100419,000000,0.992135,1.03935,0.992135,1.02357,0,0
DEL_PB,D,20100420,000000,1.02357,1.02357,1.01299,1.02357,0,0
DEL_PB,D,20100421,000000,1.01299,1.01299,1.00256,1.00256,0,0
DEL_PB,D,20100422,000000,1.02357,1.02357,1.01299,1.01299,0,0
DEL_PB,D,20100423,000000,1.00256,1.00256,1.00256,1.00256,0,0
DEL_PB,D,20100426,000000,1.01828,1.02357,0.981572,1.01299,0,0
DEL_PB,D,20100427,000000,1.03399,1.03399,1.00256,1.00256,0,0
DEL_PB,D,20100428,000000,1.01299,1.01299,1.00256,1.00778,0,0
DEL_PB,D,20100429,000000,1.00778,1.00778,1.00778,1.00778,0,0
