<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DIA_MV,D,20250207,000000,4301.72,4301.72,4301.72,4301.72,0,0
DIA_MV,D,20250210,000000,4334.16,4334.16,4275.95,4276.63,0,0
DIA_MV,D,20250211,000000,4297.8,4317.6,4287.8,4314.37,0,0
DIA_MV,D,20250212,000000,4306.33,4306.33,4268.69,4294.47,0,0
DIA_MV,D,20250213,000000,4301.04,4307.02,4283.88,4294.47,0,0
DIA_MV,D,20250214,000000,4301.04,4301.04,4244.88,4268.01,0,0
DIA_MV,D,20250217,000000,4268.01,4268.01,4135.69,4135.69,0,0
DIA_MV,D,20250218,000000,4164.8,4211.75,4144.22,4196.56,0,0
DIA_MV,D,20250219,000000,4216.35,4317.6,4169.41,4251.44,0,0
DIA_MV,D,20250220,000000,4247.52,4261.34,4208.42,4208.42,0,0
DIA_MV,D,20250221,000000,4247.52,4285.84,4208.42,4208.42,0,0
DIA_MV,D,20250224,000000,4208.42,4231.64,4160.1,4218.41,0,0
DIA_MV,D,20250225,000000,4218.41,4218.41,4129.71,4129.71,0,0
DIA_MV,D,20250226,000000,4135.69,4196.56,4135.69,4182.64,0,0
DIA_MV,D,20250227,000000,4183.91,4183.91,4136.97,4136.97,0,0
DIA_MV,D,20250228,000000,4136.28,4155.49,4108.54,4155.49,0,0
DIA_MV,D,20250303,000000,4156.86,4230.96,4154.8,4230.96,0,0
DIA_MV,D,20250304,000000,4230.96,4283.88,4106.58,4128.34,0,0
DIA_MV,D,20250305,000000,4136.28,4215.08,4127.07,4213.71,0,0
DIA_MV,D,20250306,000000,4213.71,4224.98,4188.62,4218.41,0,0
DIA_MV,D,20250307,000000,4229.59,4229.59,4134.32,4147.55,0,0
DIA_MV,D,20250310,000000,4161.47,4203.81,4072.77,4185.28,0,0
DIA_MV,D,20250311,000000,4147.55,4174.01,4133.04,4145.59,0,0
DIA_MV,D,20250312,000000,4146.86,4265.36,4146.86,4251.44,0,0
DIA_MV,D,20250313,000000,4251.44,4793.35,4251.44,4731.21,0,0
DIA_MV,D,20250314,000000,4711.31,4810.6,4466.48,4466.48,0,0
DIA_MV,D,20250317,000000,4495,4537.93,4424.14,4515.49,0,0
DIA_MV,D,20250318,000000,4630.65,4670.93,4586.25,4617.42,0,0
DIA_MV,D,20250319,000000,4631.92,4635.26,4495.59,4635.26,0,0
DIA_MV,D,20250320,000000,4631.92,4637.9,4506.86,4506.86,0,0
DIA_MV,D,20250321,000000,4499.61,4555.87,4437.37,4450.01,0,0
DIA_MV,D,20250324,000000,4453.25,4466.48,4364.65,4364.65,0,0
DIA_MV,D,20250325,000000,4400.32,4483.04,4361.31,4443.35,0,0
DIA_MV,D,20250326,000000,4516.17,4559.1,4430.12,4499.61,0,0
DIA_MV,D,20250327,000000,4511.47,4511.47,4432.76,4459.91,0,0
DIA_MV,D,20250328,000000,4467.85,4467.85,4400.32,4430.8,0,0
DIA_MV,D,20250331,000000,4449.92,4449.92,4377.19,4416.89,0,0
DIA_MV,D,20250401,000000,4542.63,4542.63,4459.91,4489.71,0,0
DIA_MV,D,20250402,000000,4509.51,4612.12,4491.28,4598.89,0,0
DIA_MV,D,20250403,000000,4565.77,4579,4506.17,4532.64,0,0
DIA_MV,D,20250404,000000,4532.64,4532.64,4382.09,4423.45,0,0
DIA_MV,D,20250407,000000,4302.7,4367.29,4181.95,4277.91,0,0
DIA_MV,D,20250408,000000,4344.06,4486.38,4342.4,4486.38,0,0
DIA_MV,D,20250409,000000,4420.22,4479.71,4385.42,4385.42,0,0
DIA_MV,D,20250410,000000,4559.1,4559.1,4446.68,4466.48,0,0
DIA_MV,D,20250411,000000,4502.94,4537.64,4438.35,4499.61,0,0
DIA_MV,D,20250414,000000,4522.74,4631.92,4522.74,4631.92,0,0
DIA_MV,D,20250415,000000,4633.59,4761,4633.59,4686.52,0,0
DIA_MV,D,20250416,000000,4676.62,4896.65,4676.62,4896.65,0,0
DIA_MV,D,20250417,000000,4880.09,4944.58,4873.42,4903.22,0,0
DIA_MV,D,20250422,000000,4911.55,4919.78,4803.93,4851.96,0,0
DIA_MV,D,20250423,000000,4929.68,5022.3,4893.32,5022.3,0,0
DIA_MV,D,20250424,000000,5022.3,5022.3,4896.65,4913.12,0,0
DIA_MV,D,20250425,000000,4929.68,5055.43,4929.68,5028.97,0,0
DIA_MV,D,20250428,000000,5028.97,5050.43,4972.71,4999.17,0,0
DIA_MV,D,20250429,000000,5040.53,5118.26,5015.74,5118.26,0,0
DIA_MV,D,20250430,000000,5123.25,5169.61,4997.51,5023.97,0,0
DIA_MV,D,20250502,000000,5091.79,5339.96,5091.79,5260.57,0,0
DIA_MV,D,20250505,000000,5260.57,5426.01,5209.31,5426.01,0,0
DIA_MV,D,20250506,000000,5426.01,5535.2,5421.01,5508.73,0,0
DIA_MV,D,20250507,000000,5546.76,5662.51,5546.76,5624.49,0,0
DIA_MV,D,20250508,000000,5627.82,5708.87,5616.25,5624.49,0,0
DIA_MV,D,20250509,000000,5624.49,5669.18,5550.09,5629.48,0,0
DIA_MV,D,20250512,000000,5657.61,5784.93,5657.61,5684.08,0,0
DIA_MV,D,20250513,000000,5743.57,5743.57,5574.89,5655.95,0,0
DIA_MV,D,20250514,000000,5641.05,5875.98,5641.05,5822.96,0,0
DIA_MV,D,20250515,000000,5822.96,5822.96,5708.87,5722.1,0,0
DIA_MV,D,20250516,000000,5723.77,5723.77,5540.1,5588.12,0,0
DIA_MV,D,20250519,000000,5624.49,5698.97,5581.46,5634.38,0,0
DIA_MV,D,20250520,000000,5707.21,5755.13,5665.85,5665.85,0,0
DIA_MV,D,20250521,000000,5670.84,5718.77,5584.79,5588.12,0,0
DIA_MV,D,20250522,000000,5624.49,5669.18,5611.25,5660.85,0,0
DIA_MV,D,20250523,000000,5634.38,5718.77,5591.36,5593.02,0,0
DIA_MV,D,20250526,000000,5591.36,5688.98,5591.36,5657.61,0,0
DIA_MV,D,20250527,000000,5690.64,5690.64,5621.15,5622.82,0,0
DIA_MV,D,20250528,000000,5690.64,5730.34,5631.15,5662.51,0,0
DIA_MV,D,20250529,000000,5688.98,5786.6,5576.56,5591.46,0,0
DIA_MV,D,20250530,000000,5657.61,5679.08,5550.09,5583.12,0,0
DIA_MV,D,20250602,000000,5545.1,5576.56,5460.71,5490.5,0,0
DIA_MV,D,20250603,000000,5566.4,5566.4,5340.3,5367.3,0,0
DIA_MV,D,20250604,000000,5401,5401,5274.5,5299.8,0,0
DIA_MV,D,20250605,000000,5299.8,5299.8,5188.4,5232.3,0,0
DIA_MV,D,20250606,000000,5232.3,5360.5,5196.8,5313.3,0,0
DIA_MV,D,20250609,000000,5333.5,5340.3,5245.8,5277.8,0,0
DIA_MV,D,20250610,000000,5299.8,5490.5,5240.7,5490.5,0,0
DIA_MV,D,20250611,000000,5477,5495.6,5390.9,5495.6,0,0
DIA_MV,D,20250612,000000,5497.2,5544.5,5416.2,5416.2,0,0
DIA_MV,D,20250613,000000,5416.2,5569.8,5406.1,5492.2,0,0
DIA_MV,D,20250616,000000,5485.4,5534.4,5401,5401,0,0
DIA_MV,D,20250617,000000,5401,5475.3,5384.2,5399.4,0,0
DIA_MV,D,20250618,000000,5396,5397.7,5333.5,5343.7,0,0
DIA_MV,D,20250620,000000,5333.5,5490.5,5333.5,5485.4,0,0
DIA_MV,D,20250623,000000,5478.7,5488.8,5320,5330.2,0,0
DIA_MV,D,20250624,000000,5370.7,5559.7,5370.7,5536.1,0,0
DIA_MV,D,20250625,000000,5552.9,5573.2,5480.4,5493.9,0,0
DIA_MV,D,20250626,000000,5566.4,5704.8,5490.5,5637.3,0,0
DIA_MV,D,20250627,000000,5684.6,5735.2,5564.8,5731.9,0,0
DIA_MV,D,20250630,000000,5772.4,5772.4,5615.4,5644.1,0,0
DIA_MV,D,20250701,000000,5574.9,5709.9,5574.9,5652.5,0,0
DIA_MV,D,20250702,000000,5652.5,5652.5,5490.5,5608.6,0,0
DIA_MV,D,20250703,000000,5625.5,5644.1,5536.1,5644.1,0,0
DIA_MV,D,20250704,000000,5661,5661,5559.7,5580,0,0
DIA_MV,D,20250707,000000,5617.1,5617.1,5458.4,5466.9,0,0
DIA_MV,D,20250708,000000,5455.1,5509.1,5446.6,5446.6,0,0
DIA_MV,D,20250709,000000,5446.6,5623.8,5446.6,5569.8,0,0
DIA_MV,D,20250710,000000,5600.2,5630.6,5480.4,5527.6,0,0
DIA_MV,D,20250711,000000,5509.1,5563.1,5411.2,5434.8,0,0
DIA_MV,D,20250714,000000,5433.1,5439.9,5370.7,5387.5,0,0
DIA_MV,D,20250715,000000,5387.5,5507.4,5387.5,5466.9,0,0
DIA_MV,D,20250716,000000,5471.9,5510.7,5407.8,5507.4,0,0
DIA_MV,D,20250717,000000,5517.5,5736.9,5509.1,5715,0,0
DIA_MV,D,20250718,000000,5721.7,5812.9,5698.1,5804.4,0,0
DIA_MV,D,20250721,000000,5806.1,5823,5767.3,5812.9,0,0
DIA_MV,D,20250722,000000,5812.9,5843.3,5738.6,5738.6,0,0
DIA_MV,D,20250723,000000,5738.6,5850,5738.6,5826.4,0,0
DIA_MV,D,20250724,000000,5812.9,5823,5772.4,5812.9,0,0
DIA_MV,D,20250725,000000,5806.1,6034,5755.5,5974.9,0,0
DIA_MV,D,20250728,000000,6008.7,6035.7,5878.7,5958,0,0
DIA_MV,D,20250729,000000,5958,6135.2,5941.1,6082.9,0,0
DIA_MV,D,20250730,000000,6076.2,6136.9,6047.5,6096.4,0,0
DIA_MV,D,20250731,000000,6130.2,6272,6067.7,6185.9,0,0
DIA_MV,D,20250801,000000,6217.9,6238.2,6094.7,6234.8,0,0
DIA_MV,D,20250804,000000,6285.5,6371.5,6170.7,6238.2,0,0
DIA_MV,D,20250805,000000,6261.8,6314.2,6256.8,6285.5,0,0
DIA_MV,D,20250806,000000,6312.5,6358,6248.3,6336.1,0,0
DIA_MV,D,20250807,000000,6363.1,6378.3,6317.5,6346.2,0,0
DIA_MV,D,20250808,000000,6380,6589.3,6359.7,6548.8,0,0
DIA_MV,D,20250811,000000,6582.5,6656.8,6536.9,6592.6,0,0
DIA_MV,D,20250812,000000,6599.4,6717.5,6526.8,6717.5,0,0
DIA_MV,D,20250813,000000,6727.7,6828.9,6724.3,6744.6,0,0
DIA_MV,D,20250814,000000,6768.2,6856,6697.3,6856,0,0
DIA_MV,D,20250818,000000,6866.1,7021.4,6866.1,6964,0,0
DIA_MV,D,20250819,000000,7021.4,7021.4,6695.6,6889.7,0,0
DIA_MV,D,20250820,000000,6889.7,6953.8,6778.3,6896.5,0,0
DIA_MV,D,20250821,000000,6886.3,7007.8,6886.3,6926.8,0,0
DIA_MV,D,20250822,000000,6926.8,6926.8,6717.5,6883,0,0
DIA_MV,D,20250825,000000,6876.2,6876.2,6648.3,6648.3,0,0
DIA_MV,D,20250826,000000,6638.2,6879.6,6638.2,6879.6,0,0
DIA_MV,D,20250827,000000,6889.7,6893.1,6785.1,6815.4,0,0
DIA_MV,D,20250828,000000,6866.1,6920.1,6798.6,6879.6,0,0
DIA_MV,D,20250829,000000,6950.5,6950.5,6815.4,6835.7,0,0
DIA_MV,D,20250901,000000,6872.8,6916.7,6808.7,6845.8,0,0
DIA_MV,D,20250902,000000,6883,6883,6709.1,6754.7,0,0
DIA_MV,D,20250903,000000,6842.4,6842.4,6737.8,6832.3,0,0
DIA_MV,D,20250904,000000,6832.3,6832.3,6717.5,6785.1,0,0
DIA_MV,D,20250905,000000,6886.3,6886.3,6758.1,6795.2,0,0
