<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DIA_PE,D,20250207,000000,21.6605,21.6605,21.6605,21.6605,0,0
DIA_PE,D,20250210,000000,22.6103,22.6103,21.4645,21.4645,0,0
DIA_PE,D,20250211,000000,21.5704,21.6703,21.5214,21.6605,0,0
DIA_PE,D,20250212,000000,21.6203,21.6203,21.4312,21.5625,0,0
DIA_PE,D,20250213,000000,21.5958,21.6252,21.5096,21.5625,0,0
DIA_PE,D,20250214,000000,21.5958,21.5958,21.3136,21.4645,0,0
DIA_PE,D,20250217,000000,21.4645,21.4645,20.7784,20.7784,0,0
DIA_PE,D,20250218,000000,20.9245,21.1607,20.8216,21.0725,0,0
DIA_PE,D,20250219,000000,21.1724,21.6811,20.9362,21.3665,0,0
DIA_PE,D,20250220,000000,21.3469,21.4165,21.1705,21.1705,0,0
DIA_PE,D,20250221,000000,21.3665,21.5596,21.1705,21.1705,0,0
DIA_PE,D,20250224,000000,21.1705,21.2871,20.9274,21.1705,0,0
DIA_PE,D,20250225,000000,21.1705,21.1705,20.7255,20.7784,0,0
DIA_PE,D,20250226,000000,20.8088,21.1146,20.8088,20.9745,0,0
DIA_PE,D,20250227,000000,20.9813,20.9813,20.7451,20.7784,0,0
DIA_PE,D,20250228,000000,20.7755,20.8764,20.6353,20.8764,0,0
DIA_PE,D,20250303,000000,20.8833,21.2685,20.8735,21.2685,0,0
DIA_PE,D,20250304,000000,21.2685,21.5341,20.6432,20.7784,0,0
DIA_PE,D,20250305,000000,20.8186,21.2146,20.7716,21.1705,0,0
DIA_PE,D,20250306,000000,21.1705,21.2273,21.044,21.1705,0,0
DIA_PE,D,20250307,000000,21.2273,21.2273,20.749,20.8764,0,0
DIA_PE,D,20250310,000000,20.947,21.1597,20.5001,21.0725,0,0
DIA_PE,D,20250311,000000,20.8823,21.0156,20.8098,20.8764,0,0
DIA_PE,D,20250312,000000,20.8833,21.4792,20.8833,21.3665,0,0
DIA_PE,D,20250313,000000,21.3665,24.0902,21.3665,23.8168,0,0
DIA_PE,D,20250314,000000,23.7168,24.2167,22.4446,22.4446,0,0
DIA_PE,D,20250317,000000,22.5877,22.8033,22.2319,22.7387,0,0
DIA_PE,D,20250318,000000,23.3179,23.5218,23.0954,23.2287,0,0
DIA_PE,D,20250319,000000,23.3022,23.3267,22.6161,23.3267,0,0
DIA_PE,D,20250320,000000,23.3101,23.3395,22.6406,22.6406,0,0
DIA_PE,D,20250321,000000,22.6044,22.8867,22.2917,22.3466,0,0
DIA_PE,D,20250324,000000,22.3633,22.4299,21.9183,21.9546,0,0
DIA_PE,D,20250325,000000,22.1339,22.5505,21.9379,22.3466,0,0
DIA_PE,D,20250326,000000,22.7122,22.9288,22.28,22.6406,0,0
DIA_PE,D,20250327,000000,22.7004,22.7004,22.3045,22.4446,0,0
DIA_PE,D,20250328,000000,22.4848,22.4848,22.1447,22.2486,0,0
DIA_PE,D,20250331,000000,22.3447,22.3447,21.9791,22.1506,0,0
DIA_PE,D,20250401,000000,22.7808,22.7808,22.3662,22.5426,0,0
DIA_PE,D,20250402,000000,22.6426,23.1572,22.5505,23.1307,0,0
DIA_PE,D,20250403,000000,22.9641,23.0307,22.6651,22.7984,0,0
DIA_PE,D,20250404,000000,22.7984,22.7984,22.0408,22.2486,0,0
DIA_PE,D,20250407,000000,21.6409,21.9653,21.0333,21.5165,0,0
DIA_PE,D,20250408,000000,21.8487,22.5642,21.8409,22.5426,0,0
DIA_PE,D,20250409,000000,22.2104,22.5093,22.0349,22.0526,0,0
DIA_PE,D,20250410,000000,22.9259,22.9259,22.3603,22.4603,0,0
DIA_PE,D,20250411,000000,22.6436,22.818,22.3192,22.6406,0,0
DIA_PE,D,20250414,000000,22.7573,23.3267,22.7573,23.3267,0,0
DIA_PE,D,20250415,000000,23.3346,23.9765,23.3346,23.5227,0,0
DIA_PE,D,20250416,000000,23.4728,24.6009,23.4728,24.6009,0,0
DIA_PE,D,20250417,000000,24.5176,24.842,24.4842,24.6009,0,0
DIA_PE,D,20250422,000000,24.642,24.6842,24.103,24.4049,0,0
DIA_PE,D,20250423,000000,24.7959,25.287,24.6126,25.287,0,0
DIA_PE,D,20250424,000000,25.287,25.287,24.6538,24.6989,0,0
DIA_PE,D,20250425,000000,24.7822,25.4144,22.5426,22.5426,0,0
DIA_PE,D,20250428,000000,22.5426,22.6387,22.2907,22.3466,0,0
DIA_PE,D,20250429,000000,22.5319,22.9347,22.4201,22.9347,0,0
DIA_PE,D,20250430,000000,22.9572,23.164,22.3937,22.5426,0,0
DIA_PE,D,20250502,000000,22.8465,23.9599,22.8465,23.5227,0,0
DIA_PE,D,20250505,000000,23.5227,24.3068,23.2934,24.3068,0,0
DIA_PE,D,20250506,000000,24.3068,24.7959,24.2843,24.6989,0,0
DIA_PE,D,20250507,000000,24.8694,25.3889,24.8694,25.1889,0,0
DIA_PE,D,20250508,000000,25.2036,25.5663,25.1517,25.1889,0,0
DIA_PE,D,20250509,000000,25.1889,25.3889,24.8557,25.1889,0,0
DIA_PE,D,20250512,000000,25.3144,25.8848,25.3144,25.483,0,0
DIA_PE,D,20250513,000000,25.7496,25.7496,24.9939,25.287,0,0
DIA_PE,D,20250514,000000,25.2203,26.271,25.2203,26.071,0,0
DIA_PE,D,20250515,000000,26.071,26.071,25.5604,25.581,0,0
DIA_PE,D,20250516,000000,25.5888,25.5888,24.7675,24.9929,0,0
DIA_PE,D,20250519,000000,25.1556,25.4889,24.9635,25.1889,0,0
DIA_PE,D,20250520,000000,25.5143,25.729,25.3291,25.385,0,0
DIA_PE,D,20250521,000000,25.4075,25.6222,25.0213,25.036,0,0
DIA_PE,D,20250522,000000,25.1997,25.3997,25.1399,25.385,0,0
DIA_PE,D,20250523,000000,25.2664,25.6447,25.0733,25.0909,0,0
DIA_PE,D,20250526,000000,25.0831,25.5212,25.0831,25.287,0,0
DIA_PE,D,20250527,000000,25.435,25.435,25.1243,25.1889,0,0
DIA_PE,D,20250528,000000,25.4928,25.6712,24.4049,24.4049,0,0
DIA_PE,D,20250529,000000,24.5185,24.94,24.0344,24.1108,0,0
DIA_PE,D,20250530,000000,24.396,24.4891,23.9324,24.1108,0,0
DIA_PE,D,20250602,000000,23.9462,24.0824,23.5816,23.6208,0,0
DIA_PE,D,20250603,000000,24.433,24.433,23.1,23.1,0,0
DIA_PE,D,20250604,000000,23.245,23.245,22.701,22.8,0,0
DIA_PE,D,20250605,000000,22.8,22.8,22.321,22.6,0,0
DIA_PE,D,20250606,000000,22.6,23.154,22.447,22.9,0,0
DIA_PE,D,20250609,000000,22.987,23.016,22.609,22.8,0,0
DIA_PE,D,20250610,000000,22.895,23.719,22.639,23.7,0,0
DIA_PE,D,20250611,000000,23.642,23.722,23.27,23.7,0,0
DIA_PE,D,20250612,000000,23.707,23.911,23.3,23.3,0,0
DIA_PE,D,20250613,000000,23.3,23.961,23.256,23.7,0,0
DIA_PE,D,20250616,000000,23.671,23.882,23.3,23.3,0,0
DIA_PE,D,20250617,000000,23.3,23.62,23.227,23.3,0,0
DIA_PE,D,20250618,000000,23.285,23.293,23,23,0,0
DIA_PE,D,20250620,000000,22.956,23.632,22.956,23.6,0,0
DIA_PE,D,20250623,000000,23.571,23.614,22.888,23,0,0
DIA_PE,D,20250624,000000,23.175,23.991,23.175,23.9,0,0
DIA_PE,D,20250625,000000,23.973,24.06,23.66,23.7,0,0
DIA_PE,D,20250626,000000,24.013,24.61,23.685,24.3,0,0
DIA_PE,D,20250627,000000,24.504,24.722,23.987,24.7,0,0
DIA_PE,D,20250630,000000,24.875,24.875,24.198,24.3,0,0
DIA_PE,D,20250701,000000,24.002,24.583,24.002,24.4,0,0
DIA_PE,D,20250702,000000,24.4,24.4,23.701,24.2,0,0
DIA_PE,D,20250703,000000,24.273,24.353,23.887,24.3,0,0
DIA_PE,D,20250704,000000,24.373,24.373,23.937,24.1,0,0
DIA_PE,D,20250707,000000,24.26,24.26,23.575,23.6,0,0
DIA_PE,D,20250708,000000,23.549,23.782,23.5,23.5,0,0
DIA_PE,D,20250709,000000,23.5,24.264,23.5,24,0,0
DIA_PE,D,20250710,000000,24.131,24.262,23.615,23.8,0,0
DIA_PE,D,20250711,000000,23.72,23.952,23.298,23.4,0,0
DIA_PE,D,20250714,000000,23.077,23.2,22.812,23.2,0,0
DIA_PE,D,20250715,000000,23.2,23.716,23.2,23.6,0,0
DIA_PE,D,20250716,000000,23.622,23.789,23.345,23.7,0,0
DIA_PE,D,20250717,000000,23.743,24.688,23.707,24.6,0,0
DIA_PE,D,20250718,000000,24.629,25.021,24.527,25,0,0
DIA_PE,D,20250721,000000,25.007,25.1,24.84,25.1,0,0
DIA_PE,D,20250722,000000,25.1,25.231,24.7,24.7,0,0
DIA_PE,D,20250723,000000,24.7,25.179,24.7,25.1,0,0
DIA_PE,D,20250724,000000,25.042,25.1,24.867,25.1,0,0
DIA_PE,D,20250725,000000,25.071,26.055,24.852,25.8,0,0
DIA_PE,D,20250728,000000,25.946,26.062,25.384,25.7,0,0
DIA_PE,D,20250729,000000,25.7,26.464,25.627,26.2,0,0
DIA_PE,D,20250730,000000,26.171,26.432,26.047,26.3,0,0
DIA_PE,D,20250731,000000,26.446,27.057,26.176,26.7,0,0
DIA_PE,D,20250801,000000,26.838,26.926,26.307,26.9,0,0
DIA_PE,D,20250804,000000,27.118,27.49,26.623,26.9,0,0
DIA_PE,D,20250805,000000,27.002,27.227,26.98,27.1,0,0
DIA_PE,D,20250806,000000,27.217,27.413,26.94,27.3,0,0
DIA_PE,D,20250807,000000,27.416,27.482,27.22,27.4,0,0
DIA_PE,D,20250808,000000,27.546,28.449,27.458,28.2,0,0
DIA_PE,D,20250811,000000,28.345,28.665,28.149,28.4,0,0
DIA_PE,D,20250812,000000,28.429,29,28.116,29,0,0
DIA_PE,D,20250813,000000,29.044,29.481,29.029,29.1,0,0
DIA_PE,D,20250814,000000,29.202,29.6,28.896,29.6,0,0
DIA_PE,D,20250818,000000,29.644,30.314,29.644,30,0,0
DIA_PE,D,20250819,000000,30.247,30.247,28.844,29.7,0,0
DIA_PE,D,20250820,000000,29.7,29.976,29.22,29.7,0,0
DIA_PE,D,20250821,000000,29.656,30.18,29.656,29.9,0,0
DIA_PE,D,20250822,000000,29.9,29.9,28.996,29.7,0,0
DIA_PE,D,20250825,000000,29.671,29.671,28.688,28.7,0,0
DIA_PE,D,20250826,000000,28.656,29.7,28.656,29.7,0,0
DIA_PE,D,20250827,000000,29.744,29.758,29.292,29.4,0,0
DIA_PE,D,20250828,000000,29.619,29.852,29.327,29.7,0,0
DIA_PE,D,20250829,000000,30.006,30.006,29.423,29.5,0,0
DIA_PE,D,20250901,000000,29.66,29.85,29.383,29.5,0,0
DIA_PE,D,20250902,000000,29.66,29.66,28.911,29.1,0,0
DIA_PE,D,20250903,000000,29.478,29.5,29.027,29.5,0,0
DIA_PE,D,20250904,000000,29.5,29.5,29.005,29.3,0,0
DIA_PE,D,20250905,000000,29.737,29.737,28.3,28.3,0,0
DIA_PE,D,20250908,000000,28.637,30.493,28.637,29.7,0,0
DIA_PE,D,20250909,000000,30.024,30.418,29.798,30.3,0,0
DIA_PE,D,20250910,000000,30.075,30.145,29.652,29.8,0,0
DIA_PE,D,20250911,000000,29.8,30.7,29.8,30.1,0,0
DIA_PE,D,20250912,000000,30.367,30.775,30.03,30.5,0,0
DIA_PE,D,20250915,000000,30.486,30.486,28.9,28.9,0,0
DIA_PE,D,20250916,000000,29.083,29.589,29.083,29.3,0,0
DIA_PE,D,20250917,000000,29.61,30.018,29.441,30,0,0
DIA_PE,D,20250918,000000,30.098,30.506,29.944,30.4,0,0
DIA_PE,D,20250919,000000,30.541,30.541,29.147,29.5,0,0
DIA_PE,D,20250922,000000,29.852,30.218,29.261,30.2,0,0
DIA_PE,D,20250923,000000,30.256,30.256,29.2,29.2,0,0
DIA_PE,D,20250924,000000,29.538,29.664,29.284,29.5,0,0
DIA_PE,D,20250925,000000,29.261,29.261,28.699,28.7,0,0
DIA_PE,D,20250926,000000,28.672,28.826,28.517,28.8,0,0
DIA_PE,D,20250929,000000,29.067,29.067,28.084,28.4,0,0
DIA_PE,D,20250930,000000,28.372,28.372,26.679,26.7,0,0
DIA_PE,D,20251001,000000,26.812,27.395,26.735,27,0,0
DIA_PE,D,20251002,000000,27.063,27.253,26.648,26.9,0,0
DIA_PE,D,20251003,000000,26.984,26.984,26.465,26.8,0,0
DIA_PE,D,20251006,000000,26.765,26.849,26.138,26.3,0,0
DIA_PE,D,20251007,000000,26.405,26.659,25.934,26.2,0,0
DIA_PE,D,20251008,000000,26.2,26.298,25.414,26,0,0
DIA_PE,D,20251009,000000,25.578,25.993,25.255,25.3,0,0
DIA_PE,D,20251010,000000,25.3,25.694,25.258,25.5,0,0
DIA_PE,D,20251013,000000,25.493,25.775,25.232,25.5,0,0
DIA_PE,D,20251014,000000,25.394,25.394,24.859,25,0,0
DIA_PE,D,20251015,000000,24.979,25.604,24.979,25.3,0,0
DIA_PE,D,20251016,000000,25.497,25.497,25.061,25.3,0,0
DIA_PE,D,20251017,000000,25.427,26.53,25.427,26,0,0
DIA_PE,D,20251020,000000,26.323,27.026,26.323,26.8,0,0
DIA_PE,D,20251021,000000,26.899,27.251,26.533,27.2,0,0
DIA_PE,D,20251022,000000,27.249,27.341,26.975,27,0,0
DIA_PE,D,20251023,000000,27,27.316,26.894,27.2,0,0
DIA_PE,D,20251024,000000,27.221,27.221,26,26,0,0
DIA_PE,D,20251027,000000,26.175,26.281,25.923,26.2,0,0
DIA_PE,D,20251028,000000,26.341,26.482,25.925,26.1,0,0
DIA_PE,D,20251029,000000,26.121,26.466,26.121,26.4,0,0
DIA_PE,D,20251030,000000,26.329,26.428,25.794,26.1,0,0
DIA_PE,D,20251031,000000,26.332,26.332,25.847,26.016,0,0
DIA_PE,D,20251103,000000,26.269,26.389,26.107,26.3,0,0
DIA_PE,D,20251104,000000,26.3,26.3,25.83,26.1,0,0
DIA_PE,D,20251105,000000,26.29,26.6,25.931,26.6,0,0
DIA_PE,D,20251106,000000,26.628,26.727,26,26,0,0
DIA_PE,D,20251107,000000,26.316,26.316,25.712,25.8,0,0
DIA_PE,D,20251110,000000,25.927,26.2,25.814,26.2,0,0
DIA_PE,D,20251112,000000,26.453,26.453,25.8,25.8,0,0
DIA_PE,D,20251113,000000,25.842,25.976,25.561,25.6,0,0
DIA_PE,D,20251114,000000,25.614,25.614,25.093,25.4,0,0
DIA_PE,D,20251117,000000,25.597,25.604,25.414,25.5,0,0
DIA_PE,D,20251118,000000,25.416,25.416,24.895,25,0,0
DIA_PE,D,20251119,000000,24.93,25.324,24.93,25.3,0,0
DIA_PE,D,20251120,000000,25.356,25.356,24.701,24.8,0,0
DIA_PE,D,20251121,000000,25.025,25.025,22.2,22.2,0,0
DIA_PE,D,20251124,000000,22.206,22.276,21.405,22.2,0,0
DIA_PE,D,20251125,000000,22.326,22.326,21.638,21.9,0,0
DIA_PE,D,20251126,000000,22.121,22.241,21.755,21.9,0,0
DIA_PE,D,20251127,000000,22.02,22.077,21.881,22,0,0
