<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DIG_PE,D,20111017,000000,5.17369,5.17369,5.17369,5.17369,0,0
DIG_PE,D,20111018,000000,5.17369,5.17369,5.17369,5.17369,0,0
DIG_PE,D,20111019,000000,5.11227,5.42017,5.11227,5.11227,0,0
DIG_PE,D,20111020,000000,5.35851,5.35851,5.11227,5.35851,0,0
DIG_PE,D,20111021,000000,5.35851,5.35851,5.35851,5.35851,0,0
DIG_PE,D,20111024,000000,5.35851,5.35851,5.35851,5.35851,0,0
DIG_PE,D,20111025,000000,5.29693,5.29693,5.29693,5.29693,0,0
DIG_PE,D,20111026,000000,5.29693,5.29693,5.29693,5.29693,0,0
DIG_PE,D,20111027,000000,5.29693,5.29693,5.05054,5.29693,0,0
DIG_PE,D,20111028,000000,5.29693,5.29693,5.11227,5.29693,0,0
DIG_PE,D,20111031,000000,5.48167,5.48167,5.29693,5.29693,0,0
DIG_PE,D,20111102,000000,5.23527,5.29693,5.23527,5.29693,0,0
DIG_PE,D,20111103,000000,5.23527,5.78963,5.23527,5.78963,0,0
DIG_PE,D,20111104,000000,5.66647,6.15918,5.66647,6.15918,0,0
DIG_PE,D,20111107,000000,6.03603,6.15918,6.03603,6.15918,0,0
DIG_PE,D,20111108,000000,6.15918,6.34391,6.09761,6.28243,0,0
DIG_PE,D,20111109,000000,6.28243,6.28243,6.22083,6.28243,0,0
DIG_PE,D,20111110,000000,6.28243,6.28243,6.22083,6.22083,0,0
DIG_PE,D,20111114,000000,6.22083,6.22083,6.22083,6.22083,0,0
DIG_PE,D,20111115,000000,6.22083,6.22083,5.91295,6.15918,0,0
DIG_PE,D,20111116,000000,6.22083,6.22083,6.15918,6.22083,0,0
DIG_PE,D,20111117,000000,6.22083,6.28243,6.15918,6.15918,0,0
DIG_PE,D,20111118,000000,6.22083,6.22083,5.91295,5.91295,0,0
DIG_PE,D,20111121,000000,6.22083,6.22083,6.15918,6.15918,0,0
DIG_PE,D,20111122,000000,6.15918,6.15918,6.15918,6.15918,0,0
DIG_PE,D,20111123,000000,6.15918,6.15918,5.85121,6.15918,0,0
DIG_PE,D,20111124,000000,6.15918,6.15918,6.09761,6.15918,0,0
DIG_PE,D,20111125,000000,6.15918,6.15918,5.85121,6.15918,0,0
DIG_PE,D,20111128,000000,6.22083,6.22083,5.85121,5.85121,0,0
DIG_PE,D,20111129,000000,5.85121,5.85121,5.85121,5.85121,0,0
DIG_PE,D,20111130,000000,5.6672,5.97114,5.6672,5.97114,0,0
DIG_PE,D,20111201,000000,6.15918,6.15918,6.09761,6.15918,0,0
DIG_PE,D,20111202,000000,5.91295,6.15918,5.91295,6.15918,0,0
DIG_PE,D,20111205,000000,6.22083,6.22083,5.91295,5.97444,0,0
DIG_PE,D,20111206,000000,6.09761,6.09761,5.85121,6.03603,0,0
DIG_PE,D,20111207,000000,6.09761,6.09761,5.97444,5.97444,0,0
DIG_PE,D,20111208,000000,6.09761,6.09761,5.91295,5.91295,0,0
DIG_PE,D,20111209,000000,5.97444,6.03603,5.97444,6.03603,0,0
DIG_PE,D,20111212,000000,6.15918,6.15918,5.78963,5.78963,0,0
DIG_PE,D,20111213,000000,6.09761,6.09761,5.85121,5.91295,0,0
DIG_PE,D,20111214,000000,6.09761,6.09761,5.85121,5.85121,0,0
DIG_PE,D,20111215,000000,5.85121,5.85121,5.85121,5.85121,0,0
DIG_PE,D,20111216,000000,6.09761,6.09761,5.85121,6.03603,0,0
DIG_PE,D,20111219,000000,6.15918,6.15918,6.09761,6.09761,0,0
DIG_PE,D,20111220,000000,6.22083,6.22083,6.09761,6.15918,0,0
DIG_PE,D,20111221,000000,6.15918,6.15918,6.15918,6.15918,0,0
DIG_PE,D,20111222,000000,6.15918,6.15918,6.09761,6.15918,0,0
DIG_PE,D,20111223,000000,6.15918,6.15918,6.15918,6.15918,0,0
DIG_PE,D,20111227,000000,6.15918,6.15918,5.97444,6.15918,0,0
DIG_PE,D,20111228,000000,6.15918,6.15918,6.15918,6.15918,0,0
DIG_PE,D,20111229,000000,6.15918,6.15918,6.09761,6.15918,0,0
DIG_PE,D,20111230,000000,6.09946,6.22116,6.03869,6.03869,0,0
DIG_PE,D,20120102,000000,6.22083,6.22083,6.03603,6.03603,0,0
DIG_PE,D,20120103,000000,6.15918,6.15918,6.15918,6.15918,0,0
DIG_PE,D,20120104,000000,6.15918,6.15918,6.03603,6.03603,0,0
DIG_PE,D,20120105,000000,6.03603,6.03603,6.03603,6.03603,0,0
DIG_PE,D,20120109,000000,6.15918,6.15918,6.15918,6.15918,0,0
DIG_PE,D,20120110,000000,6.15918,6.15918,6.15918,6.15918,0,0
DIG_PE,D,20120111,000000,6.03603,6.09761,6.03603,6.09761,0,0
DIG_PE,D,20120112,000000,6.09761,6.09761,6.03603,6.03603,0,0
DIG_PE,D,20120113,000000,6.03603,6.03603,5.91295,5.97444,0,0
DIG_PE,D,20120116,000000,5.85121,6.09761,5.85121,6.09761,0,0
DIG_PE,D,20120117,000000,6.09761,6.09761,6.09761,6.09761,0,0
DIG_PE,D,20120118,000000,6.09761,6.22083,6.09761,6.15918,0,0
DIG_PE,D,20120119,000000,6.15918,6.15918,6.15918,6.15918,0,0
DIG_PE,D,20120120,000000,6.15918,6.34391,6.15918,6.34391,0,0
DIG_PE,D,20120123,000000,6.40557,6.46715,6.40557,6.40557,0,0
DIG_PE,D,20120124,000000,6.46715,6.46715,6.40557,6.40557,0,0
DIG_PE,D,20120125,000000,6.40557,6.40557,6.40557,6.40557,0,0
DIG_PE,D,20120126,000000,6.34391,7.02161,6.34391,7.02161,0,0
DIG_PE,D,20120127,000000,7.02161,7.20641,6.89828,7.20641,0,0
DIG_PE,D,20120130,000000,7.20641,7.20641,7.08309,7.08309,0,0
DIG_PE,D,20120131,000000,7.08568,7.08568,7.08568,7.08568,0,0
DIG_PE,D,20120201,000000,7.08309,7.08309,6.89828,6.89828,0,0
DIG_PE,D,20120202,000000,7.02161,7.02161,6.89828,7.02161,0,0
DIG_PE,D,20120203,000000,7.02161,7.02161,6.77512,6.89828,0,0
DIG_PE,D,20120206,000000,6.95986,7.02161,6.71355,7.02161,0,0
DIG_PE,D,20120207,000000,7.02161,7.02161,6.95986,6.95986,0,0
DIG_PE,D,20120208,000000,6.89828,6.95986,6.89828,6.95986,0,0
DIG_PE,D,20120209,000000,6.95986,6.95986,6.65196,6.89828,0,0
DIG_PE,D,20120210,000000,6.89828,6.89828,6.52882,6.89828,0,0
DIG_PE,D,20120213,000000,6.89828,6.89828,6.89828,6.89828,0,0
DIG_PE,D,20120214,000000,6.83678,6.95986,6.52882,6.89828,0,0
DIG_PE,D,20120215,000000,6.89828,6.95986,6.89828,6.95986,0,0
DIG_PE,D,20120216,000000,7.02161,7.02161,6.71355,6.71355,0,0
DIG_PE,D,20120217,000000,6.89828,6.89828,6.65196,6.65196,0,0
DIG_PE,D,20120220,000000,6.89828,7.02161,6.71355,6.89828,0,0
DIG_PE,D,20120221,000000,6.71355,7.08309,6.22083,7.08309,0,0
DIG_PE,D,20120222,000000,7.08309,7.08309,6.65196,7.02161,0,0
DIG_PE,D,20120223,000000,7.02161,7.02161,7.02161,7.02161,0,0
DIG_PE,D,20120224,000000,7.14468,7.14468,6.71355,6.95986,0,0
DIG_PE,D,20120227,000000,6.95986,6.95986,6.83678,6.95986,0,0
DIG_PE,D,20120228,000000,6.95986,6.95986,6.95986,6.95986,0,0
DIG_PE,D,20120229,000000,6.95727,7.14653,6.95727,7.14653,0,0
DIG_PE,D,20120301,000000,7.20641,7.20641,6.77512,6.77512,0,0
DIG_PE,D,20120302,000000,6.77512,6.83678,6.71355,6.71355,0,0
DIG_PE,D,20120305,000000,6.71355,7.20641,6.71355,7.20641,0,0
DIG_PE,D,20120306,000000,7.08309,7.08309,6.89828,7.02161,0,0
DIG_PE,D,20120307,000000,7.14468,7.26767,6.89828,6.89828,0,0
DIG_PE,D,20120308,000000,6.71427,7.08568,6.71427,7.08568,0,0
DIG_PE,D,20120309,000000,7.08309,7.08309,6.09761,6.09761,0,0
DIG_PE,D,20120312,000000,6.03603,6.03603,6.03603,6.03603,0,0
DIG_PE,D,20120313,000000,6.03603,6.03603,6.03603,6.03603,0,0
DIG_PE,D,20120314,000000,5.91295,6.03603,5.91295,6.03603,0,0
DIG_PE,D,20120315,000000,6.03603,6.03603,6.03603,6.03603,0,0
DIG_PE,D,20120316,000000,6.03603,6.15918,6.03603,6.09761,0,0
DIG_PE,D,20120319,000000,6.09761,6.15918,6.09761,6.09761,0,0
DIG_PE,D,20120320,000000,5.85121,6.09761,5.85121,6.03603,0,0
DIG_PE,D,20120321,000000,6.03603,6.09761,6.03603,6.09761,0,0
DIG_PE,D,20120322,000000,6.09761,6.09761,5.97444,6.09761,0,0
DIG_PE,D,20120323,000000,6.09761,6.15918,5.85121,6.15918,0,0
DIG_PE,D,20120326,000000,6.22083,6.22083,6.22083,6.22083,0,0
