<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DMG_PE,D,20130819,000000,10.2675,10.2675,10.2675,10.2675,0,0
DMG_PE,D,20130820,000000,10.2675,10.2675,10.2675,10.2675,0,0
DMG_PE,D,20130821,000000,10.2675,10.2675,10.2675,10.2675,0,0
DMG_PE,D,20130822,000000,10.2675,10.2675,9.80867,10.1764,0,0
DMG_PE,D,20130823,000000,10.2675,10.2675,10.2675,10.2675,0,0
DMG_PE,D,20130826,000000,10.2675,10.2675,10.2675,10.2675,0,0
DMG_PE,D,20130827,000000,10.2675,10.2675,10.2675,10.2675,0,0
DMG_PE,D,20130828,000000,10.2675,10.2675,9.99207,9.99207,0,0
DMG_PE,D,20130829,000000,10.1764,10.1764,9.99207,9.99207,0,0
DMG_PE,D,20130830,000000,9.99207,9.99207,9.99207,9.99207,0,0
DMG_PE,D,20130902,000000,9.99207,9.99207,9.99207,9.99207,0,0
DMG_PE,D,20130903,000000,9.99207,9.99207,9.71749,9.71749,0,0
DMG_PE,D,20130904,000000,9.99207,10.1764,9.99207,10.1764,0,0
DMG_PE,D,20130905,000000,10.0842,10.1764,10.0842,10.1764,0,0
DMG_PE,D,20130906,000000,10.1764,10.1764,9.62621,9.99207,0,0
DMG_PE,D,20130909,000000,9.99207,9.99207,9.99207,9.99207,0,0
DMG_PE,D,20130910,000000,9.80867,10.451,9.80867,10.451,0,0
DMG_PE,D,20130911,000000,10.5431,10.5431,10.451,10.451,0,0
DMG_PE,D,20130912,000000,10.5431,10.5431,10.0842,10.1764,0,0
DMG_PE,D,20130913,000000,10.1764,10.1764,10.1764,10.1764,0,0
DMG_PE,D,20130916,000000,10.1764,10.8177,10.1764,10.8177,0,0
DMG_PE,D,20130917,000000,10.9099,12.377,10.8177,12.0093,0,0
DMG_PE,D,20130918,000000,12.0093,12.0093,11.1846,11.8259,0,0
DMG_PE,D,20130919,000000,11.8259,11.918,11.6426,11.8259,0,0
DMG_PE,D,20130920,000000,11.8259,12.5604,11.8259,12.5604,0,0
DMG_PE,D,20130923,000000,13.0175,13.0175,12.377,12.377,0,0
DMG_PE,D,20130924,000000,13.0175,13.0175,12.1936,12.377,0,0
DMG_PE,D,20130925,000000,12.5604,12.5604,12.0093,12.5604,0,0
DMG_PE,D,20130926,000000,12.5604,12.5604,12.1015,12.5604,0,0
DMG_PE,D,20130927,000000,12.5604,12.5604,11.6426,11.7347,0,0
DMG_PE,D,20130930,000000,11.7347,11.7347,11.368,11.7347,0,0
DMG_PE,D,20131001,000000,11.7347,11.7347,11.5513,11.7347,0,0
DMG_PE,D,20131002,000000,11.7347,11.7347,11.1846,11.7347,0,0
DMG_PE,D,20131003,000000,11.7347,11.7347,11.7347,11.7347,0,0
DMG_PE,D,20131004,000000,11.7347,11.7347,11.7347,11.7347,0,0
DMG_PE,D,20131007,000000,11.2757,11.4591,11.2757,11.4591,0,0
DMG_PE,D,20131008,000000,11.4591,11.4591,11.368,11.4591,0,0
DMG_PE,D,20131009,000000,11.368,11.368,11.0012,11.368,0,0
DMG_PE,D,20131010,000000,11.368,11.368,11.368,11.368,0,0
DMG_PE,D,20131011,000000,11.1846,11.1846,11.0012,11.0933,0,0
DMG_PE,D,20131014,000000,11.2757,11.2757,11.0012,11.2757,0,0
DMG_PE,D,20131015,000000,11.2757,11.2757,11.2757,11.2757,0,0
DMG_PE,D,20131016,000000,11.2757,11.918,11.1846,11.7347,0,0
DMG_PE,D,20131017,000000,12.1015,12.7428,12.1015,12.4682,0,0
DMG_PE,D,20131018,000000,12.2848,12.6506,12.1015,12.1015,0,0
DMG_PE,D,20131021,000000,12.1936,12.1936,11.6426,12.0093,0,0
DMG_PE,D,20131022,000000,12.0093,12.0093,11.7347,11.7347,0,0
DMG_PE,D,20131023,000000,11.7347,11.7347,11.5513,11.7347,0,0
DMG_PE,D,20131024,000000,11.7347,11.7347,11.6426,11.7347,0,0
DMG_PE,D,20131025,000000,11.7347,11.7347,11.0933,11.0933,0,0
DMG_PE,D,20131028,000000,11.4591,12.1015,11.4591,12.1015,0,0
DMG_PE,D,20131029,000000,12.1936,13.3851,12.1936,13.2017,0,0
DMG_PE,D,20131030,000000,13.1095,13.293,12.834,12.834,0,0
DMG_PE,D,20131031,000000,12.9261,13.293,12.834,12.834,0,0
DMG_PE,D,20131104,000000,13.1095,14.4845,13.1095,13.8431,0,0
DMG_PE,D,20131105,000000,13.8431,14.3011,13.2017,13.9353,0,0
