<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DNP_MV,D,20170419,000000,3676.5,3676.5,3676.5,3676.5,0,0
DNP_MV,D,20170420,000000,3671.6,3743.17,3671.6,3725.52,0,0
DNP_MV,D,20170421,000000,3739.25,3852.97,3739.25,3842.19,0,0
DNP_MV,D,20170424,000000,3872.58,3872.58,3788.27,3858.85,0,0
DNP_MV,D,20170425,000000,3809.83,3913.76,3808.85,3838.27,0,0
DNP_MV,D,20170426,000000,3843.17,3864.74,3705.91,3793.17,0,0
DNP_MV,D,20170427,000000,3793.17,3793.17,3747.09,3779.44,0,0
DNP_MV,D,20170428,000000,3793.17,3800.03,3706.89,3800.03,0,0
DNP_MV,D,20170502,000000,3779.44,3794.15,3735.32,3794.15,0,0
DNP_MV,D,20170504,000000,3823.56,3858.85,3803.95,3803.95,0,0
DNP_MV,D,20170505,000000,3822.58,3838.27,3804.93,3807.87,0,0
DNP_MV,D,20170508,000000,3823.56,3852.97,3720.62,3824.54,0,0
DNP_MV,D,20170509,000000,3826.5,3855.91,3746.11,3784.34,0,0
DNP_MV,D,20170510,000000,3774.54,3774.54,3737.28,3764.74,0,0
DNP_MV,D,20170511,000000,3764.74,3764.74,3686.3,3725.52,0,0
DNP_MV,D,20170512,000000,3725.52,3802.97,3705.91,3802.97,0,0
DNP_MV,D,20170515,000000,3774.54,3823.56,3774.54,3823.56,0,0
DNP_MV,D,20170516,000000,3823.56,3851.01,3813.76,3821.6,0,0
DNP_MV,D,20170517,000000,3799.05,3823.56,3754.93,3795.13,0,0
DNP_MV,D,20170518,000000,3755.91,3783.36,3701.99,3748.07,0,0
DNP_MV,D,20170519,000000,3730.42,3915.72,3730.42,3901.99,0,0
DNP_MV,D,20170522,000000,3901.01,3974.54,3892.19,3970.62,0,0
DNP_MV,D,20170523,000000,3985.33,3985.33,3921.6,3955.91,0,0
DNP_MV,D,20170524,000000,4019.64,4117.68,4019.64,4066.7,0,0
DNP_MV,D,20170525,000000,4071.6,4071.6,3970.62,4002.97,0,0
DNP_MV,D,20170526,000000,3995.13,4066.7,3995.13,4063.76,0,0
DNP_MV,D,20170529,000000,4056.9,4068.66,4056.9,4066.7,0,0
DNP_MV,D,20170530,000000,4087.29,4087.29,3985.33,3985.33,0,0
DNP_MV,D,20170531,000000,3990.23,4032.39,3990.23,4032.39,0,0
DNP_MV,D,20170601,000000,4048.07,4233.37,4048.07,4216.7,0,0
DNP_MV,D,20170602,000000,4284.35,4503.96,4284.35,4411.8,0,0
DNP_MV,D,20170605,000000,4411.8,4470.62,4305.92,4411.8,0,0
DNP_MV,D,20170606,000000,4372.58,4382.39,4336.31,4361.8,0,0
DNP_MV,D,20170607,000000,4383.37,4411.8,4312.78,4352,0,0
DNP_MV,D,20170608,000000,4380.43,4380.43,4265.72,4290.23,0,0
DNP_MV,D,20170609,000000,4312.78,4313.76,4285.33,4299.05,0,0
DNP_MV,D,20170612,000000,4313.76,4327.49,4236.31,4302,0,0
DNP_MV,D,20170613,000000,4302,4302,4274.54,4299.05,0,0
DNP_MV,D,20170614,000000,4318.66,4318.66,4250.03,4250.03,0,0
DNP_MV,D,20170616,000000,4250.03,4313.76,4225.52,4289.25,0,0
DNP_MV,D,20170619,000000,4410.82,4441.21,4368.66,4402,0,0
DNP_MV,D,20170620,000000,4428.47,4460.82,4428.47,4442.19,0,0
DNP_MV,D,20170621,000000,4504.94,4504.94,4430.43,4430.43,0,0
DNP_MV,D,20170622,000000,4430.43,4430.43,4411.8,4421.6,0,0
DNP_MV,D,20170623,000000,4460.82,4479.45,4423.56,4458.86,0,0
DNP_MV,D,20170626,000000,4489.25,4500.04,4461.8,4490.23,0,0
DNP_MV,D,20170627,000000,4490.23,4490.23,4451.02,4451.02,0,0
DNP_MV,D,20170628,000000,4451.02,4470.62,4411.8,4470.62,0,0
DNP_MV,D,20170629,000000,4500.04,4509.84,4490.23,4509.84,0,0
DNP_MV,D,20170630,000000,4495.13,4597.1,4493.17,4597.1,0,0
DNP_MV,D,20170703,000000,4620.63,4632.39,4561.8,4617.68,0,0
DNP_MV,D,20170704,000000,4617.68,4681.41,4604.94,4604.94,0,0
DNP_MV,D,20170705,000000,4637.29,4637.29,4436.31,4558.86,0,0
DNP_MV,D,20170706,000000,4521.6,4607.88,4521.6,4607.88,0,0
DNP_MV,D,20170707,000000,4627.49,4677.49,4522.59,4529.45,0,0
DNP_MV,D,20170710,000000,4529.45,4627.49,4529.45,4627.49,0,0
DNP_MV,D,20170711,000000,4627.49,4627.49,4607.88,4622.59,0,0
DNP_MV,D,20170712,000000,4623.57,4744.16,4622.59,4729.45,0,0
DNP_MV,D,20170713,000000,4730.43,4735.33,4659.84,4735.33,0,0
DNP_MV,D,20170714,000000,4735.33,4749.06,4683.37,4725.53,0,0
DNP_MV,D,20170717,000000,4520.62,4887.29,4520.62,4746.12,0,0
DNP_MV,D,20170718,000000,4750.04,4802.98,4715.72,4754.94,0,0
