<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DNP_PB,D,20170419,000000,5.38,5.38,5.38,5.38,0,0
DNP_PB,D,20170420,000000,5.37,5.48,5.37,5.45,0,0
DNP_PB,D,20170421,000000,5.47,5.64,5.47,5.62,0,0
DNP_PB,D,20170424,000000,5.67,5.67,5.54,5.65,0,0
DNP_PB,D,20170425,000000,5.57,5.73,5.57,5.62,0,0
DNP_PB,D,20170426,000000,5.62,5.65,5.42,5.55,0,0
DNP_PB,D,20170427,000000,5.55,5.55,5.48,5.53,0,0
DNP_PB,D,20170428,000000,5.55,5.56,5.42,5.56,0,0
DNP_PB,D,20170502,000000,5.53,5.55,5.47,5.55,0,0
DNP_PB,D,20170504,000000,5.59,5.65,5.57,5.57,0,0
DNP_PB,D,20170505,000000,5.59,5.62,5.57,5.57,0,0
DNP_PB,D,20170508,000000,5.59,5.64,5.44,5.6,0,0
DNP_PB,D,20170509,000000,5.6,5.64,5.48,5.54,0,0
DNP_PB,D,20170510,000000,5.52,5.52,5.47,5.51,0,0
DNP_PB,D,20170511,000000,5.51,5.51,5.39,5.45,0,0
DNP_PB,D,20170512,000000,5.45,5.56,5.42,5.56,0,0
DNP_PB,D,20170515,000000,5.52,5.59,5.52,5.59,0,0
DNP_PB,D,20170516,000000,5.59,5.63,5.58,5.59,0,0
DNP_PB,D,20170517,000000,5.56,5.59,5.49,5.55,0,0
DNP_PB,D,20170518,000000,5.5,5.54,5.42,5.48,0,0
DNP_PB,D,20170519,000000,5.46,5.73,5.46,5.71,0,0
DNP_PB,D,20170522,000000,5.71,5.82,5.69,5.81,0,0
DNP_PB,D,20170523,000000,5.83,5.83,5.74,5.79,0,0
DNP_PB,D,20170524,000000,5.88,6.02,5.7,5.7,0,0
DNP_PB,D,20170525,000000,5.7,5.7,5.56,5.61,0,0
DNP_PB,D,20170526,000000,5.6,5.7,5.6,5.69,0,0
DNP_PB,D,20170529,000000,5.68,5.7,5.68,5.7,0,0
DNP_PB,D,20170530,000000,5.72,5.72,5.58,5.58,0,0
DNP_PB,D,20170531,000000,5.59,5.65,5.59,5.65,0,0
DNP_PB,D,20170601,000000,5.67,5.93,5.67,5.91,0,0
DNP_PB,D,20170602,000000,6,6.31,6,6.18,0,0
DNP_PB,D,20170605,000000,6.18,6.26,6.03,6.18,0,0
DNP_PB,D,20170606,000000,6.12,6.14,6.07,6.11,0,0
DNP_PB,D,20170607,000000,6.14,6.18,6.04,6.1,0,0
DNP_PB,D,20170608,000000,6.14,6.14,5.97,6.01,0,0
DNP_PB,D,20170609,000000,6.04,6.04,6,6.02,0,0
DNP_PB,D,20170612,000000,6.04,6.06,5.93,6.03,0,0
DNP_PB,D,20170613,000000,6.03,6.03,5.99,6.02,0,0
DNP_PB,D,20170614,000000,6.05,6.05,5.95,5.95,0,0
DNP_PB,D,20170616,000000,5.95,6.04,5.92,6.01,0,0
DNP_PB,D,20170619,000000,6.18,6.22,6.12,6.17,0,0
DNP_PB,D,20170620,000000,6.2,6.25,6.2,6.22,0,0
DNP_PB,D,20170621,000000,6.31,6.31,6.21,6.21,0,0
DNP_PB,D,20170622,000000,6.21,6.21,6.18,6.19,0,0
DNP_PB,D,20170623,000000,6.25,6.27,6.2,6.25,0,0
DNP_PB,D,20170626,000000,6.29,6.3,6.25,6.29,0,0
DNP_PB,D,20170627,000000,6.29,6.29,6.23,6.23,0,0
DNP_PB,D,20170628,000000,6.23,6.26,6.18,6.26,0,0
DNP_PB,D,20170629,000000,6.3,6.32,6.29,6.32,0,0
DNP_PB,D,20170630,000000,6.3,6.44,6.29,6.44,0,0
DNP_PB,D,20170703,000000,6.47,6.49,6.39,6.47,0,0
DNP_PB,D,20170704,000000,6.47,6.56,6.45,6.45,0,0
DNP_PB,D,20170705,000000,6.5,6.5,6.21,6.39,0,0
DNP_PB,D,20170706,000000,6.33,6.45,6.33,6.45,0,0
DNP_PB,D,20170707,000000,6.48,6.55,6.33,6.34,0,0
DNP_PB,D,20170710,000000,6.34,6.48,6.34,6.48,0,0
DNP_PB,D,20170711,000000,6.48,6.48,6.45,6.47,0,0
DNP_PB,D,20170712,000000,6.48,6.64,6.47,6.62,0,0
DNP_PB,D,20170713,000000,6.63,6.63,6.53,6.63,0,0
DNP_PB,D,20170714,000000,6.63,6.65,6.56,6.62,0,0
DNP_PB,D,20170717,000000,6.33,6.85,6.33,6.65,0,0
DNP_PB,D,20170718,000000,6.65,6.73,6.61,6.66,0,0
DNP_PB,D,20170719,000000,6.84,6.85,6.57,6.71,0,0
DNP_PB,D,20170720,000000,6.72,6.91,6.71,6.87,0,0
DNP_PB,D,20170721,000000,6.87,7.04,6.87,6.87,0,0
DNP_PB,D,20170724,000000,7,7,6.86,6.87,0,0
DNP_PB,D,20170725,000000,6.92,6.92,6.87,6.89,0,0
DNP_PB,D,20170726,000000,6.89,6.89,6.87,6.87,0,0
DNP_PB,D,20170727,000000,6.89,7.01,6.89,6.98,0,0
DNP_PB,D,20170728,000000,6.98,7.25,6.98,7.19,0,0
DNP_PB,D,20170731,000000,7.28,7.35,7.28,7.33,0,0
DNP_PB,D,20170801,000000,7.28,7.35,7.22,7.24,0,0
DNP_PB,D,20170802,000000,7.28,7.35,7.24,7.28,0,0
DNP_PB,D,20170803,000000,7.29,7.3,7.19,7.19,0,0
DNP_PB,D,20170804,000000,7.14,7.24,7.07,7.07,0,0
DNP_PB,D,20170807,000000,7.07,7.07,6.83,6.92,0,0
DNP_PB,D,20170808,000000,7,7.02,6.95,7,0,0
DNP_PB,D,20170809,000000,6.99,7.04,6.96,6.97,0,0
DNP_PB,D,20170810,000000,7,7.03,6.97,7,0,0
DNP_PB,D,20170811,000000,6.98,7,6.96,6.98,0,0
DNP_PB,D,20170814,000000,6.99,6.99,6.82,6.92,0,0
DNP_PB,D,20170816,000000,6.92,6.96,6.85,6.96,0,0
DNP_PB,D,20170817,000000,6.87,6.93,6.87,6.88,0,0
DNP_PB,D,20170818,000000,6.88,6.92,6.87,6.89,0,0
DNP_PB,D,20170821,000000,6.88,6.93,6.88,6.93,0,0
DNP_PB,D,20170822,000000,6.93,7.21,6.88,7.21,0,0
DNP_PB,D,20170823,000000,7.19,7.21,7.16,7.16,0,0
DNP_PB,D,20170824,000000,7.17,7.28,7.17,7.28,0,0
DNP_PB,D,20170825,000000,7.24,7.38,7.24,7.34,0,0
DNP_PB,D,20170828,000000,7.29,7.37,7.29,7.36,0,0
DNP_PB,D,20170829,000000,7.36,7.45,7.28,7.45,0,0
DNP_PB,D,20170830,000000,7.56,7.89,7.33,7.33,0,0
DNP_PB,D,20170831,000000,7.43,7.56,7.43,7.53,0,0
DNP_PB,D,20170901,000000,7.59,7.59,7.41,7.48,0,0
DNP_PB,D,20170904,000000,7.4,7.53,7.4,7.52,0,0
DNP_PB,D,20170905,000000,7.54,7.54,7.48,7.53,0,0
DNP_PB,D,20170906,000000,7.52,7.59,7.49,7.59,0,0
DNP_PB,D,20170907,000000,7.63,8.08,7.59,7.85,0,0
DNP_PB,D,20170908,000000,7.91,8.1,7.91,7.96,0,0
