<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DOM_PB,D,20070813,000000,2.0564,2.0564,2.0564,2.0564,0,0
DOM_PB,D,20070814,000000,2.04998,2.04998,2.04998,2.04998,0,0
DOM_PB,D,20070816,000000,1.8807,1.8807,1.8807,1.8807,0,0
DOM_PB,D,20070817,000000,1.92949,1.92949,1.92949,1.92949,0,0
DOM_PB,D,20070820,000000,1.94252,1.94252,1.94252,1.94252,0,0
DOM_PB,D,20070821,000000,1.91651,1.91651,1.91651,1.91651,0,0
DOM_PB,D,20070822,000000,2.02064,2.02064,2.02064,2.02064,0,0
DOM_PB,D,20070823,000000,1.98153,1.98153,1.98153,1.98153,0,0
DOM_PB,D,20070824,000000,1.99463,1.99463,1.99463,1.99463,0,0
DOM_PB,D,20070827,000000,2.00769,2.00769,2.00769,2.00769,0,0
DOM_PB,D,20070828,000000,1.98153,1.98153,1.98153,1.98153,0,0
DOM_PB,D,20070829,000000,1.98153,1.98153,1.98153,1.98153,0,0
DOM_PB,D,20070830,000000,1.99463,1.99463,1.99463,1.99463,0,0
DOM_PB,D,20070831,000000,2.0337,2.0337,2.0337,2.0337,0,0
DOM_PB,D,20070903,000000,2.01417,2.01417,2.01417,2.01417,0,0
DOM_PB,D,20070904,000000,2.00436,2.00436,2.00436,2.00436,0,0
DOM_PB,D,20070905,000000,2.02384,2.02384,2.02384,2.02384,0,0
DOM_PB,D,20070906,000000,2.00105,2.00105,2.00105,2.00105,0,0
DOM_PB,D,20070907,000000,2.00105,2.00105,2.00105,2.00105,0,0
DOM_PB,D,20070910,000000,1.96538,1.96538,1.96538,1.96538,0,0
DOM_PB,D,20070911,000000,2.02064,2.02064,2.02064,2.02064,0,0
DOM_PB,D,20070912,000000,1.98153,1.98153,1.98153,1.98153,0,0
DOM_PB,D,20070913,000000,1.97835,1.97835,1.97835,1.97835,0,0
DOM_PB,D,20070914,000000,2.00105,2.00105,2.00105,2.00105,0,0
DOM_PB,D,20070917,000000,2.00105,2.00105,2.00105,2.00105,0,0
DOM_PB,D,20070918,000000,2.04998,2.04998,2.04998,2.04998,0,0
DOM_PB,D,20070919,000000,2.04668,2.04668,2.04668,2.04668,0,0
DOM_PB,D,20070920,000000,2.04998,2.04998,2.04998,2.04998,0,0
DOM_PB,D,20070921,000000,2.08566,2.08566,2.08566,2.08566,0,0
DOM_PB,D,20070924,000000,1.99463,1.99463,1.99463,1.99463,0,0
DOM_PB,D,20070925,000000,1.99782,1.99782,1.99782,1.99782,0,0
DOM_PB,D,20070926,000000,1.96208,1.96208,1.96208,1.96208,0,0
DOM_PB,D,20070927,000000,1.96538,1.96538,1.96538,1.96538,0,0
DOM_PB,D,20070928,000000,1.96538,1.96538,1.96538,1.96538,0,0
DOM_PB,D,20071001,000000,1.93281,1.93281,1.93281,1.93281,0,0
DOM_PB,D,20071002,000000,1.91984,1.91984,1.91984,1.91984,0,0
DOM_PB,D,20071003,000000,1.87422,1.87422,1.87422,1.87422,0,0
DOM_PB,D,20071004,000000,1.88719,1.88719,1.88719,1.88719,0,0
DOM_PB,D,20071005,000000,1.88719,1.88719,1.88719,1.88719,0,0
DOM_PB,D,20071008,000000,1.90998,1.90998,1.90998,1.90998,0,0
DOM_PB,D,20071009,000000,1.93936,1.93936,1.93936,1.93936,0,0
DOM_PB,D,20071010,000000,1.94252,1.94252,1.94252,1.94252,0,0
DOM_PB,D,20071011,000000,1.88719,1.88719,1.88719,1.88719,0,0
DOM_PB,D,20071012,000000,1.8807,1.8807,1.8807,1.8807,0,0
DOM_PB,D,20071015,000000,1.87422,1.87422,1.87422,1.87422,0,0
DOM_PB,D,20071016,000000,1.83515,1.83515,1.83515,1.83515,0,0
DOM_PB,D,20071017,000000,1.83515,1.83515,1.83515,1.83515,0,0
DOM_PB,D,20071018,000000,1.9003,1.9003,1.9003,1.9003,0,0
DOM_PB,D,20071019,000000,1.98153,1.98153,1.98153,1.98153,0,0
DOM_PB,D,20071022,000000,1.91651,1.91651,1.91651,1.91651,0,0
DOM_PB,D,20071023,000000,1.91651,1.91651,1.91651,1.91651,0,0
DOM_PB,D,20071024,000000,1.9003,1.9003,1.9003,1.9003,0,0
DOM_PB,D,20071025,000000,1.89367,1.89367,1.89367,1.89367,0,0
DOM_PB,D,20071026,000000,1.87098,1.87098,1.87098,1.87098,0,0
DOM_PB,D,20071029,000000,1.84504,1.84504,1.84504,1.84504,0,0
DOM_PB,D,20071030,000000,1.76691,1.76691,1.76691,1.76691,0,0
DOM_PB,D,20071031,000000,1.75387,1.75387,1.75387,1.75387,0,0
DOM_PB,D,20071102,000000,1.77022,1.77022,1.77022,1.77022,0,0
DOM_PB,D,20071105,000000,1.78306,1.78306,1.78306,1.78306,0,0
DOM_PB,D,20071106,000000,1.79617,1.79617,1.79617,1.79617,0,0
DOM_PB,D,20071107,000000,1.78306,1.78306,1.78306,1.78306,0,0
DOM_PB,D,20071108,000000,1.71142,1.71142,1.71142,1.71142,0,0
DOM_PB,D,20071109,000000,1.71798,1.71798,1.63994,1.65616,0,0
DOM_PB,D,20071112,000000,1.55209,1.65616,1.55209,1.61067,0,0
DOM_PB,D,20071113,000000,1.59763,1.65297,1.59763,1.63994,0,0
DOM_PB,D,20071114,000000,1.70495,1.71142,1.63994,1.63994,0,0
DOM_PB,D,20071115,000000,1.66602,1.66602,1.55541,1.58459,0,0
DOM_PB,D,20071116,000000,1.54885,1.58459,1.51958,1.52614,0,0
DOM_PB,D,20071119,000000,1.52614,1.54559,1.49349,1.49349,0,0
DOM_PB,D,20071120,000000,1.48701,1.48701,1.48701,1.48701,0,0
DOM_PB,D,20071121,000000,1.48052,1.48052,1.37969,1.38943,0,0
DOM_PB,D,20071122,000000,1.35368,1.48052,1.28198,1.32759,0,0
DOM_PB,D,20071123,000000,1.32759,1.32759,1.30482,1.31462,0,0
DOM_PB,D,20071126,000000,1.34057,1.34057,1.25928,1.26251,0,0
DOM_PB,D,20071127,000000,1.26251,1.26251,1.20717,1.21366,0,0
DOM_PB,D,20071128,000000,1.22664,1.26902,1.22017,1.24299,0,0
DOM_PB,D,20071129,000000,1.26902,1.27558,1.25597,1.26902,0,0
DOM_PB,D,20071130,000000,1.28198,1.35024,1.25597,1.35024,0,0
DOM_PB,D,20071203,000000,1.32759,1.36334,1.31462,1.31462,0,0
DOM_PB,D,20071204,000000,1.30151,1.30151,1.25928,1.28198,0,0
DOM_PB,D,20071205,000000,1.27558,1.33408,1.27558,1.31787,0,0
DOM_PB,D,20071206,000000,1.31787,1.35694,1.31462,1.34706,0,0
DOM_PB,D,20071207,000000,1.34389,1.35024,1.33408,1.34057,0,0
DOM_PB,D,20071210,000000,1.35024,1.35024,1.31462,1.32759,0,0
DOM_PB,D,20071211,000000,1.31462,1.31462,1.28529,1.30151,0,0
