<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DVL_PE,D,20071115,000000,6.87426,6.87426,6.87426,6.87426,0,0
DVL_PE,D,20071116,000000,6.83092,6.87426,6.56949,6.61284,0,0
DVL_PE,D,20071119,000000,6.74287,6.74287,6.39469,6.39469,0,0
DVL_PE,D,20071120,000000,6.35162,6.35162,5.91674,6.04692,0,0
DVL_PE,D,20071121,000000,5.87307,5.96098,5.56884,5.69934,0,0
DVL_PE,D,20071122,000000,5.65579,6.04692,5.30802,6.00391,0,0
DVL_PE,D,20071123,000000,6.13495,6.13495,5.91674,5.91674,0,0
DVL_PE,D,20071126,000000,6.04692,6.04692,5.65579,5.74329,0,0
DVL_PE,D,20071127,000000,5.56884,5.91674,5.56884,5.82944,0,0
DVL_PE,D,20071128,000000,5.91674,6.13495,5.82944,6.04692,0,0
DVL_PE,D,20071129,000000,6.17743,6.22178,6.00391,6.00391,0,0
DVL_PE,D,20071130,000000,6.04692,6.35162,6.04692,6.17743,0,0
DVL_PE,D,20071203,000000,6.22178,6.22178,6.04692,6.17743,0,0
DVL_PE,D,20071204,000000,6.17743,6.22178,6.09114,6.17743,0,0
DVL_PE,D,20071205,000000,6.17743,6.56949,6.17743,6.52547,0,0
DVL_PE,D,20071206,000000,6.52547,6.56949,6.39469,6.39469,0,0
DVL_PE,D,20071207,000000,6.39469,6.4828,6.35162,6.43878,0,0
DVL_PE,D,20071210,000000,6.35162,6.43878,6.26486,6.35162,0,0
DVL_PE,D,20071211,000000,6.35162,6.35162,6.13495,6.22178,0,0
DVL_PE,D,20071212,000000,6.04692,6.17743,6.04692,6.09114,0,0
DVL_PE,D,20071213,000000,6.04692,6.04692,5.87307,5.91674,0,0
DVL_PE,D,20071214,000000,5.91674,5.96098,5.74329,5.82944,0,0
DVL_PE,D,20071217,000000,5.78643,5.78643,5.52548,5.56884,0,0
DVL_PE,D,20071218,000000,5.4814,5.78643,5.30802,5.78643,0,0
DVL_PE,D,20071219,000000,5.87307,5.87307,5.65579,5.74329,0,0
DVL_PE,D,20071220,000000,5.65579,5.78643,5.61238,5.69934,0,0
DVL_PE,D,20071221,000000,5.69934,5.74329,5.69934,5.74329,0,0
DVL_PE,D,20071227,000000,5.78643,6.00391,5.78643,5.87307,0,0
DVL_PE,D,20071228,000000,5.87307,6.04692,5.87307,5.91674,0,0
DVL_PE,D,20080102,000000,5.96098,5.96098,5.91674,5.91674,0,0
DVL_PE,D,20080103,000000,5.87307,6.09114,5.78643,6.09114,0,0
DVL_PE,D,20080104,000000,6.13495,6.39469,6.09114,6.22178,0,0
DVL_PE,D,20080107,000000,6.04692,6.17743,5.96098,5.96098,0,0
DVL_PE,D,20080108,000000,5.96098,6.00391,5.82944,5.96098,0,0
DVL_PE,D,20080109,000000,5.82944,5.91674,5.82944,5.87307,0,0
DVL_PE,D,20080110,000000,5.91674,5.91674,5.74329,5.74329,0,0
DVL_PE,D,20080111,000000,5.74329,5.87307,5.74329,5.82944,0,0
DVL_PE,D,20080114,000000,5.87307,5.87307,5.87307,5.87307,0,0
DVL_PE,D,20080115,000000,5.82944,5.96098,5.74329,5.82944,0,0
DVL_PE,D,20080116,000000,5.52548,5.65579,5.43847,5.65579,0,0
DVL_PE,D,20080117,000000,5.74329,5.74329,5.4814,5.61238,0,0
DVL_PE,D,20080118,000000,5.56884,5.78643,5.56884,5.61238,0,0
DVL_PE,D,20080121,000000,5.4814,5.56884,5.13382,5.13382,0,0
DVL_PE,D,20080122,000000,4.82905,5.1771,4.82905,5.09061,0,0
DVL_PE,D,20080123,000000,5.1771,5.26398,4.91642,5.09061,0,0
DVL_PE,D,20080124,000000,5.30802,5.43847,5.22057,5.43847,0,0
DVL_PE,D,20080125,000000,5.56884,5.61238,5.39497,5.43847,0,0
DVL_PE,D,20080128,000000,5.26398,5.26398,5.1771,5.1771,0,0
DVL_PE,D,20080129,000000,5.30802,5.35095,5.22057,5.30802,0,0
DVL_PE,D,20080130,000000,5.30802,5.52548,5.30802,5.43847,0,0
