<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ECH_PE,D,20070813,000000,2.07572,2.07572,2.07572,2.07572,0,0
ECH_PE,D,20070814,000000,2.03027,2.03027,2.03027,2.03027,0,0
ECH_PE,D,20070816,000000,1.86359,1.86359,1.86359,1.86359,0,0
ECH_PE,D,20070817,000000,1.80305,1.80305,1.80305,1.80305,0,0
ECH_PE,D,20070820,000000,1.75746,1.75746,1.75746,1.75746,0,0
ECH_PE,D,20070821,000000,1.71216,1.71216,1.71216,1.71216,0,0
ECH_PE,D,20070822,000000,1.27274,1.27274,1.27274,1.27274,0,0
ECH_PE,D,20070823,000000,1.34845,1.34845,1.34845,1.34845,0,0
ECH_PE,D,20070824,000000,1.36363,1.36363,1.36363,1.36363,0,0
ECH_PE,D,20070827,000000,1.42425,1.42425,1.42425,1.42425,0,0
ECH_PE,D,20070828,000000,1.40893,1.40893,1.40893,1.40893,0,0
ECH_PE,D,20070829,000000,1.39391,1.39391,1.39391,1.39391,0,0
ECH_PE,D,20070830,000000,1.37881,1.37881,1.37881,1.37881,0,0
ECH_PE,D,20070831,000000,1.42425,1.42425,1.42425,1.42425,0,0
ECH_PE,D,20070903,000000,1.45452,1.45452,1.45452,1.45452,0,0
ECH_PE,D,20070904,000000,1.46969,1.46969,1.46969,1.46969,0,0
ECH_PE,D,20070905,000000,1.45452,1.45452,1.45452,1.45452,0,0
ECH_PE,D,20070906,000000,1.43935,1.43935,1.43935,1.43935,0,0
ECH_PE,D,20070907,000000,1.42425,1.42425,1.42425,1.42425,0,0
ECH_PE,D,20070910,000000,1.39391,1.39391,1.39391,1.39391,0,0
ECH_PE,D,20070911,000000,1.37881,1.37881,1.37881,1.37881,0,0
ECH_PE,D,20070912,000000,1.40893,1.40893,1.40893,1.40893,0,0
ECH_PE,D,20070913,000000,1.39391,1.39391,1.39391,1.39391,0,0
ECH_PE,D,20070914,000000,1.36363,1.36363,1.36363,1.36363,0,0
ECH_PE,D,20070917,000000,1.39391,1.39391,1.39391,1.39391,0,0
ECH_PE,D,20070918,000000,1.39391,1.39391,1.39391,1.39391,0,0
ECH_PE,D,20070919,000000,1.39391,1.39391,1.39391,1.39391,0,0
ECH_PE,D,20070920,000000,1.42425,1.42425,1.42425,1.42425,0,0
ECH_PE,D,20070921,000000,1.49997,1.49997,1.49997,1.49997,0,0
ECH_PE,D,20070924,000000,1.46969,1.46969,1.46969,1.46969,0,0
