<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EFK_PB,D,20070813,000000,0.897037,0.897037,0.897037,0.897037,0,0
EFK_PB,D,20070814,000000,0.928243,0.928243,0.928243,0.928243,0,0
EFK_PB,D,20070816,000000,0.82254,0.82254,0.82254,0.82254,0,0
EFK_PB,D,20070817,000000,0.82254,0.82254,0.82254,0.82254,0,0
EFK_PB,D,20070820,000000,0.853647,0.853647,0.853647,0.853647,0,0
EFK_PB,D,20070821,000000,0.86603,0.86603,0.86603,0.86603,0,0
EFK_PB,D,20070822,000000,0.915761,0.915761,0.915761,0.915761,0,0
EFK_PB,D,20070823,000000,0.934583,0.934583,0.934583,0.934583,0,0
EFK_PB,D,20070824,000000,0.909421,0.909421,0.909421,0.909421,0,0
EFK_PB,D,20070827,000000,0.922002,0.922002,0.922002,0.922002,0,0
EFK_PB,D,20070828,000000,0.922002,0.922002,0.922002,0.922002,0,0
EFK_PB,D,20070829,000000,0.928243,0.928243,0.928243,0.928243,0,0
EFK_PB,D,20070830,000000,0.909421,0.909421,0.909421,0.909421,0,0
EFK_PB,D,20070831,000000,0.928243,0.928243,0.928243,0.928243,0,0
EFK_PB,D,20070903,000000,0.959449,0.959449,0.959449,0.959449,0,0
EFK_PB,D,20070904,000000,0.922002,0.922002,0.922002,0.922002,0,0
EFK_PB,D,20070905,000000,0.947065,0.947065,0.947065,0.947065,0,0
EFK_PB,D,20070906,000000,0.915761,0.915761,0.915761,0.915761,0,0
EFK_PB,D,20070907,000000,0.897037,0.897037,0.897037,0.897037,0,0
EFK_PB,D,20070910,000000,0.884654,0.884654,0.884654,0.884654,0,0
EFK_PB,D,20070911,000000,0.903279,0.903279,0.903279,0.903279,0,0
EFK_PB,D,20070912,000000,0.915761,0.915761,0.915761,0.915761,0,0
EFK_PB,D,20070913,000000,0.915761,0.915761,0.915761,0.915761,0,0
EFK_PB,D,20070914,000000,0.922002,0.922002,0.922002,0.922002,0,0
EFK_PB,D,20070917,000000,0.959449,0.959449,0.959449,0.959449,0,0
EFK_PB,D,20070918,000000,0.947065,0.947065,0.947065,0.947065,0,0
EFK_PB,D,20070919,000000,0.965591,0.965591,0.965591,0.965591,0,0
EFK_PB,D,20070920,000000,0.965591,0.965591,0.965591,0.965591,0,0
EFK_PB,D,20070921,000000,1.00928,1.00928,1.00928,1.00928,0,0
EFK_PB,D,20070924,000000,0.971832,0.971832,0.971832,0.971832,0,0
EFK_PB,D,20070925,000000,0.996796,0.996796,0.996796,0.996796,0,0
EFK_PB,D,20070926,000000,1.02176,1.02176,1.02176,1.02176,0,0
EFK_PB,D,20070927,000000,1.00284,1.00284,1.00284,1.00284,0,0
EFK_PB,D,20070928,000000,1.00284,1.00284,1.00284,1.00284,0,0
EFK_PB,D,20071001,000000,1.00284,1.00284,1.00284,1.00284,0,0
EFK_PB,D,20071002,000000,1.00284,1.00284,1.00284,1.00284,0,0
EFK_PB,D,20071003,000000,0.990555,0.990555,0.990555,0.990555,0,0
EFK_PB,D,20071004,000000,0.984314,0.984314,0.984314,0.984314,0,0
EFK_PB,D,20071005,000000,0.971832,0.971832,0.971832,0.971832,0,0
EFK_PB,D,20071008,000000,0.971832,0.971832,0.971832,0.971832,0,0
EFK_PB,D,20071009,000000,0.971832,0.971832,0.971832,0.971832,0,0
EFK_PB,D,20071010,000000,0.971832,0.971832,0.971832,0.971832,0,0
EFK_PB,D,20071011,000000,0.996796,0.996796,0.996796,0.996796,0,0
EFK_PB,D,20071012,000000,0.984314,0.984314,0.984314,0.984314,0,0
EFK_PB,D,20071015,000000,0.971832,0.971832,0.971832,0.971832,0,0
EFK_PB,D,20071016,000000,0.971832,0.971832,0.971832,0.971832,0,0
EFK_PB,D,20071017,000000,0.971832,0.971832,0.971832,0.971832,0,0
EFK_PB,D,20071018,000000,0.971832,0.971832,0.971832,0.971832,0,0
EFK_PB,D,20071019,000000,0.971832,0.971832,0.971832,0.971832,0,0
EFK_PB,D,20071022,000000,0.971832,0.971832,0.971832,0.971832,0,0
EFK_PB,D,20071023,000000,0.971832,0.971832,0.971832,0.971832,0,0
EFK_PB,D,20071024,000000,0.953207,0.953207,0.953207,0.953207,0,0
EFK_PB,D,20071025,000000,0.947065,0.947065,0.947065,0.947065,0,0
EFK_PB,D,20071026,000000,0.947065,0.947065,0.947065,0.947065,0,0
EFK_PB,D,20071029,000000,0.947065,0.947065,0.947065,0.947065,0,0
EFK_PB,D,20071030,000000,0.940626,0.940626,0.940626,0.940626,0,0
EFK_PB,D,20071031,000000,0.940626,0.940626,0.940626,0.940626,0,0
EFK_PB,D,20071102,000000,0.947065,0.947065,0.947065,0.947065,0,0
EFK_PB,D,20071105,000000,0.965591,0.965591,0.965591,0.965591,0,0
EFK_PB,D,20071106,000000,1.02176,1.02176,1.02176,1.02176,0,0
EFK_PB,D,20071107,000000,1.00284,1.00284,1.00284,1.00284,0,0
EFK_PB,D,20071108,000000,0.996796,0.996796,0.996796,0.996796,0,0
EFK_PB,D,20071109,000000,0.996796,1.01552,0.971832,1.00284,0,0
EFK_PB,D,20071112,000000,0.978172,1.028,0.971832,0.971832,0,0
EFK_PB,D,20071113,000000,0.978172,0.978172,0.947065,0.971832,0,0
EFK_PB,D,20071114,000000,0.978172,0.978172,0.947065,0.947065,0,0
EFK_PB,D,20071115,000000,0.947065,0.971832,0.903279,0.922002,0,0
EFK_PB,D,20071116,000000,0.890796,0.922002,0.853647,0.853647,0,0
EFK_PB,D,20071119,000000,0.853647,0.853647,0.828385,0.853647,0,0
EFK_PB,D,20071120,000000,0.803718,0.853647,0.803718,0.803718,0,0
EFK_PB,D,20071121,000000,0.809761,0.847207,0.747548,0.784895,0,0
EFK_PB,D,20071122,000000,0.784895,0.797378,0.766172,0.797378,0,0
EFK_PB,D,20071123,000000,0.878314,0.878314,0.853647,0.853647,0,0
EFK_PB,D,20071126,000000,0.872271,0.872271,0.828385,0.841164,0,0
EFK_PB,D,20071127,000000,0.841164,0.853647,0.797378,0.803718,0,0
EFK_PB,D,20071128,000000,0.809761,0.816101,0.772512,0.816101,0,0
EFK_PB,D,20071129,000000,0.841164,0.841164,0.816101,0.828385,0,0
EFK_PB,D,20071130,000000,0.853647,0.853647,0.797378,0.834824,0,0
EFK_PB,D,20071203,000000,0.841164,0.841164,0.803718,0.82254,0,0
