<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ENG_PB,D,20131211,000000,0.7105,0.7105,0.7105,0.7105,0,0
ENG_PB,D,20131212,000000,0.7022,0.7105,0.6938,0.6938,0,0
ENG_PB,D,20131213,000000,0.6938,0.7105,0.6938,0.7105,0,0
ENG_PB,D,20131216,000000,0.7105,0.7188,0.7105,0.7188,0,0
ENG_PB,D,20131217,000000,0.7188,0.7188,0.7022,0.7022,0,0
ENG_PB,D,20131218,000000,0.7105,0.7105,0.7022,0.7105,0,0
ENG_PB,D,20131219,000000,0.7105,0.7105,0.7022,0.7022,0,0
ENG_PB,D,20131220,000000,0.7022,0.7022,0.7022,0.7022,0,0
ENG_PB,D,20131223,000000,0.7105,0.7105,0.7022,0.7022,0,0
ENG_PB,D,20131227,000000,0.7022,0.7022,0.7022,0.7022,0,0
ENG_PB,D,20131230,000000,0.7022,0.7022,0.7022,0.7022,0,0
ENG_PB,D,20140102,000000,0.7022,0.7022,0.6938,0.7022,0,0
ENG_PB,D,20140103,000000,0.7022,0.7022,0.6938,0.7022,0,0
ENG_PB,D,20140107,000000,0.6938,0.6938,0.6938,0.6938,0,0
ENG_PB,D,20140108,000000,0.6855,0.6938,0.6855,0.6938,0,0
ENG_PB,D,20140109,000000,0.6938,0.6938,0.6938,0.6938,0,0
ENG_PB,D,20140110,000000,0.6938,0.6938,0.6855,0.6938,0,0
ENG_PB,D,20140113,000000,0.7022,0.7273,0.7022,0.7273,0,0
ENG_PB,D,20140114,000000,0.7188,0.7273,0.7188,0.7273,0,0
ENG_PB,D,20140115,000000,0.7188,0.7273,0.7188,0.7188,0,0
ENG_PB,D,20140116,000000,0.7188,0.7273,0.7188,0.7273,0,0
ENG_PB,D,20140117,000000,0.7273,0.7356,0.7273,0.7356,0,0
ENG_PB,D,20140120,000000,0.7356,0.7356,0.7273,0.7356,0,0
ENG_PB,D,20140121,000000,0.7356,0.7356,0.7273,0.7273,0,0
ENG_PB,D,20140122,000000,0.7273,0.7273,0.7273,0.7273,0,0
ENG_PB,D,20140123,000000,0.7273,0.7273,0.7273,0.7273,0,0
ENG_PB,D,20140124,000000,0.7273,0.7273,0.7273,0.7273,0,0
ENG_PB,D,20140127,000000,0.7188,0.7273,0.7188,0.7273,0,0
ENG_PB,D,20140128,000000,0.7188,0.7273,0.7188,0.7273,0,0
ENG_PB,D,20140129,000000,0.7188,0.7188,0.7022,0.7105,0,0
ENG_PB,D,20140130,000000,0.7105,0.7105,0.7105,0.7105,0,0
ENG_PB,D,20140131,000000,0.7105,0.7105,0.7105,0.7105,0,0
ENG_PB,D,20140203,000000,0.7022,0.7105,0.7022,0.7105,0,0
ENG_PB,D,20140204,000000,0.7022,0.7105,0.7022,0.7105,0,0
ENG_PB,D,20140205,000000,0.7105,0.7188,0.7105,0.7188,0,0
ENG_PB,D,20140206,000000,0.7188,0.7273,0.7188,0.7273,0,0
ENG_PB,D,20140207,000000,0.7273,0.7356,0.7273,0.7356,0,0
ENG_PB,D,20140210,000000,0.7356,0.7439,0.7273,0.7439,0,0
ENG_PB,D,20140211,000000,0.7439,0.7439,0.7356,0.7439,0,0
ENG_PB,D,20140212,000000,0.7439,0.7523,0.7356,0.7439,0,0
ENG_PB,D,20140213,000000,0.7439,0.7607,0.7439,0.7607,0,0
ENG_PB,D,20140214,000000,0.7607,0.7607,0.7523,0.7607,0,0
ENG_PB,D,20140217,000000,0.7607,0.7691,0.7607,0.7691,0,0
ENG_PB,D,20140218,000000,0.7691,0.7691,0.7523,0.7607,0,0
ENG_PB,D,20140219,000000,0.7607,0.7691,0.7523,0.7607,0,0
ENG_PB,D,20140220,000000,0.7607,0.7607,0.7523,0.7607,0,0
ENG_PB,D,20140221,000000,0.7607,0.7607,0.7607,0.7607,0,0
ENG_PB,D,20140224,000000,0.7607,0.7607,0.7607,0.7607,0,0
ENG_PB,D,20140225,000000,0.7607,0.7691,0.7607,0.7607,0,0
ENG_PB,D,20140226,000000,0.7607,0.7607,0.7523,0.7607,0,0
ENG_PB,D,20140227,000000,0.7607,0.7691,0.7607,0.7691,0,0
ENG_PB,D,20140228,000000,0.7691,0.7774,0.7691,0.7774,0,0
ENG_PB,D,20140303,000000,0.7439,0.7523,0.7273,0.7439,0,0
ENG_PB,D,20140304,000000,0.7439,0.7607,0.7439,0.7523,0,0
ENG_PB,D,20140305,000000,0.7607,0.7607,0.7523,0.7607,0,0
ENG_PB,D,20140306,000000,0.7523,0.7691,0.7523,0.7691,0,0
ENG_PB,D,20140307,000000,0.7607,0.7691,0.7607,0.7691,0,0
ENG_PB,D,20140310,000000,0.7691,0.7774,0.7607,0.7607,0,0
ENG_PB,D,20140311,000000,0.7607,0.7607,0.7607,0.7607,0,0
ENG_PB,D,20140312,000000,0.7607,0.7607,0.7439,0.7607,0,0
ENG_PB,D,20140313,000000,0.7523,0.7607,0.7523,0.7523,0,0
ENG_PB,D,20140314,000000,0.7523,0.7523,0.7439,0.7439,0,0
ENG_PB,D,20140317,000000,0.7439,0.7607,0.7439,0.7607,0,0
ENG_PB,D,20140318,000000,0.7607,0.7607,0.7523,0.7607,0,0
