<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ENP_MV,D,20070813,000000,24.3286,24.3286,24.3286,24.3286,0,0
ENP_MV,D,20070814,000000,21.8374,21.8374,21.8374,21.8374,0,0
ENP_MV,D,20070816,000000,19.913,19.913,19.913,19.913,0,0
ENP_MV,D,20070817,000000,20.9323,20.9323,20.9323,20.9323,0,0
ENP_MV,D,20070820,000000,22.6309,22.6309,22.6309,22.6309,0,0
ENP_MV,D,20070821,000000,24.1001,24.1001,24.1001,24.1001,0,0
ENP_MV,D,20070822,000000,29.5298,29.5298,29.5298,29.5298,0,0
ENP_MV,D,20070823,000000,28.2882,28.2882,28.2882,28.2882,0,0
ENP_MV,D,20070824,000000,27.9507,27.9507,27.9507,27.9507,0,0
ENP_MV,D,20070827,000000,28.9639,28.9639,28.9639,28.9639,0,0
ENP_MV,D,20070828,000000,29.3102,29.3102,29.3102,29.3102,0,0
ENP_MV,D,20070829,000000,29.9868,29.9868,29.9868,29.9868,0,0
ENP_MV,D,20070830,000000,29.6485,29.6485,29.6485,29.6485,0,0
ENP_MV,D,20070831,000000,30.4411,30.4411,30.4411,30.4411,0,0
ENP_MV,D,20070903,000000,30.7802,30.7802,30.7802,30.7802,0,0
ENP_MV,D,20070904,000000,32.8136,32.8136,32.8136,32.8136,0,0
ENP_MV,D,20070905,000000,33.8366,33.8366,33.8366,33.8366,0,0
ENP_MV,D,20070906,000000,32.7038,32.7038,32.7038,32.7038,0,0
ENP_MV,D,20070907,000000,30.4411,30.4411,30.4411,30.4411,0,0
ENP_MV,D,20070910,000000,28.9639,28.9639,28.9639,28.9639,0,0
ENP_MV,D,20070911,000000,32.2477,32.2477,32.2477,32.2477,0,0
ENP_MV,D,20070912,000000,32.8136,32.8136,32.8136,32.8136,0,0
ENP_MV,D,20070913,000000,33.7179,33.7179,33.7179,33.7179,0,0
ENP_MV,D,20070914,000000,33.7179,33.7179,33.7179,33.7179,0,0
ENP_MV,D,20070917,000000,33.8366,33.8366,33.8366,33.8366,0,0
