<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ENP_PB,D,20071105,000000,5.18,5.18,5.18,5.18,0,0
ENP_PB,D,20071106,000000,5.05531,5.05531,5.05531,5.05531,0,0
ENP_PB,D,20071107,000000,4.76879,4.76879,4.76879,4.76879,0,0
ENP_PB,D,20071108,000000,4.69506,4.69506,4.69506,4.69506,0,0
ENP_PB,D,20071109,000000,4.7172,4.7172,4.37194,4.42326,0,0
ENP_PB,D,20071112,000000,4.24689,4.42326,4.17352,4.22493,0,0
ENP_PB,D,20071113,000000,4.26162,4.51886,4.15147,4.482,0,0
ENP_PB,D,20071114,000000,4.65846,4.65846,4.33525,4.46004,0,0
ENP_PB,D,20071115,000000,4.49672,4.49672,3.90163,3.95305,0,0
ENP_PB,D,20071116,000000,3.9384,4.15147,3.70329,4.15147,0,0
ENP_PB,D,20071119,000000,4.15147,4.15147,3.9751,4.01178,0,0
ENP_PB,D,20071120,000000,3.75462,4.04846,3.75462,3.9384,0,0
ENP_PB,D,20071121,000000,3.77667,3.82817,3.62974,3.65179,0,0
ENP_PB,D,20071122,000000,3.62974,4.06328,3.43132,4.06328,0,0
ENP_PB,D,20071123,000000,3.90163,4.34971,3.90163,4.34971,0,0
ENP_PB,D,20071126,000000,4.34971,4.51886,4.21012,4.34971,0,0
ENP_PB,D,20071127,000000,4.2983,4.2983,4.09988,4.18815,0,0
ENP_PB,D,20071128,000000,4.22493,4.42326,4.17352,4.42326,0,0
ENP_PB,D,20071129,000000,4.51886,4.585,4.51886,4.51886,0,0
ENP_PB,D,20071130,000000,4.55555,4.585,4.51886,4.57036,0,0
ENP_PB,D,20071203,000000,4.55555,4.55555,4.2983,4.51886,0,0
ENP_PB,D,20071204,000000,4.28366,4.46004,4.28366,4.46004,0,0
ENP_PB,D,20071205,000000,4.482,4.60705,4.482,4.60705,0,0
ENP_PB,D,20071206,000000,4.53351,4.53351,4.42326,4.42326,0,0
ENP_PB,D,20071207,000000,4.42326,4.51886,4.28366,4.42326,0,0
ENP_PB,D,20071210,000000,4.34971,4.42326,4.34971,4.34971,0,0
ENP_PB,D,20071211,000000,4.51886,4.51886,4.32044,4.44531,0,0
ENP_PB,D,20071212,000000,4.32044,4.42326,4.26162,4.42326,0,0
ENP_PB,D,20071213,000000,4.33525,4.44531,4.33525,4.44531,0,0
ENP_PB,D,20071214,000000,4.34971,4.482,4.26162,4.44531,0,0
ENP_PB,D,20071217,000000,4.28366,4.2983,4.15147,4.24689,0,0
ENP_PB,D,20071218,000000,4.15147,4.32044,4.1221,4.28366,0,0
ENP_PB,D,20071219,000000,4.13683,4.28366,4.02651,4.28366,0,0
ENP_PB,D,20071220,000000,4.17352,4.24689,4.01178,4.08542,0,0
ENP_PB,D,20071221,000000,4.08542,4.09988,3.73998,3.9751,0,0
ENP_PB,D,20071227,000000,4.01178,4.24689,3.92367,4.24689,0,0
ENP_PB,D,20071228,000000,4.15147,4.37194,4.15147,4.37194,0,0
ENP_PB,D,20080102,000000,4.38667,4.38667,4.26162,4.2983,0,0
ENP_PB,D,20080103,000000,4.28366,4.28366,4.17352,4.24689,0,0
ENP_PB,D,20080104,000000,4.33525,4.33525,4.15147,4.24689,0,0
ENP_PB,D,20080107,000000,4.15147,4.18815,4.15147,4.18815,0,0
ENP_PB,D,20080108,000000,4.18815,4.18815,4.15147,4.18815,0,0
ENP_PB,D,20080109,000000,4.15147,4.15147,3.92367,4.09988,0,0
ENP_PB,D,20080110,000000,3.92367,3.9751,3.86486,3.95305,0,0
ENP_PB,D,20080111,000000,3.82817,3.9751,3.82817,3.9384,0,0
ENP_PB,D,20080114,000000,3.85013,3.85013,3.85013,3.85013,0,0
ENP_PB,D,20080115,000000,3.71794,3.92367,3.61493,3.71794,0,0
ENP_PB,D,20080116,000000,3.19622,3.61493,3.19622,3.61493,0,0
ENP_PB,D,20080117,000000,3.61493,3.70329,3.61493,3.68865,0,0
ENP_PB,D,20080118,000000,3.61493,3.77667,3.34322,3.77667,0,0
ENP_PB,D,20080121,000000,3.65179,3.65179,3.46809,3.55628,0,0
ENP_PB,D,20080122,000000,3.5196,3.81335,3.43132,3.61493,0,0
ENP_PB,D,20080123,000000,3.75462,3.75462,3.39464,3.61493,0,0
ENP_PB,D,20080124,000000,3.68865,3.86486,3.65179,3.7914,0,0
ENP_PB,D,20080125,000000,3.9384,4.42326,3.9384,4.37194,0,0
ENP_PB,D,20080128,000000,4.04846,4.09988,4.02651,4.09988,0,0
ENP_PB,D,20080129,000000,4.2983,4.38667,4.24689,4.32044,0,0
ENP_PB,D,20080130,000000,4.32044,4.32044,4.06328,4.21012,0,0
ENP_PB,D,20080131,000000,4.24689,4.37194,4.04846,4.06328,0,0
ENP_PB,D,20080201,000000,4.06328,4.21012,4.02651,4.13683,0,0
ENP_PB,D,20080204,000000,4.15147,4.15147,4.02651,4.04846,0,0
ENP_PB,D,20080205,000000,3.9751,4.02651,3.73998,3.73998,0,0
ENP_PB,D,20080206,000000,3.71794,3.73998,3.61493,3.73998,0,0
ENP_PB,D,20080207,000000,3.70329,3.73998,3.61493,3.73998,0,0
ENP_PB,D,20080208,000000,3.73998,3.73998,3.68865,3.68865,0,0
ENP_PB,D,20080211,000000,3.68865,3.81335,3.68865,3.77667,0,0
ENP_PB,D,20080212,000000,3.77667,3.81335,3.66651,3.81335,0,0
ENP_PB,D,20080213,000000,3.7914,4.1221,3.77667,4.1221,0,0
ENP_PB,D,20080214,000000,4.15147,4.15147,3.98982,4.01178,0,0
ENP_PB,D,20080215,000000,3.88699,4.13683,3.85013,3.90163,0,0
ENP_PB,D,20080218,000000,3.82817,4.77592,3.7914,4.77592,0,0
ENP_PB,D,20080219,000000,4.68783,4.84216,4.68783,4.84216,0,0
