<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ENT_PB,D,20160118,000000,4.68946,4.68946,4.65649,4.68124,0,0
ENT_PB,D,20160119,000000,4.65649,4.65649,4.65649,4.65649,0,0
ENT_PB,D,20160120,000000,4.68124,4.68124,4.54143,4.57432,0,0
ENT_PB,D,20160121,000000,4.57432,4.57432,4.4262,4.54143,0,0
ENT_PB,D,20160122,000000,4.54957,4.54957,4.44264,4.45086,0,0
ENT_PB,D,20160125,000000,4.5167,4.5167,4.45086,4.48382,0,0
ENT_PB,D,20160126,000000,4.47561,4.47561,4.36037,4.40977,0,0
ENT_PB,D,20160127,000000,4.35224,4.36037,4.31106,4.31106,0,0
ENT_PB,D,20160128,000000,4.31927,4.36037,4.18769,4.22887,0,0
ENT_PB,D,20160129,000000,4.35224,4.35224,4.18769,4.24513,0,0
ENT_PB,D,20160201,000000,4.24513,4.25335,4.18769,4.24513,0,0
ENT_PB,D,20160202,000000,4.25335,4.31927,4.18769,4.31927,0,0
ENT_PB,D,20160203,000000,4.65649,4.65649,4.36037,4.62362,0,0
ENT_PB,D,20160204,000000,4.62362,4.62362,4.62362,4.62362,0,0
ENT_PB,D,20160205,000000,4.35224,4.35224,4.24513,4.35224,0,0
ENT_PB,D,20160208,000000,4.35224,4.35224,4.33572,4.33572,0,0
ENT_PB,D,20160209,000000,4.35224,4.35224,4.24513,4.24513,0,0
ENT_PB,D,20160210,000000,4.35224,4.35224,4.16295,4.31106,0,0
ENT_PB,D,20160211,000000,4.31106,4.31106,4.31106,4.31106,0,0
ENT_PB,D,20160212,000000,4.31927,4.31927,4.31927,4.31927,0,0
ENT_PB,D,20160215,000000,4.26996,4.35224,4.17938,4.18769,0,0
ENT_PB,D,20160216,000000,4.18769,4.31927,4.15473,4.31927,0,0
ENT_PB,D,20160217,000000,4.65649,4.65649,4.31927,4.31927,0,0
ENT_PB,D,20160218,000000,4.65649,4.65649,4.36867,4.43451,0,0
ENT_PB,D,20160219,000000,4.43451,4.65649,4.08881,4.65649,0,0
ENT_PB,D,20160222,000000,4.65649,4.65649,4.65649,4.65649,0,0
ENT_PB,D,20160223,000000,4.65649,4.65649,4.65649,4.65649,0,0
ENT_PB,D,20160224,000000,4.65649,4.65649,4.65649,4.65649,0,0
ENT_PB,D,20160225,000000,4.64015,4.64015,4.64015,4.64015,0,0
ENT_PB,D,20160226,000000,4.64015,4.64015,4.50848,4.50848,0,0
ENT_PB,D,20160229,000000,4.64015,4.64015,4.64015,4.64015,0,0
ENT_PB,D,20160301,000000,4.63193,4.63193,4.63193,4.63193,0,0
ENT_PB,D,20160302,000000,4.63193,4.63193,4.52491,4.52491,0,0
ENT_PB,D,20160303,000000,4.50025,4.50025,4.29462,4.49196,0,0
ENT_PB,D,20160304,000000,4.50848,4.50848,4.45908,4.45908,0,0
ENT_PB,D,20160307,000000,4.39333,4.54143,4.39333,4.54143,0,0
ENT_PB,D,20160308,000000,4.68946,4.68946,4.52491,4.52491,0,0
ENT_PB,D,20160309,000000,4.62362,4.62362,4.60727,4.60727,0,0
ENT_PB,D,20160310,000000,4.60727,4.60727,4.44264,4.44264,0,0
ENT_PB,D,20160311,000000,4.59075,4.59075,4.38502,4.38502,0,0
ENT_PB,D,20160314,000000,4.59075,4.59075,4.27809,4.27809,0,0
ENT_PB,D,20160315,000000,4.39333,4.39333,4.31106,4.35224,0,0
ENT_PB,D,20160316,000000,4.4262,4.4262,4.4262,4.4262,0,0
ENT_PB,D,20160317,000000,4.36037,4.36037,4.32741,4.32741,0,0
ENT_PB,D,20160318,000000,4.32741,4.32741,4.26166,4.26166,0,0
ENT_PB,D,20160321,000000,4.25335,4.28631,4.20413,4.20413,0,0
ENT_PB,D,20160322,000000,4.40164,4.76351,4.40164,4.52491,0,0
ENT_PB,D,20160323,000000,4.55788,4.56618,4.36037,4.45086,0,0
ENT_PB,D,20160324,000000,4.56618,4.7059,4.3769,4.69767,0,0
ENT_PB,D,20160329,000000,4.7059,4.7059,4.69767,4.7059,0,0
ENT_PB,D,20160330,000000,4.69767,4.69767,4.54143,4.65649,0,0
ENT_PB,D,20160331,000000,4.69767,4.73886,1.19291,1.19291,0,0
ENT_PB,D,20160401,000000,1.20122,1.26705,1.19291,1.26705,0,0
ENT_PB,D,20160404,000000,1.20934,1.22587,1.16826,1.16826,0,0
ENT_PB,D,20160405,000000,1.16826,1.20122,1.12698,1.18469,0,0
ENT_PB,D,20160406,000000,1.20122,1.20122,1.15182,1.15182,0,0
ENT_PB,D,20160407,000000,1.19291,1.20122,1.18469,1.20122,0,0
ENT_PB,D,20160408,000000,1.20122,1.20122,1.15182,1.16826,0,0
ENT_PB,D,20160411,000000,1.20122,1.26705,1.19291,1.25053,0,0
ENT_PB,D,20160412,000000,1.24231,1.30815,1.20934,1.29153,0,0
ENT_PB,D,20160413,000000,1.27528,1.43981,1.27528,1.39863,0,0
ENT_PB,D,20160414,000000,1.39863,1.41507,1.3411,1.40686,0,0
ENT_PB,D,20160415,000000,1.41507,1.41507,1.37389,1.41507,0,0
ENT_PB,D,20160418,000000,1.41507,1.42338,1.41507,1.42338,0,0
ENT_PB,D,20160419,000000,1.4316,1.69476,1.4316,1.57962,0,0
ENT_PB,D,20160420,000000,1.57962,1.57962,1.44804,1.45616,0,0
ENT_PB,D,20160421,000000,1.44804,1.522,1.3822,1.49726,0,0
ENT_PB,D,20160422,000000,1.61258,1.61258,1.45616,1.45616,0,0
ENT_PB,D,20160425,000000,1.522,1.522,1.43981,1.44804,0,0
ENT_PB,D,20160426,000000,1.522,1.522,1.43981,1.43981,0,0
ENT_PB,D,20160427,000000,1.43981,1.48904,1.43981,1.48082,0,0
ENT_PB,D,20160428,000000,1.522,1.5631,1.44804,1.5631,0,0
ENT_PB,D,20160429,000000,1.5631,1.61258,1.54675,1.61258,0,0
