<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EQU_PE,D,20070927,000000,59.719,59.719,59.719,59.719,0,0
EQU_PE,D,20070928,000000,60.833,60.833,60.833,60.833,0,0
EQU_PE,D,20071001,000000,59.4,59.4,59.4,59.4,0,0
EQU_PE,D,20071002,000000,57.967,57.967,57.967,57.967,0,0
EQU_PE,D,20071003,000000,57.967,57.967,57.967,57.967,0,0
EQU_PE,D,20071004,000000,57.967,57.967,57.967,57.967,0,0
EQU_PE,D,20071005,000000,68.477,68.477,68.477,68.477,0,0
EQU_PE,D,20071008,000000,71.742,71.742,71.742,71.742,0,0
EQU_PE,D,20071009,000000,80.182,80.182,80.182,80.182,0,0
EQU_PE,D,20071010,000000,75.006,75.006,75.006,75.006,0,0
EQU_PE,D,20071011,000000,76.758,76.758,76.758,76.758,0,0
EQU_PE,D,20071012,000000,75.803,75.803,75.803,75.803,0,0
EQU_PE,D,20071015,000000,72.22,72.22,72.22,72.22,0,0
EQU_PE,D,20071016,000000,72.936,72.936,72.936,72.936,0,0
EQU_PE,D,20071017,000000,74.131,74.131,74.131,74.131,0,0
EQU_PE,D,20071018,000000,69.035,69.035,69.035,69.035,0,0
EQU_PE,D,20071019,000000,69.592,69.592,69.592,69.592,0,0
EQU_PE,D,20071022,000000,67.283,67.283,67.283,67.283,0,0
EQU_PE,D,20071023,000000,70.07,70.07,70.07,70.07,0,0
EQU_PE,D,20071024,000000,70.468,70.468,70.468,70.468,0,0
EQU_PE,D,20071025,000000,65.929,65.929,65.929,65.929,0,0
EQU_PE,D,20071026,000000,69.353,69.353,69.353,69.353,0,0
EQU_PE,D,20071029,000000,65.85,65.85,65.85,65.85,0,0
EQU_PE,D,20071030,000000,65.85,65.85,65.85,65.85,0,0
EQU_PE,D,20071031,000000,65.85,65.85,65.85,65.85,0,0
EQU_PE,D,20071102,000000,67.124,67.124,67.124,67.124,0,0
EQU_PE,D,20071105,000000,65.133,65.133,65.133,65.133,0,0
EQU_PE,D,20071106,000000,64.257,64.257,64.257,64.257,0,0
EQU_PE,D,20071107,000000,62.983,62.983,62.983,62.983,0,0
EQU_PE,D,20071108,000000,58.683,58.683,58.683,58.683,0,0
EQU_PE,D,20071109,000000,62.983,62.983,51.517,55.817,0,0
EQU_PE,D,20071112,000000,57.808,57.808,52.234,55.817,0,0
EQU_PE,D,20071113,000000,57.25,57.25,52.95,56.534,0,0
EQU_PE,D,20071114,000000,57.25,57.25,53.03,57.25,0,0
EQU_PE,D,20071115,000000,57.25,57.25,51.517,51.597,0,0
EQU_PE,D,20071116,000000,51.915,51.915,49.128,50.164,0,0
EQU_PE,D,20071119,000000,50.164,54.861,46.58,46.66,0,0
EQU_PE,D,20071120,000000,45.784,47.217,45.068,45.864,0,0
EQU_PE,D,20071121,000000,45.705,45.864,38.698,43.236,0,0
EQU_PE,D,20071122,000000,45.784,45.784,35.592,35.592,0,0
EQU_PE,D,20071123,000000,35.592,35.592,32.248,35.115,0,0
EQU_PE,D,20071126,000000,35.115,35.115,32.646,34.876,0,0
