<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ETL_MV,D,20070813,000000,19.1365,19.1365,19.1365,19.1365,0,0
ETL_MV,D,20070814,000000,19.2504,19.2504,19.2504,19.2504,0,0
ETL_MV,D,20070816,000000,17.7491,17.7491,17.7491,17.7491,0,0
ETL_MV,D,20070817,000000,17.645,17.645,17.645,17.645,0,0
ETL_MV,D,20070820,000000,18.0019,18.0019,18.0019,18.0019,0,0
ETL_MV,D,20070821,000000,17.0958,17.0958,17.0958,17.0958,0,0
ETL_MV,D,20070822,000000,17.9377,17.9377,17.9377,17.9377,0,0
ETL_MV,D,20070823,000000,17.9377,17.9377,17.9377,17.9377,0,0
ETL_MV,D,20070824,000000,17.7491,17.7491,17.7491,17.7491,0,0
ETL_MV,D,20070827,000000,17.9475,17.9475,17.9475,17.9475,0,0
ETL_MV,D,20070828,000000,18.3548,18.3548,18.3548,18.3548,0,0
ETL_MV,D,20070829,000000,18.5791,18.5791,18.5791,18.5791,0,0
ETL_MV,D,20070830,000000,18.5965,18.5965,18.5965,18.5965,0,0
ETL_MV,D,20070831,000000,18.6902,18.6902,18.6902,18.6902,0,0
ETL_MV,D,20070903,000000,18.9926,18.9926,18.9926,18.9926,0,0
ETL_MV,D,20070904,000000,19.5425,19.5425,19.5425,19.5425,0,0
ETL_MV,D,20070905,000000,19.4935,19.4935,19.4935,19.4935,0,0
ETL_MV,D,20070906,000000,19.3056,19.3056,19.3056,19.3056,0,0
ETL_MV,D,20070907,000000,18.3785,18.3785,18.3785,18.3785,0,0
ETL_MV,D,20070910,000000,18.0963,18.0963,18.0963,18.0963,0,0
ETL_MV,D,20070911,000000,17.7491,17.7491,17.7491,17.7491,0,0
ETL_MV,D,20070912,000000,18.3639,18.3639,18.3639,18.3639,0,0
ETL_MV,D,20070913,000000,18.0858,18.0858,18.0858,18.0858,0,0
ETL_MV,D,20070914,000000,18.0788,18.0788,18.0788,18.0788,0,0
ETL_MV,D,20070917,000000,17.8881,17.8881,17.8881,17.8881,0,0
ETL_MV,D,20070918,000000,17.418,17.418,17.418,17.418,0,0
ETL_MV,D,20070919,000000,17.7491,17.7491,17.7491,17.7491,0,0
ETL_MV,D,20070920,000000,17.8881,17.8881,17.8881,17.8881,0,0
ETL_MV,D,20070921,000000,17.7946,17.7946,17.7946,17.7946,0,0
ETL_MV,D,20070924,000000,17.777,17.777,17.777,17.777,0,0
ETL_MV,D,20070925,000000,18.4072,18.4072,18.4072,18.4072,0,0
ETL_MV,D,20070926,000000,18.4072,18.4072,18.4072,18.4072,0,0
ETL_MV,D,20070927,000000,18.4589,18.4589,18.4589,18.4589,0,0
ETL_MV,D,20070928,000000,17.8881,17.8881,17.8881,17.8881,0,0
ETL_MV,D,20071001,000000,18.0788,18.0788,18.0788,18.0788,0,0
ETL_MV,D,20071002,000000,17.9175,17.9175,17.9175,17.9175,0,0
ETL_MV,D,20071003,000000,17.7393,17.7393,17.7393,17.7393,0,0
ETL_MV,D,20071004,000000,17.7491,17.7491,17.7491,17.7491,0,0
ETL_MV,D,20071005,000000,17.8336,17.8336,17.8336,17.8336,0,0
ETL_MV,D,20071008,000000,17.5604,17.5604,17.5604,17.5604,0,0
ETL_MV,D,20071009,000000,17.8433,17.8433,17.8433,17.8433,0,0
ETL_MV,D,20071010,000000,17.928,17.928,17.928,17.928,0,0
ETL_MV,D,20071011,000000,18.1753,18.1753,18.1753,18.1753,0,0
ETL_MV,D,20071012,000000,18.032,18.032,18.032,18.032,0,0
ETL_MV,D,20071015,000000,17.9377,17.9377,17.9377,17.9377,0,0
ETL_MV,D,20071016,000000,18.2102,18.2102,18.2102,18.2102,0,0
ETL_MV,D,20071017,000000,18.1648,18.1648,18.1648,18.1648,0,0
ETL_MV,D,20071018,000000,17.9377,17.9377,17.9377,17.9377,0,0
ETL_MV,D,20071019,000000,18.125,18.125,18.125,18.125,0,0
ETL_MV,D,20071022,000000,18.2199,18.2199,18.2199,18.2199,0,0
ETL_MV,D,20071023,000000,19.0694,19.0694,19.0694,19.0694,0,0
ETL_MV,D,20071024,000000,20.29,20.29,20.29,20.29,0,0
ETL_MV,D,20071025,000000,20.3927,20.3927,20.3927,20.3927,0,0
ETL_MV,D,20071026,000000,20.3927,20.3927,20.3927,20.3927,0,0
ETL_MV,D,20071029,000000,20.6659,20.6659,20.6659,20.6659,0,0
ETL_MV,D,20071030,000000,20.8732,20.8732,20.8732,20.8732,0,0
ETL_MV,D,20071031,000000,20.9781,20.9781,20.9781,20.9781,0,0
ETL_MV,D,20071102,000000,20.9676,20.9676,20.9676,20.9676,0,0
ETL_MV,D,20071105,000000,19.7884,19.7884,19.7884,19.7884,0,0
ETL_MV,D,20071106,000000,20.0712,20.0712,20.0712,20.0712,0,0
ETL_MV,D,20071107,000000,19.8247,19.8247,19.8247,19.8247,0,0
ETL_MV,D,20071108,000000,19.685,19.685,19.685,19.685,0,0
ETL_MV,D,20071109,000000,19.4859,20.29,19.4859,19.8247,0,0
ETL_MV,D,20071112,000000,19.8247,21.6195,19.8247,21.602,0,0
ETL_MV,D,20071113,000000,21.602,21.7137,20.7692,21.7137,0,0
ETL_MV,D,20071114,000000,21.9038,22.1867,21.7137,22.1867,0,0
ETL_MV,D,20071115,000000,22.1867,22.6478,20.7692,22.1867,0,0
ETL_MV,D,20071116,000000,20.9579,22.1867,20.7692,21.1471,0,0
ETL_MV,D,20071119,000000,21.572,23.3156,21.1471,23.1376,0,0
ETL_MV,D,20071120,000000,23.1278,23.5071,22.9398,23.4603,0,0
ETL_MV,D,20071121,000000,22.9398,23.3156,22.6576,22.6576,0,0
ETL_MV,D,20071122,000000,22.6576,22.6576,21.9387,22.6275,0,0
ETL_MV,D,20071123,000000,22.6576,22.6576,22.1867,22.325,0,0
ETL_MV,D,20071126,000000,22.3746,22.7072,21.602,21.9038,0,0
ETL_MV,D,20071127,000000,21.9038,21.9038,21.5251,21.7137,0,0
ETL_MV,D,20071128,000000,21.9282,21.9282,21.572,21.7137,0,0
ETL_MV,D,20071129,000000,22.0826,22.1867,21.8074,22.1867,0,0
ETL_MV,D,20071130,000000,22.6275,22.6478,22.1867,22.469,0,0
ETL_MV,D,20071203,000000,22.469,22.469,22.469,22.469,0,0
ETL_MV,D,20071204,000000,22.3746,22.3746,21.7137,21.7137,0,0
ETL_MV,D,20071205,000000,21.7242,21.7242,21.7242,21.7242,0,0
ETL_MV,D,20071206,000000,21.7137,21.9981,21.7137,21.9981,0,0
ETL_MV,D,20071207,000000,22.0924,22.6178,22.0924,22.6178,0,0
ETL_MV,D,20071210,000000,22.4592,22.4592,21.9038,22.281,0,0
ETL_MV,D,20071211,000000,22.4592,22.4592,22.4592,22.4592,0,0
ETL_MV,D,20071212,000000,21.9485,21.9485,21.7137,21.7137,0,0
ETL_MV,D,20071213,000000,21.7137,21.7137,21.7137,21.7137,0,0
ETL_MV,D,20071214,000000,21.4978,21.7137,20.8642,21.7137,0,0
ETL_MV,D,20071217,000000,21.7137,22.1364,20.8642,21.0529,0,0
ETL_MV,D,20071218,000000,21.0145,21.6195,20.6756,21.6195,0,0
ETL_MV,D,20071219,000000,20.9579,21.7137,20.5813,21.7137,0,0
ETL_MV,D,20071220,000000,21.4978,21.8074,21.1471,21.8074,0,0
ETL_MV,D,20071221,000000,21.9038,21.9038,20.6378,21.8074,0,0
ETL_MV,D,20071227,000000,22.1867,22.1867,21.2408,21.6963,0,0
ETL_MV,D,20071228,000000,21.4776,22.0924,21.4287,22.0924,0,0
ETL_MV,D,20080102,000000,22.0924,22.0924,21.0529,22.0924,0,0
ETL_MV,D,20080103,000000,21.5154,21.609,21.0529,21.609,0,0
ETL_MV,D,20080104,000000,21.609,21.609,21.609,21.609,0,0
ETL_MV,D,20080107,000000,21.1471,21.7137,21.1471,21.4287,0,0
ETL_MV,D,20080108,000000,21.4287,21.4287,21.4287,21.4287,0,0
ETL_MV,D,20080109,000000,20.7692,20.7692,19.3727,20.6274,0,0
ETL_MV,D,20080110,000000,19.7415,20.2963,18.9926,18.9926,0,0
ETL_MV,D,20080111,000000,18.9381,19.8247,18.8354,19.8247,0,0
ETL_MV,D,20080114,000000,19.7017,19.7017,19.7017,19.7017,0,0
ETL_MV,D,20080115,000000,19.5425,19.5425,19.5425,19.5425,0,0
ETL_MV,D,20080116,000000,19.3552,19.3552,18.125,18.4072,0,0
ETL_MV,D,20080117,000000,19.0694,20.0608,18.8892,19.685,0,0
ETL_MV,D,20080118,000000,19.8149,19.8149,18.9081,19.8149,0,0
ETL_MV,D,20080121,000000,17.9475,19.6165,17.9475,18.7851,0,0
ETL_MV,D,20080122,000000,19.4489,19.4489,16.9938,18.76,0,0
ETL_MV,D,20080123,000000,17.9377,18.6364,17.9377,18.6364,0,0
ETL_MV,D,20080124,000000,18.6461,18.8823,17.8134,18.8823,0,0
ETL_MV,D,20080125,000000,18.8823,18.9752,18.4072,18.4072,0,0
ETL_MV,D,20080128,000000,19.3342,19.3342,19.3342,19.3342,0,0
ETL_MV,D,20080129,000000,19.3252,20.2963,18.8823,20.1921,0,0
ETL_MV,D,20080130,000000,20.1076,20.1076,20.1076,20.1076,0,0
ETL_MV,D,20080131,000000,18.8823,19.731,18.4072,18.4072,0,0
ETL_MV,D,20080201,000000,20.1076,20.1076,18.8823,19.5033,0,0
ETL_MV,D,20080204,000000,20.1369,20.1454,18.6063,19.8065,0,0
ETL_MV,D,20080205,000000,19.3454,19.3454,19.3454,19.3454,0,0
ETL_MV,D,20080206,000000,18.8823,19.5879,18.4072,19.5879,0,0
ETL_MV,D,20080208,000000,18.7111,19.5425,18.5022,18.5322,0,0
ETL_MV,D,20080211,000000,18.5322,19.0694,18.5322,19.0694,0,0
ETL_MV,D,20080212,000000,18.4072,19.0625,18.4072,19.0625,0,0
ETL_MV,D,20080213,000000,19.0625,19.3552,19.0625,19.3552,0,0
ETL_MV,D,20080214,000000,19.8631,19.8631,19.8631,19.8631,0,0
ETL_MV,D,20080215,000000,19.8631,19.9861,19.8631,19.9861,0,0
ETL_MV,D,20080218,000000,19.8149,19.8149,19.8065,19.8065,0,0
ETL_MV,D,20080219,000000,20.1076,20.1076,19.3622,19.8149,0,0
ETL_MV,D,20080220,000000,19.731,19.731,19.731,19.731,0,0
ETL_MV,D,20080222,000000,18.6902,19.3342,18.6902,19.3342,0,0
ETL_MV,D,20080225,000000,19.3342,19.3342,18.7501,18.7501,0,0
ETL_MV,D,20080226,000000,19.3252,19.3252,18.7677,18.7677,0,0
ETL_MV,D,20080227,000000,19.3992,19.439,18.8823,19.2609,0,0
ETL_MV,D,20080228,000000,18.8823,18.8823,18.8823,18.8823,0,0
ETL_MV,D,20080229,000000,19.1169,19.1169,18.5022,18.8718,0,0
ETL_MV,D,20080303,000000,18.8641,19.1645,18.8641,19.1645,0,0
ETL_MV,D,20080304,000000,18.3143,19.1645,18.3143,19.1365,0,0
ETL_MV,D,20080305,000000,18.6902,18.6902,18.6902,18.6902,0,0
ETL_MV,D,20080306,000000,19.1645,20.1544,18.8823,18.8823,0,0
