<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EUR_MV,D,20070813,000000,918.897,918.897,918.897,918.897,0,0
EUR_MV,D,20070814,000000,910.227,910.227,910.227,910.227,0,0
EUR_MV,D,20070816,000000,885.049,885.049,885.049,885.049,0,0
EUR_MV,D,20070817,000000,859.034,859.034,859.034,859.034,0,0
EUR_MV,D,20070820,000000,859.034,859.034,859.034,859.034,0,0
EUR_MV,D,20070821,000000,824.322,824.322,824.322,824.322,0,0
EUR_MV,D,20070822,000000,815.644,815.644,815.644,815.644,0,0
EUR_MV,D,20070823,000000,833,833,833,833,0,0
EUR_MV,D,20070824,000000,824.322,824.322,824.322,824.322,0,0
EUR_MV,D,20070827,000000,838.203,838.203,838.203,838.203,0,0
EUR_MV,D,20070828,000000,859.034,859.034,859.034,859.034,0,0
EUR_MV,D,20070829,000000,867.702,867.702,867.702,867.702,0,0
EUR_MV,D,20070830,000000,882.447,882.447,882.447,882.447,0,0
EUR_MV,D,20070831,000000,871.177,871.177,871.177,871.177,0,0
EUR_MV,D,20070903,000000,866.838,866.838,866.838,866.838,0,0
EUR_MV,D,20070904,000000,867.702,867.702,867.702,867.702,0,0
EUR_MV,D,20070905,000000,833,833,833,833,0,0
EUR_MV,D,20070906,000000,831.263,831.263,831.263,831.263,0,0
EUR_MV,D,20070907,000000,833,833,833,833,0,0
EUR_MV,D,20070910,000000,802.618,802.618,802.618,802.618,0,0
EUR_MV,D,20070911,000000,867.702,867.702,867.702,867.702,0,0
EUR_MV,D,20070912,000000,851.229,851.229,851.229,851.229,0,0
EUR_MV,D,20070913,000000,850.346,850.346,850.346,850.346,0,0
EUR_MV,D,20070914,000000,848.627,848.627,848.627,848.627,0,0
EUR_MV,D,20070917,000000,826.933,826.933,826.933,826.933,0,0
EUR_MV,D,20070918,000000,839.94,839.94,839.94,839.94,0,0
EUR_MV,D,20070919,000000,841.677,841.677,841.677,841.677,0,0
EUR_MV,D,20070920,000000,841.677,841.677,841.677,841.677,0,0
EUR_MV,D,20070921,000000,837.329,837.329,837.329,837.329,0,0
EUR_MV,D,20070924,000000,841.677,841.677,841.677,841.677,0,0
EUR_MV,D,20070925,000000,841.677,841.677,841.677,841.677,0,0
EUR_MV,D,20070926,000000,841.677,841.677,841.677,841.677,0,0
EUR_MV,D,20070927,000000,841.677,841.677,841.677,841.677,0,0
EUR_MV,D,20070928,000000,850.346,850.346,850.346,850.346,0,0
EUR_MV,D,20071001,000000,856.413,856.413,856.413,856.413,0,0
EUR_MV,D,20071002,000000,841.677,841.677,841.677,841.677,0,0
EUR_MV,D,20071003,000000,848.627,848.627,848.627,848.627,0,0
EUR_MV,D,20071004,000000,848.627,848.627,848.627,848.627,0,0
EUR_MV,D,20071005,000000,852.939,852.939,852.939,852.939,0,0
EUR_MV,D,20071008,000000,839.94,839.94,839.94,839.94,0,0
EUR_MV,D,20071009,000000,839.076,839.076,839.076,839.076,0,0
EUR_MV,D,20071010,000000,857.296,857.296,857.296,857.296,0,0
EUR_MV,D,20071011,000000,941.453,941.453,941.453,941.453,0,0
EUR_MV,D,20071012,000000,915.422,915.422,915.422,915.422,0,0
EUR_MV,D,20071015,000000,944.933,944.933,944.933,944.933,0,0
EUR_MV,D,20071016,000000,937.117,937.117,937.117,937.117,0,0
EUR_MV,D,20071017,000000,958.812,958.812,958.812,958.812,0,0
EUR_MV,D,20071018,000000,964.88,964.88,964.88,964.88,0,0
EUR_MV,D,20071019,000000,993.512,993.512,993.512,993.512,0,0
EUR_MV,D,20071022,000000,953.598,953.598,953.598,953.598,0,0
EUR_MV,D,20071023,000000,954.48,954.48,954.48,954.48,0,0
EUR_MV,D,20071024,000000,964.88,964.88,964.88,964.88,0,0
EUR_MV,D,20071025,000000,941.453,941.453,941.453,941.453,0,0
EUR_MV,D,20071026,000000,937.983,937.983,937.983,937.983,0,0
EUR_MV,D,20071029,000000,954.48,954.48,954.48,954.48,0,0
EUR_MV,D,20071030,000000,938.865,938.865,938.865,938.865,0,0
EUR_MV,D,20071031,000000,954.48,954.48,954.48,954.48,0,0
EUR_MV,D,20071102,000000,919.76,919.76,919.76,919.76,0,0
EUR_MV,D,20071105,000000,940.581,940.581,940.581,940.581,0,0
EUR_MV,D,20071106,000000,945.795,945.795,945.795,945.795,0,0
EUR_MV,D,20071107,000000,941.453,941.453,941.453,941.453,0,0
EUR_MV,D,20071108,000000,931.914,931.914,931.914,931.914,0,0
EUR_MV,D,20071109,000000,928.457,940.581,928.457,940.581,0,0
EUR_MV,D,20071112,000000,902.414,940.581,902.414,932.768,0,0
EUR_MV,D,20071113,000000,902.414,938.865,902.414,902.414,0,0
EUR_MV,D,20071114,000000,932.768,932.768,902.414,927.574,0,0
EUR_MV,D,20071115,000000,911.092,928.457,911.092,925.846,0,0
EUR_MV,D,20071116,000000,928.457,928.457,893.726,916.305,0,0
EUR_MV,D,20071119,000000,924.09,924.09,893.726,919.76,0,0
EUR_MV,D,20071120,000000,915.422,915.422,859.034,884.185,0,0
EUR_MV,D,20071121,000000,854.686,854.686,826.059,849.491,0,0
EUR_MV,D,20071122,000000,863.354,872.041,859.034,872.041,0,0
EUR_MV,D,20071123,000000,872.041,878.973,872.041,878.973,0,0
EUR_MV,D,20071126,000000,878.973,880.728,867.702,867.702,0,0
EUR_MV,D,20071127,000000,867.702,867.702,841.677,841.677,0,0
EUR_MV,D,20071128,000000,854.686,854.686,824.322,824.322,0,0
EUR_MV,D,20071129,000000,824.322,863.354,824.322,863.354,0,0
EUR_MV,D,20071130,000000,862.499,945.795,862.499,945.795,0,0
EUR_MV,D,20071203,000000,945.795,976.181,943.198,976.181,0,0
EUR_MV,D,20071204,000000,975.281,975.281,950.119,950.119,0,0
EUR_MV,D,20071205,000000,954.48,954.48,954.48,954.48,0,0
EUR_MV,D,20071206,000000,954.48,954.48,951.872,951.872,0,0
EUR_MV,D,20071207,000000,976.181,1059.47,976.181,1049.93,0,0
EUR_MV,D,20071210,000000,1055.99,1055.99,1021.28,1029.97,0,0
EUR_MV,D,20071211,000000,1023.9,1031.7,1006.53,1031.7,0,0
EUR_MV,D,20071212,000000,1002.21,1041.25,1002.21,1041.25,0,0
EUR_MV,D,20071213,000000,1041.25,1041.25,963.154,1019.55,0,0
EUR_MV,D,20071214,000000,1015.21,1015.21,997.845,1006.53,0,0
EUR_MV,D,20071217,000000,980.495,989.188,958.812,958.812,0,0
EUR_MV,D,20071218,000000,958.812,1041.25,915.422,958.812,0,0
EUR_MV,D,20071219,000000,963.154,963.154,911.092,954.48,0,0
EUR_MV,D,20071220,000000,932.768,1038.64,932.768,1038.64,0,0
EUR_MV,D,20071221,000000,1015.21,1015.21,976.181,989.188,0,0
EUR_MV,D,20071227,000000,1002.21,1002.21,989.188,989.188,0,0
EUR_MV,D,20071228,000000,980.495,1041.25,980.495,1041.25,0,0
EUR_MV,D,20080102,000000,1032.55,1032.55,993.512,994.375,0,0
EUR_MV,D,20080103,000000,958.812,963.154,958.812,963.154,0,0
EUR_MV,D,20080104,000000,953.598,954.48,934.515,936.261,0,0
EUR_MV,D,20080107,000000,914.557,919.76,885.049,885.049,0,0
EUR_MV,D,20080108,000000,872.041,896.337,872.041,896.337,0,0
EUR_MV,D,20080109,000000,893.726,893.726,876.371,889.397,0,0
EUR_MV,D,20080110,000000,867.702,867.702,851.229,867.702,0,0
EUR_MV,D,20080111,000000,859.034,867.702,859.034,867.702,0,0
EUR_MV,D,20080114,000000,859.034,859.034,859.034,859.034,0,0
EUR_MV,D,20080115,000000,851.229,867.702,851.229,867.702,0,0
EUR_MV,D,20080116,000000,859.034,859.034,824.322,841.677,0,0
EUR_MV,D,20080117,000000,850.346,885.049,850.346,880.728,0,0
EUR_MV,D,20080118,000000,868.584,954.48,868.584,937.117,0,0
