<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EUR_PB,D,20070813,000000,4.49451,4.49451,4.49451,4.49451,0,0
EUR_PB,D,20070814,000000,4.45158,4.45158,4.45158,4.45158,0,0
EUR_PB,D,20070816,000000,4.3296,4.3296,4.3296,4.3296,0,0
EUR_PB,D,20070817,000000,4.2077,4.2077,4.2077,4.2077,0,0
EUR_PB,D,20070820,000000,4.2077,4.2077,4.2077,4.2077,0,0
EUR_PB,D,20070821,000000,4.0357,4.0357,4.0357,4.0357,0,0
EUR_PB,D,20070822,000000,3.67728,3.67728,3.67728,3.67728,0,0
EUR_PB,D,20070823,000000,3.74898,3.74898,3.74898,3.74898,0,0
EUR_PB,D,20070824,000000,3.71313,3.71313,3.71313,3.71313,0,0
EUR_PB,D,20070827,000000,3.77775,3.77775,3.77775,3.77775,0,0
EUR_PB,D,20070828,000000,3.87069,3.87069,3.87069,3.87069,0,0
EUR_PB,D,20070829,000000,3.90654,3.90654,3.90654,3.90654,0,0
EUR_PB,D,20070830,000000,3.97107,3.97107,3.97107,3.97107,0,0
EUR_PB,D,20070831,000000,3.92824,3.92824,3.92824,3.92824,0,0
EUR_PB,D,20070903,000000,3.90654,3.90654,3.90654,3.90654,0,0
EUR_PB,D,20070904,000000,3.90654,3.90654,3.90654,3.90654,0,0
EUR_PB,D,20070905,000000,3.74898,3.74898,3.74898,3.74898,0,0
EUR_PB,D,20070906,000000,3.7419,3.7419,3.7419,3.7419,0,0
EUR_PB,D,20070907,000000,3.74898,3.74898,3.74898,3.74898,0,0
EUR_PB,D,20070910,000000,3.61284,3.61284,3.61284,3.61284,0,0
EUR_PB,D,20070911,000000,3.90654,3.90654,3.90654,3.90654,0,0
EUR_PB,D,20070912,000000,3.83512,3.83512,3.83512,3.83512,0,0
EUR_PB,D,20070913,000000,3.82777,3.82777,3.82777,3.82777,0,0
EUR_PB,D,20070914,000000,3.82078,3.82078,3.82078,3.82078,0,0
EUR_PB,D,20070917,000000,3.72039,3.72039,3.72039,3.72039,0,0
EUR_PB,D,20070918,000000,3.78493,3.78493,3.78493,3.78493,0,0
EUR_PB,D,20070919,000000,3.79201,3.79201,3.79201,3.79201,0,0
EUR_PB,D,20070920,000000,3.79201,3.79201,3.79201,3.79201,0,0
EUR_PB,D,20070921,000000,3.77068,3.77068,3.77068,3.77068,0,0
EUR_PB,D,20070924,000000,3.79201,3.79201,3.79201,3.79201,0,0
EUR_PB,D,20070925,000000,3.79201,3.79201,3.79201,3.79201,0,0
EUR_PB,D,20070926,000000,3.79201,3.79201,3.79201,3.79201,0,0
EUR_PB,D,20070927,000000,3.79201,3.79201,3.79201,3.79201,0,0
EUR_PB,D,20070928,000000,3.82777,3.82777,3.82777,3.82777,0,0
EUR_PB,D,20071001,000000,3.85663,3.85663,3.85663,3.85663,0,0
EUR_PB,D,20071002,000000,3.79201,3.79201,3.79201,3.79201,0,0
EUR_PB,D,20071003,000000,3.82078,3.82078,3.82078,3.82078,0,0
EUR_PB,D,20071004,000000,3.82078,3.82078,3.82078,3.82078,0,0
EUR_PB,D,20071005,000000,3.8421,3.8421,3.8421,3.8421,0,0
EUR_PB,D,20071008,000000,3.78493,3.78493,3.78493,3.78493,0,0
EUR_PB,D,20071009,000000,3.77775,3.77775,3.77775,3.77775,0,0
EUR_PB,D,20071010,000000,3.86362,3.86362,3.86362,3.86362,0,0
EUR_PB,D,20071011,000000,4.23638,4.23638,4.23638,4.23638,0,0
EUR_PB,D,20071012,000000,4.12175,4.12175,4.12175,4.12175,0,0
EUR_PB,D,20071015,000000,4.25798,4.25798,4.25798,4.25798,0,0
EUR_PB,D,20071016,000000,4.21496,4.21496,4.21496,4.21496,0,0
EUR_PB,D,20071017,000000,4.32242,4.32242,4.32242,4.32242,0,0
EUR_PB,D,20071018,000000,4.34384,4.34384,4.34384,4.34384,0,0
EUR_PB,D,20071019,000000,4.47291,4.47291,4.47291,4.47291,0,0
EUR_PB,D,20071022,000000,4.29374,4.29374,4.29374,4.29374,0,0
EUR_PB,D,20071023,000000,4.30092,4.30092,4.30092,4.30092,0,0
EUR_PB,D,20071024,000000,4.34384,4.34384,4.34384,4.34384,0,0
EUR_PB,D,20071025,000000,4.23638,4.23638,4.23638,4.23638,0,0
EUR_PB,D,20071026,000000,4.22213,4.22213,4.22213,4.22213,0,0
EUR_PB,D,20071029,000000,4.30092,4.30092,4.30092,4.30092,0,0
EUR_PB,D,20071030,000000,4.22921,4.22921,4.22921,4.22921,0,0
EUR_PB,D,20071031,000000,4.30092,4.30092,4.30092,4.30092,0,0
EUR_PB,D,20071102,000000,4.14317,4.14317,4.14317,4.14317,0,0
EUR_PB,D,20071105,000000,4.23638,4.23638,4.23638,4.23638,0,0
EUR_PB,D,20071106,000000,4.25798,4.25798,4.25798,4.25798,0,0
EUR_PB,D,20071107,000000,4.23638,4.23638,4.23638,4.23638,0,0
EUR_PB,D,20071108,000000,4.20053,4.20053,4.20053,4.20053,0,0
EUR_PB,D,20071109,000000,4.18637,4.23638,4.18637,4.23638,0,0
EUR_PB,D,20071112,000000,4.06429,4.23638,4.06429,4.2077,0,0
EUR_PB,D,20071113,000000,4.06429,4.22921,4.06429,4.06429,0,0
EUR_PB,D,20071114,000000,4.2077,4.2077,4.06429,4.17921,0,0
EUR_PB,D,20071115,000000,4.10015,4.18637,4.10015,4.17194,0,0
EUR_PB,D,20071116,000000,4.18637,4.18637,4.02863,4.12901,0,0
EUR_PB,D,20071119,000000,4.16468,4.34384,4.02863,4.34384,0,0
EUR_PB,D,20071120,000000,4.3296,4.3296,4.06429,4.17921,0,0
EUR_PB,D,20071121,000000,4.04287,4.04287,3.90654,4.0142,0,0
EUR_PB,D,20071122,000000,4.08589,4.12175,4.06429,4.12175,0,0
EUR_PB,D,20071123,000000,4.12175,4.1575,4.12175,4.1575,0,0
EUR_PB,D,20071126,000000,4.1575,4.16468,4.10015,4.10015,0,0
EUR_PB,D,20071127,000000,4.10015,4.10015,3.97834,3.97834,0,0
EUR_PB,D,20071128,000000,4.04287,4.04287,3.89946,3.89946,0,0
EUR_PB,D,20071129,000000,3.89946,4.08589,3.89946,4.08589,0,0
EUR_PB,D,20071130,000000,4.07873,4.47291,4.07873,4.47291,0,0
EUR_PB,D,20071203,000000,4.47291,4.60906,4.45866,4.60906,0,0
EUR_PB,D,20071204,000000,4.60906,4.60906,4.48725,4.48725,0,0
EUR_PB,D,20071205,000000,4.50876,4.50876,4.50876,4.50876,0,0
EUR_PB,D,20071206,000000,4.50876,4.50876,4.49451,4.49451,0,0
EUR_PB,D,20071207,000000,4.60906,5.00342,4.60906,4.96766,0,0
EUR_PB,D,20071210,000000,4.98908,4.98908,4.83142,4.86709,0,0
EUR_PB,D,20071211,000000,4.8386,4.87445,4.75255,4.87445,0,0
EUR_PB,D,20071212,000000,4.73104,4.91738,4.73104,4.91738,0,0
EUR_PB,D,20071213,000000,4.91738,4.91738,4.55178,4.81699,0,0
EUR_PB,D,20071214,000000,4.79548,4.79548,4.7167,4.75255,0,0
EUR_PB,D,20071217,000000,4.63066,4.67359,4.53027,4.53027,0,0
EUR_PB,D,20071218,000000,4.53027,4.91738,4.3296,4.53027,0,0
