<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EUR_PE,D,20070813,000000,19.2247,19.2247,19.2247,19.2247,0,0
EUR_PE,D,20070814,000000,19.017,19.017,19.017,19.017,0,0
EUR_PE,D,20070816,000000,18.4718,18.4718,18.4718,18.4718,0,0
EUR_PE,D,20070817,000000,17.935,17.935,17.935,17.935,0,0
EUR_PE,D,20070820,000000,17.935,17.935,17.935,17.935,0,0
EUR_PE,D,20070821,000000,17.1822,17.1822,17.1822,17.1822,0,0
EUR_PE,D,20070822,000000,16.2997,16.2997,16.2997,16.2997,0,0
EUR_PE,D,20070823,000000,16.6452,16.6452,16.6452,16.6452,0,0
EUR_PE,D,20070824,000000,16.5083,16.5083,16.5083,16.5083,0,0
EUR_PE,D,20070827,000000,16.7813,16.7813,16.7813,16.7813,0,0
EUR_PE,D,20070828,000000,17.1822,17.1822,17.1822,17.1822,0,0
EUR_PE,D,20070829,000000,17.3182,17.3182,17.3182,17.3182,0,0
EUR_PE,D,20070830,000000,17.662,17.662,17.662,17.662,0,0
EUR_PE,D,20070831,000000,17.3899,17.3899,17.3899,17.3899,0,0
EUR_PE,D,20070903,000000,17.3182,17.3182,17.3182,17.3182,0,0
EUR_PE,D,20070904,000000,17.3182,17.3182,17.3182,17.3182,0,0
EUR_PE,D,20070905,000000,16.6452,16.6452,16.6452,16.6452,0,0
EUR_PE,D,20070906,000000,16.6452,16.6452,16.6452,16.6452,0,0
EUR_PE,D,20070907,000000,16.6452,16.6452,16.6452,16.6452,0,0
EUR_PE,D,20070910,000000,16.0284,16.0284,16.0284,16.0284,0,0
EUR_PE,D,20070911,000000,17.3182,17.3182,17.3182,17.3182,0,0
EUR_PE,D,20070912,000000,17.047,17.047,17.047,17.047,0,0
EUR_PE,D,20070913,000000,16.9808,16.9808,16.9808,16.9808,0,0
EUR_PE,D,20070914,000000,16.9808,16.9808,16.9808,16.9808,0,0
EUR_PE,D,20070917,000000,16.5083,16.5083,16.5083,16.5083,0,0
EUR_PE,D,20070918,000000,16.7813,16.7813,16.7813,16.7813,0,0
EUR_PE,D,20070919,000000,16.8457,16.8457,16.8457,16.8457,0,0
EUR_PE,D,20070920,000000,16.8457,16.8457,16.8457,16.8457,0,0
EUR_PE,D,20070921,000000,16.7813,16.7813,16.7813,16.7813,0,0
EUR_PE,D,20070924,000000,16.8457,16.8457,16.8457,16.8457,0,0
EUR_PE,D,20070925,000000,16.8457,16.8457,16.8457,16.8457,0,0
EUR_PE,D,20070926,000000,16.8457,16.8457,16.8457,16.8457,0,0
EUR_PE,D,20070927,000000,16.8457,16.8457,16.8457,16.8457,0,0
EUR_PE,D,20070928,000000,16.9808,16.9808,16.9808,16.9808,0,0
EUR_PE,D,20071001,000000,17.1188,17.1188,17.1188,17.1188,0,0
EUR_PE,D,20071002,000000,16.8457,16.8457,16.8457,16.8457,0,0
EUR_PE,D,20071003,000000,16.9808,16.9808,16.9808,16.9808,0,0
EUR_PE,D,20071004,000000,16.9808,16.9808,16.9808,16.9808,0,0
EUR_PE,D,20071005,000000,17.047,17.047,17.047,17.047,0,0
EUR_PE,D,20071008,000000,16.7813,16.7813,16.7813,16.7813,0,0
EUR_PE,D,20071009,000000,16.7813,16.7813,16.7813,16.7813,0,0
EUR_PE,D,20071010,000000,17.1188,17.1188,17.1188,17.1188,0,0
EUR_PE,D,20071011,000000,18.8157,18.8157,18.8157,18.8157,0,0
EUR_PE,D,20071012,000000,18.3441,18.3441,18.3441,18.3441,0,0
