<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FMG_MV,D,20100120,000000,55.86,55.86,55.86,55.86,0,0
FMG_MV,D,20100121,000000,59.09,59.98,54.1,59.98,0,0
FMG_MV,D,20100122,000000,60.27,66.15,57.33,61.74,0,0
FMG_MV,D,20100125,000000,61.74,61.74,55.86,58.8,0,0
FMG_MV,D,20100126,000000,58.51,58.8,57.92,58.8,0,0
FMG_MV,D,20100127,000000,58.8,58.8,58.8,58.8,0,0
FMG_MV,D,20100128,000000,57.92,57.92,57.62,57.92,0,0
FMG_MV,D,20100129,000000,61.74,62.92,60.27,61.74,0,0
FMG_MV,D,20100201,000000,64.39,68.8,64.39,67.62,0,0
FMG_MV,D,20100202,000000,69.97,75.56,67.62,75.56,0,0
FMG_MV,D,20100203,000000,77.62,94.08,77.62,89.96,0,0
FMG_MV,D,20100204,000000,89.96,99.96,83.79,83.79,0,0
FMG_MV,D,20100205,000000,87.91,92.32,82.32,88.2,0,0
FMG_MV,D,20100208,000000,94.08,96.14,81.73,81.73,0,0
FMG_MV,D,20100209,000000,83.79,97.02,83.79,92.61,0,0
FMG_MV,D,20100210,000000,94.37,99.67,85.26,92.61,0,0
FMG_MV,D,20100211,000000,90.55,92.32,73.5,78.79,0,0
FMG_MV,D,20100212,000000,80.56,80.56,73.5,77.91,0,0
FMG_MV,D,20100215,000000,77.91,79.97,77.91,79.97,0,0
FMG_MV,D,20100216,000000,79.09,79.09,68.8,69.09,0,0
FMG_MV,D,20100217,000000,67.62,73.5,67.62,73.21,0,0
FMG_MV,D,20100218,000000,72.62,72.91,67.91,72.03,0,0
FMG_MV,D,20100222,000000,72.03,76.44,72.03,76.44,0,0
FMG_MV,D,20100223,000000,67.91,73.5,61.15,71.74,0,0
FMG_MV,D,20100224,000000,71.15,71.15,71.15,71.15,0,0
FMG_MV,D,20100225,000000,67.91,67.91,67.62,67.62,0,0
FMG_MV,D,20100226,000000,70.56,73.5,70.56,73.5,0,0
FMG_MV,D,20100301,000000,70.56,73.21,70.56,73.21,0,0
FMG_MV,D,20100302,000000,67.62,70.56,65.56,69.09,0,0
FMG_MV,D,20100304,000000,67.62,69.09,66.15,66.15,0,0
FMG_MV,D,20100305,000000,72.62,73.21,72.62,72.91,0,0
FMG_MV,D,20100309,000000,68.5,68.5,67.62,68.5,0,0
FMG_MV,D,20100310,000000,67.62,67.62,65.27,65.27,0,0
FMG_MV,D,20100311,000000,65.27,67.62,63.8,67.62,0,0
FMG_MV,D,20100312,000000,65.27,67.62,63.5,67.62,0,0
FMG_MV,D,20100315,000000,63.8,66.15,62.33,65.27,0,0
FMG_MV,D,20100316,000000,63.5,66.74,63.21,66.74,0,0
FMG_MV,D,20100317,000000,63.21,68.21,63.21,68.21,0,0
FMG_MV,D,20100318,000000,65.56,68.5,62.33,68.5,0,0
FMG_MV,D,20100319,000000,67.91,67.91,63.8,67.62,0,0
FMG_MV,D,20100322,000000,62.33,68.8,61.15,61.15,0,0
FMG_MV,D,20100323,000000,63.21,63.21,61.15,61.45,0,0
FMG_MV,D,20100324,000000,63.21,63.21,61.15,61.15,0,0
FMG_MV,D,20100325,000000,63.21,63.21,63.21,63.21,0,0
FMG_MV,D,20100326,000000,64.39,65.86,59.39,65.56,0,0
FMG_MV,D,20100329,000000,60.27,63.21,59.68,61.15,0,0
FMG_MV,D,20100330,000000,64.09,64.09,64.09,64.09,0,0
FMG_MV,D,20100331,000000,62.03,62.03,61.74,61.74,0,0
FMG_MV,D,20100401,000000,61.74,62.62,59.68,62.62,0,0
FMG_MV,D,20100406,000000,59.39,59.68,59.39,59.68,0,0
FMG_MV,D,20100407,000000,59.98,60.27,56.74,58.8,0,0
FMG_MV,D,20100408,000000,61.15,61.15,61.15,61.15,0,0
FMG_MV,D,20100409,000000,61.15,61.15,61.15,61.15,0,0
FMG_MV,D,20100412,000000,58.8,62.62,58.8,62.62,0,0
FMG_MV,D,20100413,000000,60.27,62.62,60.27,62.62,0,0
FMG_MV,D,20100414,000000,62.62,64.09,62.62,64.09,0,0
FMG_MV,D,20100415,000000,63.5,65.56,63.5,65.56,0,0
FMG_MV,D,20100416,000000,60.86,65.56,60.86,65.56,0,0
FMG_MV,D,20100419,000000,61.15,64.09,54.39,61.74,0,0
FMG_MV,D,20100420,000000,61.74,63.8,61.74,63.8,0,0
FMG_MV,D,20100421,000000,59.09,62.33,58.8,62.33,0,0
FMG_MV,D,20100422,000000,62.33,62.33,61.74,61.74,0,0
FMG_MV,D,20100423,000000,58.8,61.74,58.21,61.74,0,0
FMG_MV,D,20100427,000000,61.15,61.15,56.45,56.45,0,0
FMG_MV,D,20100428,000000,60.27,60.27,60.27,60.27,0,0
FMG_MV,D,20100429,000000,61.15,63.8,60.27,62.62,0,0
FMG_MV,D,20100430,000000,65.56,65.56,65.56,65.56,0,0
FMG_MV,D,20100504,000000,63.21,64.09,62.62,62.62,0,0
FMG_MV,D,20100505,000000,64.09,64.39,64.09,64.39,0,0
FMG_MV,D,20100506,000000,66.74,66.74,66.74,66.74,0,0
FMG_MV,D,20100507,000000,62.62,66.74,62.62,66.74,0,0
FMG_MV,D,20100510,000000,63.21,63.21,63.21,63.21,0,0
FMG_MV,D,20100512,000000,63.21,63.21,60.86,60.86,0,0
FMG_MV,D,20100513,000000,62.92,66.74,60.86,66.74,0,0
FMG_MV,D,20100517,000000,66.15,66.15,66.15,66.15,0,0
FMG_MV,D,20100518,000000,64.39,64.39,64.39,64.39,0,0
FMG_MV,D,20100519,000000,67.03,67.03,67.03,67.03,0,0
FMG_MV,D,20100520,000000,66.74,66.74,66.44,66.44,0,0
FMG_MV,D,20100521,000000,65.86,65.86,65.86,65.86,0,0
FMG_MV,D,20100525,000000,60.56,64.97,57.92,62.92,0,0
FMG_MV,D,20100526,000000,58.8,58.8,58.8,58.8,0,0
FMG_MV,D,20100527,000000,59.09,62.33,58.51,62.33,0,0
FMG_MV,D,20100528,000000,58.8,63.21,58.8,63.21,0,0
FMG_MV,D,20100531,000000,59.09,63.21,59.09,63.21,0,0
FMG_MV,D,20100601,000000,58.8,61.74,58.8,61.74,0,0
FMG_MV,D,20100602,000000,58.51,61.74,58.51,61.74,0,0
FMG_MV,D,20100604,000000,58.51,61.74,58.51,61.74,0,0
