<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FMG_PB,D,20100120,000000,1.71,1.71,1.71,1.71,0,0
FMG_PB,D,20100121,000000,1.81,1.84,1.66,1.84,0,0
FMG_PB,D,20100122,000000,1.84,2.02,1.75,1.89,0,0
FMG_PB,D,20100125,000000,1.89,1.89,1.71,1.8,0,0
FMG_PB,D,20100126,000000,1.79,1.8,1.77,1.8,0,0
FMG_PB,D,20100127,000000,1.8,1.8,1.8,1.8,0,0
FMG_PB,D,20100128,000000,1.77,1.77,1.76,1.77,0,0
FMG_PB,D,20100129,000000,1.89,1.93,1.84,1.89,0,0
FMG_PB,D,20100201,000000,1.97,2.11,1.97,2.07,0,0
FMG_PB,D,20100202,000000,2.14,2.31,2.07,2.31,0,0
FMG_PB,D,20100203,000000,2.38,2.88,2.38,2.75,0,0
FMG_PB,D,20100204,000000,2.75,3.06,2.56,2.56,0,0
FMG_PB,D,20100205,000000,2.69,2.82,2.52,2.7,0,0
FMG_PB,D,20100208,000000,2.88,2.94,2.5,2.5,0,0
FMG_PB,D,20100209,000000,2.56,2.97,2.56,2.83,0,0
FMG_PB,D,20100210,000000,2.89,3.05,2.61,2.83,0,0
FMG_PB,D,20100211,000000,2.77,2.82,2.25,2.41,0,0
FMG_PB,D,20100212,000000,2.47,2.47,2.25,2.38,0,0
FMG_PB,D,20100215,000000,2.38,2.45,2.38,2.45,0,0
FMG_PB,D,20100216,000000,2.42,2.42,2.11,2.2,0,0
FMG_PB,D,20100217,000000,2.15,2.34,2.15,2.33,0,0
FMG_PB,D,20100218,000000,2.31,2.32,2.16,2.29,0,0
FMG_PB,D,20100222,000000,2.29,2.43,2.29,2.43,0,0
FMG_PB,D,20100223,000000,2.16,2.34,1.95,2.28,0,0
FMG_PB,D,20100224,000000,2.27,2.27,2.27,2.27,0,0
FMG_PB,D,20100225,000000,2.16,2.16,2.15,2.15,0,0
FMG_PB,D,20100226,000000,2.25,2.34,2.25,2.34,0,0
FMG_PB,D,20100301,000000,2.25,2.33,2.25,2.33,0,0
FMG_PB,D,20100302,000000,2.15,2.25,2.09,2.2,0,0
FMG_PB,D,20100304,000000,2.15,2.2,2.11,2.11,0,0
FMG_PB,D,20100305,000000,2.31,2.33,2.31,2.32,0,0
FMG_PB,D,20100309,000000,2.18,2.18,2.15,2.18,0,0
FMG_PB,D,20100310,000000,2.15,2.15,2.08,2.08,0,0
FMG_PB,D,20100311,000000,2.08,2.15,2.03,2.15,0,0
FMG_PB,D,20100312,000000,2.08,2.15,2.02,2.15,0,0
FMG_PB,D,20100315,000000,2.03,2.11,1.98,2.08,0,0
FMG_PB,D,20100316,000000,2.02,2.12,2.01,2.12,0,0
FMG_PB,D,20100317,000000,2.01,2.17,2.01,2.17,0,0
FMG_PB,D,20100318,000000,2.09,2.18,1.98,2.18,0,0
FMG_PB,D,20100319,000000,2.16,2.16,2.03,2.15,0,0
FMG_PB,D,20100322,000000,1.98,2.19,1.95,1.95,0,0
FMG_PB,D,20100323,000000,2.01,2.01,1.95,1.96,0,0
FMG_PB,D,20100324,000000,2.01,2.01,1.95,1.95,0,0
FMG_PB,D,20100325,000000,2.01,2.01,2.01,2.01,0,0
FMG_PB,D,20100326,000000,2.05,2.1,1.89,2.09,0,0
FMG_PB,D,20100329,000000,1.92,2.01,1.9,1.95,0,0
FMG_PB,D,20100330,000000,2.04,2.04,2.04,2.04,0,0
FMG_PB,D,20100331,000000,1.97,1.97,1.97,1.97,0,0
FMG_PB,D,20100401,000000,1.97,1.99,1.9,1.99,0,0
FMG_PB,D,20100406,000000,1.89,1.9,1.89,1.9,0,0
FMG_PB,D,20100407,000000,1.91,1.92,1.81,1.87,0,0
FMG_PB,D,20100408,000000,1.95,1.95,1.95,1.95,0,0
FMG_PB,D,20100409,000000,1.95,1.95,1.95,1.95,0,0
FMG_PB,D,20100412,000000,1.87,1.99,1.87,1.99,0,0
FMG_PB,D,20100413,000000,1.92,1.99,1.92,1.99,0,0
FMG_PB,D,20100414,000000,1.99,2.04,1.99,2.04,0,0
FMG_PB,D,20100415,000000,2.02,2.09,2.02,2.09,0,0
FMG_PB,D,20100416,000000,1.94,2.09,1.94,2.09,0,0
FMG_PB,D,20100419,000000,1.95,2.04,1.73,1.97,0,0
FMG_PB,D,20100420,000000,1.97,2.03,1.97,2.03,0,0
FMG_PB,D,20100421,000000,1.88,1.98,1.87,1.98,0,0
FMG_PB,D,20100422,000000,1.98,1.98,1.97,1.97,0,0
FMG_PB,D,20100423,000000,1.87,1.97,1.85,1.97,0,0
FMG_PB,D,20100427,000000,1.95,1.95,1.8,1.8,0,0
FMG_PB,D,20100428,000000,1.92,1.92,1.92,1.92,0,0
FMG_PB,D,20100429,000000,1.95,2.03,1.92,1.99,0,0
FMG_PB,D,20100430,000000,2.09,2.09,2.09,2.09,0,0
FMG_PB,D,20100504,000000,2.01,2.04,1.99,1.99,0,0
FMG_PB,D,20100505,000000,2.04,2.05,2.04,2.05,0,0
FMG_PB,D,20100506,000000,2.12,2.12,2.12,2.12,0,0
FMG_PB,D,20100507,000000,1.99,2.12,1.99,2.12,0,0
FMG_PB,D,20100510,000000,2.01,2.01,2.01,2.01,0,0
FMG_PB,D,20100512,000000,2.01,2.01,1.94,1.94,0,0
FMG_PB,D,20100513,000000,2,2.12,1.94,2.05,0,0
FMG_PB,D,20100517,000000,2.03,2.03,2.03,2.03,0,0
FMG_PB,D,20100518,000000,1.97,1.97,1.97,1.97,0,0
FMG_PB,D,20100519,000000,2.05,2.05,2.05,2.05,0,0
FMG_PB,D,20100520,000000,2.05,2.05,2.04,2.04,0,0
FMG_PB,D,20100521,000000,2.02,2.02,2.02,2.02,0,0
FMG_PB,D,20100525,000000,1.86,1.99,1.78,1.93,0,0
FMG_PB,D,20100526,000000,1.8,1.8,1.8,1.8,0,0
FMG_PB,D,20100527,000000,1.81,1.91,1.79,1.91,0,0
FMG_PB,D,20100528,000000,1.8,1.94,1.8,1.94,0,0
FMG_PB,D,20100531,000000,1.81,1.94,1.81,1.94,0,0
FMG_PB,D,20100601,000000,1.8,1.89,1.8,1.89,0,0
FMG_PB,D,20100602,000000,1.79,1.89,1.79,1.89,0,0
FMG_PB,D,20100604,000000,1.79,1.89,1.79,1.89,0,0
