<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FRO_PE,D,20100414,000000,5.05474,5.05474,5.05474,5.05474,0,0
FRO_PE,D,20100415,000000,5.18357,5.22641,5.05474,5.05474,0,0
FRO_PE,D,20100416,000000,5.18357,5.18357,4.96961,5.14069,0,0
FRO_PE,D,20100419,000000,5.01187,5.01187,4.66956,5.01187,0,0
FRO_PE,D,20100420,000000,5.18357,5.18357,4.88374,5.14069,0,0
FRO_PE,D,20100421,000000,4.92697,5.14069,4.92697,5.14069,0,0
FRO_PE,D,20100422,000000,5.09798,5.09798,5.09798,5.09798,0,0
FRO_PE,D,20100423,000000,4.88374,5.05474,4.88374,4.92697,0,0
FRO_PE,D,20100426,000000,5.09798,5.22641,5.09798,5.09798,0,0
FRO_PE,D,20100427,000000,4.92697,4.92697,4.84086,4.84086,0,0
FRO_PE,D,20100428,000000,4.79808,4.88374,4.75499,4.88374,0,0
FRO_PE,D,20100429,000000,5.14069,5.18357,4.92697,4.92697,0,0
FRO_PE,D,20100430,000000,4.84086,6.34014,4.84086,6.34014,0,0
FRO_PE,D,20100505,000000,4.7122,4.7122,4.49827,4.49827,0,0
FRO_PE,D,20100507,000000,4.45547,4.49827,4.45547,4.45547,0,0
FRO_PE,D,20100510,000000,4.54098,4.54098,4.54098,4.54098,0,0
FRO_PE,D,20100511,000000,4.54098,4.54098,4.41216,4.41216,0,0
FRO_PE,D,20100512,000000,4.5836,4.5836,4.54098,4.54098,0,0
FRO_PE,D,20100513,000000,4.5836,4.5836,4.54098,4.54098,0,0
FRO_PE,D,20100514,000000,4.49827,4.66956,4.49827,4.66956,0,0
FRO_PE,D,20100517,000000,4.66956,4.66956,4.66956,4.66956,0,0
FRO_PE,D,20100518,000000,4.66956,4.66956,4.66956,4.66956,0,0
FRO_PE,D,20100520,000000,4.66956,4.66956,4.02689,4.02689,0,0
FRO_PE,D,20100525,000000,3.64134,4.32681,3.64134,4.32681,0,0
FRO_PE,D,20100526,000000,4.15542,4.32681,4.15542,4.32681,0,0
FRO_PE,D,20100527,000000,4.32681,4.36944,4.32681,4.36944,0,0
FRO_PE,D,20100528,000000,4.36944,4.41216,4.24107,4.36944,0,0
FRO_PE,D,20100531,000000,4.28402,4.36944,4.28402,4.36944,0,0
FRO_PE,D,20100601,000000,4.36944,4.36944,4.19821,4.28402,0,0
FRO_PE,D,20100604,000000,4.24107,4.28402,4.24107,4.28402,0,0
FRO_PE,D,20100607,000000,4.24107,4.24107,4.24107,4.24107,0,0
FRO_PE,D,20100608,000000,4.15542,4.24107,4.15542,4.24107,0,0
FRO_PE,D,20100609,000000,4.24107,4.24107,4.24107,4.24107,0,0
FRO_PE,D,20100610,000000,4.15542,4.15542,4.15542,4.15542,0,0
FRO_PE,D,20100611,000000,4.28402,4.28402,4.19821,4.19821,0,0
