<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FTE_PE,D,20070813,000000,11.8289,11.8289,11.8289,11.8289,0,0
FTE_PE,D,20070814,000000,11.8289,11.8289,11.8289,11.8289,0,0
FTE_PE,D,20070816,000000,10.5145,10.5145,10.5145,10.5145,0,0
FTE_PE,D,20070817,000000,10.5145,10.5145,10.5145,10.5145,0,0
FTE_PE,D,20070820,000000,10.5145,10.5145,10.5145,10.5145,0,0
FTE_PE,D,20070821,000000,10.0766,10.0766,10.0766,10.0766,0,0
FTE_PE,D,20070822,000000,10.0153,10.0153,10.0153,10.0153,0,0
FTE_PE,D,20070823,000000,7.51071,7.51071,7.51071,7.51071,0,0
FTE_PE,D,20070824,000000,7.63592,7.63592,7.63592,7.63592,0,0
FTE_PE,D,20070827,000000,7.38559,7.38559,7.38559,7.38559,0,0
FTE_PE,D,20070828,000000,7.32284,7.32284,7.32284,7.32284,0,0
FTE_PE,D,20070829,000000,7.32284,7.32284,7.32284,7.32284,0,0
FTE_PE,D,20070830,000000,7.13506,7.13506,7.13506,7.13506,0,0
FTE_PE,D,20070831,000000,7.38559,7.38559,7.38559,7.38559,0,0
FTE_PE,D,20070903,000000,7.69839,7.69839,7.69839,7.69839,0,0
FTE_PE,D,20070904,000000,7.82407,7.82407,7.82407,7.82407,0,0
FTE_PE,D,20070905,000000,7.63592,7.63592,7.63592,7.63592,0,0
FTE_PE,D,20070906,000000,7.76076,7.76076,7.76076,7.76076,0,0
FTE_PE,D,20070907,000000,7.44805,7.44805,7.44805,7.44805,0,0
FTE_PE,D,20070910,000000,7.19781,7.19781,7.19781,7.19781,0,0
FTE_PE,D,20070911,000000,7.32284,7.32284,7.32284,7.32284,0,0
FTE_PE,D,20070912,000000,7.32284,7.32284,7.32284,7.32284,0,0
FTE_PE,D,20070913,000000,7.19781,7.19781,7.19781,7.19781,0,0
FTE_PE,D,20070914,000000,7.19781,7.19781,7.19781,7.19781,0,0
FTE_PE,D,20070917,000000,7.26028,7.26028,7.26028,7.26028,0,0
FTE_PE,D,20070918,000000,7.26028,7.26028,7.26028,7.26028,0,0
FTE_PE,D,20070919,000000,7.32284,7.32284,7.32284,7.32284,0,0
FTE_PE,D,20070920,000000,7.32284,7.32284,7.32284,7.32284,0,0
FTE_PE,D,20070921,000000,7.44805,7.44805,7.44805,7.44805,0,0
FTE_PE,D,20070924,000000,7.69839,7.69839,7.69839,7.69839,0,0
FTE_PE,D,20070925,000000,7.44805,7.44805,7.44805,7.44805,0,0
FTE_PE,D,20070926,000000,7.44805,7.44805,7.44805,7.44805,0,0
FTE_PE,D,20070927,000000,7.57327,7.57327,7.57327,7.57327,0,0
FTE_PE,D,20070928,000000,7.32284,7.32284,7.32284,7.32284,0,0
FTE_PE,D,20071001,000000,7.13506,7.13506,7.13506,7.13506,0,0
FTE_PE,D,20071002,000000,7.19781,7.19781,7.19781,7.19781,0,0
FTE_PE,D,20071003,000000,7.38559,7.38559,7.38559,7.38559,0,0
FTE_PE,D,20071004,000000,7.13506,7.13506,7.13506,7.13506,0,0
FTE_PE,D,20071005,000000,7.32284,7.32284,7.32284,7.32284,0,0
FTE_PE,D,20071008,000000,7.13506,7.13506,7.13506,7.13506,0,0
FTE_PE,D,20071009,000000,6.88473,6.88473,6.88473,6.88473,0,0
FTE_PE,D,20071010,000000,6.82226,6.82226,6.82226,6.82226,0,0
FTE_PE,D,20071011,000000,6.82226,6.82226,6.82226,6.82226,0,0
FTE_PE,D,20071012,000000,7.13506,7.13506,7.13506,7.13506,0,0
FTE_PE,D,20071015,000000,7.26028,7.26028,7.26028,7.26028,0,0
FTE_PE,D,20071016,000000,7.26028,7.26028,7.26028,7.26028,0,0
FTE_PE,D,20071017,000000,7.26028,7.26028,7.26028,7.26028,0,0
FTE_PE,D,20071018,000000,7.19781,7.19781,7.19781,7.19781,0,0
FTE_PE,D,20071019,000000,7.01004,7.01004,7.01004,7.01004,0,0
FTE_PE,D,20071022,000000,7.13506,7.13506,7.13506,7.13506,0,0
FTE_PE,D,20071023,000000,7.13506,7.13506,7.13506,7.13506,0,0
FTE_PE,D,20071024,000000,7.13506,7.13506,7.13506,7.13506,0,0
FTE_PE,D,20071025,000000,6.88473,6.88473,6.88473,6.88473,0,0
FTE_PE,D,20071026,000000,6.82226,6.82226,6.82226,6.82226,0,0
FTE_PE,D,20071029,000000,6.63439,6.63439,6.63439,6.63439,0,0
FTE_PE,D,20071030,000000,6.32141,6.32141,6.32141,6.32141,0,0
FTE_PE,D,20071031,000000,6.25903,6.25903,6.25903,6.25903,0,0
FTE_PE,D,20071102,000000,6.00842,6.00842,6.00842,6.00842,0,0
FTE_PE,D,20071105,000000,5.94586,5.94586,5.94586,5.94586,0,0
FTE_PE,D,20071106,000000,5.94586,5.94586,5.94586,5.94586,0,0
FTE_PE,D,20071107,000000,5.57049,5.57049,5.57049,5.57049,0,0
FTE_PE,D,20071108,000000,5.32006,5.32006,5.32006,5.32006,0,0
FTE_PE,D,20071109,000000,5.32006,5.44528,5.06964,5.38263,0,0
FTE_PE,D,20071112,000000,5.19504,5.38263,5.19504,5.32006,0,0
FTE_PE,D,20071113,000000,5.32006,5.32006,5.13229,5.2575,0,0
FTE_PE,D,20071114,000000,5.32006,5.32006,5.06964,5.13229,0,0
FTE_PE,D,20071115,000000,5.06964,5.13229,4.63162,4.63162,0,0
FTE_PE,D,20071116,000000,4.63162,8.63726,4.63162,8.63726,0,0
FTE_PE,D,20071119,000000,8.63726,8.63726,8.32353,8.51214,0,0
FTE_PE,D,20071120,000000,8.38702,8.38702,8.0745,8.19915,0,0
FTE_PE,D,20071121,000000,8.32353,8.32353,7.69839,7.76076,0,0
FTE_PE,D,20071122,000000,7.82407,7.82407,7.0726,7.0726,0,0
FTE_PE,D,20071123,000000,7.38559,7.88626,7.38559,7.76076,0,0
FTE_PE,D,20071126,000000,8.13687,8.13687,7.76076,7.82407,0,0
FTE_PE,D,20071127,000000,7.44805,8.51214,7.44805,7.88626,0,0
FTE_PE,D,20071128,000000,8.01101,8.63726,8.01101,8.38702,0,0
FTE_PE,D,20071129,000000,8.70075,8.70075,8.38702,8.44958,0,0
FTE_PE,D,20071130,000000,8.44958,8.63726,8.44958,8.63726,0,0
FTE_PE,D,20071203,000000,8.70075,8.70075,8.38702,8.63726,0,0
FTE_PE,D,20071204,000000,8.51214,8.82504,8.51214,8.82504,0,0
FTE_PE,D,20071205,000000,8.82504,9.01318,8.76155,9.01318,0,0
FTE_PE,D,20071206,000000,9.01318,9.63786,9.01318,9.01318,0,0
FTE_PE,D,20071207,000000,9.13775,9.3878,9.07546,9.26417,0,0
FTE_PE,D,20071210,000000,9.26417,9.3878,9.01318,9.07546,0,0
FTE_PE,D,20071211,000000,8.9509,9.32552,8.57554,9.26417,0,0
FTE_PE,D,20071212,000000,8.9509,9.3878,8.9509,9.26417,0,0
FTE_PE,D,20071213,000000,9.3878,9.63786,9.32552,9.5133,0,0
FTE_PE,D,20071214,000000,9.5133,9.5133,8.9509,9.3878,0,0
FTE_PE,D,20071217,000000,9.01318,9.26417,8.9509,9.26417,0,0
FTE_PE,D,20071218,000000,9.01318,9.26417,8.82504,9.26417,0,0
FTE_PE,D,20071219,000000,9.07546,9.26417,9.01318,9.26417,0,0
FTE_PE,D,20071220,000000,9.26417,9.26417,8.82504,8.82504,0,0
FTE_PE,D,20071221,000000,8.76155,8.88769,8.76155,8.88769,0,0
FTE_PE,D,20071227,000000,9.26417,9.5133,8.82504,9.5133,0,0
FTE_PE,D,20071228,000000,8.82504,9.45101,8.82504,9.3878,0,0
FTE_PE,D,20080102,000000,9.3878,9.3878,8.70075,8.82504,0,0
FTE_PE,D,20080103,000000,8.82504,9.01318,8.70075,9.01318,0,0
FTE_PE,D,20080104,000000,9.01318,9.07546,8.76155,8.76155,0,0
FTE_PE,D,20080107,000000,8.70075,8.70075,8.44958,8.51214,0,0
FTE_PE,D,20080108,000000,8.44958,8.44958,8.0745,8.0745,0,0
FTE_PE,D,20080109,000000,8.19915,8.19915,7.57327,7.69839,0,0
FTE_PE,D,20080110,000000,7.82407,7.82407,7.44805,7.51071,0,0
FTE_PE,D,20080111,000000,8.13687,8.13687,7.32284,7.32284,0,0
FTE_PE,D,20080114,000000,7.69839,7.69839,7.69839,7.69839,0,0
FTE_PE,D,20080115,000000,7.69839,7.69839,7.01004,7.01004,0,0
FTE_PE,D,20080116,000000,6.57193,6.75952,6.32141,6.38406,0,0
FTE_PE,D,20080117,000000,6.57193,6.57193,6.32141,6.32141,0,0
FTE_PE,D,20080118,000000,6.44662,6.57193,6.32141,6.38406,0,0
FTE_PE,D,20080121,000000,6.44662,6.44662,6.19628,6.38406,0,0
FTE_PE,D,20080122,000000,6.13372,6.57193,6.13372,6.57193,0,0
FTE_PE,D,20080123,000000,6.44662,6.75952,6.44662,6.69695,0,0
FTE_PE,D,20080124,000000,6.88473,7.26028,6.88473,7.13506,0,0
FTE_PE,D,20080125,000000,7.38559,7.44805,7.26028,7.44805,0,0
FTE_PE,D,20080128,000000,7.38559,7.57327,7.32284,7.32284,0,0
FTE_PE,D,20080129,000000,7.32284,7.69839,7.32284,7.63592,0,0
FTE_PE,D,20080130,000000,7.63592,7.82407,7.63592,7.82407,0,0
FTE_PE,D,20080131,000000,7.57327,7.69839,7.57327,7.57327,0,0
FTE_PE,D,20080201,000000,7.69839,8.01101,7.69839,7.949,0,0
FTE_PE,D,20080204,000000,7.82407,8.26181,7.82407,8.26181,0,0
FTE_PE,D,20080205,000000,8.19915,8.26181,8.01101,8.01101,0,0
FTE_PE,D,20080206,000000,7.63592,8.38702,7.32284,8.38702,0,0
FTE_PE,D,20080207,000000,8.44958,8.44958,8.26181,8.32353,0,0
FTE_PE,D,20080208,000000,8.44958,8.51214,8.44958,8.51214,0,0
FTE_PE,D,20080211,000000,8.57554,8.57554,8.44958,8.51214,0,0
FTE_PE,D,20080212,000000,8.51214,8.57554,8.51214,8.51214,0,0
FTE_PE,D,20080213,000000,8.57554,8.88769,8.57554,8.88769,0,0
FTE_PE,D,20080214,000000,8.88769,9.07546,8.76155,9.01318,0,0
FTE_PE,D,20080215,000000,8.88769,8.88769,8.76155,8.88769,0,0
FTE_PE,D,20080218,000000,8.88769,9.07546,8.70075,9.01318,0,0
FTE_PE,D,20080219,000000,9.07546,9.07546,9.01318,9.07546,0,0
FTE_PE,D,20080220,000000,8.88769,9.07546,8.88769,9.07546,0,0
FTE_PE,D,20080221,000000,9.07546,9.20096,9.07546,9.07546,0,0
FTE_PE,D,20080222,000000,9.07546,9.45101,9.07546,9.26417,0,0
FTE_PE,D,20080225,000000,9.45101,9.5133,9.32552,9.3878,0,0
FTE_PE,D,20080226,000000,9.45101,9.5133,9.3878,9.45101,0,0
FTE_PE,D,20080227,000000,9.5133,9.57558,9.45101,9.45101,0,0
FTE_PE,D,20080228,000000,9.5133,9.57558,9.45101,9.57558,0,0
FTE_PE,D,20080229,000000,9.57558,9.57558,9.45101,9.5133,0,0
FTE_PE,D,20080303,000000,9.13775,15.7099,9.07546,15.7099,0,0
FTE_PE,D,20080304,000000,15.8354,16.0854,15.7099,15.9608,0,0
FTE_PE,D,20080305,000000,16.0854,16.0854,15.7099,16.0854,0,0
FTE_PE,D,20080306,000000,16.1486,16.46,16.0241,16.46,0,0
FTE_PE,D,20080307,000000,16.5232,16.962,16.3355,16.962,0,0
FTE_PE,D,20080310,000000,17.3375,18.5897,17.3375,18.15,0,0
FTE_PE,D,20080311,000000,18.4019,19.6531,18.3396,18.8388,0,0
FTE_PE,D,20080312,000000,19.4031,19.4031,17.9641,18.3396,0,0
FTE_PE,D,20080313,000000,18.3396,18.5897,17.6499,18.3396,0,0
FTE_PE,D,20080314,000000,18.8388,18.8388,18.2764,18.2764,0,0
FTE_PE,D,20080317,000000,18.5897,18.5897,17.5876,17.8377,0,0
FTE_PE,D,20080318,000000,17.5253,18.4019,17.4621,18.2132,0,0
FTE_PE,D,20080319,000000,18.5274,18.7765,18.5274,18.651,0,0
FTE_PE,D,20080320,000000,18.7143,18.8388,18.651,18.8388,0,0
FTE_PE,D,20080325,000000,18.8388,19.2144,18.8388,19.0898,0,0
FTE_PE,D,20080326,000000,19.5276,19.5276,18.7143,18.9643,0,0
FTE_PE,D,20080327,000000,18.7765,18.9643,18.5897,18.8388,0,0
FTE_PE,D,20080328,000000,18.9011,18.9011,18.5897,18.8388,0,0
FTE_PE,D,20080331,000000,18.9643,18.9643,18.9643,18.9643,0,0
FTE_PE,D,20080401,000000,18.9643,19.0898,18.651,19.0275,0,0
FTE_PE,D,20080402,000000,19.0898,19.0898,18.9011,18.9011,0,0
FTE_PE,D,20080403,000000,19.0275,19.0275,18.8388,18.9643,0,0
FTE_PE,D,20080404,000000,18.9011,19.0898,18.9011,18.9643,0,0
FTE_PE,D,20080407,000000,18.9643,18.9643,18.5897,18.651,0,0
FTE_PE,D,20080408,000000,18.651,18.651,18.651,18.651,0,0
FTE_PE,D,20080409,000000,18.651,18.8388,18.5274,18.7765,0,0
FTE_PE,D,20080410,000000,18.7765,18.9643,18.7765,18.7765,0,0
FTE_PE,D,20080411,000000,18.8388,18.8388,18.7765,18.8388,0,0
FTE_PE,D,20080414,000000,18.5897,18.8388,18.5274,18.8388,0,0
FTE_PE,D,20080415,000000,18.8388,18.8388,18.7143,18.7143,0,0
FTE_PE,D,20080416,000000,18.7765,18.7765,18.3396,18.4633,0,0
FTE_PE,D,20080417,000000,18.3396,18.5274,17.899,17.899,0,0
FTE_PE,D,20080418,000000,17.4621,17.4621,17.2121,17.2121,0,0
FTE_PE,D,20080421,000000,17.0252,18.4019,17.0252,18.15,0,0
FTE_PE,D,20080422,000000,18.15,18.3396,17.5876,17.5876,0,0
FTE_PE,D,20080423,000000,17.6499,18.0877,17.6499,18.0877,0,0
FTE_PE,D,20080424,000000,17.7131,18.7143,17.7131,18.2764,0,0
FTE_PE,D,20080425,000000,18.8388,18.8388,18.4019,18.7143,0,0
FTE_PE,D,20080428,000000,18.7143,18.8388,18.5897,18.8388,0,0
FTE_PE,D,20080429,000000,18.4633,18.8388,18.4019,18.8388,0,0
FTE_PE,D,20080430,000000,18.7765,18.8388,18.4019,18.8388,0,0
FTE_PE,D,20080505,000000,18.9643,18.9643,18.7765,18.8388,0,0
FTE_PE,D,20080506,000000,18.4633,18.8388,18.4019,18.4633,0,0
FTE_PE,D,20080507,000000,18.9011,18.9643,18.8388,18.8388,0,0
FTE_PE,D,20080508,000000,18.9011,19.0275,18.8388,18.9643,0,0
FTE_PE,D,20080509,000000,18.8388,18.9643,18.8388,18.9643,0,0
FTE_PE,D,20080512,000000,18.9643,18.9643,18.8388,18.8388,0,0
FTE_PE,D,20080513,000000,18.4633,19.0898,18.4633,19.0275,0,0
FTE_PE,D,20080514,000000,19.0898,20.3419,18.8388,19.7777,0,0
FTE_PE,D,20080515,000000,19.9664,20.4665,19.9664,20.4665,0,0
FTE_PE,D,20080516,000000,20.6543,21.4063,20.6543,21.4063,0,0
FTE_PE,D,20080519,000000,22.1565,22.1565,14.7719,14.7719,0,0
FTE_PE,D,20080520,000000,14.7719,15.022,14.1445,14.8955,0,0
FTE_PE,D,20080521,000000,15.2097,15.4589,14.7078,14.7078,0,0
FTE_PE,D,20080523,000000,14.3964,15.0833,14.3964,15.0833,0,0
FTE_PE,D,20080526,000000,15.1465,15.1465,14.5209,14.6474,0,0
FTE_PE,D,20080527,000000,15.022,15.022,14.3322,14.6474,0,0
FTE_PE,D,20080528,000000,14.6474,14.6474,14.3964,14.6474,0,0
