<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GOP_MV,D,20200417,000000,187.981,187.981,187.981,187.981,0,0
GOP_MV,D,20200420,000000,208.49,208.49,180.372,202.891,0,0
GOP_MV,D,20200421,000000,205.068,205.068,189.907,194.387,0,0
GOP_MV,D,20200422,000000,187.981,187.981,181.791,183.708,0,0
GOP_MV,D,20200423,000000,189.693,208.652,183.708,183.708,0,0
GOP_MV,D,20200424,000000,175.161,177.474,156.365,177.474,0,0
GOP_MV,D,20200427,000000,177.93,185.1,172.547,174.792,0,0
GOP_MV,D,20200428,000000,174.749,174.792,163.587,174.344,0,0
GOP_MV,D,20200429,000000,174.344,174.344,165.824,166.718,0,0
GOP_MV,D,20200430,000000,166.718,166.718,156.502,163.364,0,0
GOP_MV,D,20200504,000000,170.759,179.271,170.304,179.271,0,0
GOP_MV,D,20200505,000000,188.231,188.231,178.377,182.41,0,0
GOP_MV,D,20200506,000000,182.857,182.857,173.131,173.218,0,0
GOP_MV,D,20200507,000000,178.282,178.282,170.484,170.535,0,0
GOP_MV,D,20200508,000000,170.484,173.399,165.824,168.963,0,0
GOP_MV,D,20200511,000000,170.304,170.304,163.587,166.186,0,0
GOP_MV,D,20200512,000000,167.439,167.439,160.896,163.131,0,0
GOP_MV,D,20200513,000000,164.259,164.259,157.758,163.587,0,0
GOP_MV,D,20200514,000000,165.729,165.729,156.863,159.107,0,0
GOP_MV,D,20200515,000000,159.107,164.397,157.31,163.364,0,0
GOP_MV,D,20200518,000000,164.035,164.035,159.573,163.562,0,0
GOP_MV,D,20200519,000000,161.799,163.587,161.369,161.799,0,0
GOP_MV,D,20200520,000000,161.387,173.846,161.387,173.45,0,0
GOP_MV,D,20200521,000000,173.45,173.45,167.174,169.478,0,0
GOP_MV,D,20200522,000000,167.886,167.886,162.694,164.929,0,0
GOP_MV,D,20200525,000000,161.833,161.833,159.107,161.12,0,0
GOP_MV,D,20200526,000000,161.343,164.397,159.546,162.694,0,0
GOP_MV,D,20200527,000000,163.562,163.562,160.002,160.002,0,0
GOP_MV,D,20200528,000000,161.343,163.131,159.779,163.131,0,0
GOP_MV,D,20200529,000000,163.131,168.067,160.002,162.908,0,0
GOP_MV,D,20200601,000000,161.343,163.131,159.546,161.343,0,0
GOP_MV,D,20200602,000000,162.694,162.694,159.641,160.002,0,0
GOP_MV,D,20200603,000000,160.002,165.797,159.151,160.87,0,0
GOP_MV,D,20200604,000000,160.896,162.641,158.214,158.695,0,0
GOP_MV,D,20200605,000000,158.876,162.238,157.758,161.343,0,0
GOP_MV,D,20200608,000000,162.238,162.238,155.521,160.896,0,0
GOP_MV,D,20200609,000000,162.238,164.035,158.652,161.343,0,0
GOP_MV,D,20200610,000000,162.238,164.705,159.546,163.131,0,0
GOP_MV,D,20200612,000000,155.738,163.131,155.738,163.131,0,0
GOP_MV,D,20200615,000000,163.131,163.131,158.652,160.002,0,0
GOP_MV,D,20200616,000000,161.343,163.131,159.546,162.694,0,0
GOP_MV,D,20200617,000000,162.418,162.418,160.217,162.143,0,0
GOP_MV,D,20200618,000000,163.131,199.443,163.131,199.443,0,0
GOP_MV,D,20200619,000000,201.585,206.615,192.711,201.678,0,0
GOP_MV,D,20200622,000000,201.678,201.678,186.442,188.816,0,0
GOP_MV,D,20200623,000000,188.859,194.508,185.1,188.231,0,0
GOP_MV,D,20200624,000000,192.272,192.272,183.751,190.114,0,0
GOP_MV,D,20200625,000000,192.272,192.272,183.975,187.792,0,0
GOP_MV,D,20200626,000000,188.008,188.008,182.857,182.857,0,0
GOP_MV,D,20200629,000000,182.857,182.857,173.888,174.344,0,0
GOP_MV,D,20200630,000000,174.344,181.422,174.344,174.878,0,0
GOP_MV,D,20200701,000000,179.271,179.271,174.878,176.486,0,0
GOP_MV,D,20200702,000000,176.581,187.337,174.878,184.474,0,0
GOP_MV,D,20200703,000000,184.492,198.551,184.492,194.964,0,0
GOP_MV,D,20200706,000000,194.964,205.669,193.252,205.669,0,0
GOP_MV,D,20200707,000000,204.817,207.956,197.199,199.013,0,0
GOP_MV,D,20200708,000000,198.946,198.946,193.167,193.167,0,0
GOP_MV,D,20200709,000000,194.061,196.753,188.687,192.711,0,0
GOP_MV,D,20200710,000000,196.753,196.753,182.41,187.792,0,0
GOP_MV,D,20200713,000000,183.975,190.475,183.975,185.995,0,0
GOP_MV,D,20200714,000000,188.231,188.231,178.825,181.516,0,0
