<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GPP_PB,D,20211209,000000,20.3236,20.3236,20.3236,20.3236,0,0
GPP_PB,D,20211210,000000,20.0357,20.0357,18.9095,19.5991,0,0
GPP_PB,D,20211213,000000,19.6166,19.6166,19.3022,19.5991,0,0
GPP_PB,D,20211214,000000,19.6427,19.7388,19.3022,19.4506,0,0
GPP_PB,D,20211215,000000,19.5641,19.5991,19.3111,19.5991,0,0
GPP_PB,D,20211216,000000,19.7388,19.7388,19.5292,19.7039,0,0
GPP_PB,D,20211217,000000,19.7388,19.7475,19.4506,19.6253,0,0
GPP_PB,D,20211220,000000,19.4506,19.7388,19.4506,19.4506,0,0
GPP_PB,D,20211221,000000,19.4506,19.5903,19.4506,19.4506,0,0
GPP_PB,D,20211222,000000,19.538,19.7388,19.538,19.6515,0,0
GPP_PB,D,20211223,000000,19.7388,20.0007,19.7388,19.9745,0,0
GPP_PB,D,20211227,000000,20.0357,20.5594,20.0357,20.3236,0,0
GPP_PB,D,20211228,000000,20.4634,20.4634,20.3236,20.411,0,0
GPP_PB,D,20211229,000000,20.4372,21.0307,20.411,20.83,0,0
GPP_PB,D,20211230,000000,20.8999,21.1356,20.8999,21.0482,0,0
GPP_PB,D,20220103,000000,21.0482,21.3276,21.0482,21.3014,0,0
GPP_PB,D,20220104,000000,21.4674,22.1133,21.1967,21.7117,0,0
GPP_PB,D,20220105,000000,21.5372,22.061,21.5372,21.9213,0,0
GPP_PB,D,20220107,000000,21.9213,22.061,21.7728,21.8341,0,0
GPP_PB,D,20220110,000000,21.8341,21.9911,21.8341,21.9301,0,0
GPP_PB,D,20220111,000000,22.0348,22.1657,21.8341,21.9911,0,0
GPP_PB,D,20220112,000000,22.0086,22.3665,22.0086,22.2792,0,0
GPP_PB,D,20220113,000000,22.611,22.611,22.2968,22.5586,0,0
GPP_PB,D,20220114,000000,22.4974,22.5936,22.4102,22.5324,0,0
GPP_PB,D,20220117,000000,22.6459,22.6983,22.4974,22.6983,0,0
GPP_PB,D,20220118,000000,22.6983,23.1347,22.4451,22.6459,0,0
GPP_PB,D,20220119,000000,22.4974,23.0911,22.3577,22.9777,0,0
