<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GPW_PE,D,20101109,000000,9.47791,9.47791,9.47791,9.47791,0,0
GPW_PE,D,20101110,000000,9.47791,9.47791,9.13033,9.13033,0,0
GPW_PE,D,20101112,000000,8.95648,9.39111,8.82613,9.39111,0,0
GPW_PE,D,20101115,000000,9.3476,10.0002,9.17375,10.0002,0,0
GPW_PE,D,20101116,000000,9.95598,9.95598,9.73938,9.73938,0,0
GPW_PE,D,20101117,000000,9.73938,9.86904,9.60841,9.60841,0,0
GPW_PE,D,20101118,000000,9.73938,9.82557,9.69526,9.69526,0,0
GPW_PE,D,20101119,000000,9.7821,9.7821,9.69526,9.73938,0,0
GPW_PE,D,20101122,000000,9.73938,9.7821,9.73938,9.73938,0,0
GPW_PE,D,20101123,000000,9.73938,9.73938,9.52062,9.52062,0,0
GPW_PE,D,20101124,000000,9.60841,9.69526,9.52062,9.69526,0,0
GPW_PE,D,20101125,000000,9.73938,9.73938,9.60841,9.65169,0,0
GPW_PE,D,20101126,000000,9.65169,9.65169,9.47791,9.60841,0,0
GPW_PE,D,20101129,000000,9.52062,9.52062,9.47791,9.47791,0,0
GPW_PE,D,20101130,000000,9.39111,9.60841,9.39111,9.56485,0,0
GPW_PE,D,20101201,000000,9.56485,9.86904,9.56485,9.86904,0,0
GPW_PE,D,20101202,000000,9.86904,9.91251,9.7821,9.86904,0,0
GPW_PE,D,20101203,000000,9.86904,9.86904,9.7821,9.7821,0,0
GPW_PE,D,20101206,000000,9.7821,9.7821,9.65169,9.69526,0,0
GPW_PE,D,20101207,000000,9.60841,9.65169,9.56485,9.60841,0,0
GPW_PE,D,20101208,000000,9.56485,9.69526,9.56485,9.69526,0,0
GPW_PE,D,20101209,000000,9.65169,9.69526,9.60841,9.65169,0,0
GPW_PE,D,20101210,000000,9.65169,9.65169,9.60841,9.65169,0,0
GPW_PE,D,20101213,000000,9.65169,9.7821,9.65169,9.7821,0,0
GPW_PE,D,20101214,000000,9.69526,9.69526,9.60841,9.60841,0,0
GPW_PE,D,20101215,000000,9.56485,9.60841,9.56485,9.60841,0,0
GPW_PE,D,20101216,000000,9.60841,9.60841,9.52062,9.60841,0,0
GPW_PE,D,20101217,000000,9.56485,9.56485,9.52062,9.52062,0,0
GPW_PE,D,20101220,000000,9.52062,9.56485,9.47791,9.56485,0,0
GPW_PE,D,20101221,000000,9.47791,9.56485,9.47791,9.52062,0,0
GPW_PE,D,20101222,000000,9.47791,9.52062,9.47791,9.52062,0,0
GPW_PE,D,20101223,000000,9.52062,9.52062,9.47791,9.47791,0,0
GPW_PE,D,20101227,000000,9.47791,9.47791,9.3476,9.3476,0,0
GPW_PE,D,20101228,000000,9.3476,9.3476,9.25988,9.3476,0,0
GPW_PE,D,20101229,000000,9.3041,9.47791,9.3041,9.47791,0,0
GPW_PE,D,20101230,000000,9.47791,9.47791,9.39111,9.43529,0,0
GPW_PE,D,20101231,000000,9.4368,9.47791,9.25988,9.30639,0,0
GPW_PE,D,20110103,000000,9.3041,9.39111,9.3041,9.3476,0,0
GPW_PE,D,20110104,000000,9.3476,9.47791,9.3476,9.43529,0,0
GPW_PE,D,20110105,000000,9.43529,9.43529,9.25988,9.39111,0,0
GPW_PE,D,20110107,000000,9.3476,9.3476,9.21646,9.21646,0,0
GPW_PE,D,20110110,000000,9.17375,9.17375,8.86964,8.95648,0,0
GPW_PE,D,20110111,000000,8.91306,9.08691,8.91306,9.08691,0,0
GPW_PE,D,20110112,000000,9.13033,9.3476,9.13033,9.3476,0,0
GPW_PE,D,20110113,000000,9.3041,9.3476,9.21646,9.21646,0,0
GPW_PE,D,20110114,000000,9.21646,9.3476,9.21646,9.3476,0,0
GPW_PE,D,20110117,000000,9.3041,9.3041,9.13033,9.17375,0,0
GPW_PE,D,20110118,000000,9.17375,9.21646,9.08691,9.21646,0,0
GPW_PE,D,20110119,000000,9.17375,9.17375,9.13033,9.17375,0,0
GPW_PE,D,20110120,000000,9.13033,9.17375,9.08691,9.13033,0,0
GPW_PE,D,20110121,000000,9.13033,9.21646,9.13033,9.17375,0,0
GPW_PE,D,20110124,000000,9.08691,9.13033,8.99999,9.08691,0,0
GPW_PE,D,20110125,000000,9.0435,9.13033,9.0435,9.13033,0,0
GPW_PE,D,20110126,000000,9.13033,9.21646,9.08691,9.21646,0,0
GPW_PE,D,20110127,000000,9.21646,9.3041,9.21646,9.3041,0,0
GPW_PE,D,20110128,000000,9.25988,9.25988,9.25988,9.25988,0,0
GPW_PE,D,20110131,000000,9.17225,9.17225,9.13033,9.13033,0,0
