<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GRN_MV,D,20110628,000000,29.143,29.143,29.143,29.143,0,0
GRN_MV,D,20110630,000000,29.6354,29.6354,29.6354,29.6354,0,0
GRN_MV,D,20110706,000000,29.6326,29.6326,29.6326,29.6326,0,0
GRN_MV,D,20110707,000000,29.6326,29.6326,29.6326,29.6326,0,0
GRN_MV,D,20110711,000000,29.6326,29.6326,29.5362,29.5362,0,0
GRN_MV,D,20110713,000000,29.5362,29.6326,29.5362,29.6326,0,0
GRN_MV,D,20110718,000000,30.1307,30.1307,30.1307,30.1307,0,0
GRN_MV,D,20110727,000000,28.2518,28.2518,27.7528,27.7528,0,0
GRN_MV,D,20110728,000000,26.6707,26.6707,26.6707,26.6707,0,0
GRN_MV,D,20110802,000000,25.4808,25.4808,23.7087,23.7087,0,0
GRN_MV,D,20110803,000000,23.2163,23.2163,21.7316,21.7316,0,0
GRN_MV,D,20110804,000000,21.2411,26.0762,20.2544,26.0762,0,0
GRN_MV,D,20110805,000000,22.2297,25.5857,22.2297,25.5857,0,0
GRN_MV,D,20110808,000000,24.6935,24.6935,21.9319,21.9319,0,0
GRN_MV,D,20110810,000000,22.7192,22.7192,22.7192,22.7192,0,0
GRN_MV,D,20110811,000000,22.7192,22.7192,22.7192,22.7192,0,0
GRN_MV,D,20110812,000000,22.7192,22.7192,22.7192,22.7192,0,0
GRN_MV,D,20110816,000000,21.7316,21.827,21.7316,21.827,0,0
GRN_MV,D,20110823,000000,22.2297,22.7192,22.2297,22.7192,0,0
GRN_MV,D,20110829,000000,22.8156,23.8032,22.8156,23.8032,0,0
GRN_MV,D,20110830,000000,24.8939,27.0619,24.8939,25.9798,0,0
GRN_MV,D,20110831,000000,26.0753,28.4484,26.0753,28.4484,0,0
GRN_MV,D,20110901,000000,26.9674,26.9674,26.871,26.871,0,0
GRN_MV,D,20110902,000000,25.8796,25.8796,25.0924,25.0924,0,0
GRN_MV,D,20110905,000000,25.288,29.0391,25.288,29.0391,0,0
GRN_MV,D,20110907,000000,26.0753,26.0753,25.684,25.684,0,0
GRN_MV,D,20110908,000000,25.9789,26.7661,25.9789,26.7661,0,0
GRN_MV,D,20110909,000000,27.457,27.457,27.457,27.457,0,0
GRN_MV,D,20110912,000000,27.8577,27.8577,27.8577,27.8577,0,0
GRN_MV,D,20110913,000000,27.9541,28.7414,27.9541,28.7414,0,0
GRN_MV,D,20110915,000000,28.7414,28.7414,27.6573,28.645,0,0
GRN_MV,D,20110916,000000,27.6602,27.6602,27.6602,27.6602,0,0
GRN_MV,D,20110919,000000,26.871,26.871,26.871,26.871,0,0
GRN_MV,D,20110920,000000,27.2632,27.2632,26.871,26.871,0,0
GRN_MV,D,20110923,000000,26.872,26.9693,26.872,26.9693,0,0
GRN_MV,D,20110926,000000,25.6811,25.6811,25.6811,25.6811,0,0
GRN_MV,D,20110928,000000,24.6926,25.684,24.6926,25.684,0,0
GRN_MV,D,20110929,000000,24.5952,25.684,24.5952,25.684,0,0
GRN_MV,D,20110930,000000,24.4005,24.4903,24.2049,24.2049,0,0
GRN_MV,D,20111003,000000,24.6926,24.6926,24.6926,24.6926,0,0
GRN_MV,D,20111005,000000,24.9941,24.9941,24.9941,24.9941,0,0
GRN_MV,D,20111006,000000,23.9951,23.9951,23.9951,23.9951,0,0
GRN_MV,D,20111007,000000,23.0906,23.0906,22.0926,22.2949,0,0
GRN_MV,D,20111010,000000,21.9953,22.0926,21.793,21.793,0,0
GRN_MV,D,20111011,000000,21.897,22.6946,21.6947,22.5963,0,0
GRN_MV,D,20111012,000000,21.5964,21.793,20.6939,21.793,0,0
GRN_MV,D,20111013,000000,21.4991,21.4991,21.4991,21.4991,0,0
GRN_MV,D,20111014,000000,21.5964,21.5964,21.5964,21.5964,0,0
GRN_MV,D,20111018,000000,21.1985,21.1985,20.9944,20.9944,0,0
GRN_MV,D,20111021,000000,21.6947,21.6947,21.6947,21.6947,0,0
GRN_MV,D,20111025,000000,20.8971,20.8971,20.8971,20.8971,0,0
GRN_MV,D,20111028,000000,21.2968,21.2968,21.2968,21.2968,0,0
GRN_MV,D,20111031,000000,21.793,21.793,21.793,21.793,0,0
GRN_MV,D,20111102,000000,21.5964,21.5964,21.5964,21.5964,0,0
GRN_MV,D,20111104,000000,20.7922,20.7922,20.6939,20.6939,0,0
GRN_MV,D,20111107,000000,20.7922,20.7922,20.7922,20.7922,0,0
GRN_MV,D,20111109,000000,20.1977,20.2969,20.0918,20.2969,0,0
GRN_MV,D,20111110,000000,20.2969,20.2969,20.2969,20.2969,0,0
GRN_MV,D,20111114,000000,20.0918,20.0918,19.9954,19.9954,0,0
GRN_MV,D,20111115,000000,19.9954,20.8971,19.9954,20.8971,0,0
GRN_MV,D,20111116,000000,20.7922,20.7922,20.7922,20.7922,0,0
GRN_MV,D,20111121,000000,20.9944,20.9944,20.9944,20.9944,0,0
GRN_MV,D,20111125,000000,20.1977,24.9941,20.1977,24.9941,0,0
GRN_MV,D,20111129,000000,23.1993,23.1993,22.2949,22.2949,0,0
GRN_MV,D,20111201,000000,22.792,23.79,22.792,23.79,0,0
GRN_MV,D,20111202,000000,23.4999,23.8987,23.4999,23.8987,0,0
GRN_MV,D,20111208,000000,22.792,22.792,21.9953,21.9953,0,0
GRN_MV,D,20111209,000000,21.9953,21.9953,21.9953,21.9953,0,0
GRN_MV,D,20111212,000000,21.897,21.897,21.897,21.897,0,0
GRN_MV,D,20111216,000000,22.1985,22.1985,20.1977,20.1977,0,0
GRN_MV,D,20111219,000000,20.6939,20.6939,16.1999,16.1999,0,0
GRN_MV,D,20111220,000000,19.8981,19.8981,18.4993,19.1997,0,0
GRN_MV,D,20111222,000000,19.7913,21.9953,19.1997,20.3933,0,0
GRN_MV,D,20111223,000000,19.4993,19.4993,19.4993,19.4993,0,0
GRN_MV,D,20111227,000000,19.1997,22.9952,18.695,22.9952,0,0
GRN_MV,D,20111228,000000,19.3944,25.3929,19.3944,25.2937,0,0
GRN_MV,D,20111229,000000,19.1997,24.2956,19.1997,24.2956,0,0
GRN_MV,D,20120102,000000,23.2967,23.2967,20.8971,20.8971,0,0
GRN_MV,D,20120103,000000,21.9953,22.9952,21.9953,22.9952,0,0
GRN_MV,D,20120110,000000,21.4991,21.4991,18.7923,18.7923,0,0
GRN_MV,D,20120116,000000,21.5964,21.5964,20.5975,20.5975,0,0
