<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GRN_PE,D,20110628,000000,7.06697,7.06697,7.06697,7.06697,0,0
GRN_PE,D,20110630,000000,7.22594,7.22594,7.22594,7.22594,0,0
GRN_PE,D,20110706,000000,7.22764,7.22764,7.22764,7.22764,0,0
GRN_PE,D,20110707,000000,7.22764,7.22764,7.22764,7.22764,0,0
GRN_PE,D,20110711,000000,7.22764,7.22764,7.14711,7.14711,0,0
GRN_PE,D,20110713,000000,7.14711,7.22764,7.14711,7.22764,0,0
GRN_PE,D,20110718,000000,7.38811,7.38811,7.30788,7.30788,0,0
GRN_PE,D,20110727,000000,6.82597,6.82597,6.74564,6.74564,0,0
GRN_PE,D,20110728,000000,6.50483,6.50483,6.50483,6.50483,0,0
GRN_PE,D,20110802,000000,6.18548,6.18548,5.77918,5.77918,0,0
GRN_PE,D,20110803,000000,5.70178,5.70178,5.3003,5.3003,0,0
GRN_PE,D,20110804,000000,5.21987,6.34425,4.97897,6.34425,0,0
GRN_PE,D,20110805,000000,5.38044,6.18368,5.38044,6.18368,0,0
GRN_PE,D,20110808,000000,5.94259,5.94259,5.3003,5.3003,0,0
GRN_PE,D,20110810,000000,5.46078,5.46078,5.3003,5.3003,0,0
GRN_PE,D,20110811,000000,5.3003,5.3003,5.3003,5.3003,0,0
GRN_PE,D,20110812,000000,5.3003,5.3003,5.3003,5.3003,0,0
GRN_PE,D,20110816,000000,5.0593,5.0593,5.0593,5.0593,0,0
GRN_PE,D,20110823,000000,5.13973,5.3003,5.13973,5.3003,0,0
GRN_PE,D,20110829,000000,5.21987,5.46078,5.21987,5.46078,0,0
GRN_PE,D,20110830,000000,5.70178,6.18368,5.70178,5.94259,0,0
GRN_PE,D,20110831,000000,5.94174,6.50237,5.94174,6.50237,0,0
GRN_PE,D,20110901,000000,6.18368,6.18368,6.10335,6.18368,0,0
GRN_PE,D,20110902,000000,5.94174,5.94174,5.77918,5.77918,0,0
GRN_PE,D,20110905,000000,5.86235,6.66559,5.86235,6.66559,0,0
GRN_PE,D,20110907,000000,6.02292,6.02292,5.86046,5.86046,0,0
GRN_PE,D,20110908,000000,5.94174,6.18548,5.94174,6.18548,0,0
GRN_PE,D,20110909,000000,6.34425,6.34425,6.26392,6.26392,0,0
GRN_PE,D,20110912,000000,6.34425,6.42449,6.34425,6.42449,0,0
GRN_PE,D,20110913,000000,6.42449,6.66559,6.42449,6.58507,0,0
GRN_PE,D,20110915,000000,6.58507,6.58507,6.34425,6.58507,0,0
GRN_PE,D,20110916,000000,6.34803,6.34803,6.34803,6.34803,0,0
GRN_PE,D,20110919,000000,6.18368,6.18368,6.18368,6.18368,0,0
GRN_PE,D,20110920,000000,6.26392,6.26392,6.18368,6.18368,0,0
GRN_PE,D,20110923,000000,6.18548,6.18548,6.18548,6.18548,0,0
GRN_PE,D,20110926,000000,5.86235,5.86235,5.86235,5.86235,0,0
GRN_PE,D,20110928,000000,5.62466,5.86046,5.62466,5.86046,0,0
GRN_PE,D,20110929,000000,5.62466,5.86046,5.62466,5.86046,0,0
GRN_PE,D,20110930,000000,5.54338,5.62466,5.54338,5.54338,0,0
GRN_PE,D,20111003,000000,5.62466,5.6979,5.62466,5.6979,0,0
GRN_PE,D,20111005,000000,5.77096,5.77096,5.77096,5.77096,0,0
GRN_PE,D,20111006,000000,5.52703,5.52703,5.52703,5.52703,0,0
GRN_PE,D,20111007,000000,5.28329,5.28329,5.12082,5.12082,0,0
GRN_PE,D,20111010,000000,5.03945,5.03945,5.03945,5.03945,0,0
GRN_PE,D,20111011,000000,5.03945,5.28329,5.03945,5.20201,0,0
GRN_PE,D,20111012,000000,4.95817,5.03945,4.79562,5.03945,0,0
GRN_PE,D,20111013,000000,4.95817,4.95817,4.95817,4.95817,0,0
