<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GTC_MV,D,20070813,000000,7275.79,7275.79,7275.79,7275.79,0,0
GTC_MV,D,20070814,000000,7207.3,7207.3,7207.3,7207.3,0,0
GTC_MV,D,20070816,000000,6745.09,6745.09,6745.09,6745.09,0,0
GTC_MV,D,20070817,000000,6847.8,6847.8,6847.8,6847.8,0,0
GTC_MV,D,20070820,000000,6727.97,6727.97,6727.97,6727.97,0,0
GTC_MV,D,20070821,000000,6847.8,6847.8,6847.8,6847.8,0,0
GTC_MV,D,20070822,000000,7094.31,7094.31,7094.31,7094.31,0,0
GTC_MV,D,20070823,000000,7188.49,7188.49,7188.49,7188.49,0,0
GTC_MV,D,20070824,000000,7549.69,7549.69,7549.69,7549.69,0,0
GTC_MV,D,20070827,000000,7498.35,7498.35,7498.35,7498.35,0,0
GTC_MV,D,20070828,000000,7096.03,7096.03,7096.03,7096.03,0,0
GTC_MV,D,20070829,000000,7190.18,7190.18,7190.18,7190.18,0,0
GTC_MV,D,20070830,000000,6914.57,6914.57,6914.57,6914.57,0,0
GTC_MV,D,20070831,000000,7224.43,7224.43,7224.43,7224.43,0,0
GTC_MV,D,20070903,000000,7363.1,7363.1,7363.1,7363.1,0,0
GTC_MV,D,20070904,000000,7583.93,7583.93,7583.93,7583.93,0,0
GTC_MV,D,20070905,000000,7474.36,7474.36,7474.36,7474.36,0,0
GTC_MV,D,20070906,000000,7532.58,7532.58,7532.58,7532.58,0,0
GTC_MV,D,20070907,000000,7227.85,7227.85,7227.85,7227.85,0,0
GTC_MV,D,20070910,000000,7241.55,7241.55,7241.55,7241.55,0,0
GTC_MV,D,20070911,000000,7258.67,7258.67,7258.67,7258.67,0,0
GTC_MV,D,20070912,000000,7616.46,7616.46,7616.46,7616.46,0,0
GTC_MV,D,20070913,000000,7601.06,7601.06,7601.06,7601.06,0,0
GTC_MV,D,20070914,000000,7571.97,7571.97,7571.97,7571.97,0,0
GTC_MV,D,20070917,000000,7566.82,7566.82,7566.82,7566.82,0,0
GTC_MV,D,20070918,000000,7789.37,7789.37,7789.37,7789.37,0,0
GTC_MV,D,20070919,000000,8217.35,8217.35,8217.35,8217.35,0,0
GTC_MV,D,20070920,000000,8326.93,8326.93,8326.93,8326.93,0,0
GTC_MV,D,20070921,000000,8525.54,8525.54,8525.54,8525.54,0,0
GTC_MV,D,20070924,000000,8388.57,8388.57,8388.57,8388.57,0,0
GTC_MV,D,20070925,000000,8380,8380,8380,8380,0,0
GTC_MV,D,20070926,000000,8080.39,8080.39,8080.39,8080.39,0,0
GTC_MV,D,20070927,000000,8354.31,8354.31,8354.31,8354.31,0,0
GTC_MV,D,20070928,000000,8124.88,8124.88,8124.88,8124.88,0,0
GTC_MV,D,20071001,000000,8249.9,8249.9,8249.9,8249.9,0,0
GTC_MV,D,20071002,000000,8593.97,8593.97,8593.97,8593.97,0,0
GTC_MV,D,20071003,000000,8662.49,8662.49,8662.49,8662.49,0,0
GTC_MV,D,20071004,000000,8773.76,8773.76,8773.76,8773.76,0,0
GTC_MV,D,20071005,000000,8730.92,8730.92,8730.92,8730.92,0,0
GTC_MV,D,20071008,000000,8885.05,8885.05,8885.05,8885.05,0,0
GTC_MV,D,20071009,000000,9295.91,9295.91,9295.91,9295.91,0,0
GTC_MV,D,20071010,000000,9330.11,9330.11,9330.11,9330.11,0,0
GTC_MV,D,20071011,000000,9672.54,9672.54,9672.54,9672.54,0,0
GTC_MV,D,20071012,000000,9347.25,9347.25,9347.25,9347.25,0,0
GTC_MV,D,20071015,000000,9535.53,9535.53,9535.53,9535.53,0,0
GTC_MV,D,20071016,000000,9244.47,9244.47,9244.47,9244.47,0,0
GTC_MV,D,20071017,000000,9278.76,9278.76,9278.76,9278.76,0,0
GTC_MV,D,20071018,000000,9073.37,9073.37,9073.37,9073.37,0,0
GTC_MV,D,20071019,000000,9227.41,9227.41,9227.41,9227.41,0,0
GTC_MV,D,20071022,000000,9167.49,9167.49,9167.49,9167.49,0,0
GTC_MV,D,20071023,000000,9330.11,9330.11,9330.11,9330.11,0,0
GTC_MV,D,20071024,000000,9235.99,9235.99,9235.99,9235.99,0,0
GTC_MV,D,20071025,000000,8816.54,8816.54,8816.54,8816.54,0,0
