<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HDR_MV,D,20070813,000000,82.9208,82.9208,82.9208,82.9208,0,0
HDR_MV,D,20070814,000000,79.7409,79.7409,79.7409,79.7409,0,0
HDR_MV,D,20070816,000000,73.2736,73.2736,73.2736,73.2736,0,0
HDR_MV,D,20070817,000000,71.2262,71.2262,71.2262,71.2262,0,0
HDR_MV,D,20070820,000000,71.7702,71.7702,71.7702,71.7702,0,0
HDR_MV,D,20070821,000000,69.5567,69.5567,69.5567,69.5567,0,0
HDR_MV,D,20070822,000000,72.1972,72.1972,72.1972,72.1972,0,0
HDR_MV,D,20070823,000000,73.2736,73.2736,73.2736,73.2736,0,0
HDR_MV,D,20070824,000000,73.6479,73.6479,73.6479,73.6479,0,0
HDR_MV,D,20070827,000000,72.7422,72.7422,72.7422,72.7422,0,0
HDR_MV,D,20070828,000000,73.722,73.722,73.722,73.722,0,0
HDR_MV,D,20070829,000000,73.2799,73.2799,73.2799,73.2799,0,0
HDR_MV,D,20070830,000000,73.831,73.831,73.831,73.831,0,0
HDR_MV,D,20070831,000000,73.722,73.722,73.722,73.722,0,0
HDR_MV,D,20070903,000000,74.8091,74.8091,74.8091,74.8091,0,0
HDR_MV,D,20070904,000000,73.9427,73.9427,73.9427,73.9427,0,0
HDR_MV,D,20070905,000000,74.919,74.919,74.919,74.919,0,0
HDR_MV,D,20070906,000000,73.831,73.831,73.831,73.831,0,0
HDR_MV,D,20070907,000000,74.3758,74.3758,74.3758,74.3758,0,0
HDR_MV,D,20070910,000000,74.3758,74.3758,74.3758,74.3758,0,0
HDR_MV,D,20070911,000000,74.3169,74.3169,74.3169,74.3169,0,0
HDR_MV,D,20070912,000000,74.3758,74.3758,74.3758,74.3758,0,0
HDR_MV,D,20070913,000000,74.919,74.919,74.919,74.919,0,0
HDR_MV,D,20070914,000000,75.3593,75.3593,75.3593,75.3593,0,0
HDR_MV,D,20070917,000000,74.3758,74.3758,74.3758,74.3758,0,0
HDR_MV,D,20070918,000000,74.2061,74.2061,74.2061,74.2061,0,0
HDR_MV,D,20070919,000000,74.3169,74.3169,74.3169,74.3169,0,0
HDR_MV,D,20070920,000000,76.5652,76.5652,76.5652,76.5652,0,0
HDR_MV,D,20070921,000000,76.5652,76.5652,76.5652,76.5652,0,0
HDR_MV,D,20070924,000000,76.5652,76.5652,76.5652,76.5652,0,0
HDR_MV,D,20070925,000000,76.5652,76.5652,76.5652,76.5652,0,0
HDR_MV,D,20070926,000000,79.0932,79.0932,79.0932,79.0932,0,0
HDR_MV,D,20070927,000000,83.6828,83.6828,83.6828,83.6828,0,0
HDR_MV,D,20070928,000000,84.2241,84.2241,84.2241,84.2241,0,0
HDR_MV,D,20071001,000000,84.167,84.167,84.167,84.167,0,0
HDR_MV,D,20071002,000000,82.0276,82.0276,82.0276,82.0276,0,0
HDR_MV,D,20071003,000000,83.79,83.79,83.79,83.79,0,0
HDR_MV,D,20071004,000000,83.7248,83.7248,83.7248,83.7248,0,0
HDR_MV,D,20071005,000000,83.6828,83.6828,83.6828,83.6828,0,0
HDR_MV,D,20071008,000000,80.4036,80.4036,80.4036,80.4036,0,0
HDR_MV,D,20071009,000000,83.6828,83.6828,83.6828,83.6828,0,0
HDR_MV,D,20071010,000000,81.0513,81.0513,81.0513,81.0513,0,0
HDR_MV,D,20071011,000000,84.2241,84.2241,84.2241,84.2241,0,0
HDR_MV,D,20071012,000000,84.0025,84.0025,84.0025,84.0025,0,0
HDR_MV,D,20071015,000000,83.79,83.79,83.79,83.79,0,0
HDR_MV,D,20071016,000000,83.0111,83.0111,83.0111,83.0111,0,0
HDR_MV,D,20071017,000000,77.0574,77.0574,77.0574,77.0574,0,0
HDR_MV,D,20071018,000000,78.7458,78.7458,78.7458,78.7458,0,0
HDR_MV,D,20071019,000000,79.8409,79.8409,79.8409,79.8409,0,0
HDR_MV,D,20071022,000000,82.5769,82.5769,82.5769,82.5769,0,0
HDR_MV,D,20071023,000000,82.7984,82.7984,82.7984,82.7984,0,0
HDR_MV,D,20071024,000000,79.0235,79.0235,79.0235,79.0235,0,0
HDR_MV,D,20071025,000000,80.727,80.727,80.727,80.727,0,0
HDR_MV,D,20071026,000000,79.6873,79.6873,79.6873,79.6873,0,0
HDR_MV,D,20071029,000000,79.3095,79.3095,79.3095,79.3095,0,0
HDR_MV,D,20071030,000000,75.4112,75.4112,75.4112,75.4112,0,0
HDR_MV,D,20071031,000000,76.0212,76.0212,76.0212,76.0212,0,0
HDR_MV,D,20071102,000000,76.0212,76.0212,76.0212,76.0212,0,0
HDR_MV,D,20071105,000000,77.4434,77.4434,77.4434,77.4434,0,0
HDR_MV,D,20071106,000000,78.9771,78.9771,78.9771,78.9771,0,0
HDR_MV,D,20071107,000000,77.6658,77.6658,77.6658,77.6658,0,0
HDR_MV,D,20071108,000000,76.7341,76.7341,76.7341,76.7341,0,0
HDR_MV,D,20071109,000000,73.3469,77.4888,73.3469,76.5652,0,0
