<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HMI_MV,D,20131107,000000,24.582,24.582,24.582,24.582,0,0
HMI_MV,D,20131108,000000,21.326,25.591,17.061,25.591,0,0
HMI_MV,D,20131112,000000,20.501,24.195,20.316,20.316,0,0
HMI_MV,D,20131113,000000,20.316,20.316,16.832,16.832,0,0
HMI_MV,D,20131115,000000,17.183,17.183,17.183,17.183,0,0
HMI_MV,D,20131118,000000,18.456,18.456,18.456,18.456,0,0
HMI_MV,D,20131119,000000,21.299,21.299,21.299,21.299,0,0
HMI_MV,D,20131204,000000,17.078,17.078,17.078,17.078,0,0
HMI_MV,D,20131205,000000,20.299,20.299,20.299,20.299,0,0
HMI_MV,D,20131210,000000,19.606,19.606,19.606,19.606,0,0
HMI_MV,D,20131213,000000,17.078,19.606,17.078,19.606,0,0
HMI_MV,D,20131216,000000,17.692,17.692,16.095,16.095,0,0
HMI_MV,D,20131217,000000,16.095,16.095,16.095,16.095,0,0
HMI_MV,D,20131223,000000,15.893,16.095,15.893,16.095,0,0
HMI_MV,D,20131227,000000,16.095,16.402,16.095,16.402,0,0
HMI_MV,D,20131230,000000,16.402,16.402,16.402,16.402,0,0
HMI_MV,D,20140102,000000,16.2,16.2,16.2,16.2,0,0
HMI_MV,D,20140103,000000,16.2,16.2,16.2,16.2,0,0
HMI_MV,D,20140107,000000,16.2,16.2,14.972,16.2,0,0
HMI_MV,D,20140108,000000,16.2,16.2,16.2,16.2,0,0
HMI_MV,D,20140109,000000,16.2,16.2,16.2,16.2,0,0
HMI_MV,D,20140110,000000,16.2,16.2,16.2,16.2,0,0
HMI_MV,D,20140113,000000,16.2,16.2,16.2,16.2,0,0
HMI_MV,D,20140114,000000,16.174,16.174,16.174,16.174,0,0
HMI_MV,D,20140116,000000,16.2,16.2,16.2,16.2,0,0
HMI_MV,D,20140117,000000,16.402,16.402,16.2,16.402,0,0
HMI_MV,D,20140120,000000,16.2,16.402,16.2,16.402,0,0
HMI_MV,D,20140121,000000,16.2,16.2,16.2,16.2,0,0
HMI_MV,D,20140122,000000,16.402,16.402,16.402,16.402,0,0
HMI_MV,D,20140123,000000,16.385,16.402,16.385,16.402,0,0
HMI_MV,D,20140124,000000,16.385,16.402,16.385,16.402,0,0
HMI_MV,D,20140127,000000,16.402,16.402,16.402,16.402,0,0
HMI_MV,D,20140128,000000,16.402,16.402,16.402,16.402,0,0
HMI_MV,D,20140129,000000,16.402,16.402,16.402,16.402,0,0
HMI_MV,D,20140130,000000,16.402,16.508,15.893,15.893,0,0
HMI_MV,D,20140131,000000,16.508,16.508,16.402,16.402,0,0
HMI_MV,D,20140203,000000,16.508,16.508,16.508,16.508,0,0
HMI_MV,D,20140205,000000,15.806,16.508,15.806,16.508,0,0
HMI_MV,D,20140206,000000,16.508,16.508,16.508,16.508,0,0
HMI_MV,D,20140207,000000,16.508,16.508,16.508,16.508,0,0
HMI_MV,D,20140210,000000,16.508,16.71,16.508,16.71,0,0
HMI_MV,D,20140211,000000,16.692,16.71,16.692,16.71,0,0
HMI_MV,D,20140212,000000,16.71,16.71,16.71,16.71,0,0
HMI_MV,D,20140213,000000,16.71,16.71,16.71,16.71,0,0
HMI_MV,D,20140214,000000,16.71,16.71,15.955,16.71,0,0
HMI_MV,D,20140217,000000,14.314,16.71,14.314,16.71,0,0
HMI_MV,D,20140218,000000,16.71,16.71,16.71,16.71,0,0
HMI_MV,D,20140219,000000,16.71,16.71,16.71,16.71,0,0
HMI_MV,D,20140220,000000,16.71,16.71,16.71,16.71,0,0
HMI_MV,D,20140221,000000,16.71,16.71,16.71,16.71,0,0
HMI_MV,D,20140224,000000,16.71,16.71,16.71,16.71,0,0
HMI_MV,D,20140225,000000,16.71,16.71,16.71,16.71,0,0
HMI_MV,D,20140226,000000,16.71,16.71,16.71,16.71,0,0
HMI_MV,D,20140228,000000,16.71,16.71,16.71,16.71,0,0
HMI_MV,D,20140303,000000,17.429,17.429,17.183,17.429,0,0
HMI_MV,D,20140304,000000,17.429,17.429,17.429,17.429,0,0
HMI_MV,D,20140305,000000,17.412,17.412,17.412,17.412,0,0
HMI_MV,D,20140307,000000,17.412,17.412,16.218,17.412,0,0
HMI_MV,D,20140310,000000,17.429,17.429,17.429,17.429,0,0
HMI_MV,D,20140312,000000,17.429,17.429,17.429,17.429,0,0
HMI_MV,D,20140314,000000,17.412,17.429,17.412,17.429,0,0
HMI_MV,D,20140318,000000,17.429,17.429,17.429,17.429,0,0
