<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HRP_PE,D,20100723,000000,13.2,13.2,13.2,13.2,0,0
HRP_PE,D,20100726,000000,13.5,13.5,13.1,13.4,0,0
HRP_PE,D,20100727,000000,13.3,13.3,13,13.3,0,0
HRP_PE,D,20100728,000000,13.3,13.3,12.8,13,0,0
HRP_PE,D,20100729,000000,13.1,13.1,12.7,12.9,0,0
HRP_PE,D,20100730,000000,12.8,13.1,12.8,13.1,0,0
HRP_PE,D,20100802,000000,13.1,13.3,13.1,13.1,0,0
HRP_PE,D,20100803,000000,13.1,13.2,13.1,13.2,0,0
HRP_PE,D,20100804,000000,13,13.1,12.9,13.1,0,0
HRP_PE,D,20100805,000000,12,12.9,12,12.9,0,0
HRP_PE,D,20100806,000000,12.9,13.1,12.9,13.1,0,0
HRP_PE,D,20100809,000000,13.1,13.1,12.9,13,0,0
HRP_PE,D,20100810,000000,12.8,13,12.8,13,0,0
HRP_PE,D,20100811,000000,12.9,12.9,12.7,12.9,0,0
HRP_PE,D,20100812,000000,13,13,12.9,12.9,0,0
HRP_PE,D,20100816,000000,12.9,13.1,12.6,13.1,0,0
HRP_PE,D,20100817,000000,12.8,13.1,12.8,12.8,0,0
HRP_PE,D,20100818,000000,12.8,12.9,12.7,12.9,0,0
HRP_PE,D,20100819,000000,12.7,12.9,12.7,12.9,0,0
HRP_PE,D,20100820,000000,12.9,13,12.7,13,0,0
HRP_PE,D,20100823,000000,12.8,12.9,12.8,12.8,0,0
HRP_PE,D,20100824,000000,12.7,13.1,12.7,13.1,0,0
HRP_PE,D,20100825,000000,13.1,13.2,13,13.1,0,0
HRP_PE,D,20100826,000000,13.2,13.3,13.1,13.3,0,0
HRP_PE,D,20100827,000000,13.3,13.3,13.3,13.3,0,0
HRP_PE,D,20100830,000000,12.9,13.4,12.9,13.4,0,0
HRP_PE,D,20100831,000000,13.4,13.4,13.1,13.3,0,0
HRP_PE,D,20100901,000000,13.3,13.4,13.2,13.3,0,0
HRP_PE,D,20100902,000000,13.3,14.2,13.3,14.2,0,0
HRP_PE,D,20100903,000000,14.3,14.3,13.8,14.2,0,0
HRP_PE,D,20100906,000000,14.2,14.7,13.6,13.6,0,0
HRP_PE,D,20100907,000000,13.8,13.8,13.4,13.5,0,0
HRP_PE,D,20100908,000000,13.5,13.6,13.5,13.5,0,0
HRP_PE,D,20100909,000000,13.6,14.2,13.6,14.2,0,0
HRP_PE,D,20100910,000000,14.2,17.1,14.2,17.1,0,0
HRP_PE,D,20100913,000000,17.5,18.8,16.9,17.3,0,0
