<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HUG_PE,D,20210219,000000,37.9,37.9,37.9,37.9,0,0
HUG_PE,D,20210222,000000,37.8,37.8,35.5,36.4,0,0
HUG_PE,D,20210223,000000,36.3,36.3,29.3,32.1,0,0
HUG_PE,D,20210224,000000,32.5,33.8,31.1,33.7,0,0
HUG_PE,D,20210225,000000,34.2,34.3,33.6,33.9,0,0
HUG_PE,D,20210226,000000,32.2,33,31.4,32.2,0,0
HUG_PE,D,20210301,000000,31.2,32.2,31,31.3,0,0
HUG_PE,D,20210302,000000,31.7,31.7,29.3,29.3,0,0
HUG_PE,D,20210303,000000,29.6,30,28,28.4,0,0
HUG_PE,D,20210304,000000,28.2,29.2,26.3,28.1,0,0
HUG_PE,D,20210305,000000,28.1,28.1,27.7,27.7,0,0
HUG_PE,D,20210308,000000,28.3,28.3,27.1,27.9,0,0
HUG_PE,D,20210309,000000,27.7,28.2,27.5,27.8,0,0
HUG_PE,D,20210310,000000,27.9,28.6,27.3,27.6,0,0
HUG_PE,D,20210311,000000,27.7,27.7,27,27.4,0,0
HUG_PE,D,20210312,000000,28.2,30.1,27.9,29.4,0,0
HUG_PE,D,20210315,000000,30.1,30.8,30,30.8,0,0
HUG_PE,D,20210316,000000,30.8,30.8,30,30,0,0
HUG_PE,D,20210317,000000,28.9,30.4,28.9,30.1,0,0
HUG_PE,D,20210318,000000,30.6,31.5,30.6,30.8,0,0
HUG_PE,D,20210319,000000,30.5,31,30.5,30.6,0,0
HUG_PE,D,20210322,000000,30.6,30.7,30.1,30.4,0,0
HUG_PE,D,20210323,000000,30.6,30.6,29.6,30.3,0,0
HUG_PE,D,20210324,000000,30,30.9,30,30.1,0,0
HUG_PE,D,20210325,000000,30.2,30.7,30.1,30.3,0,0
HUG_PE,D,20210326,000000,30.3,30.5,30.1,30.3,0,0
HUG_PE,D,20210329,000000,30.9,30.9,30.1,30.1,0,0
HUG_PE,D,20210330,000000,30.6,30.6,30.1,30.4,0,0
HUG_PE,D,20210331,000000,30.4,30.5,29.9,30.2,0,0
HUG_PE,D,20210401,000000,30.4,30.8,30,30.8,0,0
HUG_PE,D,20210406,000000,30.8,31.7,30.7,31.6,0,0
HUG_PE,D,20210407,000000,31.9,32.3,31.8,32.3,0,0
HUG_PE,D,20210408,000000,32.3,32.7,32.3,32.7,0,0
HUG_PE,D,20210409,000000,32.9,33.8,32.9,33.6,0,0
HUG_PE,D,20210412,000000,33.8,33.8,33.5,33.8,0,0
HUG_PE,D,20210413,000000,33.8,33.8,33.3,33.6,0,0
HUG_PE,D,20210414,000000,33.3,34.3,33.3,34.3,0,0
