<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IFI_PE,D,20080506,000000,22.484,22.484,22.484,22.484,0,0
IFI_PE,D,20080507,000000,22.863,22.863,22.863,22.863,0,0
IFI_PE,D,20080508,000000,20.7481,20.7481,20.0445,20.1531,0,0
IFI_PE,D,20080509,000000,20.1531,20.8546,20.0445,20.8546,0,0
IFI_PE,D,20080512,000000,20.8546,21.7242,20.8546,21.7242,0,0
IFI_PE,D,20080513,000000,19.557,21.1278,19.5042,21.1278,0,0
IFI_PE,D,20080515,000000,19.0688,20.531,19.0688,20.531,0,0
IFI_PE,D,20080516,000000,18.6359,18.8007,18.0948,18.0948,0,0
IFI_PE,D,20080519,000000,18.5823,19.0688,18.0948,19.0688,0,0
IFI_PE,D,20080520,000000,19.015,19.015,19.015,19.015,0,0
IFI_PE,D,20080521,000000,17.2807,18.9612,17.2807,18.9612,0,0
IFI_PE,D,20080523,000000,19.015,19.557,18.9612,19.3393,0,0
IFI_PE,D,20080526,000000,19.3949,19.3949,18.9049,18.9049,0,0
IFI_PE,D,20080527,000000,18.0948,28.7663,18.0948,28.7663,0,0
IFI_PE,D,20080529,000000,26.6016,28.7663,25.8957,26.2192,0,0
IFI_PE,D,20080530,000000,26.9244,26.9244,24.7589,26.8697,0,0
IFI_PE,D,20080602,000000,25.4082,25.4082,25.4082,25.4082,0,0
IFI_PE,D,20080603,000000,25.1379,25.1379,25.0267,25.0815,0,0
IFI_PE,D,20080604,000000,23.6733,25.0267,23.6733,23.6733,0,0
IFI_PE,D,20080605,000000,24.379,26.0041,24.379,26.0041,0,0
IFI_PE,D,20080606,000000,26.4368,28.6577,26.4368,27.6293,0,0
IFI_PE,D,20080609,000000,28.2234,28.2234,27.6293,28.1704,0,0
IFI_PE,D,20080610,000000,22.5923,28.1704,22.5923,22.5923,0,0
IFI_PE,D,20080611,000000,26.9781,26.9781,26.9244,26.9244,0,0
IFI_PE,D,20080612,000000,26.8697,26.8697,22.9143,26.2192,0,0
IFI_PE,D,20080613,000000,26.1663,26.1663,26.1663,26.1663,0,0
IFI_PE,D,20080616,000000,26.2738,26.2738,26.2192,26.2192,0,0
IFI_PE,D,20080617,000000,26.8697,26.8697,26.2192,26.8697,0,0
IFI_PE,D,20080618,000000,27.6815,27.6815,27.6815,27.6815,0,0
IFI_PE,D,20080619,000000,28.0052,28.7663,28.0052,28.7663,0,0
IFI_PE,D,20080620,000000,28.6034,28.6034,28.6034,28.6034,0,0
IFI_PE,D,20080624,000000,27.3042,27.3042,26.8697,26.8697,0,0
IFI_PE,D,20080626,000000,27.3042,27.3042,27.3042,27.3042,0,0
IFI_PE,D,20080627,000000,23.7269,26.0041,22.5923,25.5158,0,0
IFI_PE,D,20080630,000000,25.5158,25.5158,25.5158,25.5158,0,0
IFI_PE,D,20080701,000000,22.5923,23.6733,22.2108,23.2948,0,0
IFI_PE,D,20080702,000000,21.8334,23.2948,21.3461,23.2427,0,0
IFI_PE,D,20080703,000000,21.8334,22.9143,21.5612,22.8091,0,0
IFI_PE,D,20080707,000000,22.9143,22.9143,21.5056,22.5923,0,0
IFI_PE,D,20080708,000000,21.8866,21.8866,21.8334,21.8334,0,0
IFI_PE,D,20080711,000000,21.8334,22.8091,21.5056,22.5923,0,0
IFI_PE,D,20080714,000000,22.9724,22.9724,22.9724,22.9724,0,0
IFI_PE,D,20080715,000000,20.8546,21.7242,19.7746,21.7242,0,0
IFI_PE,D,20080716,000000,19.7746,21.1278,19.7746,21.1278,0,0
IFI_PE,D,20080717,000000,21.1833,22.6992,21.1833,22.6992,0,0
IFI_PE,D,20080718,000000,22.6992,22.6992,22.6992,22.6992,0,0
IFI_PE,D,20080723,000000,21.8334,22.6992,21.8334,21.8334,0,0
IFI_PE,D,20080729,000000,20.9124,20.9124,20.804,20.8546,0,0
IFI_PE,D,20080730,000000,20.804,22.2108,20.804,22.2108,0,0
IFI_PE,D,20080805,000000,21.7791,21.7791,9.96802,9.96802,0,0
IFI_PE,D,20080806,000000,10.511,10.511,10.1302,10.1302,0,0
IFI_PE,D,20080807,000000,10.7798,10.7798,10.7798,10.7798,0,0
IFI_PE,D,20080808,000000,10.2925,10.3488,9.58907,10.3488,0,0
IFI_PE,D,20080811,000000,10.6715,10.6715,10.6715,10.6715,0,0
IFI_PE,D,20080813,000000,10.511,11.0504,10.511,10.9956,0,0
IFI_PE,D,20080814,000000,11.5922,11.5922,9.48071,10.6715,0,0
IFI_PE,D,20080818,000000,10.8889,10.8889,10.8889,10.8889,0,0
IFI_PE,D,20080819,000000,9.58907,10.6715,9.58907,10.6715,0,0
IFI_PE,D,20080821,000000,9.69662,10.2393,9.69662,10.2393,0,0
IFI_PE,D,20080822,000000,10.1857,10.1857,9.58907,9.80495,0,0
IFI_PE,D,20080825,000000,10.6715,10.6715,10.6715,10.6715,0,0
IFI_PE,D,20080826,000000,10.7261,10.8361,10.7261,10.7798,0,0
