<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IMS_MV,D,20120104,000000,18.464,18.464,18.464,18.464,0,0
IMS_MV,D,20120105,000000,17.7725,17.7725,16.3939,17.0855,0,0
IMS_MV,D,20120109,000000,16.3939,17.2589,15.5282,17.2589,0,0
IMS_MV,D,20120110,000000,16.2197,17.2589,16.2197,16.9128,0,0
IMS_MV,D,20120111,000000,17.0855,17.0855,17.0855,17.0855,0,0
IMS_MV,D,20120112,000000,17.0855,17.2589,17.0855,17.2589,0,0
IMS_MV,D,20120113,000000,17.0855,17.0855,17.0855,17.0855,0,0
IMS_MV,D,20120116,000000,15.5282,17.0855,13.805,17.0855,0,0
IMS_MV,D,20120117,000000,17.2589,17.2589,15.5282,17.2589,0,0
IMS_MV,D,20120118,000000,14.8412,16.2197,14.8412,16.2197,0,0
IMS_MV,D,20120119,000000,14.8412,16.2197,14.8412,16.2197,0,0
IMS_MV,D,20120120,000000,16.2197,16.2197,16.2197,16.2197,0,0
IMS_MV,D,20120123,000000,16.2197,16.7393,16.0471,16.7393,0,0
IMS_MV,D,20120124,000000,16.7393,16.7393,16.7393,16.7393,0,0
IMS_MV,D,20120125,000000,17.0855,17.0855,15.5282,16.0471,0,0
IMS_MV,D,20120126,000000,16.0471,17.5997,16.0471,17.5997,0,0
IMS_MV,D,20120127,000000,17.4308,17.7725,17.4308,17.5997,0,0
IMS_MV,D,20120130,000000,17.5997,17.7725,17.5997,17.7725,0,0
IMS_MV,D,20120131,000000,17.7725,17.7725,17.2589,17.2589,0,0
IMS_MV,D,20120201,000000,17.7725,17.7725,17.2589,17.2589,0,0
IMS_MV,D,20120202,000000,17.2589,17.2589,16.2197,16.3939,0,0
IMS_MV,D,20120203,000000,16.3939,16.3939,16.3939,16.3939,0,0
IMS_MV,D,20120206,000000,16.3939,16.3939,16.3939,16.3939,0,0
IMS_MV,D,20120207,000000,16.3939,16.3939,16.2197,16.3939,0,0
IMS_MV,D,20120208,000000,16.3939,16.3939,15.5282,16.3939,0,0
IMS_MV,D,20120209,000000,16.3939,17.2589,16.3939,17.2589,0,0
IMS_MV,D,20120210,000000,16.9128,18.464,16.9128,17.2589,0,0
IMS_MV,D,20120213,000000,18.9828,18.9828,18.9828,18.9828,0,0
IMS_MV,D,20120214,000000,18.9828,18.9828,18.8094,18.8094,0,0
IMS_MV,D,20120215,000000,18.9828,22.7807,18.9828,22.7807,0,0
IMS_MV,D,20120216,000000,22.7807,22.7807,22.4329,22.4329,0,0
IMS_MV,D,20120217,000000,22.4329,25.0226,22.4329,25.0226,0,0
IMS_MV,D,20120220,000000,26.7473,26.7473,26.7473,26.7473,0,0
IMS_MV,D,20120221,000000,26.7473,26.7473,25.0226,25.8815,0,0
IMS_MV,D,20120222,000000,26.5746,26.7473,26.5746,26.7473,0,0
IMS_MV,D,20120223,000000,26.7473,26.7473,26.7473,26.7473,0,0
IMS_MV,D,20120224,000000,26.7473,29.3371,26.7473,29.3371,0,0
IMS_MV,D,20120227,000000,29.3371,29.3371,29.3371,29.3371,0,0
IMS_MV,D,20120228,000000,32.4417,32.4417,29.3371,29.3371,0,0
IMS_MV,D,20120229,000000,29.3371,29.3371,29.3371,29.3371,0,0
IMS_MV,D,20120301,000000,29.5104,30.1975,29.5104,29.5104,0,0
IMS_MV,D,20120302,000000,29.6823,29.6823,28.9908,28.9908,0,0
IMS_MV,D,20120305,000000,28.4735,28.4735,28.4735,28.4735,0,0
IMS_MV,D,20120307,000000,28.4735,28.4735,27.6116,27.6116,0,0
IMS_MV,D,20120313,000000,27.6116,27.6116,27.6116,27.6116,0,0
IMS_MV,D,20120315,000000,27.4388,27.4388,27.0927,27.0927,0,0
IMS_MV,D,20120316,000000,27.0927,27.0927,27.0927,27.0927,0,0
IMS_MV,D,20120319,000000,26.9192,26.9192,26.7473,26.7473,0,0
IMS_MV,D,20120320,000000,26.7473,26.7473,26.7473,26.7473,0,0
IMS_MV,D,20120321,000000,26.7473,26.7473,26.7473,26.7473,0,0
IMS_MV,D,20120322,000000,26.7473,26.7473,26.7473,26.7473,0,0
IMS_MV,D,20120323,000000,24.8492,24.8492,24.8492,24.8492,0,0
IMS_MV,D,20120328,000000,25.7142,25.7142,25.7142,25.7142,0,0
IMS_MV,D,20120329,000000,25.7142,25.7142,25.7142,25.7142,0,0
IMS_MV,D,20120405,000000,25.7142,25.7142,25.7142,25.7142,0,0
IMS_MV,D,20120413,000000,25.7142,25.7142,25.7142,25.7142,0,0
IMS_MV,D,20120416,000000,25.7142,25.7142,25.7142,25.7142,0,0
IMS_MV,D,20120420,000000,24.1584,24.1584,24.1584,24.1584,0,0
IMS_MV,D,20120424,000000,25.7142,25.7142,25.7142,25.7142,0,0
IMS_MV,D,20120425,000000,23.9858,23.9858,23.9858,23.9858,0,0
IMS_MV,D,20120426,000000,23.9858,23.9858,23.9858,23.9858,0,0
IMS_MV,D,20120430,000000,23.9858,23.9858,23.9858,23.9858,0,0
IMS_MV,D,20120508,000000,23.9858,23.9858,23.9858,23.9858,0,0
IMS_MV,D,20120509,000000,22.4329,22.4329,20.7075,20.7075,0,0
IMS_MV,D,20120510,000000,20.7075,23.9858,20.7075,23.9858,0,0
IMS_MV,D,20120511,000000,23.9858,23.9858,23.9858,23.9858,0,0
IMS_MV,D,20120514,000000,23.9858,23.9858,23.9858,23.9858,0,0
IMS_MV,D,20120515,000000,23.9858,23.9858,23.9858,23.9858,0,0
IMS_MV,D,20120516,000000,23.9858,23.9858,22.4329,22.4329,0,0
IMS_MV,D,20120518,000000,23.2979,23.9858,23.2979,23.9858,0,0
