<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INL_PE,D,20080121,000000,4.06312,4.06312,4.06312,4.06312,0,0
INL_PE,D,20080122,000000,3.89085,4.26979,3.89085,4.26979,0,0
INL_PE,D,20080123,000000,4.3041,4.44184,4.23532,4.44184,0,0
INL_PE,D,20080124,000000,4.47631,4.51085,4.47631,4.47631,0,0
INL_PE,D,20080125,000000,4.40752,4.47631,4.3041,4.47631,0,0
INL_PE,D,20080128,000000,4.23532,4.44184,4.23532,4.44184,0,0
INL_PE,D,20080129,000000,4.26979,4.40752,4.26979,4.40752,0,0
INL_PE,D,20080130,000000,4.40752,4.51085,4.20093,4.51085,0,0
INL_PE,D,20080131,000000,4.44184,4.61382,4.44184,4.44184,0,0
INL_PE,D,20080201,000000,4.44184,4.44184,4.3041,4.40752,0,0
INL_PE,D,20080204,000000,4.26979,4.26979,4.13207,4.1663,0,0
INL_PE,D,20080205,000000,4.0288,4.1663,3.92541,4.1663,0,0
INL_PE,D,20080206,000000,4.0288,4.06312,4.0288,4.06312,0,0
INL_PE,D,20080207,000000,3.89085,3.89085,3.89085,3.89085,0,0
INL_PE,D,20080208,000000,4.1663,4.1663,4.06312,4.06312,0,0
INL_PE,D,20080211,000000,3.92541,4.0288,3.85646,4.0288,0,0
INL_PE,D,20080212,000000,4.0288,4.0288,4.0288,4.0288,0,0
INL_PE,D,20080213,000000,4.06312,4.1663,3.85646,3.99434,0,0
INL_PE,D,20080214,000000,4.06312,4.06312,3.95994,4.06312,0,0
INL_PE,D,20080215,000000,4.06312,4.06312,3.92541,4.06312,0,0
INL_PE,D,20080218,000000,4.0288,4.0288,4.0288,4.0288,0,0
INL_PE,D,20080219,000000,4.0288,4.0288,3.89085,4.0288,0,0
INL_PE,D,20080220,000000,3.99434,4.0288,3.78775,3.95994,0,0
INL_PE,D,20080221,000000,3.82214,3.95994,3.78775,3.92541,0,0
INL_PE,D,20080222,000000,3.92541,3.92541,3.92541,3.92541,0,0
INL_PE,D,20080225,000000,3.85646,3.92541,3.7532,3.92541,0,0
INL_PE,D,20080226,000000,3.92541,3.92541,3.7532,3.92541,0,0
INL_PE,D,20080227,000000,3.71872,3.89085,3.71872,3.89085,0,0
INL_PE,D,20080228,000000,3.89085,5.09585,3.64987,5.09585,0,0
INL_PE,D,20080229,000000,5.02701,5.06199,5.02701,5.06199,0,0
INL_PE,D,20080303,000000,5.06199,5.09585,5.06199,5.09585,0,0
INL_PE,D,20080304,000000,4.88979,5.09585,4.88979,5.06199,0,0
INL_PE,D,20080305,000000,4.82056,4.99259,4.75177,4.99259,0,0
INL_PE,D,20080306,000000,5.09585,5.09585,4.75177,5.06199,0,0
INL_PE,D,20080307,000000,4.78608,5.02701,4.78608,5.02701,0,0
