<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INP_MV,D,20110322,000000,161.254,161.254,161.254,161.254,0,0
INP_MV,D,20110323,000000,161.497,161.497,158.759,160.584,0,0
INP_MV,D,20110324,000000,160.584,160.584,157.416,158.552,0,0
INP_MV,D,20110325,000000,158.552,158.552,154.471,156.289,0,0
INP_MV,D,20110328,000000,154.025,158.096,149.711,158.096,0,0
INP_MV,D,20110329,000000,158.552,158.552,154.025,158.552,0,0
INP_MV,D,20110330,000000,160.36,160.36,154.471,160.127,0,0
INP_MV,D,20110331,000000,160.135,160.36,157.631,160.36,0,0
INP_MV,D,20110401,000000,160.36,160.36,156.512,160.127,0,0
INP_MV,D,20110404,000000,154.695,159.679,154.695,159.679,0,0
INP_MV,D,20110405,000000,159.679,160.816,156.289,160.584,0,0
INP_MV,D,20110406,000000,160.36,161.04,160.127,160.127,0,0
INP_MV,D,20110407,000000,160.816,169.647,158.311,163.08,0,0
INP_MV,D,20110408,000000,166.927,166.927,159.679,165.336,0,0
INP_MV,D,20110411,000000,165.336,165.336,160.584,164.208,0,0
INP_MV,D,20110412,000000,163.08,164.208,160.584,162.614,0,0
INP_MV,D,20110413,000000,162.614,162.614,162.614,162.614,0,0
INP_MV,D,20110414,000000,160.816,162.614,160.816,160.816,0,0
INP_MV,D,20110415,000000,160.816,161.497,160.584,161.497,0,0
INP_MV,D,20110418,000000,161.497,161.497,159.008,161.497,0,0
INP_MV,D,20110419,000000,161.497,161.497,158.759,161.254,0,0
INP_MV,D,20110420,000000,159.679,161.497,159.679,161.497,0,0
INP_MV,D,20110421,000000,161.497,161.497,158.759,158.759,0,0
INP_MV,D,20110426,000000,160.816,161.04,158.759,161.04,0,0
INP_MV,D,20110427,000000,161.04,161.497,160.816,161.497,0,0
INP_MV,D,20110428,000000,160.816,161.497,160.816,160.816,0,0
INP_MV,D,20110429,000000,161.497,161.497,158.759,161.254,0,0
INP_MV,D,20110502,000000,160.816,161.254,160.816,160.816,0,0
INP_MV,D,20110504,000000,160.816,160.816,157.416,160.816,0,0
INP_MV,D,20110505,000000,158.552,160.816,158.552,160.584,0,0
INP_MV,D,20110506,000000,160.584,160.584,159.679,159.679,0,0
INP_MV,D,20110509,000000,152.656,160.816,152.656,160.816,0,0
INP_MV,D,20110510,000000,161.254,161.254,156.512,160.816,0,0
INP_MV,D,20110511,000000,161.04,161.04,160.127,160.127,0,0
INP_MV,D,20110512,000000,159.679,159.679,157.416,157.416,0,0
INP_MV,D,20110513,000000,159.679,160.36,157.416,160.36,0,0
INP_MV,D,20110516,000000,160.584,160.584,156.289,158.096,0,0
INP_MV,D,20110517,000000,158.552,159.679,157.416,159.679,0,0
INP_MV,D,20110518,000000,159.679,159.679,159.679,159.679,0,0
INP_MV,D,20110519,000000,159.679,159.679,159.448,159.448,0,0
INP_MV,D,20110520,000000,159.448,159.679,155.609,159.448,0,0
INP_MV,D,20110523,000000,159.448,159.448,159.448,159.448,0,0
INP_MV,D,20110524,000000,158.552,159.448,156.289,158.552,0,0
INP_MV,D,20110525,000000,158.552,159.912,158.552,159.912,0,0
INP_MV,D,20110526,000000,159.912,159.912,158.552,158.552,0,0
INP_MV,D,20110527,000000,158.552,159.679,158.552,159.679,0,0
INP_MV,D,20110530,000000,159.679,159.679,159.679,159.679,0,0
INP_MV,D,20110531,000000,159.679,159.679,159.224,159.224,0,0
INP_MV,D,20110601,000000,158.552,158.552,158.552,158.552,0,0
INP_MV,D,20110602,000000,158.311,158.311,157.872,157.872,0,0
INP_MV,D,20110603,000000,157.872,157.872,157.872,157.872,0,0
INP_MV,D,20110606,000000,157.416,157.416,157.416,157.416,0,0
INP_MV,D,20110607,000000,157.416,157.416,155.152,157.416,0,0
INP_MV,D,20110608,000000,157.416,157.416,155.152,157.193,0,0
INP_MV,D,20110609,000000,157.193,159.679,155.152,159.679,0,0
INP_MV,D,20110610,000000,159.679,159.679,157.193,157.193,0,0
INP_MV,D,20110613,000000,159.679,161.952,159.679,161.952,0,0
INP_MV,D,20110614,000000,161.952,161.952,159.008,160.816,0,0
INP_MV,D,20110615,000000,160.816,160.816,159.679,159.679,0,0
INP_MV,D,20110616,000000,159.679,159.679,156.289,159.224,0,0
INP_MV,D,20110617,000000,159.679,159.679,159.224,159.224,0,0
INP_MV,D,20110620,000000,159.008,159.224,151.752,159.224,0,0
INP_MV,D,20110621,000000,159.679,160.808,155.823,159.679,0,0
INP_MV,D,20110622,000000,160.584,160.584,154.025,158.552,0,0
INP_MV,D,20110624,000000,156.289,160.135,156.289,160.135,0,0
INP_MV,D,20110627,000000,160.135,160.135,155.152,159.679,0,0
INP_MV,D,20110628,000000,160.36,160.36,159.679,160.36,0,0
INP_MV,D,20110629,000000,160.36,160.36,155.599,160.36,0,0
INP_MV,D,20110630,000000,160.36,161.254,160.36,161.254,0,0
INP_MV,D,20110701,000000,166.394,166.394,166.394,166.394,0,0
INP_MV,D,20110704,000000,166.394,166.394,165.911,165.911,0,0
INP_MV,D,20110705,000000,165.911,165.911,160.808,165.455,0,0
INP_MV,D,20110706,000000,165.455,165.455,163.114,165.455,0,0
INP_MV,D,20110707,000000,149.143,163.114,149.143,163.114,0,0
INP_MV,D,20110708,000000,164.285,164.285,164.285,164.285,0,0
INP_MV,D,20110711,000000,164.99,164.99,160.093,163.829,0,0
INP_MV,D,20110712,000000,159.869,159.869,159.869,159.869,0,0
INP_MV,D,20110713,000000,159.869,159.869,156.132,159.869,0,0
INP_MV,D,20110714,000000,159.869,159.869,159.869,159.869,0,0
INP_MV,D,20110715,000000,144.478,159.869,144.478,159.869,0,0
INP_MV,D,20110718,000000,159.869,159.869,156.132,159.869,0,0
INP_MV,D,20110719,000000,159.869,159.869,153.809,159.869,0,0
INP_MV,D,20110720,000000,154.747,159.869,150.53,159.869,0,0
INP_MV,D,20110721,000000,162.883,162.883,157.295,158.931,0,0
INP_MV,D,20110722,000000,161.969,161.969,158.458,158.458,0,0
INP_MV,D,20110725,000000,161.729,161.729,161.729,161.729,0,0
INP_MV,D,20110726,000000,161.729,161.729,161.729,161.729,0,0
INP_MV,D,20110727,000000,161.729,161.729,161.729,161.729,0,0
INP_MV,D,20110728,000000,154.033,154.033,154.033,154.033,0,0
INP_MV,D,20110729,000000,147.276,149.143,146.811,147.982,0,0
INP_MV,D,20110801,000000,147.982,147.982,140.054,141.447,0,0
INP_MV,D,20110802,000000,139.812,142.146,139.812,142.146,0,0
INP_MV,D,20110803,000000,142.146,142.146,142.146,142.146,0,0
INP_MV,D,20110804,000000,142.146,142.146,135.155,135.155,0,0
INP_MV,D,20110805,000000,142.146,142.146,135.155,140.974,0,0
INP_MV,D,20110808,000000,128.175,128.175,127.012,127.012,0,0
INP_MV,D,20110810,000000,123.276,123.276,123.276,123.276,0,0
INP_MV,D,20110811,000000,123.492,123.742,123.492,123.742,0,0
INP_MV,D,20110812,000000,123.492,123.742,123.492,123.492,0,0
INP_MV,D,20110817,000000,125.841,128.175,123.492,128.175,0,0
INP_MV,D,20110819,000000,128.175,128.175,128.175,128.175,0,0
INP_MV,D,20110822,000000,128.175,128.175,128.175,128.175,0,0
INP_MV,D,20110823,000000,128.175,128.175,128.175,128.175,0,0
INP_MV,D,20110824,000000,128.175,128.175,127.709,127.709,0,0
INP_MV,D,20110830,000000,122.106,122.106,122.106,122.106,0,0
INP_MV,D,20110831,000000,122.106,122.106,122.106,122.106,0,0
INP_MV,D,20110901,000000,116.511,122.106,116.511,116.511,0,0
INP_MV,D,20110905,000000,110.7,116.511,100.189,100.189,0,0
INP_MV,D,20110907,000000,100.189,100.189,100.189,100.189,0,0
INP_MV,D,20110908,000000,100.189,100.189,100.189,100.189,0,0
INP_MV,D,20110909,000000,95.5416,95.5416,95.5416,95.5416,0,0
INP_MV,D,20110912,000000,90.8928,92.0549,90.8928,91.5899,0,0
INP_MV,D,20110913,000000,91.5899,91.5899,91.5899,91.5899,0,0
INP_MV,D,20110914,000000,91.5899,91.5899,86.227,91.5899,0,0
INP_MV,D,20110915,000000,91.5899,91.5899,91.5899,91.5899,0,0
INP_MV,D,20110926,000000,90.4195,90.4195,90.4195,90.4195,0,0
INP_MV,D,20110927,000000,86.4595,90.4195,86.227,86.227,0,0
INP_MV,D,20110928,000000,81.5692,81.5692,81.5692,81.5692,0,0
INP_MV,D,20110929,000000,78.0708,81.5692,78.0708,81.5692,0,0
INP_MV,D,20110930,000000,81.3248,81.5692,78.0708,78.3043,0,0
INP_MV,D,20111004,000000,76.9037,76.9037,74.5813,76.9037,0,0
INP_MV,D,20111011,000000,73.4131,73.4131,69.9053,72.2433,0,0
INP_MV,D,20111012,000000,74.5813,81.3248,74.5813,81.3248,0,0
INP_MV,D,20111013,000000,81.3248,83.204,81.3248,82.7236,0,0
INP_MV,D,20111014,000000,85.5212,90.1695,85.5212,89.481,0,0
INP_MV,D,20111017,000000,92.0549,94.3792,92.0549,92.0549,0,0
INP_MV,D,20111019,000000,91.5899,91.5899,91.5899,91.5899,0,0
INP_MV,D,20111021,000000,87.3892,88.0865,87.3892,88.0865,0,0
INP_MV,D,20111025,000000,85.0581,85.0581,85.0581,85.0581,0,0
INP_MV,D,20111027,000000,88.7837,92.0549,88.7837,92.0549,0,0
INP_MV,D,20111028,000000,92.0549,92.0549,89.7134,89.7134,0,0
INP_MV,D,20111031,000000,88.5513,89.7134,88.5513,88.5513,0,0
INP_MV,D,20111102,000000,86.227,86.227,79.4739,83.4312,0,0
INP_MV,D,20111103,000000,82.7236,82.7236,82.7236,82.7236,0,0
INP_MV,D,20111104,000000,82.9681,82.9681,82.9681,82.9681,0,0
INP_MV,D,20111107,000000,84.8299,84.8299,84.8299,84.8299,0,0
INP_MV,D,20111108,000000,81.7888,81.7888,81.5692,81.5692,0,0
INP_MV,D,20111109,000000,79.2391,79.2391,79.2391,79.2391,0,0
INP_MV,D,20111121,000000,74.5813,74.5813,74.5813,74.5813,0,0
INP_MV,D,20111123,000000,71.5382,74.5813,71.5382,71.5382,0,0
INP_MV,D,20111124,000000,71.0753,71.0753,71.0753,71.0753,0,0
INP_MV,D,20111125,000000,69.9053,69.9053,69.9053,69.9053,0,0
INP_MV,D,20111128,000000,70.1403,70.1403,65.2484,67.588,0,0
