<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IPE_MV,D,20090526,000000,82.648,82.648,82.648,82.648,0,0
IPE_MV,D,20090527,000000,85.0492,86.7354,82.648,84.6258,0,0
IPE_MV,D,20090528,000000,88.4212,88.4212,81.3851,81.6628,0,0
IPE_MV,D,20090529,000000,81.2466,88.7062,81.2466,88.7062,0,0
IPE_MV,D,20090601,000000,92.2242,99.9682,88.7062,98.559,0,0
IPE_MV,D,20090602,000000,102.787,102.787,95.7425,97.8516,0,0
IPE_MV,D,20090603,000000,101.092,101.092,91.5164,94.3334,0,0
IPE_MV,D,20090604,000000,94.3334,96.8747,92.925,95.6031,0,0
IPE_MV,D,20090605,000000,97.8516,98.4205,96.027,97.0048,0,0
IPE_MV,D,20090608,000000,97.8516,97.8516,87.4285,94.3334,0,0
IPE_MV,D,20090609,000000,92.925,95.7425,92.925,93.9179,0,0
IPE_MV,D,20090610,000000,92.925,94.8948,92.925,92.925,0,0
IPE_MV,D,20090612,000000,94.3334,94.3334,90.962,93.6334,0,0
IPE_MV,D,20090615,000000,92.7941,92.7941,87.9976,91.246,0,0
IPE_MV,D,20090616,000000,87.9976,90.5307,87.9976,88.7062,0,0
IPE_MV,D,20090617,000000,88.4212,88.7062,85.889,88.7062,0,0
IPE_MV,D,20090618,000000,85.6041,88.8371,85.1804,88.8371,0,0
IPE_MV,D,20090619,000000,91.0997,91.0997,86.589,90.1147,0,0
IPE_MV,D,20090622,000000,90.1147,90.1147,84.7643,84.7643,0,0
IPE_MV,D,20090623,000000,87.3122,94.7498,87.3122,92.925,0,0
IPE_MV,D,20090624,000000,95.7425,95.7425,90.8147,92.7941,0,0
IPE_MV,D,20090625,000000,92.925,92.925,87.8589,87.8589,0,0
IPE_MV,D,20090626,000000,92.7941,93.6334,92.7941,92.925,0,0
IPE_MV,D,20090629,000000,90.677,95.6031,90.677,95.6031,0,0
IPE_MV,D,20090630,000000,95.0491,95.6031,91.5164,95.6031,0,0
IPE_MV,D,20090701,000000,91.5164,92.2242,91.5164,92.2242,0,0
IPE_MV,D,20090702,000000,93.0701,94.3334,90.8147,90.8147,0,0
IPE_MV,D,20090703,000000,90.1147,94.0564,88.9911,94.0564,0,0
IPE_MV,D,20090706,000000,93.9179,93.9179,93.9179,93.9179,0,0
IPE_MV,D,20090707,000000,93.6334,93.6334,86.589,89.9692,0,0
IPE_MV,D,20090708,000000,85.1804,87.3122,84.4801,87.3122,0,0
IPE_MV,D,20090709,000000,88.7062,88.7062,85.1804,86.8817,0,0
IPE_MV,D,20090710,000000,88.7062,88.7062,84.6258,84.6258,0,0
IPE_MV,D,20090713,000000,84.6258,86.589,84.6258,86.589,0,0
IPE_MV,D,20090714,000000,86.589,86.589,84.6258,86.3049,0,0
IPE_MV,D,20090715,000000,86.4504,87.3122,85.327,86.8817,0,0
IPE_MV,D,20090716,000000,85.889,87.159,85.4653,85.6041,0,0
IPE_MV,D,20090717,000000,85.889,85.889,85.7495,85.7495,0,0
IPE_MV,D,20090720,000000,85.327,86.0268,84.4801,86.0268,0,0
