<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IZO_MV,D,20071023,000000,26.9169,26.9169,26.9169,26.9169,0,0
IZO_MV,D,20071024,000000,26.6619,26.6619,26.6619,26.6619,0,0
IZO_MV,D,20071025,000000,23.3279,23.3279,23.3279,23.3279,0,0
IZO_MV,D,20071026,000000,20.5324,20.5324,20.5324,20.5324,0,0
IZO_MV,D,20071029,000000,20.6741,20.6741,20.6741,20.6741,0,0
IZO_MV,D,20071030,000000,19.3424,19.3424,19.3424,19.3424,0,0
IZO_MV,D,20071031,000000,18.9457,18.9457,18.9457,18.9457,0,0
IZO_MV,D,20071102,000000,19.0591,19.0591,19.0591,19.0591,0,0
IZO_MV,D,20071105,000000,19.2762,19.2762,19.2762,19.2762,0,0
IZO_MV,D,20071106,000000,19.0591,19.0591,19.0591,19.0591,0,0
IZO_MV,D,20071107,000000,17.9445,17.9445,17.9445,17.9445,0,0
IZO_MV,D,20071108,000000,18.4829,18.4829,18.4829,18.4829,0,0
IZO_MV,D,20071109,000000,19.0212,19.0212,16.764,17.9445,0,0
IZO_MV,D,20071112,000000,19.0212,19.0212,17.4062,17.9445,0,0
IZO_MV,D,20071113,000000,17.9445,18.1995,17.0945,17.9068,0,0
IZO_MV,D,20071114,000000,18.6245,18.6245,17.9162,18.1807,0,0
IZO_MV,D,20071115,000000,18.6245,18.6245,16.3674,16.6129,0,0
IZO_MV,D,20071116,000000,15.1774,16.6129,15.1774,15.4324,0,0
IZO_MV,D,20071119,000000,16.1879,16.1879,14.5351,14.7145,0,0
IZO_MV,D,20071120,000000,14.3557,14.3557,13.3357,13.3357,0,0
IZO_MV,D,20071121,000000,13.3168,14.1384,12.9578,13.6378,0,0
IZO_MV,D,20071122,000000,13.9968,14.1574,13.0807,14.1574,0,0
IZO_MV,D,20071123,000000,14.1574,14.2707,13.2884,13.3734,0,0
IZO_MV,D,20071126,000000,14.1762,14.1762,13.279,13.6284,0,0
IZO_MV,D,20071127,000000,13.6284,13.6284,12.7028,12.7501,0,0
IZO_MV,D,20071128,000000,13.6284,14.1384,12.599,14.0724,0,0
IZO_MV,D,20071129,000000,14.7145,19.3045,14.639,19.3045,0,0
IZO_MV,D,20071130,000000,19.8429,21.4768,18.6624,19.5218,0,0
IZO_MV,D,20071203,000000,19.5218,19.8807,18.3035,19.3235,0,0
IZO_MV,D,20071204,000000,18.5774,18.5774,16.9718,17.3968,0,0
IZO_MV,D,20071205,000000,17.2268,19.0212,16.9057,18.5868,0,0
IZO_MV,D,20071206,000000,18.2279,18.4829,17.2645,17.869,0,0
IZO_MV,D,20071207,000000,17.9257,17.9445,17.2268,17.8407,0,0
IZO_MV,D,20071210,000000,17.5857,18.5774,16.8679,17.0474,0,0
IZO_MV,D,20071211,000000,17.5479,17.6045,16.7262,17.359,0,0
