<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IZO_PE,D,20071023,000000,26.6335,26.6335,26.6335,26.6335,0,0
IZO_PE,D,20071024,000000,26.3502,26.3502,26.3502,26.3502,0,0
IZO_PE,D,20071025,000000,23.0446,23.0446,23.0446,23.0446,0,0
IZO_PE,D,20071026,000000,20.3057,20.3057,20.3057,20.3057,0,0
IZO_PE,D,20071029,000000,20.6835,20.6835,20.6835,20.6835,0,0
IZO_PE,D,20071030,000000,19.3612,19.3612,19.3612,19.3612,0,0
IZO_PE,D,20071031,000000,18.8891,18.8891,18.8891,18.8891,0,0
IZO_PE,D,20071102,000000,19.0779,19.0779,19.0779,19.0779,0,0
IZO_PE,D,20071105,000000,19.2668,19.2668,19.2668,19.2668,0,0
IZO_PE,D,20071106,000000,19.0779,19.0779,19.0779,19.0779,0,0
IZO_PE,D,20071107,000000,17.9445,17.9445,17.9445,17.9445,0,0
IZO_PE,D,20071108,000000,18.5112,18.5112,18.5112,18.5112,0,0
IZO_PE,D,20071109,000000,19.0779,19.0779,16.8112,17.9445,0,0
IZO_PE,D,20071112,000000,18.9835,18.9835,17.3779,17.9445,0,0
IZO_PE,D,20071113,000000,17.9445,18.2279,17.0945,17.8501,0,0
IZO_PE,D,20071114,000000,18.6057,18.6057,17.8501,18.1335,0,0
IZO_PE,D,20071115,000000,18.6057,18.6057,16.339,16.6224,0,0
IZO_PE,D,20071116,000000,15.2057,16.6224,15.2057,15.3945,0,0
IZO_PE,D,20071119,000000,16.1501,16.1501,14.5445,14.7334,0,0
IZO_PE,D,20071120,000000,14.3557,14.3557,13.3168,13.3168,0,0
IZO_PE,D,20071121,000000,13.6001,13.6001,13.6001,13.6001,0,0
IZO_PE,D,20071122,000000,13.9778,14.1668,13.0334,14.1668,0,0
IZO_PE,D,20071123,000000,14.1668,14.2612,13.3168,13.3168,0,0
IZO_PE,D,20071126,000000,14.0724,14.1668,13.2223,13.6001,0,0
IZO_PE,D,20071127,000000,13.6001,13.6001,12.6557,12.7501,0,0
IZO_PE,D,20071128,000000,13.6001,14.1668,12.5612,14.0724,0,0
IZO_PE,D,20071129,000000,14.7334,19.2668,14.639,19.2668,0,0
IZO_PE,D,20071130,000000,19.8335,21.4391,18.6057,19.5501,0,0
IZO_PE,D,20071203,000000,19.5501,19.9279,18.3224,19.2668,0,0
IZO_PE,D,20071204,000000,18.5112,18.5112,16.9057,17.3779,0,0
IZO_PE,D,20071205,000000,17.189,18.9835,16.9057,18.6057,0,0
IZO_PE,D,20071206,000000,18.2279,18.5112,17.2835,17.8501,0,0
IZO_PE,D,20071207,000000,17.9445,17.9445,17.189,17.8501,0,0
IZO_PE,D,20071210,000000,17.5668,18.6057,16.9057,17.0001,0,0
IZO_PE,D,20071211,000000,17.4724,17.5668,16.7168,17.3779,0,0
IZO_PE,D,20071212,000000,16.7168,17.0945,16.1501,16.8112,0,0
IZO_PE,D,20071213,000000,16.2445,16.6224,16.1501,16.6224,0,0
IZO_PE,D,20071214,000000,15.8668,16.2445,15.8668,16.2445,0,0
IZO_PE,D,20071217,000000,16.339,17.3779,15.7724,16.7168,0,0
IZO_PE,D,20071218,000000,16.9057,16.9057,15.6779,16.1501,0,0
IZO_PE,D,20071219,000000,16.2445,16.2445,15.9612,15.9612,0,0
IZO_PE,D,20071220,000000,15.9612,15.9612,15.489,15.489,0,0
IZO_PE,D,20071221,000000,16.0557,16.0557,14.7334,15.7724,0,0
IZO_PE,D,20071227,000000,15.0168,16.1501,15.0168,15.9612,0,0
IZO_PE,D,20071228,000000,15.2057,15.7724,15.0168,15.3945,0,0
IZO_PE,D,20080102,000000,15.7724,15.9612,15.1112,15.7724,0,0
IZO_PE,D,20080103,000000,15.7724,15.7724,15.0168,15.3945,0,0
IZO_PE,D,20080104,000000,15.3945,15.6779,14.3557,15.5834,0,0
IZO_PE,D,20080107,000000,15.3945,15.3945,14.7334,15.2057,0,0
IZO_PE,D,20080108,000000,15.0168,15.2057,14.3557,14.639,0,0
IZO_PE,D,20080109,000000,14.639,14.639,13.8834,14.3557,0,0
IZO_PE,D,20080110,000000,14.3557,14.9224,13.6945,13.9778,0,0
IZO_PE,D,20080111,000000,13.6001,14.3557,13.6001,14.3557,0,0
IZO_PE,D,20080114,000000,13.9778,13.9778,13.9778,13.9778,0,0
IZO_PE,D,20080115,000000,13.4112,13.9778,13.3168,13.9778,0,0
IZO_PE,D,20080116,000000,13.3168,13.4112,12.1834,13.4112,0,0
IZO_PE,D,20080117,000000,13.789,13.789,13.1278,13.5057,0,0
IZO_PE,D,20080118,000000,12.939,13.8834,12.8445,13.8834,0,0
IZO_PE,D,20080121,000000,13.0334,13.4112,12.939,13.2223,0,0
IZO_PE,D,20080122,000000,12.3723,12.8445,12.3723,12.8445,0,0
IZO_PE,D,20080123,000000,12.8445,13.2223,12.1834,13.1278,0,0
IZO_PE,D,20080124,000000,13.3168,14.1668,13.3168,14.1668,0,0
IZO_PE,D,20080125,000000,14.9224,15.1112,14.7334,15.0168,0,0
IZO_PE,D,20080128,000000,14.3557,14.639,13.6945,14.639,0,0
IZO_PE,D,20080129,000000,14.639,15.7724,14.639,15.7724,0,0
IZO_PE,D,20080130,000000,15.7724,15.7724,15.489,15.7724,0,0
IZO_PE,D,20080131,000000,14.8278,15.489,14.7334,14.7334,0,0
IZO_PE,D,20080201,000000,15.1112,15.3945,14.639,15.3945,0,0
IZO_PE,D,20080204,000000,15.8668,15.8668,14.9224,15.3945,0,0
IZO_PE,D,20080205,000000,15.3945,15.7724,15.2057,15.7724,0,0
IZO_PE,D,20080206,000000,15.5834,18.6057,15.5834,17.2835,0,0
IZO_PE,D,20080207,000000,17.2835,17.5668,16.5279,17.2835,0,0
IZO_PE,D,20080208,000000,16.6224,17.3779,16.6224,17.189,0,0
IZO_PE,D,20080211,000000,17.0001,17.189,16.6224,17.189,0,0
IZO_PE,D,20080212,000000,17.2835,18.9835,17.2835,18.039,0,0
IZO_PE,D,20080213,000000,17.4724,17.4724,16.339,16.5279,0,0
IZO_PE,D,20080214,000000,16.8112,16.8112,15.7724,16.1501,0,0
IZO_PE,D,20080215,000000,15.8668,15.8668,14.4501,14.4501,0,0
IZO_PE,D,20080218,000000,14.7334,14.9224,14.639,14.8278,0,0
IZO_PE,D,20080219,000000,14.4501,15.0168,14.2612,15.0168,0,0
IZO_PE,D,20080220,000000,14.4501,14.7334,14.3557,14.7334,0,0
IZO_PE,D,20080221,000000,15.0168,15.0168,14.3557,14.3557,0,0
IZO_PE,D,20080222,000000,14.2612,14.639,14.2612,14.4501,0,0
IZO_PE,D,20080225,000000,14.4501,14.7334,14.0724,14.1668,0,0
IZO_PE,D,20080226,000000,14.1668,14.4501,14.0724,14.1668,0,0
IZO_PE,D,20080227,000000,14.5445,14.5445,14.2612,14.4501,0,0
IZO_PE,D,20080228,000000,14.1668,14.2612,14.1668,14.2612,0,0
IZO_PE,D,20080229,000000,14.0724,14.639,14.0724,14.2612,0,0
IZO_PE,D,20080303,000000,13.4112,14.2612,13.4112,13.9778,0,0
IZO_PE,D,20080304,000000,13.789,13.9778,13.5057,13.9778,0,0
IZO_PE,D,20080305,000000,14.2612,14.2612,13.9778,13.9778,0,0
IZO_PE,D,20080306,000000,14.0724,14.4501,13.8834,14.3557,0,0
IZO_PE,D,20080307,000000,13.789,14.4501,13.789,14.4501,0,0
IZO_PE,D,20080310,000000,14.4501,14.4501,13.6001,13.789,0,0
IZO_PE,D,20080311,000000,13.789,14.0724,13.789,13.8834,0,0
IZO_PE,D,20080312,000000,14.3557,14.4501,13.5057,14.4501,0,0
IZO_PE,D,20080313,000000,14.1668,14.4501,13.4112,13.9778,0,0
IZO_PE,D,20080314,000000,13.5057,14.0724,13.4112,14.0724,0,0
IZO_PE,D,20080317,000000,13.789,13.789,13.4112,13.6945,0,0
IZO_PE,D,20080318,000000,13.4112,13.789,13.3168,13.5057,0,0
IZO_PE,D,20080319,000000,13.3168,13.3168,13.2223,13.3168,0,0
IZO_PE,D,20080320,000000,14.1668,14.1668,12.7501,13.6945,0,0
IZO_PE,D,20080325,000000,13.789,13.8834,13.6945,13.8834,0,0
IZO_PE,D,20080326,000000,13.8834,13.8834,13.4112,13.4112,0,0
IZO_PE,D,20080327,000000,13.0334,13.6001,13.0334,13.2223,0,0
IZO_PE,D,20080328,000000,12.8445,13.4112,12.8445,13.4112,0,0
IZO_PE,D,20080331,000000,13.4112,13.4112,13.4112,13.4112,0,0
IZO_PE,D,20080401,000000,13.1278,13.789,13.0334,13.789,0,0
IZO_PE,D,20080402,000000,13.0334,13.789,13.0334,13.789,0,0
IZO_PE,D,20080403,000000,13.1278,13.6001,13.1278,13.1278,0,0
IZO_PE,D,20080404,000000,13.5057,13.5057,13.1278,13.4112,0,0
IZO_PE,D,20080407,000000,13.1278,13.1278,13.1278,13.1278,0,0
IZO_PE,D,20080408,000000,13.0334,13.1278,13.0334,13.1278,0,0
IZO_PE,D,20080409,000000,13.1278,13.1278,12.7501,13.1278,0,0
IZO_PE,D,20080410,000000,12.7501,13.1278,12.6557,13.0334,0,0
IZO_PE,D,20080411,000000,13.0334,13.0334,12.7501,12.7501,0,0
IZO_PE,D,20080414,000000,12.7501,13.1278,12.4668,12.4668,0,0
IZO_PE,D,20080415,000000,12.4668,12.4668,11.8057,12.3723,0,0
IZO_PE,D,20080416,000000,12.4668,12.4668,11.9945,12.2778,0,0
IZO_PE,D,20080417,000000,12.4668,13.3168,12.4668,13.3168,0,0
IZO_PE,D,20080418,000000,13.1278,13.2223,12.3723,12.939,0,0
IZO_PE,D,20080421,000000,12.089,12.089,11.6167,11.6167,0,0
IZO_PE,D,20080422,000000,11.6167,11.7112,10.9557,11.6167,0,0
IZO_PE,D,20080423,000000,11.6167,11.6167,10.9557,11.6167,0,0
IZO_PE,D,20080424,000000,11.6167,12.4668,11.1445,12.4668,0,0
IZO_PE,D,20080425,000000,13.0334,13.0334,12.089,12.4668,0,0
IZO_PE,D,20080428,000000,12.4668,12.4668,11.6167,12.1834,0,0
IZO_PE,D,20080429,000000,11.6167,11.9945,11.4278,11.9001,0,0
IZO_PE,D,20080430,000000,11.7112,12.5612,11.7112,12.5612,0,0
IZO_PE,D,20080505,000000,12.4668,12.4668,11.8057,12.4668,0,0
IZO_PE,D,20080506,000000,12.1834,21.2501,12.1834,21.2501,0,0
IZO_PE,D,20080507,000000,20.4946,21.0612,19.6445,19.6445,0,0
IZO_PE,D,20080508,000000,19.2668,19.8335,18.7945,19.7391,0,0
IZO_PE,D,20080509,000000,20.3057,20.3057,18.7945,19.9279,0,0
IZO_PE,D,20080512,000000,19.8335,19.8335,19.8335,19.8335,0,0
IZO_PE,D,20080513,000000,19.8335,19.8335,18.7001,19.1724,0,0
IZO_PE,D,20080514,000000,18.3224,18.9835,18.3224,18.9835,0,0
IZO_PE,D,20080515,000000,18.8891,19.2668,18.3224,18.3224,0,0
IZO_PE,D,20080516,000000,18.7001,18.7001,16.8112,16.8112,0,0
IZO_PE,D,20080519,000000,15.1112,17.2835,15.1112,15.489,0,0
IZO_PE,D,20080520,000000,15.3001,15.7724,15.3001,15.3001,0,0
IZO_PE,D,20080521,000000,15.9612,16.339,15.489,16.2445,0,0
IZO_PE,D,20080523,000000,16.1501,16.2445,15.3945,16.2445,0,0
IZO_PE,D,20080526,000000,15.9612,16.339,15.2057,16.339,0,0
IZO_PE,D,20080527,000000,16.339,16.339,16.339,16.339,0,0
IZO_PE,D,20080528,000000,17.0945,17.0945,14.7334,16.2445,0,0
IZO_PE,D,20080529,000000,15.1112,16.2445,15.1112,16.0557,0,0
IZO_PE,D,20080530,000000,15.489,15.8668,15.489,15.8668,0,0
IZO_PE,D,20080602,000000,14.9224,15.8668,14.5445,15.7724,0,0
IZO_PE,D,20080603,000000,16.1501,16.1501,14.7334,16.0557,0,0
IZO_PE,D,20080604,000000,16.0557,16.0557,15.1112,15.2057,0,0
IZO_PE,D,20080605,000000,15.1112,16.0557,14.639,15.9612,0,0
IZO_PE,D,20080606,000000,14.7334,15.1112,14.7334,14.7334,0,0
IZO_PE,D,20080609,000000,14.7334,15.2057,14.5445,15.2057,0,0
IZO_PE,D,20080610,000000,14.1668,15.2057,13.789,14.4501,0,0
IZO_PE,D,20080611,000000,14.2612,14.4501,13.9778,14.4501,0,0
IZO_PE,D,20080612,000000,13.6945,13.6945,13.6945,13.6945,0,0
IZO_PE,D,20080613,000000,13.4112,13.6945,12.3723,12.3723,0,0
IZO_PE,D,20080616,000000,13.8834,14.0724,13.4112,13.4112,0,0
IZO_PE,D,20080617,000000,13.4112,13.4112,12.2778,13.3168,0,0
IZO_PE,D,20080618,000000,13.6001,13.8834,12.3723,13.0334,0,0
IZO_PE,D,20080619,000000,13.4112,13.6945,12.2778,12.2778,0,0
IZO_PE,D,20080620,000000,13.1278,13.4112,13.1278,13.4112,0,0
IZO_PE,D,20080623,000000,12.8445,13.4112,12.8445,13.3168,0,0
IZO_PE,D,20080624,000000,13.1278,13.3168,12.1834,12.2778,0,0
IZO_PE,D,20080625,000000,12.8445,12.8445,11.5223,12.8445,0,0
IZO_PE,D,20080626,000000,13.4112,13.4112,12.7501,12.7501,0,0
IZO_PE,D,20080627,000000,12.5612,12.8445,11.7112,12.8445,0,0
IZO_PE,D,20080701,000000,11.7112,13.1278,11.7112,13.1278,0,0
IZO_PE,D,20080702,000000,12.8445,12.8445,11.8057,11.8057,0,0
IZO_PE,D,20080703,000000,12.8445,12.8445,10.6723,10.6723,0,0
IZO_PE,D,20080704,000000,12.8445,12.8445,11.5223,11.5223,0,0
IZO_PE,D,20080707,000000,9.53896,11.0501,9.53896,11.0501,0,0
IZO_PE,D,20080708,000000,10.1057,10.7667,10.0111,10.7667,0,0
IZO_PE,D,20080709,000000,10.9557,10.9557,9.6334,9.6334,0,0
IZO_PE,D,20080710,000000,9.6334,10.389,9.06673,10.389,0,0
IZO_PE,D,20080711,000000,9.35007,10.2001,9.35007,10.2001,0,0
IZO_PE,D,20080714,000000,8.97229,10.2001,8.97229,10.2001,0,0
IZO_PE,D,20080715,000000,9.25562,10.5778,9.25562,10.4834,0,0
IZO_PE,D,20080716,000000,10.4834,11.6167,10.4834,10.9557,0,0
IZO_PE,D,20080717,000000,9.91674,10.9557,9.91674,10.4834,0,0
IZO_PE,D,20080718,000000,10.9557,10.9557,10.9557,10.9557,0,0
IZO_PE,D,20080721,000000,10.9557,11.3334,10.9557,11.0501,0,0
IZO_PE,D,20080722,000000,11.239,11.9001,11.239,11.9001,0,0
IZO_PE,D,20080723,000000,11.5223,12.089,11.5223,12.089,0,0
IZO_PE,D,20080724,000000,11.9945,11.9945,11.9945,11.9945,0,0
IZO_PE,D,20080728,000000,11.0501,11.9945,11.0501,11.9945,0,0
IZO_PE,D,20080729,000000,11.9945,12.5612,11.9945,12.3723,0,0
IZO_PE,D,20080730,000000,12.5612,12.5612,11.7112,12.2778,0,0
IZO_PE,D,20080731,000000,11.0501,12.5612,11.0501,12.2778,0,0
IZO_PE,D,20080804,000000,12.1834,12.1834,10.4834,10.7667,0,0
IZO_PE,D,20080805,000000,10.7667,30.3169,9.82232,30.3169,0,0
IZO_PE,D,20080806,000000,30.128,32.4891,29.2779,29.5613,0,0
IZO_PE,D,20080807,000000,28.0502,30.7891,28.0502,28.0502,0,0
IZO_PE,D,20080808,000000,30.128,30.6946,28.4279,28.6169,0,0
IZO_PE,D,20080811,000000,30.7891,30.7891,27.7669,28.1446,0,0
IZO_PE,D,20080812,000000,30.2225,30.2225,27.7669,28.6169,0,0
IZO_PE,D,20080813,000000,30.3169,30.3169,28.5225,29.3725,0,0
IZO_PE,D,20080814,000000,28.0502,30.128,27.9558,29.8446,0,0
IZO_PE,D,20080818,000000,27.9558,30.4113,27.9558,28.9946,0,0
IZO_PE,D,20080819,000000,30.128,30.128,27.1058,29.5613,0,0
IZO_PE,D,20080821,000000,25.7835,29.1835,25.7835,28.7113,0,0
IZO_PE,D,20080822,000000,29.0891,29.3725,28.9946,28.9946,0,0
IZO_PE,D,20080825,000000,29.7502,30.128,28.9946,30.128,0,0
IZO_PE,D,20080826,000000,28.5225,30.128,27.4835,30.0335,0,0
IZO_PE,D,20080827,000000,30.0335,30.0335,28.5225,28.5225,0,0
IZO_PE,D,20080828,000000,29.1835,29.1835,29.1835,29.1835,0,0
IZO_PE,D,20080829,000000,28.1446,29.8446,27.6724,29.2779,0,0
IZO_PE,D,20080901,000000,27.5779,30.128,27.5779,30.128,0,0
IZO_PE,D,20080902,000000,30.128,30.128,28.3335,29.8446,0,0
IZO_PE,D,20080903,000000,28.9002,30.0335,28.9002,30.0335,0,0
IZO_PE,D,20080904,000000,30.0335,30.128,30.0335,30.128,0,0
IZO_PE,D,20080905,000000,30.0335,30.0335,28.6169,29.9391,0,0
IZO_PE,D,20080908,000000,29.9391,30.0335,28.9002,30.0335,0,0
IZO_PE,D,20080909,000000,30.0335,30.0335,30.0335,30.0335,0,0
IZO_PE,D,20080910,000000,28.8058,29.2779,27.0113,29.2779,0,0
IZO_PE,D,20080916,000000,26.8224,28.9002,26.8224,28.9002,0,0
IZO_PE,D,20080917,000000,29.0891,29.0891,29.0891,29.0891,0,0
IZO_PE,D,20080918,000000,26.8224,28.9946,26.8224,28.9946,0,0
IZO_PE,D,20080922,000000,28.1446,28.1446,26.0668,26.0668,0,0
IZO_PE,D,20080923,000000,28.0502,28.3335,26.4446,26.5391,0,0
IZO_PE,D,20080924,000000,26.0668,28.0502,25.0279,27.8613,0,0
IZO_PE,D,20080925,000000,25.9724,27.8613,25.9724,27.8613,0,0
IZO_PE,D,20080926,000000,27.8613,30.128,27.8613,29.3725,0,0
IZO_PE,D,20080929,000000,29.2779,29.2779,29.1835,29.1835,0,0
IZO_PE,D,20080930,000000,28.2391,29.1835,28.2391,29.1835,0,0
IZO_PE,D,20081001,000000,29.2779,30.0335,28.7113,28.7113,0,0
IZO_PE,D,20081002,000000,29.9391,29.9391,28.5225,29.6558,0,0
IZO_PE,D,20081006,000000,27.6724,29.9391,27.6724,29.9391,0,0
IZO_PE,D,20081007,000000,29.9391,29.9391,27.0113,28.9946,0,0
IZO_PE,D,20081008,000000,27.0113,28.9946,26.3502,27.7669,0,0
IZO_PE,D,20081010,000000,25.6891,25.6891,24.2724,24.3668,0,0
IZO_PE,D,20081013,000000,25.3113,27.5779,24.3668,25.2168,0,0
IZO_PE,D,20081014,000000,27.0113,27.0113,25.3113,26.1613,0,0
IZO_PE,D,20081015,000000,25.9724,25.9724,22.0057,23.4224,0,0
IZO_PE,D,20081016,000000,22.3835,23.8002,20.4946,22.8557,0,0
IZO_PE,D,20081017,000000,24.3668,24.4612,24.3668,24.4612,0,0
IZO_PE,D,20081020,000000,23.6112,23.6112,22.1946,22.1946,0,0
IZO_PE,D,20081021,000000,22.2891,23.1391,22.2891,23.1391,0,0
IZO_PE,D,20081022,000000,21.9112,21.9112,20.9668,20.9668,0,0
IZO_PE,D,20081023,000000,19.3612,21.6279,19.3612,20.0224,0,0
IZO_PE,D,20081024,000000,20.6835,20.6835,17.0001,17.189,0,0
IZO_PE,D,20081027,000000,19.3612,19.3612,17.0001,19.2668,0,0
IZO_PE,D,20081028,000000,19.3612,23.1391,19.3612,23.0446,0,0
IZO_PE,D,20081029,000000,24.7446,25.6891,22.1002,24.0835,0,0
IZO_PE,D,20081030,000000,25.6891,27.9558,23.4224,27.3891,0,0
IZO_PE,D,20081031,000000,27.3891,27.3891,24.3668,26.7279,0,0
IZO_PE,D,20081103,000000,26.8224,27.2002,25.7835,27.2002,0,0
IZO_PE,D,20100302,000000,47.2226,47.2226,47.2226,47.2226,0,0
