<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IZS_PB,D,20110216,000000,3.07703,3.07703,3.07703,3.07703,0,0
IZS_PB,D,20110217,000000,3.02298,3.07703,2.97568,2.98931,0,0
IZS_PB,D,20110218,000000,2.97568,2.98931,2.97568,2.98931,0,0
IZS_PB,D,20110221,000000,3.00952,3.00952,2.98236,2.98236,0,0
IZS_PB,D,20110222,000000,3.00952,3.00952,2.89446,2.98236,0,0
IZS_PB,D,20110223,000000,3.01612,3.0569,2.9959,2.9959,0,0
IZS_PB,D,20110224,000000,3.00952,3.00952,2.95537,2.9959,0,0
IZS_PB,D,20110225,000000,2.9959,3.00952,2.97568,2.9959,0,0
IZS_PB,D,20110228,000000,3.01612,3.11773,3.00952,3.04328,0,0
IZS_PB,D,20110301,000000,3.01612,3.09742,3.01612,3.07703,0,0
IZS_PB,D,20110302,000000,3.0569,3.11773,3.0569,3.07703,0,0
IZS_PB,D,20110303,000000,3.13804,3.13804,1.36609,1.36609,0,0
IZS_PB,D,20110304,000000,1.36609,1.36609,1.35264,1.36609,0,0
IZS_PB,D,20110307,000000,1.37964,1.3864,1.35264,1.3864,0,0
IZS_PB,D,20110308,000000,1.39317,1.39993,1.3864,1.39993,0,0
IZS_PB,D,20110309,000000,1.39993,1.39993,1.3864,1.39317,0,0
IZS_PB,D,20110310,000000,1.3864,1.48115,1.3864,1.47431,0,0
IZS_PB,D,20110311,000000,1.47431,1.47431,1.44047,1.44047,0,0
IZS_PB,D,20110314,000000,1.44731,1.48784,1.43378,1.46068,0,0
IZS_PB,D,20110315,000000,1.454,1.454,1.3864,1.42007,0,0
IZS_PB,D,20110316,000000,1.44047,1.44047,1.3864,1.42007,0,0
IZS_PB,D,20110317,000000,1.39317,1.42007,1.39317,1.40679,0,0
IZS_PB,D,20110318,000000,1.40679,1.40679,1.37964,1.3864,0,0
IZS_PB,D,20110321,000000,1.3864,1.40679,1.33242,1.39993,0,0
IZS_PB,D,20110322,000000,1.39993,1.39993,1.3864,1.39993,0,0
IZS_PB,D,20110323,000000,1.39993,1.39993,1.36609,1.39993,0,0
IZS_PB,D,20110324,000000,1.39993,1.39993,1.3864,1.39317,0,0
IZS_PB,D,20110325,000000,1.39993,1.39993,1.37964,1.39993,0,0
IZS_PB,D,20110328,000000,1.39993,1.39993,1.37964,1.3864,0,0
IZS_PB,D,20110329,000000,1.39317,1.39317,1.37964,1.3864,0,0
IZS_PB,D,20110330,000000,1.39993,1.39993,1.37964,1.3864,0,0
IZS_PB,D,20110331,000000,1.39993,1.39993,1.37964,1.3864,0,0
IZS_PB,D,20110401,000000,1.3864,1.3864,1.37964,1.3864,0,0
IZS_PB,D,20110404,000000,1.37287,1.44047,1.37287,1.42007,0,0
IZS_PB,D,20110405,000000,1.42007,1.42007,1.40679,1.42007,0,0
IZS_PB,D,20110406,000000,1.44047,1.44047,1.4134,1.43378,0,0
IZS_PB,D,20110407,000000,1.43378,1.43378,1.42007,1.43378,0,0
IZS_PB,D,20110408,000000,1.44047,1.44047,1.42007,1.44047,0,0
IZS_PB,D,20110411,000000,1.44047,1.44047,1.4134,1.43378,0,0
