<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IZS_PE,D,20110216,000000,29.9598,29.9598,29.9598,29.9598,0,0
IZS_PE,D,20110217,000000,29.4183,29.9598,28.9446,29.0799,0,0
IZS_PE,D,20110218,000000,28.9446,29.0799,28.9446,29.0799,0,0
IZS_PE,D,20110221,000000,29.3507,29.3507,29.0799,29.0799,0,0
IZS_PE,D,20110222,000000,29.3507,29.3507,28.2686,29.0122,0,0
IZS_PE,D,20110223,000000,29.3507,29.7568,29.1485,29.1485,0,0
IZS_PE,D,20110224,000000,29.283,29.283,28.7424,29.1485,0,0
IZS_PE,D,20110225,000000,29.1485,29.283,28.9446,29.1485,0,0
IZS_PE,D,20110228,000000,29.3507,30.3634,29.283,29.6883,0,0
IZS_PE,D,20110301,000000,29.4183,30.2288,29.4183,29.9598,0,0
IZS_PE,D,20110302,000000,29.7568,30.3634,29.7568,29.9598,0,0
IZS_PE,D,20110303,000000,30.5005,30.5005,22.3176,22.3176,0,0
IZS_PE,D,20110304,000000,22.3176,22.3176,22.0476,22.3176,0,0
IZS_PE,D,20110307,000000,22.4529,22.6568,22.0476,22.6568,0,0
IZS_PE,D,20110308,000000,22.7914,22.8582,22.6568,22.8582,0,0
IZS_PE,D,20110309,000000,22.8582,22.8582,22.6568,22.7914,0,0
IZS_PE,D,20110310,000000,22.6568,24.1424,22.6568,24.0757,0,0
IZS_PE,D,20110311,000000,24.0757,24.0757,23.5351,23.5351,0,0
IZS_PE,D,20110314,000000,23.5351,24.2788,23.3997,23.8049,0,0
IZS_PE,D,20110315,000000,23.7372,23.7372,22.5884,23.1974,0,0
IZS_PE,D,20110316,000000,23.4665,23.4665,22.5884,23.1974,0,0
IZS_PE,D,20110317,000000,22.7914,23.1974,22.7914,22.9259,0,0
IZS_PE,D,20110318,000000,22.9259,22.9259,22.4529,22.6568,0,0
IZS_PE,D,20110321,000000,22.6568,22.9259,21.7762,22.9259,0,0
IZS_PE,D,20110322,000000,22.9259,22.9259,22.6568,22.8582,0,0
IZS_PE,D,20110323,000000,22.8582,22.8582,22.3176,22.8582,0,0
IZS_PE,D,20110324,000000,22.8582,22.8582,22.5884,22.7914,0,0
IZS_PE,D,20110325,000000,22.8582,22.8582,22.5207,22.8582,0,0
IZS_PE,D,20110328,000000,22.8582,22.8582,22.4529,22.6568,0,0
IZS_PE,D,20110329,000000,22.7914,22.7914,22.5207,22.6568,0,0
IZS_PE,D,20110330,000000,22.9259,22.9259,22.5207,22.6568,0,0
IZS_PE,D,20110331,000000,22.8582,22.8582,22.5207,22.6568,0,0
IZS_PE,D,20110401,000000,22.6568,22.6568,22.5884,22.5884,0,0
IZS_PE,D,20110404,000000,22.4529,23.5351,22.4529,23.1974,0,0
IZS_PE,D,20110405,000000,23.1281,23.1974,22.9259,23.1974,0,0
IZS_PE,D,20110406,000000,23.4665,23.4665,22.9944,23.3997,0,0
IZS_PE,D,20110407,000000,23.3997,23.3997,23.2634,23.3997,0,0
IZS_PE,D,20110408,000000,23.5351,23.5351,23.2634,23.4665,0,0
IZS_PE,D,20110411,000000,23.4665,23.4665,23.0613,23.3997,0,0
IZS_PE,D,20110412,000000,23.1281,23.3997,22.9259,23.3997,0,0
IZS_PE,D,20110413,000000,23.3997,23.4665,23.2634,23.2634,0,0
IZS_PE,D,20110414,000000,23.2634,23.3311,23.1974,23.3311,0,0
IZS_PE,D,20110415,000000,23.3311,23.3311,23.1974,23.1974,0,0
IZS_PE,D,20110418,000000,23.0613,23.1974,22.5884,22.9259,0,0
IZS_PE,D,20110419,000000,22.6568,22.9944,22.3176,22.9944,0,0
IZS_PE,D,20110420,000000,22.1823,22.9944,22.1823,22.9259,0,0
IZS_PE,D,20110421,000000,22.9944,22.9944,22.5884,22.5884,0,0
IZS_PE,D,20110426,000000,22.8582,22.8582,22.2499,22.2499,0,0
IZS_PE,D,20110427,000000,22.2499,22.2499,21.9793,22.0476,0,0
IZS_PE,D,20110428,000000,22.2499,22.3176,21.5055,21.6398,0,0
IZS_PE,D,20110429,000000,21.9123,22.2499,21.8438,22.1823,0,0
IZS_PE,D,20110502,000000,22.2499,22.2499,22.1823,22.1823,0,0
IZS_PE,D,20110504,000000,22.1823,22.2499,21.3717,21.9793,0,0
IZS_PE,D,20110505,000000,22.1823,22.1823,21.9793,22.1823,0,0
IZS_PE,D,20110506,000000,22.2499,22.2499,21.7085,22.1823,0,0
IZS_PE,D,20110509,000000,22.1823,22.1823,21.7085,22.0476,0,0
IZS_PE,D,20110510,000000,22.1823,22.1823,22.1823,22.1823,0,0
IZS_PE,D,20110511,000000,22.1823,22.3845,22.0476,22.0476,0,0
IZS_PE,D,20110512,000000,22.0476,22.0476,21.7762,21.9123,0,0
IZS_PE,D,20110513,000000,22.1154,22.7914,21.9123,22.4529,0,0
IZS_PE,D,20110516,000000,22.3176,22.4529,15.6228,15.6228,0,0
IZS_PE,D,20110517,000000,15.6228,15.6898,15.6228,15.6898,0,0
IZS_PE,D,20110518,000000,15.6898,15.6898,15.4858,15.4858,0,0
IZS_PE,D,20110519,000000,15.4858,15.5552,15.2828,15.5552,0,0
IZS_PE,D,20110520,000000,15.5552,15.5552,15.4858,15.5552,0,0
IZS_PE,D,20110523,000000,15.6228,15.6898,15.4858,15.6898,0,0
IZS_PE,D,20110524,000000,15.6898,15.6898,15.5552,15.6898,0,0
IZS_PE,D,20110525,000000,15.6898,16.0281,15.6898,15.8911,0,0
IZS_PE,D,20110526,000000,15.8911,15.8911,15.8252,15.8252,0,0
IZS_PE,D,20110527,000000,15.8252,15.8911,15.6898,15.8911,0,0
IZS_PE,D,20110530,000000,15.7575,16.0958,15.7575,16.0958,0,0
IZS_PE,D,20110531,000000,16.0958,16.7041,16.0958,16.502,0,0
