<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KGH_PE,D,20070813,000000,2.84428,2.84428,2.84428,2.84428,0,0
KGH_PE,D,20070814,000000,2.75753,2.75753,2.75753,2.75753,0,0
KGH_PE,D,20070816,000000,2.62739,2.62739,2.62739,2.62739,0,0
KGH_PE,D,20070817,000000,2.75753,2.75753,2.75753,2.75753,0,0
KGH_PE,D,20070820,000000,2.71415,2.71415,2.71415,2.71415,0,0
KGH_PE,D,20070821,000000,2.62739,2.62739,2.62739,2.62739,0,0
KGH_PE,D,20070822,000000,2.75753,2.75753,2.75753,2.75753,0,0
KGH_PE,D,20070823,000000,2.84428,2.84428,2.84428,2.84428,0,0
KGH_PE,D,20070824,000000,2.88756,2.88756,2.88756,2.88756,0,0
KGH_PE,D,20070827,000000,2.93113,2.93113,2.93113,2.93113,0,0
KGH_PE,D,20070828,000000,2.88756,2.88756,2.88756,2.88756,0,0
KGH_PE,D,20070829,000000,2.88756,2.88756,2.88756,2.88756,0,0
KGH_PE,D,20070830,000000,2.84428,2.84428,2.84428,2.84428,0,0
KGH_PE,D,20070831,000000,2.97432,2.97432,2.97432,2.97432,0,0
KGH_PE,D,20070903,000000,2.97432,2.97432,2.97432,2.97432,0,0
KGH_PE,D,20070904,000000,2.93113,2.93113,2.93113,2.93113,0,0
KGH_PE,D,20070905,000000,2.88756,2.88756,2.88756,2.88756,0,0
KGH_PE,D,20070906,000000,2.84428,2.84428,2.84428,2.84428,0,0
KGH_PE,D,20070907,000000,2.75753,2.75753,2.75753,2.75753,0,0
KGH_PE,D,20070910,000000,2.801,2.801,2.801,2.801,0,0
KGH_PE,D,20070911,000000,2.801,2.801,2.801,2.801,0,0
KGH_PE,D,20070912,000000,2.88756,2.88756,2.88756,2.88756,0,0
KGH_PE,D,20070913,000000,2.97432,2.97432,2.97432,2.97432,0,0
KGH_PE,D,20070914,000000,2.93113,2.93113,2.93113,2.93113,0,0
KGH_PE,D,20070917,000000,3.02266,3.02266,3.02266,3.02266,0,0
KGH_PE,D,20070918,000000,3.06613,3.06613,3.06613,3.06613,0,0
KGH_PE,D,20070919,000000,3.23965,3.23965,3.23965,3.23965,0,0
KGH_PE,D,20070920,000000,3.19627,3.19627,3.19627,3.19627,0,0
KGH_PE,D,20070921,000000,3.23965,3.23965,3.23965,3.23965,0,0
KGH_PE,D,20070924,000000,3.23965,3.23965,3.23965,3.23965,0,0
KGH_PE,D,20070925,000000,3.19627,3.19627,3.19627,3.19627,0,0
KGH_PE,D,20070926,000000,3.19627,3.19627,3.19627,3.19627,0,0
KGH_PE,D,20070927,000000,3.19627,3.19627,3.19627,3.19627,0,0
KGH_PE,D,20070928,000000,3.19627,3.19627,3.19627,3.19627,0,0
KGH_PE,D,20071001,000000,3.23965,3.23965,3.23965,3.23965,0,0
KGH_PE,D,20071002,000000,3.32641,3.32641,3.32641,3.32641,0,0
KGH_PE,D,20071003,000000,3.28302,3.28302,3.28302,3.28302,0,0
KGH_PE,D,20071004,000000,3.32641,3.32641,3.32641,3.32641,0,0
KGH_PE,D,20071005,000000,3.32641,3.32641,3.32641,3.32641,0,0
KGH_PE,D,20071008,000000,3.28302,3.28302,3.28302,3.28302,0,0
KGH_PE,D,20071009,000000,3.32641,3.32641,3.32641,3.32641,0,0
KGH_PE,D,20071010,000000,3.32641,3.32641,3.32641,3.32641,0,0
KGH_PE,D,20071011,000000,3.54805,3.54805,3.54805,3.54805,0,0
KGH_PE,D,20071012,000000,3.54805,3.54805,3.54805,3.54805,0,0
KGH_PE,D,20071015,000000,3.67839,3.67839,3.67839,3.67839,0,0
KGH_PE,D,20071016,000000,3.59154,3.59154,3.59154,3.59154,0,0
KGH_PE,D,20071017,000000,3.59154,3.59154,3.59154,3.59154,0,0
KGH_PE,D,20071018,000000,3.41316,3.41316,3.41316,3.41316,0,0
KGH_PE,D,20071019,000000,3.45663,3.45663,3.45663,3.45663,0,0
KGH_PE,D,20071022,000000,3.41316,3.41316,3.41316,3.41316,0,0
KGH_PE,D,20071023,000000,3.50021,3.50021,3.50021,3.50021,0,0
KGH_PE,D,20071024,000000,3.45663,3.45663,3.45663,3.45663,0,0
KGH_PE,D,20071025,000000,3.54805,3.54805,3.54805,3.54805,0,0
KGH_PE,D,20071026,000000,3.59154,3.59154,3.59154,3.59154,0,0
KGH_PE,D,20071029,000000,3.63482,3.63482,3.63482,3.63482,0,0
KGH_PE,D,20071030,000000,3.54805,3.54805,3.54805,3.54805,0,0
KGH_PE,D,20071031,000000,3.50021,3.50021,3.50021,3.50021,0,0
KGH_PE,D,20071102,000000,3.36988,3.36988,3.36988,3.36988,0,0
KGH_PE,D,20071105,000000,3.28302,3.28302,3.28302,3.28302,0,0
KGH_PE,D,20071106,000000,3.10951,3.10951,3.10951,3.10951,0,0
KGH_PE,D,20071107,000000,3.06613,3.06613,3.06613,3.06613,0,0
KGH_PE,D,20071108,000000,3.06613,3.06613,3.06613,3.06613,0,0
KGH_PE,D,20071109,000000,3.10951,3.10951,2.84428,2.88756,0,0
KGH_PE,D,20071112,000000,2.84428,2.88756,2.801,2.84428,0,0
KGH_PE,D,20071113,000000,2.97432,2.97432,2.84428,2.88756,0,0
KGH_PE,D,20071114,000000,2.93113,2.93113,2.88756,2.88756,0,0
KGH_PE,D,20071115,000000,2.93113,2.97432,2.801,2.84428,0,0
KGH_PE,D,20071116,000000,2.84428,2.88756,2.801,2.801,0,0
KGH_PE,D,20071119,000000,2.84428,2.84428,2.75753,2.801,0,0
KGH_PE,D,20071120,000000,2.75753,2.75753,2.71415,2.75753,0,0
KGH_PE,D,20071121,000000,2.67078,2.75753,2.67078,2.71415,0,0
KGH_PE,D,20071122,000000,2.75753,2.75753,2.62739,2.62739,0,0
KGH_PE,D,20071123,000000,2.67078,2.67078,2.62739,2.67078,0,0
