<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KGL_MV,D,20160203,000000,113.884,113.884,113.884,113.884,0,0
KGL_MV,D,20160204,000000,113.703,113.992,113.703,113.992,0,0
KGL_MV,D,20160205,000000,113.097,113.992,111.604,111.604,0,0
KGL_MV,D,20160208,000000,112.671,113.992,112.671,113.992,0,0
KGL_MV,D,20160209,000000,111.884,113.395,109.196,111.884,0,0
KGL_MV,D,20160210,000000,111.839,111.839,111.839,111.839,0,0
KGL_MV,D,20160211,000000,111.784,113.395,111.784,113.395,0,0
KGL_MV,D,20160217,000000,111.721,113.395,111.721,113.395,0,0
KGL_MV,D,20160222,000000,112.798,112.798,112.798,112.798,0,0
KGL_MV,D,20160225,000000,112.734,113.332,112.734,113.332,0,0
KGL_MV,D,20160301,000000,113.992,114.608,112.798,113.992,0,0
KGL_MV,D,20160302,000000,113.395,113.929,113.395,113.929,0,0
KGL_MV,D,20160309,000000,113.269,113.567,113.269,113.567,0,0
KGL_MV,D,20160311,000000,113.449,113.992,113.449,113.992,0,0
KGL_MV,D,20160314,000000,113.929,113.992,113.929,113.992,0,0
KGL_MV,D,20160315,000000,113.929,113.929,113.929,113.929,0,0
KGL_MV,D,20160316,000000,113.395,113.395,113.395,113.395,0,0
KGL_MV,D,20160317,000000,113.395,113.395,113.395,113.395,0,0
KGL_MV,D,20160318,000000,113.332,113.992,113.332,113.992,0,0
KGL_MV,D,20160321,000000,113.395,113.395,113.395,113.395,0,0
KGL_MV,D,20160322,000000,113.332,114.545,110.508,110.508,0,0
KGL_MV,D,20160323,000000,113.395,113.395,113.395,113.395,0,0
KGL_MV,D,20160324,000000,113.395,113.395,110.454,113.395,0,0
KGL_MV,D,20160330,000000,113.395,113.395,113.395,113.395,0,0
KGL_MV,D,20160404,000000,113.395,113.395,113.395,113.395,0,0
KGL_MV,D,20160405,000000,113.395,113.395,113.395,113.395,0,0
KGL_MV,D,20160408,000000,113.332,113.395,113.332,113.395,0,0
KGL_MV,D,20160411,000000,113.395,116.391,113.395,116.391,0,0
KGL_MV,D,20160412,000000,116.88,122.926,116.88,119.993,0,0
KGL_MV,D,20160413,000000,121.197,125.397,119.414,125.397,0,0
KGL_MV,D,20160414,000000,124.138,124.138,118.781,118.781,0,0
KGL_MV,D,20160415,000000,124.138,131.995,119.993,131.995,0,0
KGL_MV,D,20160418,000000,128.41,131.995,128.41,131.995,0,0
KGL_MV,D,20160419,000000,131.397,137.099,131.397,134.393,0,0
KGL_MV,D,20160420,000000,133.198,134.393,133.198,133.198,0,0
KGL_MV,D,20160421,000000,130.791,131.995,130.791,131.995,0,0
KGL_MV,D,20160425,000000,127.206,131.995,127.206,131.995,0,0
KGL_MV,D,20160426,000000,127.206,127.206,127.206,127.206,0,0
KGL_MV,D,20160427,000000,126.591,126.591,126.591,126.591,0,0
KGL_MV,D,20160428,000000,126.591,126.591,126.591,126.591,0,0
KGL_MV,D,20160429,000000,131.995,136.791,131.397,131.397,0,0
KGL_MV,D,20160504,000000,128.99,128.99,128.99,128.99,0,0
KGL_MV,D,20160505,000000,130.194,130.194,130.194,130.194,0,0
KGL_MV,D,20160510,000000,130.194,130.194,130.194,130.194,0,0
KGL_MV,D,20160511,000000,133.198,136.13,133.198,136.13,0,0
KGL_MV,D,20160517,000000,133.732,133.732,133.732,133.732,0,0
KGL_MV,D,20160518,000000,133.732,133.732,133.732,133.732,0,0
KGL_MV,D,20160519,000000,131.94,131.94,131.94,131.94,0,0
KGL_MV,D,20160520,000000,131.94,131.995,131.94,131.995,0,0
KGL_MV,D,20160523,000000,131.995,131.995,131.995,131.995,0,0
KGL_MV,D,20160527,000000,131.995,131.995,131.995,131.995,0,0
KGL_MV,D,20160530,000000,130.791,130.791,130.791,130.791,0,0
KGL_MV,D,20160601,000000,130.791,130.791,130.791,130.791,0,0
KGL_MV,D,20160606,000000,130.791,130.791,130.791,130.791,0,0
KGL_MV,D,20160607,000000,134.103,134.103,134.103,134.103,0,0
KGL_MV,D,20160609,000000,134.103,134.103,130.791,130.791,0,0
KGL_MV,D,20160615,000000,136.791,136.791,124.211,136.791,0,0
KGL_MV,D,20160616,000000,125.994,131.995,124.211,124.211,0,0
KGL_MV,D,20160617,000000,134.999,134.999,134.999,134.999,0,0
KGL_MV,D,20160620,000000,131.696,131.696,131.696,131.696,0,0
KGL_MV,D,20160621,000000,129.894,129.894,129.894,129.894,0,0
KGL_MV,D,20160622,000000,133.796,133.796,133.796,133.796,0,0
KGL_MV,D,20160623,000000,129.894,129.894,129.894,129.894,0,0
KGL_MV,D,20160624,000000,129.894,129.894,125.994,125.994,0,0
KGL_MV,D,20160629,000000,125.994,129.831,125.994,129.831,0,0
KGL_MV,D,20160705,000000,129.831,129.894,124.211,129.894,0,0
KGL_MV,D,20160712,000000,129.596,129.596,124.211,129.596,0,0
KGL_MV,D,20160714,000000,124.211,130.194,124.211,130.194,0,0
KGL_MV,D,20160719,000000,128.99,128.99,128.99,128.99,0,0
KGL_MV,D,20160725,000000,128.99,128.99,128.99,128.99,0,0
KGL_MV,D,20160726,000000,128.99,128.99,128.99,128.99,0,0
KGL_MV,D,20160805,000000,128.99,128.99,128.99,128.99,0,0
KGL_MV,D,20160811,000000,128.691,128.691,128.691,128.691,0,0
KGL_MV,D,20160816,000000,128.691,128.691,128.691,128.691,0,0
KGL_MV,D,20160819,000000,128.41,128.99,128.41,128.99,0,0
KGL_MV,D,20160822,000000,128.99,128.99,128.99,128.99,0,0
KGL_MV,D,20160823,000000,128.99,128.99,128.99,128.99,0,0
KGL_MV,D,20160901,000000,124.211,125.994,124.211,125.994,0,0
KGL_MV,D,20160905,000000,122.401,122.401,122.401,122.401,0,0
KGL_MV,D,20160907,000000,120.599,120.599,120.599,120.599,0,0
KGL_MV,D,20160908,000000,120.599,120.599,120.599,120.599,0,0
KGL_MV,D,20160909,000000,125.994,125.994,125.994,125.994,0,0
KGL_MV,D,20160913,000000,120.599,126.591,120.599,126.591,0,0
KGL_MV,D,20160926,000000,126.537,126.537,126.474,126.474,0,0
KGL_MV,D,20160927,000000,126.537,126.537,126.537,126.537,0,0
KGL_MV,D,20160928,000000,126.537,126.537,126.537,126.537,0,0
KGL_MV,D,20160930,000000,126.365,126.365,126.365,126.365,0,0
KGL_MV,D,20161003,000000,126.537,126.537,126.537,126.537,0,0
KGL_MV,D,20161004,000000,126.302,126.302,126.302,126.302,0,0
KGL_MV,D,20161019,000000,120.663,125.994,120.663,125.994,0,0
KGL_MV,D,20161026,000000,125.94,125.94,125.94,125.94,0,0
KGL_MV,D,20161031,000000,125.94,125.94,125.94,125.94,0,0
KGL_MV,D,20161102,000000,125.94,125.94,125.94,125.94,0,0
KGL_MV,D,20161103,000000,125.94,125.94,125.94,125.94,0,0
KGL_MV,D,20161108,000000,125.397,125.397,125.397,125.397,0,0
KGL_MV,D,20161109,000000,125.94,125.94,125.94,125.94,0,0
KGL_MV,D,20161114,000000,125.397,125.397,125.397,125.397,0,0
KGL_MV,D,20161115,000000,125.94,125.94,125.94,125.94,0,0
KGL_MV,D,20161116,000000,125.397,125.397,125.397,125.397,0,0
KGL_MV,D,20161118,000000,124.555,125.397,120.663,125.397,0,0
KGL_MV,D,20161121,000000,125.397,125.397,125.397,125.397,0,0
KGL_MV,D,20161125,000000,125.397,125.94,125.397,125.94,0,0
KGL_MV,D,20161128,000000,125.397,125.94,125.397,125.94,0,0
KGL_MV,D,20161129,000000,125.94,125.94,125.94,125.94,0,0
KGL_MV,D,20161207,000000,125.94,131.397,125.94,125.994,0,0
KGL_MV,D,20161208,000000,125.94,125.94,124.799,124.799,0,0
KGL_MV,D,20161209,000000,124.799,124.799,122.98,122.98,0,0
KGL_MV,D,20161212,000000,122.98,122.98,122.98,122.98,0,0
KGL_MV,D,20161215,000000,123.84,131.397,123.84,131.397,0,0
