<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KGL_PB,D,20160203,000000,2.63989,2.63989,2.63989,2.63989,0,0
KGL_PB,D,20160204,000000,2.63147,2.63989,2.63147,2.63989,0,0
KGL_PB,D,20160205,000000,2.61482,2.63989,2.58124,2.58124,0,0
KGL_PB,D,20160208,000000,2.6064,2.63989,2.6064,2.63989,0,0
KGL_PB,D,20160209,000000,2.58966,2.62305,2.53092,2.58966,0,0
KGL_PB,D,20160210,000000,2.58966,2.58966,2.58966,2.58966,0,0
KGL_PB,D,20160211,000000,2.58966,2.62305,2.58966,2.62305,0,0
KGL_PB,D,20160217,000000,2.58966,2.62305,2.58966,2.62305,0,0
KGL_PB,D,20160222,000000,2.61482,2.61482,2.61482,2.61482,0,0
KGL_PB,D,20160225,000000,2.6064,2.62305,2.6064,2.62305,0,0
KGL_PB,D,20160301,000000,2.63989,2.65673,2.61482,2.63989,0,0
KGL_PB,D,20160302,000000,2.62305,2.63989,2.62305,2.63989,0,0
KGL_PB,D,20160309,000000,2.62305,2.63147,2.62305,2.63147,0,0
KGL_PB,D,20160311,000000,2.62305,2.63989,2.62305,2.63989,0,0
KGL_PB,D,20160314,000000,2.63989,2.63989,2.63989,2.63989,0,0
KGL_PB,D,20160315,000000,2.63989,2.63989,2.63989,2.63989,0,0
KGL_PB,D,20160316,000000,2.62305,2.62305,2.62305,2.62305,0,0
KGL_PB,D,20160317,000000,2.62305,2.62305,2.62305,2.62305,0,0
KGL_PB,D,20160318,000000,2.62305,2.63989,2.62305,2.63989,0,0
KGL_PB,D,20160321,000000,2.62305,2.62305,2.62305,2.62305,0,0
KGL_PB,D,20160322,000000,2.62305,2.6483,2.55608,2.55608,0,0
KGL_PB,D,20160323,000000,2.62305,2.62305,2.62305,2.62305,0,0
KGL_PB,D,20160324,000000,2.62305,2.62305,2.55608,2.62305,0,0
KGL_PB,D,20160330,000000,1.40791,1.40791,1.40791,1.40791,0,0
KGL_PB,D,20160404,000000,1.40791,1.40791,1.40791,1.40791,0,0
KGL_PB,D,20160405,000000,1.40791,1.40791,1.40791,1.40791,0,0
KGL_PB,D,20160408,000000,1.40791,1.40791,1.40791,1.40791,0,0
KGL_PB,D,20160411,000000,1.40791,1.4414,1.40791,1.4414,0,0
KGL_PB,D,20160412,000000,1.44982,1.52531,1.44982,1.48331,0,0
KGL_PB,D,20160413,000000,1.50023,1.55037,1.48331,1.55037,0,0
KGL_PB,D,20160414,000000,1.54204,1.54204,1.47489,1.47489,0,0
KGL_PB,D,20160415,000000,1.54204,1.63409,1.48331,1.63409,0,0
KGL_PB,D,20160418,000000,1.59228,1.63409,1.59228,1.63409,0,0
KGL_PB,D,20160419,000000,1.62595,1.70134,1.62595,1.66785,0,0
KGL_PB,D,20160420,000000,1.65093,1.66785,1.65093,1.65093,0,0
KGL_PB,D,20160421,000000,1.61744,1.63409,1.61744,1.63409,0,0
KGL_PB,D,20160425,000000,1.57553,1.63409,1.57553,1.63409,0,0
KGL_PB,D,20160426,000000,1.57553,1.57553,1.57553,1.57553,0,0
KGL_PB,D,20160427,000000,1.56721,1.56721,1.56721,1.56721,0,0
KGL_PB,D,20160428,000000,1.56721,1.56721,1.56721,1.56721,0,0
KGL_PB,D,20160429,000000,1.63409,1.69283,1.62595,1.62595,0,0
KGL_PB,D,20160504,000000,1.60069,1.60069,1.60069,1.60069,0,0
