<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KGL_PE,D,20160203,000000,11.6481,11.6481,11.6481,11.6481,0,0
KGL_PE,D,20160204,000000,11.3975,11.6481,11.3975,11.6481,0,0
KGL_PE,D,20160205,000000,11.564,11.6481,11.3975,11.3975,0,0
KGL_PE,D,20160208,000000,11.4808,11.6481,11.4808,11.6481,0,0
KGL_PE,D,20160209,000000,11.3975,11.564,11.1468,11.3975,0,0
KGL_PE,D,20160210,000000,11.3975,11.3975,11.3975,11.3975,0,0
KGL_PE,D,20160211,000000,11.3975,11.564,11.3975,11.564,0,0
KGL_PE,D,20160217,000000,11.3975,11.564,11.3975,11.564,0,0
KGL_PE,D,20160222,000000,11.4808,11.4808,11.4808,11.4808,0,0
KGL_PE,D,20160225,000000,11.4808,11.564,11.4808,11.564,0,0
KGL_PE,D,20160301,000000,11.6481,11.7332,11.4808,11.6481,0,0
KGL_PE,D,20160302,000000,11.564,11.6481,11.564,11.6481,0,0
KGL_PE,D,20160309,000000,11.564,11.6481,11.564,11.564,0,0
KGL_PE,D,20160311,000000,11.564,11.6481,11.564,11.6481,0,0
KGL_PE,D,20160314,000000,11.6481,11.6481,11.6481,11.6481,0,0
KGL_PE,D,20160315,000000,11.6481,11.6481,11.6481,11.6481,0,0
KGL_PE,D,20160316,000000,11.564,11.564,11.564,11.564,0,0
KGL_PE,D,20160317,000000,11.564,11.564,11.564,11.564,0,0
KGL_PE,D,20160318,000000,11.564,11.6481,11.564,11.6481,0,0
KGL_PE,D,20160321,000000,11.564,11.564,11.564,11.564,0,0
KGL_PE,D,20160322,000000,11.564,11.6481,11.23,11.23,0,0
KGL_PE,D,20160323,000000,11.564,11.564,11.564,11.564,0,0
KGL_PE,D,20160324,000000,11.564,11.564,11.23,11.564,0,0
KGL_PE,D,20160330,000000,10.1403,10.1403,10.1403,10.1403,0,0
KGL_PE,D,20160404,000000,10.1403,10.1403,10.1403,10.1403,0,0
KGL_PE,D,20160405,000000,10.1403,10.1403,10.1403,10.1403,0,0
KGL_PE,D,20160408,000000,10.1403,10.1403,10.1403,10.1403,0,0
KGL_PE,D,20160411,000000,10.1403,10.4761,10.1403,10.4761,0,0
KGL_PE,D,20160412,000000,10.5594,11.0626,10.5594,10.7277,0,0
KGL_PE,D,20160413,000000,10.811,11.23,10.6427,11.23,0,0
KGL_PE,D,20160414,000000,11.1468,11.1468,10.6427,10.6427,0,0
KGL_PE,D,20160415,000000,11.1468,11.8165,10.7277,11.8165,0,0
KGL_PE,D,20160418,000000,11.4808,11.8165,11.4808,11.8165,0,0
KGL_PE,D,20160419,000000,11.7332,12.2356,11.7332,12.069,0,0
KGL_PE,D,20160420,000000,11.984,12.069,11.9007,11.9007,0,0
KGL_PE,D,20160421,000000,11.6481,11.8165,11.6481,11.8165,0,0
KGL_PE,D,20160425,000000,11.3975,11.8165,11.3975,11.8165,0,0
KGL_PE,D,20160426,000000,11.3975,11.3975,11.3975,11.3975,0,0
KGL_PE,D,20160427,000000,11.3142,11.3142,11.3142,11.3142,0,0
KGL_PE,D,20160428,000000,11.3142,11.3142,11.3142,11.3142,0,0
KGL_PE,D,20160429,000000,11.8165,12.2356,11.7332,11.8165,0,0
KGL_PE,D,20160504,000000,11.564,11.564,11.564,11.564,0,0
KGL_PE,D,20160505,000000,11.6481,11.6481,11.6481,11.6481,0,0
KGL_PE,D,20160510,000000,11.6481,11.6481,11.6481,11.6481,0,0
KGL_PE,D,20160511,000000,11.9007,12.2356,11.9007,12.2356,0,0
KGL_PE,D,20160517,000000,11.984,11.984,11.984,11.984,0,0
KGL_PE,D,20160518,000000,11.984,11.984,11.984,11.984,0,0
KGL_PE,D,20160519,000000,11.8165,11.8165,11.8165,11.8165,0,0
KGL_PE,D,20160520,000000,11.8165,11.8165,11.8165,11.8165,0,0
KGL_PE,D,20160523,000000,11.8165,11.8165,11.8165,11.8165,0,0
KGL_PE,D,20160527,000000,11.6481,11.6481,11.6481,11.6481,0,0
KGL_PE,D,20160530,000000,11.564,11.564,11.564,11.564,0,0
KGL_PE,D,20160601,000000,11.564,11.564,11.564,11.564,0,0
KGL_PE,D,20160606,000000,11.564,11.564,11.564,11.564,0,0
KGL_PE,D,20160607,000000,11.8165,11.8165,11.8165,11.8165,0,0
KGL_PE,D,20160609,000000,11.8165,11.8165,11.564,11.564,0,0
KGL_PE,D,20160615,000000,12.069,12.069,10.9775,12.069,0,0
KGL_PE,D,20160616,000000,11.1468,11.6481,10.9775,10.9775,0,0
KGL_PE,D,20160617,000000,11.9007,11.9007,11.9007,11.9007,0,0
KGL_PE,D,20160620,000000,11.6481,11.6481,11.6481,11.6481,0,0
KGL_PE,D,20160621,000000,11.4808,11.4808,11.4808,11.4808,0,0
KGL_PE,D,20160622,000000,11.8165,11.8165,11.8165,11.8165,0,0
KGL_PE,D,20160623,000000,11.4808,11.4808,11.4808,11.4808,0,0
KGL_PE,D,20160624,000000,11.4808,11.4808,11.1468,11.1468,0,0
KGL_PE,D,20160629,000000,11.1468,11.4808,11.1468,11.4808,0,0
KGL_PE,D,20160705,000000,11.4808,11.4808,10.9775,11.4808,0,0
KGL_PE,D,20160712,000000,11.4808,11.4808,10.9775,11.4808,0,0
KGL_PE,D,20160714,000000,10.9775,11.564,10.9775,11.4808,0,0
KGL_PE,D,20160719,000000,11.3975,11.3975,11.3975,11.3975,0,0
KGL_PE,D,20160725,000000,11.3975,11.3975,11.3975,11.3975,0,0
KGL_PE,D,20160726,000000,11.3975,11.3975,11.3975,11.3975,0,0
KGL_PE,D,20160805,000000,11.3975,11.3975,11.3975,11.3975,0,0
KGL_PE,D,20160811,000000,11.3975,11.3975,11.3975,11.3975,0,0
KGL_PE,D,20160816,000000,11.3975,11.3975,11.3975,11.3975,0,0
KGL_PE,D,20160819,000000,11.3975,11.3975,11.3975,11.3975,0,0
KGL_PE,D,20160822,000000,11.3975,11.3975,11.3975,11.3975,0,0
KGL_PE,D,20160823,000000,11.3975,11.3975,11.3975,11.3975,0,0
KGL_PE,D,20160901,000000,10.9775,11.1468,10.9775,11.1468,0,0
KGL_PE,D,20160905,000000,10.811,10.811,10.811,10.811,0,0
KGL_PE,D,20160907,000000,9.80457,9.88868,9.80457,9.88868,0,0
KGL_PE,D,20160908,000000,9.88868,9.88868,9.88868,9.88868,0,0
KGL_PE,D,20160909,000000,10.3078,10.3078,10.3078,10.3078,0,0
KGL_PE,D,20160913,000000,9.88868,10.3919,9.88868,10.3078,0,0
KGL_PE,D,20160926,000000,10.3078,10.3078,10.3078,10.3078,0,0
KGL_PE,D,20160927,000000,10.3078,10.3078,10.3078,10.3078,0,0
KGL_PE,D,20160928,000000,10.3078,10.3078,10.3078,10.3078,0,0
KGL_PE,D,20160930,000000,10.3078,10.3078,10.3078,10.3078,0,0
KGL_PE,D,20161003,000000,10.3078,10.3078,10.3078,10.3078,0,0
KGL_PE,D,20161004,000000,10.3078,10.3078,10.3078,10.3078,0,0
KGL_PE,D,20161019,000000,9.88868,10.3078,9.88868,10.3078,0,0
KGL_PE,D,20161026,000000,10.3078,10.3078,10.3078,10.3078,0,0
KGL_PE,D,20161031,000000,10.3078,10.3078,10.3078,10.3078,0,0
KGL_PE,D,20161102,000000,10.3078,10.3078,10.3078,10.3078,0,0
KGL_PE,D,20161103,000000,10.3078,10.3078,10.3078,10.3078,0,0
KGL_PE,D,20161108,000000,10.2245,10.2245,10.2245,10.2245,0,0
KGL_PE,D,20161109,000000,10.3078,10.3078,10.3078,10.3078,0,0
KGL_PE,D,20161114,000000,10.2245,10.2245,10.2245,10.2245,0,0
KGL_PE,D,20161115,000000,10.3078,10.3078,10.3078,10.3078,0,0
KGL_PE,D,20161116,000000,10.2245,10.2245,10.2245,10.2245,0,0
KGL_PE,D,20161118,000000,9.5538,9.63801,9.30224,9.63801,0,0
KGL_PE,D,20161121,000000,9.63801,9.63801,9.63801,9.63801,0,0
KGL_PE,D,20161125,000000,9.63801,9.63801,9.63801,9.63801,0,0
