<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KMP_MV,D,20070813,000000,25.9971,25.9971,25.9971,25.9971,0,0
KMP_MV,D,20070814,000000,25.6315,25.6315,25.6315,25.6315,0,0
KMP_MV,D,20070816,000000,20.1946,20.1946,20.1946,20.1946,0,0
KMP_MV,D,20070817,000000,21.8106,21.8106,21.8106,21.8106,0,0
KMP_MV,D,20070820,000000,26.354,26.354,26.354,26.354,0,0
KMP_MV,D,20070821,000000,27.5189,27.5189,27.5189,27.5189,0,0
KMP_MV,D,20070822,000000,29.0802,29.0802,29.0802,29.0802,0,0
KMP_MV,D,20070823,000000,29.0648,29.0648,29.0648,29.0648,0,0
KMP_MV,D,20070824,000000,30.8974,30.8974,30.8974,30.8974,0,0
KMP_MV,D,20070827,000000,32.2259,32.2259,32.2259,32.2259,0,0
KMP_MV,D,20070828,000000,30.5558,30.5558,30.5558,30.5558,0,0
KMP_MV,D,20070829,000000,30.3924,30.3924,30.3924,30.3924,0,0
KMP_MV,D,20070830,000000,29.4448,29.4448,29.4448,29.4448,0,0
KMP_MV,D,20070831,000000,30.3539,30.3539,30.3539,30.3539,0,0
KMP_MV,D,20070903,000000,30.5405,30.5405,30.5405,30.5405,0,0
KMP_MV,D,20070904,000000,31.084,31.084,31.084,31.084,0,0
KMP_MV,D,20070905,000000,30.5405,30.5405,30.5405,30.5405,0,0
KMP_MV,D,20070906,000000,30.8813,30.8813,30.8813,30.8813,0,0
KMP_MV,D,20070907,000000,30.1742,30.1742,30.1742,30.1742,0,0
KMP_MV,D,20070910,000000,29.5382,29.5382,29.5382,29.5382,0,0
KMP_MV,D,20070911,000000,30.5713,30.5713,30.5713,30.5713,0,0
KMP_MV,D,20070912,000000,30.9917,30.9917,30.9917,30.9917,0,0
KMP_MV,D,20070913,000000,31.8065,31.8065,31.8065,31.8065,0,0
KMP_MV,D,20070914,000000,31.6275,31.6275,31.6275,31.6275,0,0
KMP_MV,D,20070917,000000,31.0061,31.0061,31.0061,31.0061,0,0
KMP_MV,D,20070918,000000,31.5188,31.5188,31.5188,31.5188,0,0
KMP_MV,D,20070919,000000,33.2666,33.2666,33.2666,33.2666,0,0
KMP_MV,D,20070920,000000,34.37,34.37,34.37,34.37,0,0
KMP_MV,D,20070921,000000,33.0792,33.0792,33.0792,33.0792,0,0
KMP_MV,D,20070924,000000,32.8858,32.8858,32.8858,32.8858,0,0
KMP_MV,D,20070925,000000,32.7155,32.7155,32.7155,32.7155,0,0
KMP_MV,D,20070926,000000,33.158,33.158,33.158,33.158,0,0
KMP_MV,D,20070927,000000,33.6082,33.6082,33.6082,33.6082,0,0
KMP_MV,D,20070928,000000,34.0824,34.0824,34.0824,34.0824,0,0
KMP_MV,D,20071001,000000,33.9893,33.9893,33.9893,33.9893,0,0
KMP_MV,D,20071002,000000,35.4802,35.4802,35.4802,35.4802,0,0
KMP_MV,D,20071003,000000,35.1001,35.1001,35.1001,35.1001,0,0
KMP_MV,D,20071004,000000,34.7193,34.7193,34.7193,34.7193,0,0
KMP_MV,D,20071005,000000,34.3383,34.3383,34.3383,34.3383,0,0
KMP_MV,D,20071008,000000,34.5318,34.5318,34.5318,34.5318,0,0
KMP_MV,D,20071009,000000,33.461,33.461,33.461,33.461,0,0
KMP_MV,D,20071010,000000,34.4471,34.4471,34.4471,34.4471,0,0
KMP_MV,D,20071011,000000,33.9737,33.9737,33.9737,33.9737,0,0
KMP_MV,D,20071012,000000,33.158,33.158,33.158,33.158,0,0
KMP_MV,D,20071015,000000,31.8065,31.8065,31.8065,31.8065,0,0
KMP_MV,D,20071016,000000,31.6275,31.6275,31.6275,31.6275,0,0
KMP_MV,D,20071017,000000,33.0792,33.0792,33.0792,33.0792,0,0
KMP_MV,D,20071018,000000,33.1735,33.1735,33.1735,33.1735,0,0
KMP_MV,D,20071019,000000,33.8102,33.8102,33.8102,33.8102,0,0
KMP_MV,D,20071022,000000,33.4457,33.4457,33.4457,33.4457,0,0
KMP_MV,D,20071023,000000,33.8102,33.8102,33.8102,33.8102,0,0
KMP_MV,D,20071024,000000,38.9905,38.9905,38.9905,38.9905,0,0
KMP_MV,D,20071025,000000,37.2821,37.2821,37.2821,37.2821,0,0
KMP_MV,D,20071026,000000,35.8054,35.8054,35.8054,35.8054,0,0
KMP_MV,D,20071029,000000,34.9367,34.9367,34.9367,34.9367,0,0
