<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KMP_PE,D,20080218,000000,3.65056,3.65056,3.65056,3.65056,0,0
KMP_PE,D,20080219,000000,3.57284,3.65056,3.57284,3.65056,0,0
KMP_PE,D,20080220,000000,3.65056,3.65056,3.49521,3.57284,0,0
KMP_PE,D,20080221,000000,3.65056,3.65056,3.49521,3.49521,0,0
KMP_PE,D,20080222,000000,3.49521,3.57284,3.49521,3.49521,0,0
KMP_PE,D,20080225,000000,3.49521,3.57284,3.33985,3.41757,0,0
KMP_PE,D,20080226,000000,3.49521,3.49521,3.33985,3.41757,0,0
KMP_PE,D,20080227,000000,3.41757,3.41757,3.33985,3.33985,0,0
KMP_PE,D,20080228,000000,3.26214,3.33985,3.26214,3.33985,0,0
KMP_PE,D,20080229,000000,3.26214,3.41757,3.10686,3.41757,0,0
KMP_PE,D,20080303,000000,3.33985,3.33985,3.1845,3.1845,0,0
KMP_PE,D,20080304,000000,3.1845,3.26214,3.1845,3.26214,0,0
KMP_PE,D,20080305,000000,3.33985,3.33985,3.26214,3.33985,0,0
KMP_PE,D,20080306,000000,3.33985,3.41757,3.26214,3.26214,0,0
KMP_PE,D,20080307,000000,3.1845,3.26214,3.1845,3.26214,0,0
KMP_PE,D,20080310,000000,3.26214,3.33985,3.26214,3.33985,0,0
KMP_PE,D,20080311,000000,3.33985,3.49521,3.33985,3.41757,0,0
KMP_PE,D,20080312,000000,3.49521,3.57284,3.41757,3.49521,0,0
KMP_PE,D,20080313,000000,3.49521,3.49521,3.41757,3.41757,0,0
KMP_PE,D,20080314,000000,3.41757,3.65056,3.41757,3.41757,0,0
KMP_PE,D,20080317,000000,3.41757,3.41757,3.41757,3.41757,0,0
KMP_PE,D,20080318,000000,3.41757,3.49521,3.33985,3.49521,0,0
KMP_PE,D,20080319,000000,3.49521,3.49521,3.41757,3.41757,0,0
KMP_PE,D,20080320,000000,3.41757,3.49521,3.26214,3.33985,0,0
KMP_PE,D,20080325,000000,3.41757,3.41757,3.33985,3.33985,0,0
KMP_PE,D,20080326,000000,3.41757,3.41757,3.33985,3.33985,0,0
KMP_PE,D,20080327,000000,3.33985,3.41757,3.33985,3.33985,0,0
KMP_PE,D,20080328,000000,3.33985,3.33985,3.33985,3.33985,0,0
KMP_PE,D,20080331,000000,3.33985,3.33985,3.33985,3.33985,0,0
KMP_PE,D,20080401,000000,3.26214,3.33985,3.26214,3.33985,0,0
KMP_PE,D,20080402,000000,3.41757,3.41757,3.26214,3.26214,0,0
KMP_PE,D,20080403,000000,3.26214,3.33985,3.26214,3.33985,0,0
KMP_PE,D,20080404,000000,3.33985,3.33985,3.33985,3.33985,0,0
KMP_PE,D,20080407,000000,3.33985,3.33985,3.33985,3.33985,0,0
KMP_PE,D,20080408,000000,3.33985,3.33985,3.26214,3.26214,0,0
KMP_PE,D,20080409,000000,3.26214,3.26214,3.1845,3.26214,0,0
KMP_PE,D,20080410,000000,3.26214,3.26214,3.26214,3.26214,0,0
KMP_PE,D,20080411,000000,3.1845,3.26214,3.10686,3.10686,0,0
KMP_PE,D,20080414,000000,2.9515,2.9515,2.79615,2.79615,0,0
KMP_PE,D,20080415,000000,2.79615,2.87379,2.79615,2.87379,0,0
KMP_PE,D,20080416,000000,2.87379,2.87379,2.56315,2.6408,0,0
KMP_PE,D,20080417,000000,2.71852,2.71852,2.6408,2.6408,0,0
KMP_PE,D,20080418,000000,2.6408,2.6408,2.6408,2.6408,0,0
KMP_PE,D,20080421,000000,2.6408,2.6408,2.56315,2.56315,0,0
KMP_PE,D,20080422,000000,2.56315,2.6408,2.4078,2.56315,0,0
KMP_PE,D,20080423,000000,2.56315,2.56315,2.4078,2.48544,0,0
KMP_PE,D,20080424,000000,2.4078,2.56315,2.4078,2.48544,0,0
KMP_PE,D,20080425,000000,2.48544,2.56315,2.4078,2.56315,0,0
KMP_PE,D,20080428,000000,2.56315,2.6408,2.56315,2.6408,0,0
KMP_PE,D,20080429,000000,2.71852,2.71852,2.48544,2.56315,0,0
KMP_PE,D,20080430,000000,2.56315,2.6408,2.56315,2.6408,0,0
KMP_PE,D,20080505,000000,2.71852,2.87379,2.71852,2.87379,0,0
KMP_PE,D,20080506,000000,2.87379,2.9515,2.56315,2.56315,0,0
KMP_PE,D,20080507,000000,2.48544,2.48544,2.48544,2.48544,0,0
KMP_PE,D,20080508,000000,2.4078,2.48544,2.4078,2.48544,0,0
KMP_PE,D,20080509,000000,2.48544,2.48544,2.4078,2.4078,0,0
KMP_PE,D,20080512,000000,2.4078,2.4078,2.33017,2.33017,0,0
KMP_PE,D,20080513,000000,2.25245,2.33017,2.25245,2.33017,0,0
KMP_PE,D,20080514,000000,2.25245,2.33017,2.25245,2.33017,0,0
KMP_PE,D,20080515,000000,2.33017,2.48544,2.33017,2.33017,0,0
KMP_PE,D,20080516,000000,2.4078,2.4078,2.33017,2.4078,0,0
KMP_PE,D,20080519,000000,2.25245,2.48544,2.25245,2.48544,0,0
KMP_PE,D,20080520,000000,2.48544,2.48544,2.33017,2.33017,0,0
KMP_PE,D,20080521,000000,2.33017,2.4078,2.33017,2.4078,0,0
KMP_PE,D,20080523,000000,2.4078,2.48544,2.4078,2.48544,0,0
KMP_PE,D,20080526,000000,2.4078,2.48544,2.4078,2.48544,0,0
KMP_PE,D,20080527,000000,2.4078,2.48544,2.4078,2.48544,0,0
KMP_PE,D,20080528,000000,2.4078,2.48544,2.4078,2.48544,0,0
KMP_PE,D,20080529,000000,2.48544,2.56315,2.48544,2.48544,0,0
KMP_PE,D,20080530,000000,2.48544,2.56315,2.48544,2.56315,0,0
KMP_PE,D,20080602,000000,2.56315,2.56315,2.48544,2.56315,0,0
KMP_PE,D,20080603,000000,2.48544,2.56315,2.48544,2.56315,0,0
KMP_PE,D,20080604,000000,2.48544,2.56315,2.48544,2.48544,0,0
KMP_PE,D,20080605,000000,2.4078,2.71852,2.4078,2.71852,0,0
KMP_PE,D,20080606,000000,2.71852,2.71852,2.6408,2.71852,0,0
