<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KPD_MV,D,20071017,000000,168.866,168.866,168.866,168.866,0,0
KPD_MV,D,20071018,000000,165.223,165.223,165.223,165.223,0,0
KPD_MV,D,20071019,000000,163.026,163.026,163.026,163.026,0,0
KPD_MV,D,20071022,000000,150.64,150.64,150.64,150.64,0,0
KPD_MV,D,20071023,000000,156.036,156.036,156.036,156.036,0,0
KPD_MV,D,20071024,000000,156.768,156.768,156.768,156.768,0,0
KPD_MV,D,20071025,000000,151.373,151.373,151.373,151.373,0,0
KPD_MV,D,20071026,000000,153.699,153.699,153.699,153.699,0,0
KPD_MV,D,20071029,000000,154.432,154.432,154.432,154.432,0,0
KPD_MV,D,20071030,000000,153.996,153.996,153.996,153.996,0,0
KPD_MV,D,20071031,000000,152.531,152.531,152.531,152.531,0,0
KPD_MV,D,20071102,000000,153.847,153.847,153.847,153.847,0,0
KPD_MV,D,20071105,000000,156.768,156.768,156.768,156.768,0,0
KPD_MV,D,20071106,000000,159.679,159.679,159.679,159.679,0,0
KPD_MV,D,20071107,000000,141.888,141.888,141.888,141.888,0,0
KPD_MV,D,20071108,000000,142.917,142.917,142.917,142.917,0,0
KPD_MV,D,20071109,000000,144.373,144.373,132.85,142.333,0,0
KPD_MV,D,20071112,000000,142.176,142.333,131.246,136.057,0,0
KPD_MV,D,20071113,000000,142.176,142.176,131.246,138.542,0,0
KPD_MV,D,20071114,000000,132.85,142.176,132.85,138.542,0,0
KPD_MV,D,20071115,000000,142.176,142.176,125.628,130.365,0,0
KPD_MV,D,20071116,000000,132.405,132.405,117.683,125.414,0,0
KPD_MV,D,20071119,000000,121.762,125.414,118.85,125.117,0,0
KPD_MV,D,20071120,000000,117.97,123.949,115.93,123.078,0,0
KPD_MV,D,20071121,000000,117.246,121.762,113.158,121.762,0,0
KPD_MV,D,20071122,000000,121.762,124.682,109.367,123.375,0,0
KPD_MV,D,20071123,000000,122.633,123.801,116.663,122.207,0,0
KPD_MV,D,20071126,000000,121.696,121.762,117.098,120.306,0,0
KPD_MV,D,20071127,000000,117.97,118.118,114.549,118.118,0,0
KPD_MV,D,20071128,000000,118.118,121.326,118.118,121.039,0,0
KPD_MV,D,20071129,000000,123.217,123.949,116.663,123.004,0,0
KPD_MV,D,20071130,000000,119.722,126.146,119.722,126.146,0,0
KPD_MV,D,20071203,000000,121.326,128.187,121.326,128.187,0,0
KPD_MV,D,20071204,000000,123.513,129.123,123.078,123.949,0,0
KPD_MV,D,20071205,000000,123.949,130.81,122.633,130.81,0,0
KPD_MV,D,20071206,000000,131.246,131.246,124.682,124.682,0,0
KPD_MV,D,20071207,000000,124.83,129.355,124.386,129.355,0,0
KPD_MV,D,20071210,000000,129.355,131.097,124.033,131.097,0,0
KPD_MV,D,20071211,000000,129.493,129.493,124.682,124.682,0,0
KPD_MV,D,20071212,000000,123.949,126.731,121.039,126.731,0,0
KPD_MV,D,20071213,000000,123.949,125.414,121.113,125.257,0,0
KPD_MV,D,20071214,000000,124.969,124.969,121.252,124.534,0,0
KPD_MV,D,20071217,000000,118.267,122.494,118.118,122.345,0,0
KPD_MV,D,20071218,000000,122.494,126.573,117.544,126.573,0,0
KPD_MV,D,20071219,000000,118.118,120.965,109.515,115.207,0,0
KPD_MV,D,20071220,000000,116.515,122.42,116.515,121.762,0,0
KPD_MV,D,20071221,000000,122.345,122.345,119.583,119.583,0,0
KPD_MV,D,20071227,000000,122.42,122.494,118.85,122.133,0,0
KPD_MV,D,20071228,000000,120.965,122.345,118.118,121.984,0,0
KPD_MV,D,20080102,000000,112.435,122.494,112.435,118.118,0,0
KPD_MV,D,20080103,000000,116.375,117.97,116.375,116.663,0,0
KPD_MV,D,20080104,000000,116.375,120.825,116.375,116.663,0,0
KPD_MV,D,20080107,000000,115.207,116.663,113.751,113.751,0,0
KPD_MV,D,20080108,000000,116.663,116.663,114.475,116.663,0,0
KPD_MV,D,20080109,000000,115.207,116.663,110.238,110.238,0,0
KPD_MV,D,20080110,000000,111.851,111.851,103.1,109.153,0,0
KPD_MV,D,20080111,000000,107.911,110.683,107.911,110.683,0,0
KPD_MV,D,20080114,000000,107.911,107.911,107.911,107.911,0,0
KPD_MV,D,20080115,000000,109.153,109.153,105.149,106.455,0,0
KPD_MV,D,20080116,000000,105.149,107.615,99.3076,103.535,0,0
KPD_MV,D,20080117,000000,104.268,109.367,99.8825,109.367,0,0
KPD_MV,D,20080118,000000,102.516,113.455,102.516,113.455,0,0
KPD_MV,D,20080121,000000,103.1,109.367,100.625,106.892,0,0
KPD_MV,D,20080122,000000,107.03,113.455,101.644,113.455,0,0
KPD_MV,D,20080123,000000,104.629,109.153,104.564,109.153,0,0
KPD_MV,D,20080124,000000,105.149,109.301,104.991,109.153,0,0
KPD_MV,D,20080125,000000,109.227,109.227,103.535,107.911,0,0
KPD_MV,D,20080128,000000,105.724,106.455,102.442,106.372,0,0
KPD_MV,D,20080129,000000,102.293,106.233,102.293,106.233,0,0
KPD_MV,D,20080130,000000,106.233,106.455,106.233,106.455,0,0
KPD_MV,D,20080131,000000,106.372,106.372,106.372,106.372,0,0
KPD_MV,D,20080201,000000,106.372,107.911,105.724,105.724,0,0
KPD_MV,D,20080204,000000,106.455,108.931,105.724,108.496,0,0
KPD_MV,D,20080205,000000,108.496,109.367,102.08,102.08,0,0
KPD_MV,D,20080206,000000,102.08,108.347,102.08,108.347,0,0
KPD_MV,D,20080207,000000,103.684,107.475,103.535,107.475,0,0
KPD_MV,D,20080208,000000,106.159,106.159,106.159,106.159,0,0
KPD_MV,D,20080211,000000,107.475,109.367,104.991,109.367,0,0
KPD_MV,D,20080212,000000,109.367,114.985,109.367,114.985,0,0
KPD_MV,D,20080213,000000,109.367,112.278,109.367,112.278,0,0
KPD_MV,D,20080214,000000,111.406,111.406,111.406,111.406,0,0
KPD_MV,D,20080215,000000,112.278,114.762,108.644,112.278,0,0
KPD_MV,D,20080218,000000,107.911,112.278,106.455,112.278,0,0
KPD_MV,D,20080219,000000,107.911,109.301,105.872,109.301,0,0
KPD_MV,D,20080220,000000,104.564,109.301,104.481,109.301,0,0
KPD_MV,D,20080221,000000,107.911,110.609,107.911,110.396,0,0
KPD_MV,D,20080222,000000,111.991,111.991,108.198,111.267,0,0
KPD_MV,D,20080225,000000,111.119,111.851,108.198,108.644,0,0
KPD_MV,D,20080226,000000,108.198,111.119,106.455,109.589,0,0
KPD_MV,D,20080227,000000,106.604,108.644,106.455,108.644,0,0
KPD_MV,D,20080228,000000,105.724,108.347,103.535,108.347,0,0
KPD_MV,D,20080229,000000,102.877,108.059,102.812,108.059,0,0
