<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KPD_PB,D,20071017,000000,3.20767,3.20767,3.20767,3.20767,0,0
KPD_PB,D,20071018,000000,3.1335,3.1335,3.1335,3.1335,0,0
KPD_PB,D,20071019,000000,3.09642,3.09642,3.09642,3.09642,0,0
KPD_PB,D,20071022,000000,2.85538,2.85538,2.85538,2.85538,0,0
KPD_PB,D,20071023,000000,2.96663,2.96663,2.96663,2.96663,0,0
KPD_PB,D,20071024,000000,2.9759,2.9759,2.9759,2.9759,0,0
KPD_PB,D,20071025,000000,2.87392,2.87392,2.87392,2.87392,0,0
KPD_PB,D,20071026,000000,2.92028,2.92028,2.92028,2.92028,0,0
KPD_PB,D,20071029,000000,2.92955,2.92955,2.92955,2.92955,0,0
KPD_PB,D,20071030,000000,2.92028,2.92028,2.92028,2.92028,0,0
KPD_PB,D,20071031,000000,2.89246,2.89246,2.89246,2.89246,0,0
KPD_PB,D,20071102,000000,2.92028,2.92028,2.92028,2.92028,0,0
KPD_PB,D,20071105,000000,2.9759,2.9759,2.9759,2.9759,0,0
KPD_PB,D,20071106,000000,2.82757,2.82757,2.82757,2.82757,0,0
KPD_PB,D,20071107,000000,2.51236,2.51236,2.51236,2.51236,0,0
KPD_PB,D,20071108,000000,2.5309,2.5309,2.5309,2.5309,0,0
KPD_PB,D,20071109,000000,2.55872,2.55872,2.35476,2.52164,0,0
KPD_PB,D,20071112,000000,2.51236,2.52164,2.32695,2.41039,0,0
KPD_PB,D,20071113,000000,2.51236,2.51236,2.32695,2.45674,0,0
KPD_PB,D,20071114,000000,2.35476,2.51236,2.35476,2.45674,0,0
KPD_PB,D,20071115,000000,2.51236,2.51236,2.22497,2.30841,0,0
KPD_PB,D,20071116,000000,2.34549,2.34549,2.08591,2.2157,0,0
KPD_PB,D,20071119,000000,2.16008,2.2157,2.10445,2.2157,0,0
KPD_PB,D,20071120,000000,2.09518,2.19717,2.04883,2.18789,0,0
KPD_PB,D,20071121,000000,2.07665,2.16008,2.00248,2.16008,0,0
KPD_PB,D,20071122,000000,2.16008,2.2157,1.93758,2.18789,0,0
KPD_PB,D,20071123,000000,2.17862,2.19717,2.06737,2.16935,0,0
KPD_PB,D,20071126,000000,2.16008,2.16008,2.07665,2.13226,0,0
KPD_PB,D,20071127,000000,2.09518,2.09518,2.03029,2.09518,0,0
KPD_PB,D,20071128,000000,2.09518,2.1508,2.09518,2.1508,0,0
KPD_PB,D,20071129,000000,2.18789,2.19717,2.06737,2.17862,0,0
KPD_PB,D,20071130,000000,2.123,2.23424,2.123,2.23424,0,0
KPD_PB,D,20071203,000000,2.1508,2.27132,2.1508,2.27132,0,0
KPD_PB,D,20071204,000000,2.18789,2.2806,2.18789,2.19717,0,0
KPD_PB,D,20071205,000000,2.19717,2.31768,2.17862,2.31768,0,0
KPD_PB,D,20071206,000000,2.32695,2.32695,2.2157,2.2157,0,0
KPD_PB,D,20071207,000000,2.2157,2.28987,2.20643,2.28987,0,0
KPD_PB,D,20071210,000000,2.28987,2.31768,2.19717,2.31768,0,0
KPD_PB,D,20071211,000000,2.28987,2.28987,2.2157,2.2157,0,0
KPD_PB,D,20071212,000000,2.19717,2.24352,2.1508,2.24352,0,0
KPD_PB,D,20071213,000000,2.19717,2.2157,2.1508,2.2157,0,0
KPD_PB,D,20071214,000000,2.2157,2.2157,2.1508,2.20643,0,0
KPD_PB,D,20071217,000000,2.09518,2.16935,2.09518,2.16935,0,0
KPD_PB,D,20071218,000000,2.16935,2.23424,2.08591,2.23424,0,0
KPD_PB,D,20071219,000000,2.09518,2.14154,1.93758,2.03956,0,0
KPD_PB,D,20071220,000000,2.06737,2.16935,2.06737,2.16008,0,0
KPD_PB,D,20071221,000000,2.16935,2.16935,2.123,2.123,0,0
KPD_PB,D,20071227,000000,2.16935,2.16935,2.10445,2.16935,0,0
KPD_PB,D,20071228,000000,2.14154,2.16935,2.09518,2.16008,0,0
KPD_PB,D,20080102,000000,1.9932,2.16935,1.9932,2.09518,0,0
KPD_PB,D,20080103,000000,2.0581,2.09518,2.0581,2.06737,0,0
KPD_PB,D,20080104,000000,2.0581,2.14154,2.0581,2.06737,0,0
KPD_PB,D,20080107,000000,2.03956,2.06737,2.01174,2.01174,0,0
KPD_PB,D,20080108,000000,2.06737,2.06737,2.03029,2.06737,0,0
KPD_PB,D,20080109,000000,2.03956,2.06737,1.94685,1.94685,0,0
KPD_PB,D,20080110,000000,1.97466,1.97466,1.82633,1.92831,0,0
KPD_PB,D,20080111,000000,1.91904,1.95613,1.91904,1.95613,0,0
KPD_PB,D,20080114,000000,1.91904,1.91904,1.91904,1.91904,0,0
KPD_PB,D,20080115,000000,1.92831,1.92831,1.86342,1.89122,0,0
KPD_PB,D,20080116,000000,1.86342,1.90977,1.76144,1.83561,0,0
KPD_PB,D,20080117,000000,1.84487,1.93758,1.7707,1.93758,0,0
KPD_PB,D,20080118,000000,1.81707,2.01174,1.81707,2.01174,0,0
KPD_PB,D,20080121,000000,1.82633,1.93758,1.77998,1.9005,0,0
KPD_PB,D,20080122,000000,1.9005,2.01174,1.79852,2.01174,0,0
KPD_PB,D,20080123,000000,1.85414,1.92831,1.85414,1.92831,0,0
KPD_PB,D,20080124,000000,1.86342,1.92831,1.86342,1.92831,0,0
KPD_PB,D,20080125,000000,1.92831,1.92831,1.83561,1.91904,0,0
KPD_PB,D,20080128,000000,1.87268,1.89122,1.81707,1.89122,0,0
KPD_PB,D,20080129,000000,1.81707,1.88196,1.81707,1.88196,0,0
KPD_PB,D,20080130,000000,1.88196,1.89122,1.88196,1.89122,0,0
KPD_PB,D,20080131,000000,1.89122,1.89122,1.89122,1.89122,0,0
KPD_PB,D,20080201,000000,1.89122,1.91904,1.87268,1.87268,0,0
KPD_PB,D,20080204,000000,1.89122,1.92831,1.87268,1.91904,0,0
KPD_PB,D,20080205,000000,1.91904,1.93758,1.80779,1.80779,0,0
KPD_PB,D,20080206,000000,1.80779,1.91904,1.80779,1.91904,0,0
KPD_PB,D,20080207,000000,1.83561,1.90977,1.83561,1.90977,0,0
KPD_PB,D,20080208,000000,1.88196,1.88196,1.88196,1.88196,0,0
KPD_PB,D,20080211,000000,1.90977,1.93758,1.86342,1.93758,0,0
KPD_PB,D,20080212,000000,1.93758,2.03956,1.93758,2.03956,0,0
KPD_PB,D,20080213,000000,1.93758,1.98393,1.93758,1.98393,0,0
KPD_PB,D,20080214,000000,1.97466,1.97466,1.97466,1.97466,0,0
KPD_PB,D,20080215,000000,1.98393,2.03029,1.91904,1.91904,0,0
KPD_PB,D,20080218,000000,1.84487,1.91904,1.81707,1.91904,0,0
KPD_PB,D,20080219,000000,1.84487,1.86342,1.80779,1.86342,0,0
KPD_PB,D,20080220,000000,1.77998,1.86342,1.77998,1.86342,0,0
KPD_PB,D,20080221,000000,1.84487,1.89122,1.84487,1.88196,0,0
KPD_PB,D,20080222,000000,1.90977,1.90977,1.84487,1.9005,0,0
KPD_PB,D,20080225,000000,1.9005,1.90977,1.84487,1.85414,0,0
KPD_PB,D,20080226,000000,1.84487,1.9005,1.81707,1.87268,0,0
KPD_PB,D,20080227,000000,1.81707,1.85414,1.81707,1.85414,0,0
KPD_PB,D,20080228,000000,1.79852,1.84487,1.76144,1.84487,0,0
KPD_PB,D,20080229,000000,1.75216,1.84487,1.75216,1.84487,0,0
KPD_PB,D,20080303,000000,1.71508,1.84487,1.71508,1.84487,0,0
KPD_PB,D,20080304,000000,1.72435,1.84487,1.70581,1.79852,0,0
KPD_PB,D,20080305,000000,1.71508,1.78925,1.71508,1.78925,0,0
KPD_PB,D,20080306,000000,1.72435,1.77998,1.70581,1.77998,0,0
KPD_PB,D,20080307,000000,1.70581,1.7707,1.69655,1.7707,0,0
KPD_PB,D,20080310,000000,1.65946,1.77998,1.60383,1.76144,0,0
KPD_PB,D,20080311,000000,1.76144,1.76144,1.76144,1.76144,0,0
KPD_PB,D,20080312,000000,1.7429,1.76144,1.7429,1.7429,0,0
KPD_PB,D,20080313,000000,1.73362,1.7429,1.73362,1.73362,0,0
KPD_PB,D,20080314,000000,1.70581,1.73362,1.70581,1.73362,0,0
KPD_PB,D,20080319,000000,1.73362,1.73362,1.66873,1.72435,0,0
KPD_PB,D,20080320,000000,1.66873,1.69655,1.64092,1.69655,0,0
KPD_PB,D,20080325,000000,1.69655,1.77998,1.69655,1.77998,0,0
KPD_PB,D,20080326,000000,1.7429,1.7429,1.7429,1.7429,0,0
KPD_PB,D,20080327,000000,1.73362,1.7429,1.72435,1.7429,0,0
KPD_PB,D,20080328,000000,1.72435,1.7707,1.69655,1.69655,0,0
KPD_PB,D,20080331,000000,1.64092,1.64092,1.64092,1.64092,0,0
KPD_PB,D,20080401,000000,1.64092,1.69655,1.64092,1.69655,0,0
KPD_PB,D,20080402,000000,1.65946,1.65946,1.65019,1.65946,0,0
KPD_PB,D,20080403,000000,1.65019,1.69655,1.62238,1.69655,0,0
KPD_PB,D,20080408,000000,1.65019,1.65946,1.65019,1.65019,0,0
KPD_PB,D,20080409,000000,1.65946,1.69655,1.65946,1.69655,0,0
KPD_PB,D,20080410,000000,1.678,1.69655,1.62238,1.69655,0,0
KPD_PB,D,20080411,000000,1.65946,1.69655,1.65946,1.69655,0,0
KPD_PB,D,20080414,000000,1.62238,1.678,1.62238,1.62238,0,0
KPD_PB,D,20080415,000000,1.66873,1.72435,1.64092,1.70581,0,0
KPD_PB,D,20080416,000000,1.68727,1.68727,1.68727,1.68727,0,0
KPD_PB,D,20080418,000000,1.65946,1.7429,1.65946,1.73362,0,0
KPD_PB,D,20080421,000000,1.73362,1.76144,1.73362,1.76144,0,0
KPD_PB,D,20080422,000000,1.7429,1.7429,1.59456,1.73362,0,0
KPD_PB,D,20080423,000000,1.64092,1.72435,1.64092,1.72435,0,0
KPD_PB,D,20080424,000000,1.62238,1.65946,1.59456,1.65946,0,0
KPD_PB,D,20080425,000000,1.65946,1.73362,1.65946,1.73362,0,0
KPD_PB,D,20080428,000000,1.73362,1.90977,1.71508,1.88196,0,0
KPD_PB,D,20080429,000000,1.86342,1.89122,1.78925,1.78925,0,0
KPD_PB,D,20080430,000000,1.78925,1.89122,1.78925,1.86342,0,0
KPD_PB,D,20080505,000000,1.77998,1.86342,1.75216,1.75216,0,0
KPD_PB,D,20080506,000000,1.75216,1.75216,1.65019,1.65019,0,0
KPD_PB,D,20080507,000000,1.65019,1.65019,1.65019,1.65019,0,0
KPD_PB,D,20080508,000000,1.60383,1.60383,1.54821,1.54821,0,0
KPD_PB,D,20080512,000000,1.50186,1.50186,1.50186,1.50186,0,0
KPD_PB,D,20080513,000000,1.51112,1.52967,1.50186,1.52967,0,0
KPD_PB,D,20080514,000000,1.43697,1.50186,1.43697,1.49258,0,0
KPD_PB,D,20080516,000000,1.43697,1.49258,1.40915,1.49258,0,0
KPD_PB,D,20080520,000000,1.52967,1.52967,1.52967,1.52967,0,0
KPD_PB,D,20080523,000000,1.40915,1.52967,1.40915,1.40915,0,0
KPD_PB,D,20080526,000000,1.47404,1.47404,1.47404,1.47404,0,0
KPD_PB,D,20080527,000000,1.40915,1.40915,1.40915,1.40915,0,0
KPD_PB,D,20080528,000000,1.40915,1.40915,1.33499,1.40915,0,0
KPD_PB,D,20080530,000000,1.3906,1.3906,1.3906,1.3906,0,0
KPD_PB,D,20080602,000000,1.38134,1.3906,1.3628,1.3628,0,0
KPD_PB,D,20080603,000000,1.3906,1.42769,1.3906,1.42769,0,0
KPD_PB,D,20080604,000000,1.3628,1.40915,1.3628,1.3628,0,0
KPD_PB,D,20080605,000000,1.40915,1.40915,1.40915,1.40915,0,0
KPD_PB,D,20080606,000000,1.3628,1.3628,1.35352,1.35352,0,0
KPD_PB,D,20080609,000000,1.32571,1.35352,1.27009,1.35352,0,0
KPD_PB,D,20080610,000000,1.25154,1.35352,1.25154,1.25154,0,0
KPD_PB,D,20080611,000000,1.35352,1.40915,1.24228,1.35352,0,0
KPD_PB,D,20080612,000000,1.2979,1.2979,1.2979,1.2979,0,0
KPD_PB,D,20080613,000000,1.34425,1.34425,1.34425,1.34425,0,0
KPD_PB,D,20080618,000000,1.45551,1.45551,1.24228,1.24228,0,0
KPD_PB,D,20080619,000000,1.26082,1.33499,1.26082,1.33499,0,0
KPD_PB,D,20080620,000000,1.26082,1.38134,1.26082,1.38134,0,0
KPD_PB,D,20080623,000000,1.233,1.38134,1.233,1.26082,0,0
KPD_PB,D,20080625,000000,1.233,1.233,1.22373,1.22373,0,0
KPD_PB,D,20080701,000000,1.21447,1.33499,1.18665,1.18665,0,0
KPD_PB,D,20080702,000000,1.15884,1.21447,1.15884,1.15884,0,0
KPD_PB,D,20080703,000000,1.233,1.233,1.13102,1.13102,0,0
KPD_PB,D,20080704,000000,1.21447,1.21447,1.08467,1.19593,0,0
KPD_PB,D,20080708,000000,1.07541,1.07541,1.03832,1.06613,0,0
KPD_PB,D,20080709,000000,1.11248,1.15884,1.11248,1.15884,0,0
KPD_PB,D,20080711,000000,1.09395,1.09395,1.04759,1.04759,0,0
KPD_PB,D,20080714,000000,1.03832,1.08467,0.9827,1.08467,0,0
KPD_PB,D,20080715,000000,0.9827,1.08467,0.9827,1.08467,0,0
KPD_PB,D,20080717,000000,0.973425,1.06613,0.964151,0.964151,0,0
KPD_PB,D,20080718,000000,1.0105,1.0105,0.880718,0.880718,0,0
KPD_PB,D,20080721,000000,0.964151,0.964151,0.964151,0.964151,0,0
KPD_PB,D,20080722,000000,0.964151,0.964151,0.964151,0.964151,0,0
KPD_PB,D,20080723,000000,0.964151,1.01978,0.964151,1.01978,0,0
KPD_PB,D,20080728,000000,0.964151,0.964151,0.964151,0.964151,0,0
KPD_PB,D,20080729,000000,0.964151,0.964151,0.964151,0.964151,0,0
KPD_PB,D,20080730,000000,0.908531,0.936343,0.871447,0.917802,0,0
KPD_PB,D,20080731,000000,0.908531,0.908531,0.871447,0.871447,0,0
KPD_PB,D,20080801,000000,0.880718,0.889989,0.871447,0.871447,0,0
KPD_PB,D,20080804,000000,0.862177,0.871447,0.825094,0.825094,0,0
KPD_PB,D,20080805,000000,0.815824,0.815824,0.750928,0.806552,0,0
KPD_PB,D,20080806,000000,0.834365,0.862177,0.77874,0.77874,0,0
