<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KPD_PE,D,20071017,000000,13.9339,13.9339,13.9339,13.9339,0,0
KPD_PE,D,20071018,000000,13.5723,13.5723,13.5723,13.5723,0,0
KPD_PE,D,20071019,000000,13.3962,13.3962,13.3962,13.3962,0,0
KPD_PE,D,20071022,000000,12.4043,12.4043,12.4043,12.4043,0,0
KPD_PE,D,20071023,000000,12.8493,12.8493,12.8493,12.8493,0,0
KPD_PE,D,20071024,000000,12.9419,12.9419,12.9419,12.9419,0,0
KPD_PE,D,20071025,000000,12.4969,12.4969,12.4969,12.4969,0,0
KPD_PE,D,20071026,000000,12.6731,12.6731,12.6731,12.6731,0,0
KPD_PE,D,20071029,000000,12.7657,12.7657,12.7657,12.7657,0,0
KPD_PE,D,20071030,000000,12.6731,12.6731,12.6731,12.6731,0,0
KPD_PE,D,20071031,000000,12.5803,12.5803,12.5803,12.5803,0,0
KPD_PE,D,20071102,000000,12.6731,12.6731,12.6731,12.6731,0,0
KPD_PE,D,20071105,000000,12.9419,12.9419,12.9419,12.9419,0,0
KPD_PE,D,20071106,000000,10.6057,10.6057,10.6057,10.6057,0,0
KPD_PE,D,20071107,000000,9.4376,9.4376,9.4376,9.4376,0,0
KPD_PE,D,20071108,000000,9.4376,9.4376,9.4376,9.4376,0,0
KPD_PE,D,20071109,000000,9.53033,9.53033,8.80718,9.4376,0,0
KPD_PE,D,20071112,000000,9.4376,9.4376,8.99259,8.99259,0,0
KPD_PE,D,20071113,000000,9.4376,9.4376,9.16874,9.16874,0,0
KPD_PE,D,20071114,000000,8.80718,9.16874,8.80718,9.16874,0,0
KPD_PE,D,20071115,000000,9.4376,9.4376,8.63104,8.63104,0,0
KPD_PE,D,20071116,000000,8.80718,8.80718,7.82449,8.36219,0,0
KPD_PE,D,20071119,000000,8.09334,8.36219,7.90792,8.26948,0,0
KPD_PE,D,20071120,000000,7.82449,8.17678,7.63907,8.17678,0,0
KPD_PE,D,20071121,000000,7.82449,8.09334,7.54636,8.09334,0,0
KPD_PE,D,20071122,000000,8.09334,8.26948,7.27752,8.17678,0,0
KPD_PE,D,20071123,000000,8.09334,8.17678,7.73178,8.09334,0,0
KPD_PE,D,20071126,000000,8.09334,8.09334,7.73178,8.00063,0,0
KPD_PE,D,20071127,000000,7.82449,7.82449,7.63907,7.82449,0,0
KPD_PE,D,20071128,000000,7.82449,8.00063,7.82449,8.00063,0,0
KPD_PE,D,20071129,000000,8.17678,8.17678,7.73178,8.17678,0,0
KPD_PE,D,20071130,000000,8.00063,8.36219,8.00063,8.36219,0,0
KPD_PE,D,20071203,000000,8.00063,8.53834,8.00063,8.53834,0,0
KPD_PE,D,20071204,000000,8.26948,8.63104,8.17678,8.17678,0,0
KPD_PE,D,20071205,000000,8.17678,8.71447,8.09334,8.71447,0,0
KPD_PE,D,20071206,000000,8.71447,8.71447,8.26948,8.26948,0,0
KPD_PE,D,20071207,000000,8.26948,8.53834,8.26948,8.53834,0,0
KPD_PE,D,20071210,000000,8.53834,8.71447,8.17678,8.71447,0,0
KPD_PE,D,20071211,000000,8.63104,8.63104,8.26948,8.26948,0,0
KPD_PE,D,20071212,000000,8.17678,8.44562,8.00063,8.44562,0,0
KPD_PE,D,20071213,000000,8.26948,8.36219,8.09334,8.26948,0,0
KPD_PE,D,20071214,000000,8.26948,8.26948,8.00063,8.26948,0,0
KPD_PE,D,20071217,000000,7.82449,8.09334,7.82449,8.09334,0,0
KPD_PE,D,20071218,000000,8.09334,8.36219,7.73178,8.36219,0,0
KPD_PE,D,20071219,000000,7.82449,8.00063,7.19408,7.63907,0,0
KPD_PE,D,20071220,000000,7.73178,8.09334,7.73178,8.09334,0,0
KPD_PE,D,20071221,000000,8.09334,8.09334,7.90792,7.90792,0,0
KPD_PE,D,20071227,000000,8.09334,8.09334,7.82449,8.09334,0,0
KPD_PE,D,20071228,000000,8.00063,8.09334,7.82449,8.09334,0,0
KPD_PE,D,20080102,000000,7.46293,8.09334,7.46293,7.82449,0,0
KPD_PE,D,20080103,000000,7.73178,7.82449,7.73178,7.73178,0,0
KPD_PE,D,20080104,000000,7.73178,8.00063,7.73178,7.73178,0,0
KPD_PE,D,20080107,000000,7.63907,7.73178,7.54636,7.54636,0,0
KPD_PE,D,20080108,000000,7.73178,7.73178,7.63907,7.73178,0,0
KPD_PE,D,20080109,000000,7.63907,7.73178,7.27752,7.27752,0,0
KPD_PE,D,20080110,000000,7.37022,7.37022,6.83252,7.19408,0,0
KPD_PE,D,20080111,000000,7.19408,7.37022,7.19408,7.37022,0,0
KPD_PE,D,20080114,000000,7.19408,7.19408,7.19408,7.19408,0,0
KPD_PE,D,20080115,000000,7.27752,7.27752,7.00866,7.10137,0,0
KPD_PE,D,20080116,000000,7.00866,7.19408,6.6471,6.83252,0,0
KPD_PE,D,20080117,000000,6.92522,7.27752,6.56367,7.27752,0,0
KPD_PE,D,20080118,000000,6.83252,7.54636,6.83252,7.54636,0,0
KPD_PE,D,20080121,000000,6.83252,7.27752,6.6471,7.10137,0,0
KPD_PE,D,20080122,000000,7.10137,7.54636,6.73981,7.54636,0,0
KPD_PE,D,20080123,000000,6.92522,7.27752,6.92522,7.27752,0,0
KPD_PE,D,20080124,000000,7.00866,7.27752,7.00866,7.27752,0,0
KPD_PE,D,20080125,000000,7.27752,7.27752,6.92522,7.19408,0,0
KPD_PE,D,20080128,000000,7.00866,7.10137,6.83252,7.10137,0,0
KPD_PE,D,20080129,000000,6.83252,7.10137,6.83252,7.00866,0,0
KPD_PE,D,20080130,000000,7.00866,7.00866,7.00866,7.00866,0,0
KPD_PE,D,20080131,000000,7.00866,7.10137,7.00866,7.10137,0,0
KPD_PE,D,20080201,000000,7.10137,7.19408,7.00866,7.00866,0,0
KPD_PE,D,20080204,000000,7.10137,7.19408,7.00866,7.19408,0,0
KPD_PE,D,20080205,000000,7.19408,7.27752,6.73981,6.73981,0,0
KPD_PE,D,20080206,000000,6.73981,7.19408,6.73981,7.19408,0,0
KPD_PE,D,20080207,000000,6.92522,7.10137,6.83252,7.10137,0,0
KPD_PE,D,20080208,000000,7.00866,7.00866,7.00866,7.00866,0,0
KPD_PE,D,20080211,000000,7.10137,7.27752,6.92522,7.27752,0,0
KPD_PE,D,20080212,000000,7.27752,7.63907,7.27752,7.63907,0,0
KPD_PE,D,20080213,000000,7.27752,7.46293,7.27752,7.46293,0,0
KPD_PE,D,20080214,000000,7.37022,7.37022,7.37022,7.37022,0,0
KPD_PE,D,20080215,000000,7.46293,7.63907,7.19408,7.37022,0,0
KPD_PE,D,20080218,000000,7.10137,7.37022,7.00866,7.37022,0,0
KPD_PE,D,20080219,000000,7.10137,7.19408,6.92522,7.19408,0,0
KPD_PE,D,20080220,000000,6.83252,7.19408,6.83252,7.19408,0,0
KPD_PE,D,20080221,000000,7.10137,7.27752,7.10137,7.19408,0,0
KPD_PE,D,20080222,000000,7.27752,7.27752,7.00866,7.27752,0,0
KPD_PE,D,20080225,000000,7.27752,7.27752,7.10137,7.10137,0,0
KPD_PE,D,20080226,000000,7.10137,7.27752,6.92522,7.19408,0,0
KPD_PE,D,20080227,000000,7.00866,7.10137,7.00866,7.10137,0,0
KPD_PE,D,20080228,000000,6.92522,7.10137,6.73981,7.10137,0,0
KPD_PE,D,20080229,000000,6.73981,7.10137,6.73981,7.10137,0,0
KPD_PE,D,20080303,000000,6.6471,7.10137,6.6471,7.00866,0,0
KPD_PE,D,20080304,000000,6.56367,7.00866,6.47097,6.92522,0,0
KPD_PE,D,20080305,000000,6.6471,6.92522,6.56367,6.83252,0,0
KPD_PE,D,20080306,000000,6.56367,6.83252,6.47097,6.83252,0,0
KPD_PE,D,20080307,000000,6.56367,6.83252,6.56367,6.83252,0,0
KPD_PE,D,20080310,000000,6.37826,6.83252,6.20211,6.73981,0,0
KPD_PE,D,20080311,000000,6.73981,6.73981,6.73981,6.73981,0,0
KPD_PE,D,20080312,000000,6.6471,6.73981,6.6471,6.6471,0,0
KPD_PE,D,20080313,000000,6.6471,6.6471,6.6471,6.6471,0,0
KPD_PE,D,20080314,000000,6.56367,6.6471,6.56367,6.6471,0,0
