<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KRK_PB,D,20120411,000000,0.787167,0.787167,0.787167,0.787167,0,0
KRK_PB,D,20120417,000000,0.792597,0.797944,0.792597,0.797944,0,0
KRK_PB,D,20120418,000000,0.77647,0.77647,0.77647,0.77647,0,0
KRK_PB,D,20120419,000000,0.760588,0.77647,0.760588,0.760588,0,0
KRK_PB,D,20120906,000000,0.702649,0.757509,0.702649,0.702649,0,0
KRK_PB,D,20120910,000000,0.708078,0.708078,0.702649,0.702649,0,0
KRK_PB,D,20120912,000000,0.702649,0.702649,0.702649,0.702649,0,0
KRK_PB,D,20120914,000000,0.724528,0.751917,0.724528,0.724528,0,0
KRK_PB,D,20120918,000000,0.713588,0.724528,0.713588,0.713588,0,0
KRK_PB,D,20120919,000000,0.708078,0.708078,0.708078,0.708078,0,0
KRK_PB,D,20120924,000000,0.746488,0.746488,0.746488,0.746488,0,0
KRK_PB,D,20120927,000000,0.762938,0.773959,0.762938,0.773959,0,0
KRK_PB,D,20120928,000000,0.768449,0.773959,0.768449,0.768449,0,0
KRK_PB,D,20121001,000000,0.757509,0.757509,0.757509,0.757509,0,0
KRK_PB,D,20121002,000000,0.762938,0.762938,0.762938,0.762938,0,0
KRK_PB,D,20121004,000000,0.762938,0.762938,0.762938,0.762938,0,0
KRK_PB,D,20121005,000000,0.757509,0.757509,0.757509,0.757509,0,0
KRK_PB,D,20121009,000000,0.735549,0.757509,0.735549,0.735549,0,0
KRK_PB,D,20121010,000000,0.730038,0.730038,0.730038,0.730038,0,0
KRK_PB,D,20121011,000000,0.719017,0.730038,0.719017,0.719017,0,0
KRK_PB,D,20121012,000000,0.702649,0.719017,0.702649,0.702649,0,0
KRK_PB,D,20121015,000000,0.702649,0.702649,0.702649,0.702649,0,0
KRK_PB,D,20121016,000000,0.702649,0.702649,0.702649,0.702649,0,0
KRK_PB,D,20121018,000000,0.735549,0.762938,0.702649,0.762938,0,0
KRK_PB,D,20121022,000000,0.746488,0.762938,0.740977,0.740977,0,0
KRK_PB,D,20121023,000000,0.740977,0.740977,0.740977,0.740977,0,0
KRK_PB,D,20121025,000000,0.735549,0.735549,0.735549,0.735549,0,0
KRK_PB,D,20121026,000000,0.735549,0.735549,0.735549,0.735549,0,0
KRK_PB,D,20121029,000000,0.730038,0.735549,0.730038,0.730038,0,0
KRK_PB,D,20121105,000000,0.746488,0.746488,0.730038,0.730038,0,0
KRK_PB,D,20121106,000000,0.735549,0.735549,0.730038,0.735549,0,0
KRK_PB,D,20121108,000000,0.757509,0.757509,0.757509,0.757509,0,0
KRK_PB,D,20121109,000000,0.735549,0.735549,0.735549,0.735549,0,0
KRK_PB,D,20121128,000000,0.751917,0.751917,0.735549,0.751917,0,0
KRK_PB,D,20121212,000000,0.724528,0.724528,0.724528,0.724528,0,0
KRK_PB,D,20121213,000000,0.724528,0.724528,0.724528,0.724528,0,0
KRK_PB,D,20121214,000000,0.719017,0.719017,0.719017,0.719017,0,0
KRK_PB,D,20121217,000000,0.724528,0.724528,0.724528,0.724528,0,0
KRK_PB,D,20121218,000000,0.730038,0.730038,0.730038,0.730038,0,0
KRK_PB,D,20121219,000000,0.746488,0.746488,0.730038,0.746488,0,0
KRK_PB,D,20121220,000000,0.751917,0.823309,0.751917,0.823309,0,0
KRK_PB,D,20121221,000000,0.779388,0.894697,0.779388,0.894697,0,0
KRK_PB,D,20121227,000000,0.823309,0.823309,0.817798,0.817798,0,0
KRK_PB,D,20130102,000000,0.773959,0.773959,0.773959,0.773959,0,0
KRK_PB,D,20130103,000000,0.790327,0.790327,0.790327,0.790327,0,0
KRK_PB,D,20130104,000000,0.85637,0.85637,0.790327,0.823309,0,0
KRK_PB,D,20130107,000000,0.834409,0.834409,0.834409,0.834409,0,0
KRK_PB,D,20130108,000000,0.85637,0.85637,0.85637,0.85637,0,0
KRK_PB,D,20130109,000000,0.84535,0.84535,0.84535,0.84535,0,0
KRK_PB,D,20130111,000000,0.85637,0.85637,0.85637,0.85637,0,0
KRK_PB,D,20130129,000000,0.85637,0.85637,0.85637,0.85637,0,0
KRK_PB,D,20130204,000000,0.84535,0.84535,0.84535,0.84535,0,0
KRK_PB,D,20130206,000000,0.82882,0.82882,0.82882,0.82882,0,0
KRK_PB,D,20130312,000000,0.82882,0.82882,0.82882,0.82882,0,0
