<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KRU_MV,D,20110510,000000,497.578,497.578,497.578,497.578,0,0
KRU_MV,D,20110511,000000,496.376,497.578,489.22,489.22,0,0
KRU_MV,D,20110512,000000,485.522,495.058,477.419,489.104,0,0
KRU_MV,D,20110513,000000,484.328,489.104,481.947,483.496,0,0
KRU_MV,D,20110516,000000,483.744,486.707,482.895,485.522,0,0
KRU_MV,D,20110517,000000,485.522,486.485,481.947,482.054,0,0
KRU_MV,D,20110518,000000,483.142,484.221,482.054,483.142,0,0
KRU_MV,D,20110519,000000,483.142,483.744,474.783,483.744,0,0
KRU_MV,D,20110520,000000,484.088,484.088,482.549,483.142,0,0
KRU_MV,D,20110523,000000,483.258,483.258,479.799,480.754,0,0
KRU_MV,D,20110524,000000,477.171,483.142,475.985,483.142,0,0
KRU_MV,D,20110525,000000,481.947,489.104,481.947,489.104,0,0
KRU_MV,D,20110526,000000,486.114,493.89,485.522,485.522,0,0
KRU_MV,D,20110527,000000,482.054,486.707,482.054,486.114,0,0
KRU_MV,D,20110530,000000,482.656,484.328,478.357,478.489,0,0
KRU_MV,D,20110531,000000,477.666,497.216,477.171,492.678,0,0
KRU_MV,D,20110601,000000,494.598,494.598,483.142,493.279,0,0
KRU_MV,D,20110602,000000,492.678,492.678,483.142,491.368,0,0
KRU_MV,D,20110603,000000,483.744,491.368,483.142,483.744,0,0
KRU_MV,D,20110606,000000,482.054,489.104,479.551,489.104,0,0
KRU_MV,D,20110607,000000,483.142,489.104,483.142,489.104,0,0
KRU_MV,D,20110608,000000,483.142,489.104,483.142,489.104,0,0
KRU_MV,D,20110609,000000,486.707,486.707,483.142,483.142,0,0
KRU_MV,D,20110610,000000,481.947,483.142,478.357,483.142,0,0
KRU_MV,D,20110613,000000,481.947,483.744,481.947,483.744,0,0
KRU_MV,D,20110614,000000,477.666,483.744,477.666,480.869,0,0
KRU_MV,D,20110615,000000,477.286,516.516,477.286,516.516,0,0
KRU_MV,D,20110616,000000,487.423,511.024,487.423,510.396,0,0
KRU_MV,D,20110617,000000,508.476,510.396,505.283,510.396,0,0
KRU_MV,D,20110620,000000,491.244,510.396,491.244,506.575,0,0
KRU_MV,D,20110621,000000,504.018,510.396,504.018,506.575,0,0
KRU_MV,D,20110622,000000,504.151,516.65,504.151,510.396,0,0
KRU_MV,D,20110624,000000,510.272,512.952,507.98,510.396,0,0
KRU_MV,D,20110627,000000,509.37,511.024,509.113,510.396,0,0
KRU_MV,D,20110628,000000,500.188,510.396,500.188,510.396,0,0
KRU_MV,D,20110629,000000,509.113,512.952,509.113,512.952,0,0
KRU_MV,D,20110630,000000,516.773,516.773,510.396,516.773,0,0
KRU_MV,D,20110701,000000,523.16,548.043,523.16,546.247,0,0
KRU_MV,D,20110704,000000,545.477,555.058,545.477,555.058,0,0
KRU_MV,D,20110705,000000,556.968,557.605,549.06,552.501,0,0
KRU_MV,D,20110706,000000,550.723,552.501,541.665,552.501,0,0
