<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KTY_MV,D,20070813,000000,623.546,623.546,623.546,623.546,0,0
KTY_MV,D,20070814,000000,610.621,610.621,610.621,610.621,0,0
KTY_MV,D,20070816,000000,597.047,597.047,597.047,597.047,0,0
KTY_MV,D,20070817,000000,581.544,581.544,581.544,581.544,0,0
KTY_MV,D,20070820,000000,581.544,581.544,581.544,581.544,0,0
KTY_MV,D,20070821,000000,575.096,575.096,575.096,575.096,0,0
KTY_MV,D,20070822,000000,602.548,602.548,602.548,602.548,0,0
KTY_MV,D,20070823,000000,627.75,627.75,627.75,627.75,0,0
KTY_MV,D,20070824,000000,597.696,597.696,597.696,597.696,0,0
KTY_MV,D,20070827,000000,630.008,630.008,630.008,630.008,0,0
KTY_MV,D,20070828,000000,646.161,646.161,646.161,646.161,0,0
KTY_MV,D,20070829,000000,652.617,652.617,652.617,652.617,0,0
KTY_MV,D,20070830,000000,646.161,646.161,646.161,646.161,0,0
KTY_MV,D,20070831,000000,672.012,672.012,672.012,672.012,0,0
KTY_MV,D,20070903,000000,707.552,707.552,707.552,707.552,0,0
KTY_MV,D,20070904,000000,707.552,707.552,707.552,707.552,0,0
KTY_MV,D,20070905,000000,694.626,694.626,694.626,694.626,0,0
KTY_MV,D,20070906,000000,691.064,691.064,691.064,691.064,0,0
KTY_MV,D,20070907,000000,678.465,678.465,678.465,678.465,0,0
KTY_MV,D,20070910,000000,655.859,655.859,655.859,655.859,0,0
KTY_MV,D,20070911,000000,675.245,675.245,675.245,675.245,0,0
KTY_MV,D,20070912,000000,674.918,674.918,674.918,674.918,0,0
KTY_MV,D,20070913,000000,681.7,681.7,681.7,681.7,0,0
KTY_MV,D,20070914,000000,655.859,655.859,655.859,655.859,0,0
KTY_MV,D,20070917,000000,646.161,646.161,646.161,646.161,0,0
KTY_MV,D,20070918,000000,660.703,660.703,660.703,660.703,0,0
KTY_MV,D,20070919,000000,685.905,685.905,685.905,685.905,0,0
KTY_MV,D,20070920,000000,706.896,706.896,706.896,706.896,0,0
KTY_MV,D,20070921,000000,668.783,668.783,668.783,668.783,0,0
KTY_MV,D,20070924,000000,674.918,674.918,674.918,674.918,0,0
KTY_MV,D,20070925,000000,636.464,636.464,636.464,636.464,0,0
KTY_MV,D,20070926,000000,642.933,642.933,642.933,642.933,0,0
KTY_MV,D,20070927,000000,641.316,641.316,641.316,641.316,0,0
KTY_MV,D,20070928,000000,626.781,626.781,626.781,626.781,0,0
KTY_MV,D,20071001,000000,610.621,610.621,610.621,610.621,0,0
KTY_MV,D,20071002,000000,617.084,617.084,617.084,617.084,0,0
KTY_MV,D,20071003,000000,612.239,612.239,612.239,612.239,0,0
KTY_MV,D,20071004,000000,610.949,610.949,610.949,610.949,0,0
KTY_MV,D,20071005,000000,613.863,613.863,613.863,613.863,0,0
KTY_MV,D,20071008,000000,617.084,617.084,617.084,617.084,0,0
KTY_MV,D,20071009,000000,613.207,613.207,613.207,613.207,0,0
KTY_MV,D,20071010,000000,619.67,619.67,619.67,619.67,0,0
KTY_MV,D,20071011,000000,627.429,627.429,627.429,627.429,0,0
KTY_MV,D,20071012,000000,620.318,620.318,620.318,620.318,0,0
KTY_MV,D,20071015,000000,636.143,636.143,636.143,636.143,0,0
KTY_MV,D,20071016,000000,626.781,626.781,626.781,626.781,0,0
KTY_MV,D,20071017,000000,630.008,630.008,630.008,630.008,0,0
KTY_MV,D,20071018,000000,623.546,623.546,623.546,623.546,0,0
KTY_MV,D,20071019,000000,623.546,623.546,623.546,623.546,0,0
KTY_MV,D,20071022,000000,618.701,618.701,618.701,618.701,0,0
KTY_MV,D,20071023,000000,629.046,629.046,629.046,629.046,0,0
KTY_MV,D,20071024,000000,624.85,624.85,624.85,624.85,0,0
KTY_MV,D,20071025,000000,610.621,610.621,610.621,610.621,0,0
KTY_MV,D,20071026,000000,607.386,607.386,607.386,607.386,0,0
KTY_MV,D,20071029,000000,613.863,613.863,613.863,613.863,0,0
KTY_MV,D,20071030,000000,610.621,610.621,610.621,610.621,0,0
KTY_MV,D,20071031,000000,607.386,607.386,607.386,607.386,0,0
KTY_MV,D,20071102,000000,565.39,565.39,565.39,565.39,0,0
KTY_MV,D,20071105,000000,574.768,574.768,574.768,574.768,0,0
KTY_MV,D,20071106,000000,565.39,565.39,565.39,565.39,0,0
KTY_MV,D,20071107,000000,558.943,558.943,558.943,558.943,0,0
KTY_MV,D,20071108,000000,575.096,575.096,575.096,575.096,0,0
KTY_MV,D,20071109,000000,592.859,592.859,546.987,552.474,0,0
KTY_MV,D,20071112,000000,554.083,562.171,552.474,558.943,0,0
KTY_MV,D,20071113,000000,560.225,568.625,549.245,549.245,0,0
KTY_MV,D,20071114,000000,565.39,565.39,549.887,556.99,0,0
KTY_MV,D,20071115,000000,565.39,565.39,531.468,531.468,0,0
KTY_MV,D,20071116,000000,531.468,531.468,491.404,520.16,0,0
KTY_MV,D,20071119,000000,513.691,533.406,513.691,526.943,0,0
KTY_MV,D,20071120,000000,513.691,525.654,509.189,516.94,0,0
KTY_MV,D,20071121,000000,513.05,513.05,478.159,478.159,0,0
KTY_MV,D,20071122,000000,468.803,510.143,468.803,494.31,0,0
KTY_MV,D,20071123,000000,494.31,510.143,494.31,504.008,0,0
KTY_MV,D,20071126,000000,516.94,531.468,516.94,525.006,0,0
KTY_MV,D,20071127,000000,525.006,525.006,516.94,524.692,0,0
KTY_MV,D,20071128,000000,524.692,531.154,510.806,510.806,0,0
KTY_MV,D,20071129,000000,520.16,542.448,510.471,510.471,0,0
KTY_MV,D,20071130,000000,513.691,526.623,512.087,520.16,0,0
KTY_MV,D,20071203,000000,520.16,532.117,516.94,516.94,0,0
