<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KTY_PB,D,20070813,000000,0.928425,0.928425,0.928425,0.928425,0,0
KTY_PB,D,20070814,000000,0.909777,0.909777,0.909777,0.909777,0,0
KTY_PB,D,20070816,000000,0.89127,0.89127,0.89127,0.89127,0,0
KTY_PB,D,20070817,000000,0.865255,0.865255,0.865255,0.865255,0,0
KTY_PB,D,20070820,000000,0.865255,0.865255,0.865255,0.865255,0,0
KTY_PB,D,20070821,000000,0.857828,0.857828,0.857828,0.857828,0,0
KTY_PB,D,20070822,000000,0.895055,0.895055,0.895055,0.895055,0,0
KTY_PB,D,20070823,000000,0.935786,0.935786,0.935786,0.935786,0,0
KTY_PB,D,20070824,000000,0.89127,0.89127,0.89127,0.89127,0,0
KTY_PB,D,20070827,000000,0.939571,0.939571,0.939571,0.939571,0,0
KTY_PB,D,20070828,000000,0.961791,0.961791,0.961791,0.961791,0,0
KTY_PB,D,20070829,000000,0.972859,0.972859,0.972859,0.972859,0,0
KTY_PB,D,20070830,000000,0.969223,0.969223,0.969223,0.969223,0,0
KTY_PB,D,20070831,000000,1.0101,1.0101,1.0101,1.0101,0,0
KTY_PB,D,20070903,000000,1.06212,1.06212,1.06212,1.06212,0,0
KTY_PB,D,20070904,000000,1.06212,1.06212,1.06212,1.06212,0,0
KTY_PB,D,20070905,000000,1.04347,1.04347,1.04347,1.04347,0,0
KTY_PB,D,20070906,000000,1.03612,1.03612,1.03612,1.03612,0,0
KTY_PB,D,20070907,000000,1.01761,1.01761,1.01761,1.01761,0,0
KTY_PB,D,20070910,000000,0.984086,0.984086,0.984086,0.984086,0,0
KTY_PB,D,20070911,000000,1.01381,1.01381,1.01381,1.01381,0,0
KTY_PB,D,20070912,000000,1.01381,1.01381,1.01381,1.01381,0,0
KTY_PB,D,20070913,000000,1.0249,1.0249,1.0249,1.0249,0,0
KTY_PB,D,20070914,000000,0.984086,0.984086,0.984086,0.984086,0,0
KTY_PB,D,20070917,000000,0.969223,0.969223,0.969223,0.969223,0,0
KTY_PB,D,20070918,000000,0.995304,0.995304,0.995304,0.995304,0,0
KTY_PB,D,20070919,000000,1.02869,1.02869,1.02869,1.02869,0,0
KTY_PB,D,20070920,000000,1.06212,1.06212,1.06212,1.06212,0,0
KTY_PB,D,20070921,000000,1.00639,1.00639,1.00639,1.00639,0,0
KTY_PB,D,20070924,000000,1.01381,1.01381,1.01381,1.01381,0,0
KTY_PB,D,20070925,000000,0.954359,0.954359,0.954359,0.954359,0,0
KTY_PB,D,20070926,000000,0.965577,0.965577,0.965577,0.965577,0,0
KTY_PB,D,20070927,000000,0.961791,0.961791,0.961791,0.961791,0,0
KTY_PB,D,20070928,000000,0.943291,0.943291,0.943291,0.943291,0,0
KTY_PB,D,20071001,000000,0.917278,0.917278,0.917278,0.917278,0,0
KTY_PB,D,20071002,000000,0.928425,0.928425,0.928425,0.928425,0,0
KTY_PB,D,20071003,000000,0.921072,0.921072,0.921072,0.921072,0,0
KTY_PB,D,20071004,000000,0.917278,0.917278,0.917278,0.917278,0,0
KTY_PB,D,20071005,000000,0.921072,0.921072,0.921072,0.921072,0,0
KTY_PB,D,20071008,000000,0.928425,0.928425,0.928425,0.928425,0,0
KTY_PB,D,20071009,000000,0.921072,0.921072,0.921072,0.921072,0,0
KTY_PB,D,20071010,000000,0.93207,0.93207,0.93207,0.93207,0,0
KTY_PB,D,20071011,000000,0.943291,0.943291,0.943291,0.943291,0,0
KTY_PB,D,20071012,000000,0.93207,0.93207,0.93207,0.93207,0,0
KTY_PB,D,20071015,000000,0.954359,0.954359,0.954359,0.954359,0,0
KTY_PB,D,20071016,000000,0.943291,0.943291,0.943291,0.943291,0,0
KTY_PB,D,20071017,000000,0.946937,0.946937,0.946937,0.946937,0,0
KTY_PB,D,20071018,000000,0.939571,0.939571,0.939571,0.939571,0,0
KTY_PB,D,20071019,000000,0.939571,0.939571,0.939571,0.939571,0,0
KTY_PB,D,20071022,000000,0.93207,0.93207,0.93207,0.93207,0,0
KTY_PB,D,20071023,000000,0.946937,0.946937,0.946937,0.946937,0,0
KTY_PB,D,20071024,000000,0.939571,0.939571,0.939571,0.939571,0,0
KTY_PB,D,20071025,000000,0.917278,0.917278,0.917278,0.917278,0,0
KTY_PB,D,20071026,000000,0.913493,0.913493,0.913493,0.913493,0,0
KTY_PB,D,20071029,000000,0.895055,0.895055,0.895055,0.895055,0,0
KTY_PB,D,20071030,000000,0.89127,0.89127,0.89127,0.89127,0,0
KTY_PB,D,20071031,000000,0.887475,0.887475,0.887475,0.887475,0,0
KTY_PB,D,20071102,000000,0.828178,0.828178,0.828178,0.828178,0,0
KTY_PB,D,20071105,000000,0.839249,0.839249,0.839249,0.839249,0,0
KTY_PB,D,20071106,000000,0.828178,0.828178,0.828178,0.828178,0,0
KTY_PB,D,20071107,000000,0.816954,0.816954,0.816954,0.816954,0,0
KTY_PB,D,20071108,000000,0.839249,0.839249,0.839249,0.839249,0,0
KTY_PB,D,20071109,000000,0.865255,0.865255,0.798374,0.80581,0,0
KTY_PB,D,20071112,000000,0.809599,0.820527,0.80581,0.816954,0,0
KTY_PB,D,20071113,000000,0.820527,0.828178,0.802164,0.802164,0,0
KTY_PB,D,20071114,000000,0.828178,0.828178,0.802164,0.813237,0,0
KTY_PB,D,20071115,000000,0.828178,0.828178,0.776154,0.776154,0,0
KTY_PB,D,20071116,000000,0.776154,0.776154,0.716702,0.761364,0,0
KTY_PB,D,20071119,000000,0.750144,0.776154,0.750144,0.768722,0,0
KTY_PB,D,20071120,000000,0.750144,0.768722,0.742784,0.753786,0,0
KTY_PB,D,20071121,000000,0.750144,0.750144,0.698123,0.698123,0,0
KTY_PB,D,20071122,000000,0.68326,0.746356,0.68326,0.720418,0,0
KTY_PB,D,20071123,000000,0.720418,0.746356,0.720418,0.735354,0,0
KTY_PB,D,20071126,000000,0.753786,0.776154,0.753786,0.768722,0,0
KTY_PB,D,20071127,000000,0.768722,0.768722,0.753786,0.768722,0,0
KTY_PB,D,20071128,000000,0.768722,0.772365,0.746356,0.746356,0,0
KTY_PB,D,20071129,000000,0.761364,0.791017,0.746356,0.746356,0,0
KTY_PB,D,20071130,000000,0.750144,0.768722,0.746356,0.761364,0,0
KTY_PB,D,20071203,000000,0.761364,0.776154,0.753786,0.753786,0,0
KTY_PB,D,20071204,000000,0.757575,0.761364,0.742784,0.746356,0,0
KTY_PB,D,20071205,000000,0.731493,0.746356,0.731493,0.738996,0,0
KTY_PB,D,20071206,000000,0.746356,0.761364,0.735354,0.735354,0,0
KTY_PB,D,20071207,000000,0.750144,0.750144,0.735354,0.746356,0,0
KTY_PB,D,20071210,000000,0.746356,0.768722,0.746356,0.746356,0,0
KTY_PB,D,20071211,000000,0.746356,0.753786,0.746356,0.746356,0,0
KTY_PB,D,20071212,000000,0.746356,0.761364,0.738996,0.761364,0,0
KTY_PB,D,20071213,000000,0.768722,0.768722,0.753786,0.753786,0,0
KTY_PB,D,20071214,000000,0.753786,0.798374,0.738996,0.757575,0,0
KTY_PB,D,20071217,000000,0.750144,0.761364,0.738996,0.738996,0,0
KTY_PB,D,20071218,000000,0.731493,0.738996,0.72406,0.731493,0,0
KTY_PB,D,20071219,000000,0.72406,0.753786,0.716702,0.731493,0,0
KTY_PB,D,20071220,000000,0.731493,0.731493,0.698123,0.698123,0,0
KTY_PB,D,20071221,000000,0.705482,0.746356,0.705482,0.72406,0,0
KTY_PB,D,20071227,000000,0.705482,0.761364,0.705482,0.757575,0,0
KTY_PB,D,20071228,000000,0.761364,0.761364,0.72406,0.753786,0,0
KTY_PB,D,20080102,000000,0.776154,0.791017,0.768722,0.776154,0,0
KTY_PB,D,20080103,000000,0.772365,0.772365,0.753786,0.765006,0,0
KTY_PB,D,20080104,000000,0.765006,0.768722,0.753786,0.753786,0,0
KTY_PB,D,20080107,000000,0.753786,0.753786,0.735354,0.750144,0,0
KTY_PB,D,20080108,000000,0.750144,0.750144,0.72406,0.738996,0,0
KTY_PB,D,20080109,000000,0.72406,0.742784,0.690619,0.70927,0,0
KTY_PB,D,20080110,000000,0.701838,0.705482,0.675901,0.68326,0,0
KTY_PB,D,20080111,000000,0.720418,0.72406,0.660966,0.660966,0,0
KTY_PB,D,20080114,000000,0.631312,0.631312,0.631312,0.631312,0,0
KTY_PB,D,20080115,000000,0.623954,0.62767,0.59787,0.60166,0,0
KTY_PB,D,20080116,000000,0.586723,0.60166,0.575577,0.575577,0,0
KTY_PB,D,20080117,000000,0.59044,0.594154,0.568072,0.568072,0,0
KTY_PB,D,20080118,000000,0.575577,0.586723,0.568072,0.583081,0,0
KTY_PB,D,20080121,000000,0.586723,0.609018,0.575577,0.575577,0,0
KTY_PB,D,20080122,000000,0.571788,0.586723,0.568072,0.579365,0,0
KTY_PB,D,20080123,000000,0.605375,0.605375,0.586723,0.594154,0,0
KTY_PB,D,20080124,000000,0.612807,0.612807,0.59787,0.59787,0,0
KTY_PB,D,20080125,000000,0.616377,0.616377,0.586723,0.586723,0,0
KTY_PB,D,20080128,000000,0.583081,0.583081,0.583081,0.583081,0,0
KTY_PB,D,20080129,000000,0.583081,0.583081,0.583081,0.583081,0,0
KTY_PB,D,20080130,000000,0.586723,0.586723,0.583081,0.583081,0,0
KTY_PB,D,20080131,000000,0.59044,0.59044,0.583081,0.583081,0,0
KTY_PB,D,20080201,000000,0.59044,0.59787,0.586723,0.594154,0,0
KTY_PB,D,20080204,000000,0.60166,0.612807,0.60166,0.609018,0,0
KTY_PB,D,20080205,000000,0.594154,0.609018,0.594154,0.59787,0,0
KTY_PB,D,20080206,000000,0.575577,0.59044,0.575577,0.583081,0,0
KTY_PB,D,20080207,000000,0.583081,0.583081,0.560786,0.560786,0,0
KTY_PB,D,20080208,000000,0.583081,0.583081,0.564502,0.571788,0,0
KTY_PB,D,20080211,000000,0.568072,0.575577,0.553355,0.553355,0,0
KTY_PB,D,20080212,000000,0.557071,0.571788,0.549566,0.568072,0,0
KTY_PB,D,20080213,000000,0.568072,0.568072,0.564502,0.564502,0,0
KTY_PB,D,20080214,000000,0.575577,0.575577,0.564502,0.568072,0,0
KTY_PB,D,20080215,000000,0.571788,0.571788,0.553355,0.560786,0,0
KTY_PB,D,20080218,000000,0.557071,0.571788,0.557071,0.568072,0,0
KTY_PB,D,20080219,000000,0.568072,0.568072,0.560786,0.568072,0,0
KTY_PB,D,20080220,000000,0.568072,0.571788,0.564502,0.564502,0,0
KTY_PB,D,20080221,000000,0.568072,0.571788,0.564502,0.568072,0,0
KTY_PB,D,20080222,000000,0.564502,0.568072,0.564502,0.564502,0,0
KTY_PB,D,20080225,000000,0.571788,0.571788,0.564502,0.568072,0,0
KTY_PB,D,20080226,000000,0.571788,0.571788,0.560786,0.564502,0,0
